TN,FN,TP,FP,sr
74.14,2.56,176.64000000000001,2.6599999999999997,130
75.64,1.2000000000000002,178.00000000000003,1.1600000000000001,258
75.5,1.32,177.88,1.2999999999999998,386
74.8,1.92,177.28,1.9999999999999996,514
75.64000000000001,1.2399999999999998,177.95999999999998,1.16,642
75.72,0.8,178.4,1.08,770
75.26,1.26,178.14000000000001,1.34,898
75.94,0.72,178.48,0.8600000000000001,1026
76.26,0.5599999999999999,178.64,0.5399999999999999,1154
76.42,0.6,178.60000000000002,0.38,1282
75.88,0.86,178.34,0.9200000000000002,1410
76.08,0.48,178.71999999999997,0.72,1538
75.98,0.64,178.76,0.62,1666
75.97999999999999,0.6799999999999999,178.52,0.82,1794
76.1,0.6000000000000001,178.6,0.7,1922
75.97999999999999,0.7,178.7,0.62,2050
76.16,1.0399999999999998,177.95999999999998,0.8400000000000001,2178
