FN,FP,TN,TP,sr,t
0.0,3.0,0.0,17.0,2,960
0.0,5.0,0.0,15.0,2,1020
14.0,0.0,6.0,0.0,2,1080
12.0,0.0,8.0,0.0,2,1140
9.0,0.0,11.0,0.0,2,1230
8.0,0.0,12.0,0.0,2,1320
6.0,0.0,14.0,0.0,2,1770
4.0,0.0,16.0,0.0,2,1980
2.0,0.0,18.0,0.0,2,2160
2.6,2.3,0.7,14.4,11,960
5.8,1.5,3.5,9.2,11,1020
6.1,1.6,4.4,7.9,11,1080
3.5,2.0,6.0,8.5,11,1140
2.2,3.8,7.2,6.8,11,1230
2.0,4.5,7.5,6.0,11,1320
1.1,4.9,9.1,4.9,11,1770
4.0,0.0,16.0,0.0,11,1980
2.0,0.0,18.0,0.0,11,2160
2.2,1.6,1.4,14.8,20,960
2.8,1.3,3.7,12.2,20,1020
3.7,2.3,3.7,10.3,20,1080
2.1,2.1,5.9,9.9,20,1140
3.1,1.6,9.4,5.9,20,1230
3.0,0.9,11.1,5.0,20,1320
1.5,2.3,11.7,4.5,20,1770
2.4,3.5,12.5,1.6,20,1980
2.0,0.0,18.0,0.0,20,2160
2.9,1.5,1.5,14.1,29,960
1.3,1.5,3.5,13.7,29,1020
1.0,1.4,4.6,13.0,29,1080
1.7,1.8,6.2,10.3,29,1140
1.6,1.2,9.8,7.4,29,1230
1.9,0.4,11.6,6.1,29,1320
1.5,0.7,13.3,4.5,29,1770
2.0,2.1,13.9,2.0,29,1980
1.3,2.0,16.0,0.7,29,2160
1.4,0.7,2.3,15.6,38,960
0.6,0.8,4.2,14.4,38,1020
2.1,1.3,4.7,11.9,38,1080
1.3,2.0,6.0,10.7,38,1140
2.3,1.8,9.2,6.7,38,1230
1.4,0.2,11.8,6.6,38,1320
1.1,0.9,13.1,4.9,38,1770
1.9,1.2,14.8,2.1,38,1980
1.0,2.8,15.2,1.0,38,2160
1.2,0.7,2.3,15.8,47,960
0.9,1.6,3.4,14.1,47,1020
0.5,1.7,4.3,13.5,47,1080
2.1,1.3,6.7,9.9,47,1140
2.0,0.9,10.1,7.0,47,1230
1.2,0.6,11.4,6.8,47,1320
0.9,0.7,13.3,5.1,47,1770
1.8,1.3,14.7,2.2,47,1980
0.9,1.2,16.8,1.1,47,2160
0.9,1.1,1.9,16.1,56,960
0.7,1.6,3.4,14.3,56,1020
1.0,1.8,4.2,13.0,56,1080
1.8,1.3,6.7,10.2,56,1140
1.8,1.0,10.0,7.2,56,1230
0.9,0.1,11.9,7.1,56,1320
0.6,0.6,13.4,5.4,56,1770
1.2,0.7,15.3,2.8,56,1980
0.9,0.6,17.4,1.1,56,2160
1.8,0.8,2.2,15.2,65,960
1.0,1.4,3.6,14.0,65,1020
1.9,0.7,5.3,12.1,65,1080
1.8,2.7,5.3,10.2,65,1140
2.5,0.5,10.5,6.5,65,1230
0.7,0.4,11.6,7.3,65,1320
0.3,0.2,13.8,5.7,65,1770
1.8,0.6,15.4,2.2,65,1980
0.4,0.5,17.5,1.6,65,2160
0.9,0.7,2.3,16.1,74,960
0.8,0.8,4.2,14.2,74,1020
1.7,1.0,5.0,12.3,74,1080
1.0,1.9,6.1,11.0,74,1140
1.4,0.6,10.4,7.6,74,1230
1.6,0.4,11.6,6.4,74,1320
0.8,0.5,13.5,5.2,74,1770
1.5,1.0,15.0,2.5,74,1980
0.9,0.3,17.7,1.1,74,2160
0.7,1.0,2.0,16.3,83,960
0.7,1.5,3.5,14.3,83,1020
1.8,0.8,5.2,12.2,83,1080
1.8,1.8,6.2,10.2,83,1140
1.2,0.8,10.2,7.8,83,1230
1.4,0.5,11.5,6.6,83,1320
1.4,0.5,13.5,4.6,83,1770
1.1,1.3,14.7,2.9,83,1980
0.9,0.2,17.8,1.1,83,2160
0.6,0.9,2.1,16.4,92,960
0.9,1.3,3.7,14.1,92,1020
2.2,0.8,5.2,11.8,92,1080
1.8,2.5,5.5,10.2,92,1140
1.8,0.7,10.3,7.2,92,1230
0.8,0.5,11.5,7.2,92,1320
0.6,0.1,13.9,5.4,92,1770
1.4,1.2,14.8,2.6,92,1980
0.7,0.6,17.4,1.3,92,2160
1.0,0.9,2.1,16.0,101,960
0.8,0.9,4.1,14.2,101,1020
1.6,1.2,4.8,12.4,101,1080
1.0,2.3,5.7,11.0,101,1140
1.4,0.9,10.1,7.6,101,1230
0.8,0.2,11.8,7.2,101,1320
0.7,0.4,13.6,5.3,101,1770
0.8,0.9,15.1,3.2,101,1980
0.6,0.5,17.5,1.4,101,2160
0.4,1.0,2.0,16.6,110,960
0.7,1.6,3.4,14.3,110,1020
1.1,1.5,4.5,12.9,110,1080
2.1,1.8,6.2,9.9,110,1140
0.7,1.0,10.0,8.3,110,1230
0.7,0.7,11.3,7.3,110,1320
0.0,0.2,13.8,6.0,110,1770
0.7,1.1,14.9,3.3,110,1980
0.8,0.8,17.2,1.2,110,2160
1.1,0.7,2.3,15.9,119,960
0.2,1.2,3.8,14.8,119,1020
2.5,1.0,5.0,11.5,119,1080
1.0,1.8,6.2,11.0,119,1140
1.7,0.5,10.5,7.3,119,1230
0.8,0.4,11.6,7.2,119,1320
0.2,0.2,13.8,5.8,119,1770
1.1,0.6,15.4,2.9,119,1980
0.9,1.2,16.8,1.1,119,2160
0.7,0.5,2.5,16.3,128,960
0.8,1.5,3.5,14.2,128,1020
1.7,1.2,4.8,12.3,128,1080
1.5,1.4,6.6,10.5,128,1140
0.8,0.6,10.4,8.2,128,1230
0.8,0.3,11.7,7.2,128,1320
0.5,0.4,13.6,5.5,128,1770
0.6,0.4,15.6,3.4,128,1980
1.0,1.0,17.0,1.0,128,2160
0.6,0.5,2.5,16.4,137,960
1.0,1.6,3.4,14.0,137,1020
1.4,1.5,4.5,12.6,137,1080
1.5,1.5,6.5,10.5,137,1140
1.5,0.8,10.2,7.5,137,1230
0.5,0.2,11.8,7.5,137,1320
0.1,0.3,13.7,5.9,137,1770
0.9,0.7,15.3,3.1,137,1980
0.8,0.8,17.2,1.2,137,2160
0.6,0.7,2.3,16.4,146,960
0.8,1.2,3.8,14.2,146,1020
1.5,1.3,4.7,12.5,146,1080
1.6,1.8,6.2,10.4,146,1140
1.1,0.5,10.5,7.9,146,1230
0.7,0.7,11.3,7.3,146,1320
0.3,0.5,13.5,5.7,146,1770
0.6,0.3,16.7,2.4,146,1980
0.7,0.7,17.3,1.3,146,2160
0.3,0.5,2.5,16.7,155,960
1.1,0.9,4.1,13.9,155,1020
0.9,1.2,4.8,13.1,155,1080
1.8,1.2,6.8,10.2,155,1140
1.7,1.2,9.8,7.3,155,1230
0.8,0.2,11.8,7.2,155,1320
0.2,0.1,13.9,5.8,155,1770
0.6,0.3,15.7,3.4,155,1980
0.6,0.7,17.3,1.4,155,2160
0.5,0.4,2.6,16.5,164,960
0.6,0.9,4.1,14.4,164,1020
1.1,1.4,4.6,12.9,164,1080
1.8,1.7,6.3,10.2,164,1140
2.1,0.9,10.1,6.9,164,1230
1.1,0.2,11.8,6.9,164,1320
0.1,0.2,13.8,5.9,164,1770
1.0,0.2,15.8,3.0,164,1980
1.2,0.3,17.7,0.8,164,2160
