FN,FP,MSE,TN,TP,sr,t
0.0,3.0,47335.5,0.0,17.0,2,960
0.0,5.0,29992.5,0.0,15.0,2,1020
2.8,4.8,40932.0,1.2,11.2,2,1080
3.6,5.6,22383.0,2.4,8.4,2,1140
2.7,7.7,15003.0,3.3,6.3,2,1230
0.8,10.8,33907.5,1.2,7.2,2,1320
5.4,1.4,31135.5,12.6,0.6,2,1770
4.0,0.0,27562.5,16.0,0.0,2,1980
2.0,0.0,27031.5,18.0,0.0,2,2160
0.0,3.0,28130.913223140502,0.0,17.0,11,960
0.0,5.0,34468.06611570248,0.0,15.0,11,1020
0.0,6.0,33575.87603305785,0.0,14.0,11,1080
0.0,8.0,24778.971074380162,0.0,12.0,11,1140
0.0,11.0,16884.0,0.0,9.0,11,1230
0.0,12.0,21870.0,0.0,8.0,11,1320
6.0,0.0,18868.537190082647,14.0,0.0,11,1770
4.0,0.0,24508.33884297521,16.0,0.0,11,1980
2.0,0.0,22833.595041322318,18.0,0.0,11,2160
0.0,3.0,8256.469387755104,0.0,17.0,20,960
0.5,4.5,15800.400367309456,0.5,14.5,20,1020
1.1,4.4,14810.537190082643,1.6,12.9,20,1080
1.9,2.6,10490.22,5.4,10.1,20,1140
1.1,3.4,5999.4,7.6,7.9,20,1230
0.5,2.7,14705.1,9.3,7.5,20,1320
0.6,3.7,6204.584940312215,10.3,5.4,20,1770
3.6,0.7,9359.181818181818,15.3,0.4,20,1980
2.0,0.0,10950.345,18.0,0.0,20,2160
0.7,1.9,12686.261957908162,1.1,16.3,29,960
0.7,1.2,22210.59504132231,3.8,14.3,29,1020
1.3,2.1,3418.9956597222213,3.9,12.7,29,1080
1.3,3.1,7169.23520408163,4.9,10.7,29,1140
1.1,3.5,10356.6953125,7.5,7.9,29,1230
0.9,2.2,12674.59779614325,9.8,7.1,29,1320
1.8,1.7,12637.5,12.3,4.2,29,1770
2.0,1.1,12890.049886621317,14.9,2.0,29,1980
2.0,0.0,2340.375,18.0,0.0,29,2160
0.2,1.9,1836.5008616780046,1.1,16.8,38,960
1.1,0.6,4237.548827795581,4.4,13.9,38,1020
0.7,1.2,5355.76,4.8,13.3,38,1080
0.3,2.4,2150.8934948979595,5.6,11.7,38,1140
2.4,2.0,3082.125,9.0,6.6,38,1230
0.6,1.1,2483.7282847023107,10.9,7.4,38,1320
1.2,1.2,2199.969460227273,12.8,4.8,38,1770
0.8,2.6,2733.931017034913,13.4,3.2,38,1980
1.4,1.1,9314.703125,16.9,0.6,38,2160
0.8,1.0,3273.1328125,2.0,16.2,47,960
1.3,1.0,3022.5419220029603,4.0,13.7,47,1020
0.3,1.7,11738.904853263619,4.3,13.7,47,1080
1.2,2.1,5495.8896938775515,5.9,10.8,47,1140
0.7,2.7,1134.5426530612244,8.3,8.3,47,1230
1.1,0.0,4298.000416666666,12.0,6.9,47,1320
0.2,0.7,2782.03125,13.3,5.8,47,1770
1.3,0.8,2572.5490624999998,15.2,2.7,47,1980
0.6,0.9,1218.3026464201384,17.1,1.4,47,2160
0.8,1.3,1805.5735816537363,1.7,16.2,56,960
0.6,0.9,2038.9812809917355,4.1,14.4,56,1020
0.5,1.5,2684.8233273423,4.5,13.5,56,1080
0.5,2.5,2156.2584079430676,5.5,11.5,56,1140
1.9,0.9,1240.223636621315,10.1,7.1,56,1230
1.4,0.4,10015.162143231948,11.6,6.6,56,1320
0.0,0.5,2295.1536897734304,13.5,6.0,56,1770
1.2,0.8,1979.752404336735,15.2,2.8,56,1980
0.2,1.9,1871.0428824422331,16.1,1.8,56,2160
1.0,0.7,1796.4957377579128,2.3,16.0,65,960
0.5,1.5,2938.214526848963,3.5,14.5,65,1020
0.3,1.3,3636.432643193296,4.7,13.7,65,1080
1.4,1.7,2956.4189559790866,6.3,10.6,65,1140
1.2,2.6,1331.4070599489796,8.4,7.8,65,1230
1.2,0.0,2201.2120368808687,12.0,6.8,65,1320
0.0,0.6,1845.034690598004,13.4,6.0,65,1770
1.1,0.9,2493.4599639425332,15.1,2.9,65,1980
0.3,1.4,1169.9787353650142,16.6,1.7,65,2160
0.6,0.9,882.7497997132738,2.1,16.4,74,960
0.8,1.4,2905.7886776859505,3.6,14.2,74,1020
0.2,1.9,1310.9450113378687,4.1,13.8,74,1080
0.9,2.1,2401.971354166667,5.9,11.1,74,1140
0.9,1.5,1385.825931122449,9.5,8.1,74,1230
1.4,0.1,2273.5850335743808,11.9,6.6,74,1320
0.1,0.6,1273.5956066052454,13.4,5.9,74,1770
0.4,0.7,2535.1860204081636,15.3,3.6,74,1980
0.3,1.3,1182.6483011937557,16.7,1.7,74,2160
0.3,0.8,1402.389072404279,2.2,16.7,83,960
0.6,1.3,1472.0773614800607,3.7,14.4,83,1020
0.6,1.7,1427.7064071745563,4.3,13.4,83,1080
1.1,1.7,1051.460955215419,6.3,10.9,83,1140
1.3,2.0,2320.956634995596,9.0,7.7,83,1230
0.9,0.2,2499.37213601694,11.8,7.1,83,1320
0.0,0.5,1101.9838796768709,13.5,6.0,83,1770
0.6,1.5,1106.9640022675728,14.5,3.4,83,1980
0.5,0.8,1016.0940296400929,17.2,1.5,83,2160
0.4,1.3,1963.146502532385,1.7,16.6,92,960
0.5,1.4,2519.7495269133424,3.6,14.5,92,1020
0.9,1.7,2307.381177073271,4.3,13.1,92,1080
0.8,1.9,1177.318333568885,6.1,11.2,92,1140
1.4,1.0,1087.193723353493,10.0,7.6,92,1230
1.1,0.5,1420.6348512373272,11.5,6.9,92,1320
0.2,0.7,1478.9861111111113,13.3,5.8,92,1770
0.6,1.8,2412.3029513888896,14.2,3.4,92,1980
0.6,1.6,1291.2980178641708,16.4,1.4,92,2160
0.4,1.3,1353.875061624502,1.7,16.6,101,960
0.3,1.9,1224.0817341776276,3.1,14.7,101,1020
0.6,1.7,1162.0042906937906,4.3,13.4,101,1080
1.1,1.2,1733.6787710632993,6.8,10.9,101,1140
1.1,1.3,922.0754476906641,9.7,7.9,101,1230
1.5,0.1,1214.7529166666668,11.9,6.5,101,1320
0.3,0.4,1424.998365898959,13.6,5.7,101,1770
0.1,1.4,1602.9162218061751,14.6,3.9,101,1980
0.7,0.2,1722.345402822286,17.8,1.3,101,2160
0.3,0.9,796.4679027407464,2.1,16.7,110,960
0.8,1.7,905.6234169134501,3.3,14.2,110,1020
0.6,1.6,1317.1034492110452,4.4,13.4,110,1080
0.3,2.4,1500.7944721196286,5.6,11.7,110,1140
0.6,1.2,2648.439889526057,9.8,8.4,110,1230
1.1,0.1,740.1443055555559,11.9,6.9,110,1320
0.3,0.6,1230.4041789888452,13.4,5.7,110,1770
0.7,1.1,1797.5504866557505,14.9,3.3,110,1980
0.6,0.5,1462.9207234977323,17.5,1.4,110,2160
0.5,0.8,1289.0068541113133,2.2,16.5,119,960
1.1,0.7,753.6943200207488,4.3,13.9,119,1020
0.9,1.5,746.9440431301654,4.5,13.1,119,1080
0.9,1.7,703.0291104896714,6.3,11.1,119,1140
1.3,0.4,2815.797242486203,10.6,7.7,119,1230
1.0,0.6,1341.7019358339744,11.4,7.0,119,1320
0.2,0.7,1459.574258518674,13.3,5.8,119,1770
0.4,0.8,1267.5425088280522,15.2,3.6,119,1980
0.5,0.3,1652.932015863594,17.7,1.5,119,2160
0.8,1.3,1676.5067291145915,1.7,16.2,128,960
0.3,1.5,2681.5162325742576,3.5,14.7,128,1020
0.3,2.0,1184.5176859504131,4.0,13.7,128,1080
0.8,2.2,1168.4922046297856,5.8,11.2,128,1140
1.4,0.9,1883.4365361451732,10.1,7.6,128,1230
1.4,0.1,743.9165340909088,11.9,6.6,128,1320
0.1,0.4,1230.6307187437444,13.6,5.9,128,1770
0.2,1.9,831.2726301206476,14.1,3.8,128,1980
0.3,0.2,1086.833686934095,17.8,1.7,128,2160
0.0,2.8,2141.0650481193097,0.2,17.0,137,960
0.6,0.7,753.6845696982407,4.3,14.4,137,1020
0.7,1.7,1111.3295000571934,4.3,13.3,137,1080
1.4,1.5,1176.949753213958,6.5,10.6,137,1140
1.5,0.7,1240.4101683221602,10.3,7.5,137,1230
1.2,0.2,1978.702335244706,11.8,6.8,137,1320
0.0,0.8,915.0639232285087,13.2,6.0,137,1770
0.2,1.1,1589.3814214279814,14.9,3.8,137,1980
0.3,0.6,1642.7402091942154,17.4,1.7,137,2160
0.0,2.7,1477.0501874386493,0.3,17.0,146,960
0.8,1.0,1062.6062396898,4.0,14.2,146,1020
0.2,1.9,774.0053274613248,4.1,13.8,146,1080
1.2,1.9,1189.43064461924,6.1,10.8,146,1140
2.2,0.5,1496.1132093274136,10.5,6.8,146,1230
1.4,0.1,1120.0576817085469,11.9,6.6,146,1320
0.0,0.8,1125.0597949641146,13.2,6.0,146,1770
0.2,1.3,1145.9650135718641,15.7,2.8,146,1980
0.7,0.4,1627.6644169168494,17.6,1.3,146,2160
0.0,3.0,918.6951503791194,0.0,17.0,155,960
0.6,1.2,1498.195470442031,3.8,14.4,155,1020
0.3,1.9,1675.6563981267122,4.1,13.7,155,1080
1.0,2.4,1398.3091155613026,5.6,11.0,155,1140
1.2,0.6,1444.407308611544,10.4,7.8,155,1230
0.7,0.3,1087.009017336756,11.7,7.3,155,1320
0.1,0.2,2289.7914333614435,13.8,5.9,155,1770
0.2,1.3,1409.9848372781066,14.7,3.8,155,1980
0.5,0.9,2212.0830715526645,17.1,1.5,155,2160
0.0,3.0,1608.9543650594223,0.0,17.0,164,960
0.7,1.0,901.0433658293772,4.0,14.3,164,1020
