,FN,FP,TN,TP,t,ts
0,0,1200,0,67810,2.333333333333333,5
1,0,3300,0,65710,2.6666666666666665,5
2,18426,4697,2843,43044,3.0,5
3,16481,7892,5208,39429,3.333333333333333,5
4,17318,11364,6276,34052,3.6666666666666665,5
5,18230,11798,8982,30000,4.0,5
6,18738,12517,10183,27572,4.333333333333333,5
7,17314,13844,10346,27506,4.666666666666667,5
8,20878,13699,11371,23062,5.0,5
9,14330,14987,10313,29380,5.333333333333333,5
10,16500,16287,10243,25980,6.333333333333332,5
11,11380,17848,9822,29960,6.666666666666668,5
12,18364,14517,15043,21086,7.0,5
13,13753,17542,13748,23967,7.333333333333332,5
14,15488,16142,17128,20252,7.666666666666668,5
15,16431,12659,22181,17739,8.0,5
16,17950,15218,21602,14240,8.333333333333334,5
17,17472,16698,22122,12718,8.666666666666666,5
18,10028,17203,24627,17152,9.0,5
19,11775,14903,28347,13985,9.333333333333334,5
20,13362,15821,29599,10228,9.666666666666666,5
21,13183,11215,35375,9237,10.0,5
22,13624,9701,38149,7536,10.333333333333334,5
23,13083,4666,44174,7087,10.666666666666666,5
24,12756,8667,41003,6584,11.0,5
25,14316,6601,44109,3984,11.333333333333336,5
26,10656,12557,39393,6404,11.666666666666664,5
27,10276,6594,46376,5764,12.0,5
28,7169,18099,36041,7701,12.333333333333336,5
29,7729,6561,48819,5901,12.666666666666664,5
30,7476,10749,45431,5354,13.0,5
31,7684,10524,46636,4166,13.333333333333336,5
32,7020,10060,47510,4420,13.666666666666664,5
33,6903,7178,51752,3177,14.333333333333336,5
34,4646,8042,51738,4584,14.666666666666664,5
35,3840,10118,50182,4870,15.0,5
36,3578,11566,49324,4542,15.666666666666664,5
37,2665,9487,52043,4815,17.333333333333332,5
38,6750,0,62260,0,20.0,5
39,6080,0,62930,0,22.66666666666667,5
40,5430,0,63580,0,23.66666666666667,5
41,4770,0,64240,0,25.66666666666667,5
42,4090,0,64920,0,27.66666666666667,5
43,3350,0,65660,0,31.33333333333333,5
44,2630,0,66380,0,34.333333333333336,5
45,2050,0,66960,0,38.66666666666666,5
46,1350,0,67660,0,46.0,5
47,650,0,68360,0,53.0,5
48,0,1200,0,67810,2.333333333333333,15
49,8183,2660,640,57527,2.6666666666666665,15
50,10489,5333,2207,50981,3.0,15
51,11996,7375,5725,43914,3.333333333333333,15
52,13969,11476,6164,37401,3.6666666666666665,15
53,13610,12763,8017,34620,4.0,15
54,14763,13046,9654,31547,4.333333333333333,15
55,15536,13693,10497,29284,4.666666666666667,15
56,15075,14750,10320,28865,5.0,15
57,11393,17666,7634,32317,5.333333333333333,15
58,15920,13847,12683,26560,6.333333333333332,15
59,16388,13593,14077,24952,6.666666666666668,15
60,14374,15213,14347,25076,7.0,15
61,15368,13792,17498,22352,7.333333333333332,15
