,FN,FP,TN,TP,t,ts
0,0,1200,0,67810,2.333333333333333,2
1,0,3300,0,65710,2.6666666666666665,2
2,0,7540,0,61470,3.0,2
3,0,13100,0,55910,3.333333333333333,2
4,29954,7840,9800,21416,3.6666666666666665,2
5,21721,10640,10140,26509,4.0,2
6,28145,9858,12842,18165,4.333333333333333,2
7,22617,12899,11291,22203,4.666666666666667,2
8,20021,13351,11719,23919,5.0,2
9,20740,13369,11931,22970,5.333333333333333,2
10,26848,10572,15958,15632,6.333333333333332,2
11,18410,15060,12610,22930,6.666666666666668,2
12,17500,14817,14743,21950,7.0,2
13,16876,15825,15465,20844,7.333333333333332,2
14,17657,16723,16547,18083,7.666666666666668,2
15,18958,15550,19290,15212,8.0,2
16,15775,16702,20118,16415,8.333333333333334,2
17,12944,20867,17953,17246,8.666666666666666,2
18,10946,23955,17875,16234,9.0,2
19,9443,23358,19892,16317,9.333333333333334,2
20,8772,25935,19485,14818,9.666666666666666,2
21,10247,24840,21750,12173,10.0,2
22,9536,23480,24370,11624,10.333333333333334,2
23,8053,27913,20937,12107,10.666666666666666,2
24,10424,21844,27826,8916,11.0,2
25,7667,27270,23440,10633,11.333333333333336,2
26,17060,0,51950,0,11.666666666666664,2
27,16040,0,52970,0,12.0,2
28,14870,0,54140,0,12.333333333333336,2
29,13630,0,55380,0,12.666666666666664,2
30,12840,0,56170,0,13.0,2
31,11850,0,57160,0,13.333333333333336,2
32,11440,0,57570,0,13.666666666666664,2
33,10080,0,58930,0,14.333333333333336,2
34,9230,0,59780,0,14.666666666666664,2
35,8710,0,60300,0,15.0,2
36,8120,0,60890,0,15.666666666666664,2
37,7480,0,61530,0,17.333333333333332,2
38,6750,0,62260,0,20.0,2
39,6080,0,62930,0,22.66666666666667,2
40,5430,0,63580,0,23.66666666666667,2
41,4770,0,64240,0,25.66666666666667,2
42,4090,0,64920,0,27.66666666666667,2
43,3350,0,65660,0,31.33333333333333,2
44,2630,0,66380,0,34.333333333333336,2
45,2050,0,66960,0,38.66666666666666,2
46,1350,0,67660,0,46.0,2
47,650,0,68360,0,53.0,2
48,1095,919,281,66715,2.333333333333333,622
49,2556,2080,1220,63154,2.6666666666666665,622
50,4709,4583,2957,56761,3.0,622
51,7706,7776,5324,48204,3.333333333333333,622
52,10264,9449,8191,41106,3.6666666666666665,622
53,11341,10957,9823,36889,4.0,622
54,11909,11864,10836,34401,4.333333333333333,622
55,12665,12673,11517,32155,4.666666666666667,622
56,13203,12499,12571,30737,5.0,622
57,12717,12999,12301,30993,5.333333333333333,622
58,12529,12665,13865,29951,6.333333333333332,622
59,12688,12588,15082,28652,6.666666666666668,622
60,11939,11680,17880,27511,7.0,622
61,10775,11313,19977,26945,7.333333333333332,622
62,9842,10781,22489,25898,7.666666666666668,622
63,9839,9420,25420,24331,8.0,622
64,8906,8843,27977,23284,8.333333333333334,622
65,7773,8572,30248,22417,8.666666666666666,622
66,6951,7121,34709,20229,9.0,622
67,6893,6536,36714,18867,9.333333333333334,622
68,5731,5662,39758,17859,9.666666666666666,622
69,5345,4821,41769,17075,10.0,622
70,5128,4998,42852,16032,10.333333333333334,622
71,4698,4979,43871,15462,10.666666666666666,622
72,4622,4401,45269,14718,11.0,622
73,4893,4279,46431,13407,11.333333333333336,622
74,3835,4240,47710,13225,11.666666666666664,622
75,3652,3864,49106,12388,12.0,622
76,3485,3197,50943,11385,12.333333333333336,622
77,3345,3191,52189,10285,12.666666666666664,622
78,3543,3363,52817,9287,13.0,622
79,3445,2963,54197,8405,13.333333333333336,622
80,3175,2951,54619,8265,13.666666666666664,622
81,2962,3302,55628,7118,14.333333333333336,622
82,3020,2684,57096,6210,14.666666666666664,622
83,2763,2578,57722,5947,15.0,622
84,2914,2649,58241,5206,15.666666666666664,622
85,2597,2512,59018,4883,17.333333333333332,622
86,2311,2505,59755,4439,20.0,622
87,2250,2287,60643,3830,22.66666666666667,622
88,1990,2184,61396,3440,23.66666666666667,622
89,1669,1732,62508,3101,25.66666666666667,622
90,1415,1356,63564,2675,27.66666666666667,622
91,1043,1075,64585,2307,31.33333333333333,622
92,664,665,65715,1966,34.333333333333336,622
93,464,533,66427,1586,38.66666666666666,622
94,304,334,67326,1046,46.0,622
95,408,367,67993,242,53.0,622
96,906,825,375,66904,2.333333333333333,1242
97,2166,2063,1237,63544,2.6666666666666665,1242
98,5000,4231,3309,56470,3.0,1242
99,7749,7068,6032,48161,3.333333333333333,1242
100,10109,9246,8394,41261,3.6666666666666665,1242
101,11353,10648,10132,36877,4.0,1242
102,12136,11602,11098,34174,4.333333333333333,1242
103,12662,12423,11767,32158,4.666666666666667,1242
104,13125,12727,12343,30815,5.0,1242
105,13562,12597,12703,30148,5.333333333333333,1242
106,12606,12745,13785,29874,6.333333333333332,1242
107,12737,12113,15557,28603,6.666666666666668,1242
108,11751,11491,18069,27699,7.0,1242
109,11073,10625,20665,26647,7.333333333333332,1242
110,10387,10138,23132,25353,7.666666666666668,1242
111,9773,9424,25416,24397,8.0,1242
112,8712,8749,28071,23478,8.333333333333334,1242
113,8078,8249,30571,22112,8.666666666666666,1242
114,6767,6897,34933,20413,9.0,1242
115,6344,6227,37023,19416,9.333333333333334,1242
116,5437,5578,39842,18153,9.666666666666666,1242
117,5153,5021,41569,17267,10.0,1242
118,4800,4841,43009,16360,10.333333333333334,1242
119,4919,4353,44497,15241,10.666666666666666,1242
120,4595,4289,45381,14745,11.0,1242
121,4223,4474,46236,14077,11.333333333333336,1242
122,3774,3745,48205,13286,11.666666666666664,1242
123,3471,3578,49392,12569,12.0,1242
124,3141,3435,50705,11729,12.333333333333336,1242
125,3258,2910,52470,10372,12.666666666666664,1242
126,3276,3120,53060,9554,13.0,1242
127,3094,2977,54183,8756,13.333333333333336,1242
128,3185,2665,54905,8255,13.666666666666664,1242
129,3263,2773,56157,6817,14.333333333333336,1242
130,2818,2677,57103,6412,14.666666666666664,1242
131,2527,2566,57734,6183,15.0,1242
132,2732,2550,58340,5388,15.666666666666664,1242
133,2485,2490,59040,4995,17.333333333333332,1242
134,2310,2358,59902,4440,20.0,1242
135,2212,2320,60610,3868,22.66666666666667,1242
136,2063,1899,61681,3367,23.66666666666667,1242
137,1711,1676,62564,3059,25.66666666666667,1242
138,1436,1346,63574,2654,27.66666666666667,1242
139,1020,855,64805,2330,31.33333333333333,1242
140,630,560,65820,2000,34.333333333333336,1242
141,424,340,66620,1626,38.66666666666666,1242
142,169,154,67506,1181,46.0,1242
143,265,292,68068,385,53.0,1242
144,931,834,366,66879,2.333333333333333,1862
145,2262,2054,1246,63448,2.6666666666666665,1862
146,4974,4263,3277,56496,3.0,1862
147,7868,7046,6054,48042,3.333333333333333,1862
148,9825,9389,8251,41545,3.6666666666666665,1862
149,11375,10618,10162,36855,4.0,1862
150,12360,11534,11166,33950,4.333333333333333,1862
151,13049,12262,11928,31771,4.666666666666667,1862
152,13351,12404,12666,30589,5.0,1862
153,13166,12951,12339,30554,5.333333333333333,1862
154,12606,12416,14114,29874,6.333333333333332,1862
155,12379,12516,15154,28961,6.666666666666668,1862
156,11896,11399,18161,27554,7.0,1862
157,11032,10822,20468,26688,7.333333333333332,1862
158,10229,10076,23184,25521,7.666666666666668,1862
159,9768,9352,25488,24402,8.0,1862
160,8745,8605,28215,23445,8.333333333333334,1862
161,8050,8039,30781,22140,8.666666666666666,1862
162,6742,6567,35263,20438,9.0,1862
163,6194,6237,37013,19566,9.333333333333334,1862
164,5670,5179,40241,17920,9.666666666666666,1862
165,4971,4836,41754,17449,10.0,1862
166,4727,4800,43050,16433,10.333333333333334,1862
167,4592,4457,44393,15568,10.666666666666666,1862
168,4575,4206,45464,14765,11.0,1862
169,4431,4140,46570,13869,11.333333333333336,1862
170,3810,3691,48259,13250,11.666666666666664,1862
171,3439,3478,49492,12601,12.0,1862
172,3251,3077,51063,11619,12.333333333333336,1862
173,2969,2944,52436,10661,12.666666666666664,1862
174,3403,2865,53315,9427,13.0,1862
175,3079,2706,54454,8771,13.333333333333336,1862
176,3155,2526,55044,8285,13.666666666666664,1862
177,2906,2915,56015,7174,14.333333333333336,1862
178,2930,2609,57171,6300,14.666666666666664,1862
179,2555,2445,57855,6155,15.0,1862
180,2685,2667,58223,5435,15.666666666666664,1862
181,2424,2416,59114,5056,17.333333333333332,1862
182,2323,2293,59967,4427,20.0,1862
183,2214,2035,60895,3866,22.66666666666667,1862
184,1861,1836,61744,3569,23.66666666666667,1862
185,1695,1445,62795,3075,25.66666666666667,1862
186,1294,1307,63613,2796,27.66666666666667,1862
187,920,892,64768,2430,31.33333333333333,1862
188,560,598,65782,2070,34.333333333333336,1862
189,346,342,66618,1704,38.66666666666666,1862
190,249,140,67520,1101,46.0,1862
191,168,230,68130,482,53.0,1862
192,876,772,428,66934,2.333333333333333,2482
193,2438,2025,1265,63282,2.6666666666666665,2482
194,4832,4217,3323,56638,3.0,2482
195,7966,7059,6041,47944,3.333333333333333,2482
196,10205,9090,8550,41165,3.6666666666666665,2482
197,11474,10595,10185,36756,4.0,2482
198,12233,11616,11084,34077,4.333333333333333,2482
199,12744,12457,11733,32076,4.666666666666667,2482
200,13481,12523,12547,30459,5.0,2482
201,13371,12794,12506,30339,5.333333333333333,2482
202,13171,12194,14336,29309,6.333333333333332,2482
203,12681,12293,15377,28659,6.666666666666668,2482
204,12003,11299,18261,27447,7.0,2482
205,11302,10759,20531,26418,7.333333333333332,2482
206,10557,9856,23414,25183,7.666666666666668,2482
207,9859,9237,25603,24311,8.0,2482
208,8883,8574,28246,23307,8.333333333333334,2482
209,8097,8050,30770,22093,8.666666666666666,2482
210,6883,6442,35388,20297,9.0,2482
211,6497,6060,37190,19263,9.333333333333334,2482
212,5591,5275,40145,17999,9.666666666666666,2482
213,5210,4962,41628,17210,10.0,2482
214,4834,4618,43232,16326,10.333333333333334,2482
215,4581,4402,44448,15579,10.666666666666666,2482
216,4531,4033,45637,14809,11.0,2482
217,4412,4119,46591,13888,11.333333333333336,2482
218,3992,3662,48288,13068,11.666666666666664,2482
219,3595,3312,49658,12445,12.0,2482
220,3421,2873,51267,11449,12.333333333333336,2482
221,3285,2772,52608,10345,12.666666666666664,2482
222,3260,2938,53242,9570,13.0,2482
223,3026,2655,54505,8824,13.333333333333336,2482
224,2994,2715,54855,8446,13.666666666666664,2482
225,2777,2860,56070,7303,14.333333333333336,2482
226,2741,2730,57050,6489,14.666666666666664,2482
227,2501,2442,57858,6209,15.0,2482
228,2680,2497,58393,5440,15.666666666666664,2482
229,2415,2337,59193,5065,17.333333333333332,2482
230,2250,2409,59851,4500,20.0,2482
231,2057,2127,60803,4023,22.66666666666667,2482
232,1930,1876,61704,3500,23.66666666666667,2482
233,1767,1491,62749,3003,25.66666666666667,2482
234,1341,1250,63670,2749,27.66666666666667,2482
235,892,843,64817,2458,31.33333333333333,2482
236,536,615,65765,2094,34.333333333333336,2482
237,293,312,66648,1757,38.66666666666666,2482
238,217,126,67534,1133,46.0,2482
239,221,172,68188,429,53.0,2482
240,969,783,417,66841,2.333333333333333,3102
241,2221,2021,1279,63489,2.6666666666666665,3102
242,4813,4210,3330,56657,3.0,3102
243,7706,7055,6045,48204,3.333333333333333,3102
244,10083,9082,8558,41287,3.6666666666666665,3102
245,11470,10670,10110,36760,4.0,3102
246,12627,11347,11353,33683,4.333333333333333,3102
247,13169,12306,11884,31651,4.666666666666667,3102
248,13755,12623,12447,30185,5.0,3102
249,13751,12913,12387,29959,5.333333333333333,3102
250,13171,12284,14246,29309,6.333333333333332,3102
251,12752,12337,15333,28588,6.666666666666668,3102
252,11761,11615,17945,27689,7.0,3102
253,11300,10713,20577,26420,7.333333333333332,3102
254,10642,9747,23523,25098,7.666666666666668,3102
255,9741,9434,25406,24429,8.0,3102
256,9101,8554,28266,23089,8.333333333333334,3102
257,8178,8031,30789,22012,8.666666666666666,3102
258,6828,6715,35115,20352,9.0,3102
259,6456,6053,37197,19304,9.333333333333334,3102
260,5575,5245,40175,18015,9.666666666666666,3102
261,5190,4705,41885,17230,10.0,3102
262,4914,4610,43240,16246,10.333333333333334,3102
263,4681,4273,44567,15489,10.666666666666666,3102
264,4673,4007,45663,14667,11.0,3102
265,4413,4122,46588,13887,11.333333333333336,3102
266,3781,3598,48352,13279,11.666666666666664,3102
267,3500,3245,49725,12540,12.0,3102
268,3123,3049,51091,11747,12.333333333333336,3102
269,3225,2608,52772,10405,12.666666666666664,3102
270,3323,2821,53359,9507,13.0,3102
271,3084,2566,54594,8766,13.333333333333336,3102
272,3009,2544,55026,8431,13.666666666666664,3102
273,2808,2856,56074,7272,14.333333333333336,3102
274,2691,2704,57076,6539,14.666666666666664,3102
275,2643,2360,57940,6067,15.0,3102
276,2680,2547,58343,5440,15.666666666666664,3102
277,2517,2439,59091,4963,17.333333333333332,3102
278,2383,2285,59975,4367,20.0,3102
279,2224,2065,60865,3856,22.66666666666667,3102
280,1973,1857,61723,3457,23.66666666666667,3102
281,1650,1676,62564,3120,25.66666666666667,3102
282,1350,1255,63665,2740,27.66666666666667,3102
283,962,855,64805,2388,31.33333333333333,3102
284,551,546,65834,2079,34.333333333333336,3102
285,295,303,66657,1755,38.66666666666666,3102
286,207,160,67500,1143,46.0,3102
287,188,142,68218,462,53.0,3102
288,898,729,471,66912,2.333333333333333,3722
289,2362,1969,1331,63348,2.6666666666666665,3722
290,4752,4225,3315,56718,3.0,3722
291,7874,7110,5990,48036,3.333333333333333,3722
292,10209,9233,8407,41161,3.6666666666666665,3722
293,11497,10639,10141,36733,4.0,3722
294,12855,11408,11292,33455,4.333333333333333,3722
295,13499,12066,12124,31321,4.666666666666667,3722
296,13657,12552,12518,30283,5.0,3722
297,13714,12648,12652,29996,5.333333333333333,3722
298,13135,12328,14202,29345,6.333333333333332,3722
299,12962,12330,15340,28378,6.666666666666668,3722
300,12325,11261,18299,27125,7.0,3722
301,11510,10788,20502,26210,7.333333333333332,3722
302,10634,10114,23156,25106,7.666666666666668,3722
303,10041,9397,25443,24129,8.0,3722
304,9137,8488,28332,23053,8.333333333333334,3722
305,8408,7993,30827,21782,8.666666666666666,3722
306,7016,6664,35166,20164,9.0,3722
307,6593,5955,37295,19167,9.333333333333334,3722
308,5634,5453,39967,17956,9.666666666666666,3722
309,5255,4778,41812,17165,10.0,3722
310,4999,4609,43241,16161,10.333333333333334,3722
311,4643,4419,44431,15517,10.666666666666666,3722
312,4600,4093,45577,14740,11.0,3722
313,4411,4092,46618,13889,11.333333333333336,3722
314,3921,3583,48367,13139,11.666666666666664,3722
315,3620,3172,49798,12420,12.0,3722
316,3163,2981,51159,11707,12.333333333333336,3722
317,3204,2650,52730,10426,12.666666666666664,3722
318,3298,2768,53412,9532,13.0,3722
319,3102,2658,54502,8748,13.333333333333336,3722
320,2992,2531,55039,8448,13.666666666666664,3722
321,2822,2728,56202,7258,14.333333333333336,3722
322,2799,2494,57286,6431,14.666666666666664,3722
323,2668,2328,57972,6042,15.0,3722
324,2597,2497,58393,5523,15.666666666666664,3722
325,2483,2310,59220,4997,17.333333333333332,3722
326,2457,2180,60080,4293,20.0,3722
327,2305,2061,60869,3775,22.66666666666667,3722
328,1970,1788,61792,3460,23.66666666666667,3722
329,1646,1582,62658,3124,25.66666666666667,3722
330,1345,1332,63588,2745,27.66666666666667,3722
331,952,857,64803,2398,31.33333333333333,3722
332,548,522,65858,2082,34.333333333333336,3722
333,300,322,66638,1750,38.66666666666666,3722
334,260,146,67514,1090,46.0,3722
335,121,160,68200,529,53.0,3722
336,911,753,447,66899,2.333333333333333,4342
337,2236,1937,1363,63474,2.6666666666666665,4342
338,4746,4317,3223,56724,3.0,4342
339,7874,7124,5976,48036,3.333333333333333,4342
340,10412,9111,8529,40958,3.6666666666666665,4342
341,11833,10603,10177,36397,4.0,4342
342,12783,11560,11140,33527,4.333333333333333,4342
343,13433,12237,11953,31387,4.666666666666667,4342
344,13919,12653,12417,30021,5.0,4342
345,14073,12780,12510,29647,5.333333333333333,4342
346,13409,12361,14169,29071,6.333333333333332,4342
347,13117,12108,15562,28223,6.666666666666668,4342
348,12341,11386,18174,27109,7.0,4342
349,11565,10670,20620,26155,7.333333333333332,4342
350,10972,9893,23377,24768,7.666666666666668,4342
351,10165,9112,25728,24005,8.0,4342
352,9222,8581,28239,22968,8.333333333333334,4342
353,8625,7847,30973,21565,8.666666666666666,4342
354,7275,6635,35195,19905,9.0,4342
355,6549,6012,37238,19211,9.333333333333334,4342
356,5733,5110,40310,17857,9.666666666666666,4342
357,5237,4773,41817,17183,10.0,4342
358,5047,4498,43352,16113,10.333333333333334,4342
359,4876,4228,44622,15284,10.666666666666666,4342
360,4465,4222,45448,14875,11.0,4342
