FN,FP,MSE,TN,TP,sr,t
0.0,3.0,33120.0,0.0,17.0,2,960
0.0,5.0,27589.5,0.0,15.0,2,1020
5.6,3.6,29578.5,2.4,8.4,2,1080
2.4,6.4,62869.5,1.6,9.6,2,1140
2.7,7.7,26145.0,3.3,6.3,2,1230
3.2,7.2,22180.5,4.8,4.8,2,1320
4.8,2.8,27265.5,11.2,1.2,2,1770
4.0,0.0,30685.5,16.0,0.0,2,1980
2.0,0.0,19075.5,18.0,0.0,2,2160
2.5,0.8,3383.875,2.2,14.5,11,960
1.3,1.9,12146.5,3.1,13.7,11,1020
2.0,3.1,4347.0,2.9,12.0,11,1080
2.4,3.1,2960.375,4.9,9.6,11,1140
2.5,2.4,22961.5,8.6,6.5,11,1230
0.7,1.2,2525.75,10.8,7.3,11,1320
1.2,1.4,2157.0,12.6,4.8,11,1770
1.7,2.0,30531.75,14.0,2.3,11,1980
1.1,1.5,38290.625,16.5,0.9,11,2160
0.6,1.3,25292.625,1.7,16.4,20,960
0.4,1.5,3659.25,3.5,14.6,20,1020
1.3,2.1,3477.625,3.9,12.7,20,1080
1.4,2.6,2469.875,5.4,10.6,20,1140
1.6,1.0,2421.625,10.0,7.4,20,1230
1.5,0.5,4281.25,11.5,6.5,20,1320
0.0,0.9,6170.625,13.1,6.0,20,1770
1.5,1.4,2348.15625,14.6,2.5,20,1980
0.7,1.8,15729.125,16.2,1.3,20,2160
1.1,0.9,1327.875,2.1,15.9,29,960
0.5,1.8,4835.375,3.2,14.5,29,1020
1.1,1.7,1527.5,4.3,12.9,29,1080
2.0,1.5,2305.625,6.5,10.0,29,1140
0.8,2.1,1713.375,8.9,8.2,29,1230
1.0,0.9,2571.625,11.1,7.0,29,1320
1.3,0.4,1294.875,13.6,4.7,29,1770
1.2,1.3,2871.375,14.7,2.8,29,1980
0.5,1.7,32048.125,16.3,1.5,29,2160
0.8,1.2,2733.75,1.8,16.2,38,960
0.7,0.7,1793.5,4.3,14.3,38,1020
1.0,1.2,2368.375,4.8,13.0,38,1080
1.6,1.5,1860.5,6.5,10.4,38,1140
1.4,2.1,2769.375,8.9,7.6,38,1230
0.7,0.7,2725.25,11.3,7.3,38,1320
0.7,0.5,2528.875,13.5,5.3,38,1770
0.7,1.2,1251.0,14.8,3.3,38,1980
1.0,1.1,1906.875,16.9,1.0,38,2160
0.4,1.3,2066.78125,1.7,16.6,47,960
0.8,1.1,828.75,3.9,14.2,47,1020
1.0,1.9,950.625,4.1,13.0,47,1080
1.8,2.2,1042.125,5.8,10.2,47,1140
1.4,1.4,4043.0,9.6,7.6,47,1230
0.7,0.5,3048.65625,11.5,7.3,47,1320
0.1,0.2,2900.5,13.8,5.9,47,1770
0.6,0.5,699.0,15.5,3.4,47,1980
0.8,0.4,981.0,17.6,1.2,47,2160
0.4,0.6,1352.53125,2.4,16.6,56,960
1.1,1.0,1568.25,4.0,13.9,56,1020
0.7,1.5,1050.375,4.5,13.3,56,1080
0.9,1.9,1261.625,6.1,11.1,56,1140
1.0,1.7,2359.75,9.3,8.0,56,1230
1.0,0.4,1480.5,11.6,7.0,56,1320
0.2,0.5,1210.75,13.5,5.8,56,1770
1.1,0.9,3358.625,15.1,2.9,56,1980
0.8,0.3,1172.375,17.7,1.2,56,2160
0.2,1.2,1744.0,1.8,16.8,65,960
1.0,0.9,2012.65625,4.1,14.0,65,1020
0.6,2.1,3657.25,3.9,13.4,65,1080
1.0,1.2,3151.0,6.8,11.0,65,1140
1.4,1.0,944.75,10.0,7.6,65,1230
0.8,0.6,1261.75,11.4,7.2,65,1320
0.2,0.3,852.46875,13.7,5.8,65,1770
0.7,0.8,943.03125,15.2,3.3,65,1980
0.9,0.2,1735.75,17.8,1.1,65,2160
0.2,0.9,798.125,2.1,16.8,74,960
0.3,1.1,928.125,3.9,14.7,74,1020
0.8,1.5,2584.0,4.5,13.2,74,1080
1.5,1.4,1359.53125,6.6,10.5,74,1140
1.0,2.2,1780.125,8.8,8.0,74,1230
0.9,0.7,473.0,11.3,7.1,74,1320
0.2,0.5,1294.625,13.5,5.8,74,1770
0.7,0.5,1351.875,15.5,3.3,74,1980
0.6,0.5,576.25,17.5,1.4,74,2160
0.5,1.1,1695.125,1.9,16.5,83,960
0.4,1.3,2125.75,3.7,14.6,83,1020
1.4,0.8,1383.5,5.2,12.6,83,1080
2.0,1.4,803.875,6.6,10.0,83,1140
1.2,1.2,1081.15625,9.8,7.8,83,1230
0.8,0.8,2246.25,11.2,7.2,83,1320
0.0,0.2,1124.21875,13.8,6.0,83,1770
0.6,0.7,818.625,15.3,3.4,83,1980
0.4,0.6,1063.625,17.4,1.6,83,2160
0.4,0.7,746.125,2.3,16.6,92,960
0.2,1.3,966.875,3.7,14.8,92,1020
0.4,1.3,2461.875,4.7,13.6,92,1080
1.6,2.1,918.0,5.9,10.4,92,1140
0.7,1.2,1786.375,9.8,8.3,92,1230
0.4,0.7,948.875,11.3,7.6,92,1320
0.2,0.3,2245.65625,13.7,5.8,92,1770
0.8,0.5,1211.125,15.5,3.2,92,1980
0.3,0.8,1282.78125,17.2,1.7,92,2160
0.4,1.0,1038.125,2.0,16.6,101,960
0.8,1.5,1537.3125,3.5,14.2,101,1020
1.1,1.4,1464.75,4.6,12.9,101,1080
1.9,2.2,1835.15625,5.8,10.1,101,1140
1.6,1.4,1145.75,9.6,7.4,101,1230
0.5,0.7,1771.78125,11.3,7.5,101,1320
0.3,0.3,2018.34375,13.7,5.7,101,1770
0.1,0.5,860.9375,15.5,3.9,101,1980
0.3,0.9,431.875,17.1,1.7,101,2160
0.3,0.5,795.875,2.5,16.7,110,960
0.4,1.4,1987.125,3.6,14.6,110,1020
1.2,1.5,2561.1875,4.5,12.8,110,1080
1.4,1.4,1160.40625,6.6,10.6,110,1140
1.1,1.9,706.75,9.1,7.9,110,1230
0.9,0.2,697.0,11.8,7.1,110,1320
0.0,0.3,971.5,13.7,6.0,110,1770
0.3,0.6,783.75,15.4,3.7,110,1980
0.4,0.5,1373.0,17.5,1.6,110,2160
0.6,0.8,688.15625,2.2,16.4,119,960
0.6,1.3,1012.625,3.7,14.4,119,1020
1.7,1.1,1163.375,4.9,12.3,119,1080
1.6,1.6,1498.9375,6.4,10.4,119,1140
0.8,1.3,541.375,9.7,8.2,119,1230
0.9,0.9,2965.5,11.1,7.1,119,1320
0.0,0.4,1133.25,13.6,6.0,119,1770
0.2,0.5,863.375,15.5,3.8,119,1980
1.0,0.2,570.25,17.8,1.0,119,2160
0.3,0.5,745.375,2.5,16.7,128,960
0.6,0.7,804.65625,4.3,14.4,128,1020
1.3,0.8,2084.0,5.2,12.7,128,1080
1.0,1.5,1099.625,6.5,11.0,128,1140
0.9,1.0,521.53125,10.0,8.1,128,1230
0.7,0.4,486.3125,11.6,7.3,128,1320
0.3,0.3,2249.125,13.7,5.7,128,1770
0.8,0.6,2543.125,15.4,3.2,128,1980
0.6,1.0,948.125,17.0,1.4,128,2160
0.2,0.6,1935.75,2.4,16.8,137,960
0.3,1.0,2153.15625,4.0,14.7,137,1020
0.6,0.5,502.75,5.5,13.4,137,1080
1.4,1.4,1737.03125,6.6,10.6,137,1140
0.9,1.3,1765.5,9.7,8.1,137,1230
0.9,1.0,961.75,11.0,7.1,137,1320
0.2,0.3,562.5,13.7,5.8,137,1770
0.4,0.8,1118.0,15.2,3.6,137,1980
0.4,0.3,2112.0,17.7,1.6,137,2160
0.3,0.6,1562.625,2.4,16.7,146,960
0.7,1.3,2078.375,3.7,14.3,146,1020
1.0,0.9,1301.0,5.1,13.0,146,1080
1.3,1.9,1077.0,6.1,10.7,146,1140
1.5,1.3,893.875,9.7,7.5,146,1230
0.5,0.9,991.0,11.1,7.5,146,1320
0.2,0.0,796.375,14.0,5.8,146,1770
0.3,0.8,914.25,16.2,2.7,146,1980
0.5,0.5,464.75,17.5,1.5,146,2160
0.1,1.0,710.75,2.0,16.9,155,960
0.3,0.7,566.375,4.3,14.7,155,1020
1.2,1.1,614.0,4.9,12.8,155,1080
1.7,1.5,714.75,6.5,10.3,155,1140
1.1,1.3,731.125,9.7,7.9,155,1230
0.6,0.9,1031.5,11.1,7.4,155,1320
0.1,0.2,1595.625,13.8,5.9,155,1770
0.4,0.5,865.625,15.5,3.6,155,1980
0.6,0.4,1205.375,17.6,1.4,155,2160
0.1,0.9,493.375,2.1,16.9,164,960
0.5,1.1,781.875,3.9,14.5,164,1020
0.8,1.4,1083.125,4.6,13.2,164,1080
1.2,1.6,687.625,6.4,10.8,164,1140
0.8,1.7,788.625,9.3,8.2,164,1230
0.2,0.4,723.75,11.6,7.8,164,1320
0.0,0.5,775.75,13.5,6.0,164,1770
0.1,1.2,1085.625,14.8,3.9,164,1980
0.7,0.6,696.5,17.4,1.3,164,2160
