FN,FP,TN,TP,sr,t
0.0,3.0,0.0,17.0,2,960
0.0,5.0,0.0,15.0,2,1020
14.0,0.0,6.0,0.0,2,1080
12.0,0.0,8.0,0.0,2,1140
9.0,0.0,11.0,0.0,2,1230
8.0,0.0,12.0,0.0,2,1320
6.0,0.0,14.0,0.0,2,1770
4.0,0.0,16.0,0.0,2,1980
2.0,0.0,18.0,0.0,2,2160
0.0,3.0,0.0,17.0,11,960
0.0,5.0,0.0,15.0,11,1020
0.0,6.0,0.0,14.0,11,1080
0.0,8.0,0.0,12.0,11,1140
9.0,0.0,11.0,0.0,11,1230
8.0,0.0,12.0,0.0,11,1320
6.0,0.0,14.0,0.0,11,1770
4.0,0.0,16.0,0.0,11,1980
2.0,0.0,18.0,0.0,11,2160
0.0,3.0,0.0,17.0,20,960
2.6,2.6,2.4,12.4,20,1020
5.1,2.3,3.7,8.9,20,1080
4.5,1.8,6.2,7.5,20,1140
1.8,3.0,8.0,7.2,20,1230
0.7,3.0,9.0,7.3,20,1320
0.6,4.5,9.5,5.4,20,1770
4.0,0.0,16.0,0.0,20,1980
2.0,0.0,18.0,0.0,20,2160
0.0,3.0,0.0,17.0,29,960
2.8,2.6,2.4,12.2,29,1020
5.1,1.1,4.9,8.9,29,1080
3.4,2.2,5.8,8.6,29,1140
2.4,2.4,8.6,6.6,29,1230
0.4,4.1,7.9,7.6,29,1320
0.8,4.1,9.9,5.2,29,1770
4.0,0.0,16.0,0.0,29,1980
2.0,0.0,18.0,0.0,29,2160
1.7,1.2,1.8,15.3,38,960
1.8,1.1,3.9,13.2,38,1020
2.7,1.5,4.5,11.3,38,1080
2.3,2.0,6.0,9.7,38,1140
3.3,0.4,10.6,5.7,38,1230
1.0,1.4,10.6,7.0,38,1320
1.9,1.6,12.4,4.1,38,1770
2.1,1.0,15.0,1.9,38,1980
2.0,0.0,18.0,0.0,38,2160
2.2,1.1,1.9,14.8,47,960
1.0,0.9,4.1,14.0,47,1020
1.1,1.8,4.2,12.9,47,1080
1.2,2.1,5.9,10.8,47,1140
2.2,1.3,9.7,6.8,47,1230
1.7,1.9,10.1,6.3,47,1320
1.4,1.8,12.2,4.6,47,1770
1.2,1.4,14.6,2.8,47,1980
1.6,0.5,17.5,0.4,47,2160
2.4,0.3,2.7,14.6,56,960
0.9,0.9,4.1,14.1,56,1020
0.8,1.5,4.5,13.2,56,1080
1.1,1.8,6.2,10.9,56,1140
2.3,0.3,10.7,6.7,56,1230
0.8,0.0,12.0,7.2,56,1320
0.4,0.9,13.1,5.6,56,1770
1.0,1.1,14.9,3.0,56,1980
1.8,0.2,17.8,0.2,56,2160
1.0,1.2,1.8,16.0,65,960
0.8,0.6,4.4,14.2,65,1020
0.7,1.6,4.4,13.3,65,1080
1.6,2.1,5.9,10.4,65,1140
1.5,1.3,9.7,7.5,65,1230
1.2,0.3,11.7,6.8,65,1320
0.0,0.2,13.8,6.0,65,1770
1.9,1.2,14.8,2.1,65,1980
1.7,0.5,17.5,0.3,65,2160
1.1,1.1,1.9,15.9,74,960
0.9,0.6,4.4,14.1,74,1020
0.6,1.7,4.3,13.4,74,1080
1.3,1.8,6.2,10.7,74,1140
2.1,0.0,11.0,6.9,74,1230
1.7,0.0,12.0,6.3,74,1320
0.0,1.0,13.0,6.0,74,1770
1.4,1.3,14.7,2.6,74,1980
1.6,0.8,17.2,0.4,74,2160
1.1,1.2,1.8,15.9,83,960
1.0,0.9,4.1,14.0,83,1020
0.9,1.5,4.5,13.1,83,1080
1.2,1.9,6.1,10.8,83,1140
1.4,1.4,9.6,7.6,83,1230
1.7,0.0,12.0,6.3,83,1320
0.0,0.9,13.1,6.0,83,1770
1.5,0.9,15.1,2.5,83,1980
0.6,1.8,16.2,1.4,83,2160
0.6,1.3,1.7,16.4,92,960
1.3,0.8,4.2,13.7,92,1020
1.4,1.2,4.8,12.6,92,1080
2.3,1.9,6.1,9.7,92,1140
2.5,0.6,10.4,6.5,92,1230
1.3,0.0,12.0,6.7,92,1320
0.3,0.8,13.2,5.7,92,1770
1.6,1.5,14.5,2.4,92,1980
1.1,1.5,16.5,0.9,92,2160
1.5,0.7,2.3,15.5,101,960
0.8,1.1,3.9,14.2,101,1020
0.9,1.2,4.8,13.1,101,1080
1.6,2.1,5.9,10.4,101,1140
2.0,0.0,11.0,7.0,101,1230
0.9,0.0,12.0,7.1,101,1320
0.4,0.6,13.4,5.6,101,1770
1.3,1.1,14.9,2.7,101,1980
1.1,1.0,17.0,0.9,101,2160
0.8,1.0,2.0,16.2,110,960
1.2,0.6,4.4,13.8,110,1020
1.0,1.6,4.4,13.0,110,1080
1.6,1.8,6.2,10.4,110,1140
1.4,0.6,10.4,7.6,110,1230
1.3,0.1,11.9,6.7,110,1320
0.5,1.0,13.0,5.5,110,1770
1.4,1.5,14.5,2.6,110,1980
0.6,0.6,17.4,1.4,110,2160
0.3,0.9,2.1,16.7,119,960
1.0,0.8,4.2,14.0,119,1020
0.9,1.6,4.4,13.1,119,1080
2.2,2.1,5.9,9.8,119,1140
1.6,0.1,10.9,7.4,119,1230
1.6,0.0,12.0,6.4,119,1320
0.6,0.4,13.6,5.4,119,1770
0.6,1.6,14.4,3.4,119,1980
0.9,0.6,17.4,1.1,119,2160
0.6,1.0,2.0,16.4,128,960
0.6,1.1,3.9,14.4,128,1020
1.2,1.0,5.0,12.8,128,1080
1.6,1.5,6.5,10.4,128,1140
1.3,0.6,10.4,7.7,128,1230
1.5,0.0,12.0,6.5,128,1320
0.8,0.6,13.4,5.2,128,1770
1.1,1.8,14.2,2.9,128,1980
0.5,0.5,17.5,1.5,128,2160
0.7,1.5,1.5,16.3,137,960
0.3,1.2,3.8,14.7,137,1020
1.5,1.0,5.0,12.5,137,1080
1.7,1.8,6.2,10.3,137,1140
1.2,0.2,10.8,7.8,137,1230
1.5,0.0,12.0,6.5,137,1320
0.4,0.4,13.6,5.6,137,1770
1.2,1.4,14.6,2.8,137,1980
0.7,0.6,17.4,1.3,137,2160
0.8,1.0,2.0,16.2,146,960
0.7,1.6,3.4,14.3,146,1020
1.7,0.8,5.2,12.3,146,1080
1.6,1.7,6.3,10.4,146,1140
1.2,0.9,10.1,7.8,146,1230
1.1,0.2,11.8,6.9,146,1320
0.5,0.8,13.2,5.5,146,1770
0.6,1.6,15.4,2.4,146,1980
0.4,0.5,17.5,1.6,146,2160
0.6,1.4,1.6,16.4,155,960
0.5,0.9,4.1,14.5,155,1020
1.3,0.9,5.1,12.7,155,1080
0.7,2.3,5.7,11.3,155,1140
1.5,0.3,10.7,7.5,155,1230
1.0,0.4,11.6,7.0,155,1320
0.8,0.8,13.2,5.2,155,1770
1.3,0.2,15.8,2.7,155,1980
0.9,0.4,17.6,1.1,155,2160
1.1,1.2,1.8,15.9,164,960
0.5,1.5,3.5,14.5,164,1020
1.4,0.6,5.4,12.6,164,1080
1.2,2.3,5.7,10.8,164,1140
1.1,0.4,10.6,7.9,164,1230
1.7,0.3,11.7,6.3,164,1320
0.9,0.5,13.5,5.1,164,1770
1.0,1.2,14.8,3.0,164,1980
0.7,0.3,17.7,1.3,164,2160
