FN,FP,TN,TP,sr,t
0.0,3.0,0.0,17.0,11,960
0.0,5.0,0.0,15.0,11,1020
0.0,6.0,0.0,14.0,11,1080
12.0,0.0,8.0,0.0,11,1140
9.0,0.0,11.0,0.0,11,1230
8.0,0.0,12.0,0.0,11,1320
5.0,0.0,15.0,0.0,11,1770
3.0,0.0,17.0,0.0,11,1980
2.0,0.0,18.0,0.0,11,2160
0.0,3.0,0.0,17.0,20,960
1.3,4.0,1.0,13.7,20,1020
2.9,4.6,1.4,11.1,20,1080
5.2,2.1,5.9,6.8,20,1140
7.4,0.6,10.4,1.6,20,1230
6.3,1.4,10.6,1.7,20,1320
4.2,1.1,12.9,1.8,20,1770
3.0,0.0,17.0,0.0,20,1980
2.0,0.0,18.0,0.0,20,2160
0.0,3.0,0.0,17.0,29,960
4.0,2.2,2.8,11.0,29,1020
4.4,1.5,4.5,9.6,29,1080
2.9,1.7,6.3,9.1,29,1140
1.8,2.0,9.0,7.2,29,1230
3.6,1.6,10.4,4.4,29,1320
1.8,3.4,10.6,4.2,29,1770
3.0,0.0,17.0,0.0,29,1980
2.0,0.0,18.0,0.0,29,2160
0.1,2.7,0.3,16.9,38,960
3.1,1.1,3.9,11.9,38,1020
2.1,1.6,4.4,11.9,38,1080
3.4,1.1,6.9,8.6,38,1140
2.2,2.0,9.0,6.8,38,1230
1.3,2.7,9.3,6.7,38,1320
0.7,2.9,12.1,4.3,38,1770
0.4,5.4,11.6,2.6,38,1980
2.0,0.0,18.0,0.0,38,2160
1.5,0.6,2.4,15.5,47,960
1.1,1.1,3.9,13.9,47,1020
2.2,1.4,4.6,11.8,47,1080
0.4,2.8,5.2,11.6,47,1140
3.6,1.4,9.6,5.4,47,1230
1.5,1.9,10.1,6.5,47,1320
1.5,2.5,11.5,4.5,47,1770
0.7,3.9,13.1,2.3,47,1980
2.0,0.0,18.0,0.0,47,2160
1.9,0.8,2.2,15.1,56,960
1.7,0.8,4.2,13.3,56,1020
0.4,2.1,3.9,13.6,56,1080
1.7,2.4,5.6,10.3,56,1140
2.9,1.2,9.8,6.1,56,1230
2.3,0.6,11.4,5.7,56,1320
1.0,1.4,13.4,4.2,56,1770
0.6,1.7,15.3,2.4,56,1980
1.3,0.9,17.1,0.7,56,2160
1.4,0.7,2.3,15.6,65,960
0.8,0.5,4.5,14.2,65,1020
0.3,1.8,4.2,13.7,65,1080
1.4,2.2,5.8,10.6,65,1140
2.9,0.8,10.2,6.1,65,1230
1.2,1.1,10.9,6.8,65,1320
0.0,1.4,13.6,5.0,65,1770
0.9,1.3,15.7,2.1,65,1980
1.0,1.0,17.0,1.0,65,2160
2.0,0.1,2.9,15.0,74,960
1.0,0.8,4.2,14.0,74,1020
0.9,1.5,4.5,13.1,74,1080
1.2,2.9,5.1,10.8,74,1140
3.0,0.0,11.0,6.0,74,1230
0.7,0.5,11.5,7.3,74,1320
0.0,1.0,13.0,6.0,74,1770
1.1,1.1,15.9,1.9,74,1980
0.9,1.4,16.6,1.1,74,2160
1.3,0.6,2.4,15.7,83,960
0.9,0.6,4.4,14.1,83,1020
0.5,1.8,4.2,13.5,83,1080
1.1,2.5,5.5,10.9,83,1140
3.0,0.5,10.5,6.0,83,1230
1.0,0.5,11.5,7.0,83,1320
0.0,1.1,13.9,5.0,83,1770
0.9,0.7,16.3,2.1,83,1980
0.6,2.2,15.8,1.4,83,2160
1.2,0.8,2.2,15.8,92,960
1.2,0.8,4.2,13.8,92,1020
0.8,1.4,4.6,13.2,92,1080
1.4,1.6,6.4,10.6,92,1140
2.7,0.3,10.7,6.3,92,1230
0.9,0.0,12.0,7.1,92,1320
0.0,0.6,14.1,5.3,92,1770
0.5,0.9,16.1,2.5,92,1980
1.0,1.8,16.2,1.0,92,2160
0.8,0.7,2.3,16.2,101,960
0.5,0.6,4.4,14.5,101,1020
1.1,1.3,4.7,12.9,101,1080
1.4,2.0,6.0,10.6,101,1140
1.8,1.1,9.9,7.2,101,1230
0.9,0.0,12.0,7.1,101,1320
0.1,1.0,13.0,5.9,101,1770
0.9,0.8,15.5,2.8,101,1980
0.4,1.0,17.0,1.6,101,2160
1.2,0.7,2.3,15.8,110,960
0.8,0.8,4.2,14.2,110,1020
0.7,1.7,4.3,13.3,110,1080
2.0,1.3,6.7,10.0,110,1140
2.3,0.8,10.2,6.7,110,1230
1.0,0.0,12.0,7.0,110,1320
0.5,0.7,13.3,5.5,110,1770
0.9,0.8,16.2,2.1,110,1980
0.5,1.6,16.4,1.5,110,2160
0.6,0.6,2.4,16.4,119,960
1.0,0.7,4.3,14.0,119,1020
1.2,2.3,3.7,12.8,119,1080
1.9,2.0,6.0,10.1,119,1140
1.6,0.1,10.9,7.4,119,1230
0.8,0.0,12.0,7.2,119,1320
0.0,0.7,14.3,5.0,119,1770
1.0,0.9,15.5,2.6,119,1980
0.7,0.4,17.6,1.3,119,2160
0.9,1.0,2.0,16.1,128,960
0.4,1.3,3.7,14.6,128,1020
0.6,1.8,4.2,13.4,128,1080
1.6,1.3,6.7,10.4,128,1140
1.6,0.3,10.7,7.4,128,1230
0.9,0.0,12.0,7.1,128,1320
0.0,0.9,13.9,5.2,128,1770
1.4,0.9,15.1,2.6,128,1980
0.9,0.8,17.2,1.1,128,2160
0.8,1.0,2.0,16.2,137,960
1.0,0.6,4.4,14.0,137,1020
1.2,1.0,5.0,12.8,137,1080
1.4,1.3,6.7,10.6,137,1140
1.2,0.4,10.6,7.8,137,1230
1.0,0.0,12.0,7.0,137,1320
0.4,0.7,13.3,5.6,137,1770
0.9,1.0,16.0,2.1,137,1980
0.4,0.8,17.2,1.6,137,2160
0.9,1.3,1.7,16.1,146,960
0.4,1.3,3.7,14.6,146,1020
0.7,1.2,4.8,13.3,146,1080
2.2,1.0,7.0,9.8,146,1140
1.7,0.9,10.1,7.3,146,1230
0.9,0.0,12.3,6.8,146,1320
1.1,0.5,13.5,4.9,146,1770
1.2,1.3,14.9,2.6,146,1980
0.9,0.4,17.6,1.1,146,2160
0.9,1.1,1.9,16.1,155,960
0.7,1.0,4.0,14.3,155,1020
0.8,1.5,5.1,12.6,155,1080
1.7,1.3,6.7,10.3,155,1140
1.5,0.4,10.6,7.5,155,1230
1.0,0.0,12.0,7.0,155,1320
0.8,0.3,13.7,5.2,155,1770
0.9,1.2,15.8,2.1,155,1980
0.8,0.0,18.0,1.2,155,2160
0.9,0.6,2.4,16.1,164,960
0.9,1.1,3.9,14.1,164,1020
1.8,0.7,5.9,11.6,164,1080
1.3,1.7,6.3,10.7,164,1140
1.1,0.5,10.1,8.3,164,1230
1.0,0.0,12.0,7.0,164,1320
0.4,0.5,14.5,4.6,164,1770
1.2,1.0,15.6,2.2,164,1980
0.7,0.4,17.6,1.3,164,2160
