FN,FP,MSE,TN,TP,sr,t
0.0,26.0,14.661945938646777,0.0,230.0,2,0.478987974358975
0.0,51.0,103.62582406308134,0.0,205.0,2,0.528053435897436
17.9,69.3,14.421791632619753,7.7,161.1,2,0.732406631578947
30.8,81.6,15.317887658914861,20.4,123.2,2,1.24142602702703
0.0,128.0,27.893929615893835,0.0,128.0,2,2.08937425641026
20.4,123.2,28.772227000630863,30.8,81.6,2,5.81297530769231
38.5,89.5,15.45633451592287,89.5,38.5,2,10.6980868974359
51.0,0.0,13.025374415301565,205.0,0.0,2,19.898601564102602
26.0,0.0,17.970694590830014,230.0,0.0,2,37.5557710769231
8.7,16.2,0.08747750691414688,9.8,221.3,130,0.478987974358975
11.5,15.0,1.241188136716494,36.0,193.5,130,0.528053435897436
11.1,12.9,0.022376457785813614,64.1,167.9,130,0.732406631578947
13.7,14.1,5.079751730909699,88.9,139.3,130,1.24142602702703
10.7,15.5,4.777249325605475,112.5,117.3,130,2.08937425641026
2.9,0.1,0.14848923714722853,153.9,99.1,130,5.81297530769231
2.9,0.0,0.4084210503220735,179.0,74.1,130,10.6980868974359
8.8,0.5,0.08544663641346875,204.5,42.2,130,19.898601564102602
2.5,0.2,0.13502768838192963,230.8,22.5,130,37.5557710769231
5.3,6.3,0.0018302251564890123,19.7,224.7,258,0.478987974358975
8.0,10.8,0.009110993525484218,40.2,197.0,258,0.528053435897436
2.0,3.3,0.0026614009136880037,73.7,177.0,258,0.732406631578947
6.4,5.6,0.01368297396418148,97.4,146.6,258,1.24142602702703
5.7,4.7,0.007368315863632844,123.3,122.3,258,2.08937425641026
0.0,0.0,0.00838383953025254,154.0,102.0,258,5.81297530769231
0.0,0.1,0.0025636110456056793,178.9,77.0,258,10.6980868974359
0.0,0.0,0.012577325730850061,205.0,51.0,258,19.898601564102602
0.0,0.0,0.006722028677733942,231.0,25.0,258,37.5557710769231
0.0,0.0,0.00012151442547805486,26.0,230.0,386,0.478987974358975
4.7,4.7,9.592281424592003e-05,46.3,200.3,386,0.528053435897436
0.0,0.0,0.00015282089504607284,77.0,179.0,386,0.732406631578947
0.0,0.1,0.00020990415540672965,101.9,154.0,386,1.24142602702703
0.3,0.3,0.00015759858141918543,127.7,127.7,386,2.08937425641026
0.0,0.1,0.00013827393820368847,153.9,102.0,386,5.81297530769231
0.0,0.4,0.00011807737661209707,178.6,77.0,386,10.6980868974359
0.0,0.3,0.00021094061147809793,204.7,51.0,386,19.898601564102602
0.0,0.2,0.00018030970949004438,229.8,26.0,386,37.5557710769231
0.0,0.3,0.0001291337335999538,25.7,230.0,514,0.478987974358975
3.4,4.5,0.00015276209531595646,46.5,201.6,514,0.528053435897436
0.0,0.0,0.00011702523169337636,77.0,179.0,514,0.732406631578947
0.0,0.0,0.00013342126639350583,102.0,154.0,514,1.24142602702703
0.0,0.3,0.00010423062232469142,127.7,128.0,514,2.08937425641026
0.0,0.1,8.303924248899216e-05,153.9,102.0,514,5.81297530769231
0.0,0.0,9.961176461219086e-05,179.0,77.0,514,10.6980868974359
0.0,0.0,0.00017704285688741048,205.0,51.0,514,19.898601564102602
0.0,0.1,0.00013625372009440617,229.9,26.0,514,37.5557710769231
0.0,0.3,4.8111781255507574e-05,25.7,230.0,642,0.478987974358975
1.2,2.4,6.301182893327721e-05,48.6,203.8,642,0.528053435897436
0.0,0.2,5.802462863798402e-05,76.8,179.0,642,0.732406631578947
0.0,0.3,9.550998803436564e-05,102.7,153.0,642,1.24142602702703
0.2,0.1,8.487475081337656e-05,127.9,127.8,642,2.08937425641026
0.0,0.0,7.084348443841588e-05,154.0,102.0,642,5.81297530769231
0.0,0.0,7.864043871620244e-05,179.0,77.0,642,10.6980868974359
0.0,0.0,7.654044555540584e-05,205.0,51.0,642,19.898601564102602
0.0,0.0,8.621543758552657e-05,231.0,25.0,642,37.5557710769231
0.0,0.2,3.954410608004819e-05,25.8,230.0,770,0.478987974358975
0.5,1.3,8.457231200223548e-05,49.7,204.5,770,0.528053435897436
0.0,0.2,3.9479818530230824e-05,76.8,179.0,770,0.732406631578947
0.0,0.2,8.633941139436394e-05,102.8,153.0,770,1.24142602702703
0.0,0.2,4.449278301889274e-05,127.8,128.0,770,2.08937425641026
0.0,0.0,7.174145249544174e-05,154.0,102.0,770,5.81297530769231
0.0,0.3,7.855524247081137e-05,178.7,77.0,770,10.6980868974359
0.0,0.1,7.862268185616579e-05,204.9,51.0,770,19.898601564102602
0.0,0.0,8.817516221519455e-05,231.0,25.0,770,37.5557710769231
0.0,0.1,0.00012428553702743833,25.9,230.0,898,0.478987974358975
1.0,1.7,2.9608770208460854e-05,49.3,204.0,898,0.528053435897436
0.0,0.0,7.046200892876039e-05,77.0,179.0,898,0.732406631578947
0.0,0.1,5.552575442401878e-05,101.9,154.0,898,1.24142602702703
0.1,0.2,7.301637101317233e-05,127.8,127.9,898,2.08937425641026
0.0,0.1,2.6336796127265742e-05,153.9,102.0,898,5.81297530769231
0.0,0.2,0.00011557410108710695,178.8,77.0,898,10.6980868974359
0.0,0.1,3.213838794605734e-05,204.9,51.0,898,19.898601564102602
0.0,0.1,4.8824404089469926e-05,229.9,26.0,898,37.5557710769231
0.0,0.4,2.9469847381419304e-05,25.6,230.0,1026,0.478987974358975
1.6,1.7,8.771380952971342e-05,49.3,203.4,1026,0.528053435897436
0.0,0.3,2.3591462376776435e-05,76.7,179.0,1026,0.732406631578947
0.0,0.1,2.8683557536886934e-05,101.9,154.0,1026,1.24142602702703
0.1,0.0,2.8267467406049102e-05,128.0,127.9,1026,2.08937425641026
0.0,0.1,2.737026898746275e-05,153.9,102.0,1026,5.81297530769231
0.0,0.1,6.593884606381812e-05,178.9,77.0,1026,10.6980868974359
0.0,0.0,2.1759108205042894e-05,205.0,51.0,1026,19.898601564102602
0.0,0.0,3.0745820002752756e-05,230.0,26.0,1026,37.5557710769231
0.0,0.1,2.9616824551703367e-05,25.9,230.0,1154,0.478987974358975
1.0,1.2,2.9264354455327377e-05,49.8,204.0,1154,0.528053435897436
0.0,0.3,3.167841953421837e-05,76.7,179.0,1154,0.732406631578947
0.0,0.1,2.6189086113331522e-05,102.9,153.0,1154,1.24142602702703
0.0,0.2,8.118329417710498e-05,127.8,128.0,1154,2.08937425641026
0.0,0.2,2.7760288509360145e-05,153.8,102.0,1154,5.81297530769231
0.0,0.2,3.6561913015510815e-05,178.8,77.0,1154,10.6980868974359
0.0,0.0,3.169904352485807e-05,205.0,51.0,1154,19.898601564102602
0.0,0.1,2.6624486329607297e-05,230.9,25.0,1154,37.5557710769231
0.0,0.1,3.137637618089973e-05,25.9,230.0,1282,0.478987974358975
1.6,1.5,2.514235260590837e-05,49.5,203.4,1282,0.528053435897436
0.0,0.1,2.8308230711717157e-05,76.9,179.0,1282,0.732406631578947
0.0,0.0,2.652759575627416e-05,103.0,153.0,1282,1.24142602702703
0.0,0.3,2.0841162467788117e-05,127.7,128.0,1282,2.08937425641026
0.0,0.2,3.0126323856845596e-05,153.8,102.0,1282,5.81297530769231
0.0,0.1,2.8486237242167238e-05,178.9,77.0,1282,10.6980868974359
0.0,0.3,3.0334107134806033e-05,204.7,51.0,1282,19.898601564102602
0.0,0.1,2.6865390653711458e-05,230.9,25.0,1282,37.5557710769231
0.0,0.1,3.426054818636586e-05,25.9,230.0,1410,0.478987974358975
1.3,1.0,2.4885099418646164e-05,50.0,203.7,1410,0.528053435897436
0.0,0.2,2.8742123074550165e-05,76.8,179.0,1410,0.732406631578947
0.0,0.2,3.570683337440569e-05,101.8,154.0,1410,1.24142602702703
0.1,0.1,4.060445376746924e-05,127.9,127.9,1410,2.08937425641026
0.0,0.0,3.017304453260558e-05,154.0,102.0,1410,5.81297530769231
0.0,0.0,3.111899497760658e-05,179.0,77.0,1410,10.6980868974359
