FN,FP,TN,TP,sr,t
15.8,12.0,14.0,214.2,130,0.478987974358975
16.0,17.0,34.0,189.0,130,0.528053435897436
14.7,11.2,65.8,164.3,130,0.732406631578947
12.0,12.6,89.4,142.0,130,1.24142602702703
19.0,4.7,123.3,109.0,130,2.08937425641026
9.6,10.6,15.4,220.4,258,0.478987974358975
6.4,4.8,46.2,198.6,258,0.528053435897436
3.5,0.1,76.9,175.5,258,0.732406631578947
0.0,0.0,102.0,154.0,258,1.24142602702703
1.8,0.2,127.8,126.2,258,2.08937425641026
10.6,8.6,17.4,219.4,386,0.478987974358975
4.6,3.1,47.9,200.4,386,0.528053435897436
0.0,0.1,76.9,179.0,386,0.732406631578947
0.0,0.0,102.0,154.0,386,1.24142602702703
0.3,0.2,127.8,127.7,386,2.08937425641026
9.6,8.7,17.3,220.4,514,0.478987974358975
3.1,1.3,49.7,201.9,514,0.528053435897436
0.0,0.2,76.8,179.0,514,0.732406631578947
0.0,0.0,102.0,154.0,514,1.24142602702703
0.1,0.2,127.8,127.9,514,2.08937425641026
7.9,8.8,17.2,222.1,642,0.478987974358975
1.8,0.5,50.5,203.2,642,0.528053435897436
0.0,0.0,77.0,179.0,642,0.732406631578947
0.0,0.0,102.0,154.0,642,1.24142602702703
0.1,0.0,128.0,127.9,642,2.08937425641026
4.8,6.0,20.0,225.2,770,0.478987974358975
2.1,0.9,50.1,202.9,770,0.528053435897436
0.0,0.2,76.8,179.0,770,0.732406631578947
0.0,0.0,102.0,154.0,770,1.24142602702703
0.4,0.0,128.0,127.6,770,2.08937425641026
2.4,3.5,22.5,227.6,898,0.478987974358975
1.3,2.4,48.6,203.7,898,0.528053435897436
0.0,0.0,76.0,180.0,898,0.732406631578947
0.0,0.0,102.0,154.0,898,1.24142602702703
0.4,0.2,127.8,127.6,898,2.08937425641026
5.0,3.5,22.5,225.0,1026,0.478987974358975
2.1,0.4,50.6,202.9,1026,0.528053435897436
0.0,0.0,77.0,179.0,1026,0.732406631578947
0.0,0.0,102.0,154.0,1026,1.24142602702703
0.3,0.5,127.5,127.7,1026,2.08937425641026
9.4,4.8,21.2,220.6,1154,0.478987974358975
2.7,0.5,50.5,202.3,1154,0.528053435897436
0.0,0.0,77.0,179.0,1154,0.732406631578947
0.0,0.1,101.9,154.0,1154,1.24142602702703
0.2,0.2,127.8,127.8,1154,2.08937425641026
2.4,3.0,23.0,227.6,1282,0.478987974358975
3.1,1.5,49.5,201.9,1282,0.528053435897436
0.0,0.0,77.0,179.0,1282,0.732406631578947
0.0,0.0,102.0,154.0,1282,1.24142602702703
0.1,0.1,127.9,127.9,1282,2.08937425641026
7.6,5.2,20.8,222.4,1410,0.478987974358975
2.9,1.1,49.9,202.1,1410,0.528053435897436
0.0,0.2,76.8,179.0,1410,0.732406631578947
0.0,0.1,101.9,154.0,1410,1.24142602702703
0.0,0.2,127.8,128.0,1410,2.08937425641026
5.7,6.6,19.4,224.3,1538,0.478987974358975
1.9,1.2,49.8,203.1,1538,0.528053435897436
0.0,0.2,76.8,179.0,1538,0.732406631578947
0.0,0.4,101.6,154.0,1538,1.24142602702703
0.2,0.2,127.8,127.8,1538,2.08937425641026
6.9,4.5,21.5,223.1,1666,0.478987974358975
2.0,0.3,50.7,203.0,1666,0.528053435897436
0.0,0.2,75.8,180.0,1666,0.732406631578947
0.0,0.0,102.0,154.0,1666,1.24142602702703
0.4,0.1,127.9,127.6,1666,2.08937425641026
8.5,6.7,19.3,221.5,1794,0.478987974358975
1.6,0.5,50.5,203.4,1794,0.528053435897436
0.0,0.2,76.8,179.0,1794,0.732406631578947
0.0,0.0,102.0,154.0,1794,1.24142602702703
0.3,0.2,127.8,127.7,1794,2.08937425641026
4.8,4.6,21.4,225.2,1922,0.478987974358975
1.8,0.1,50.9,203.2,1922,0.528053435897436
0.0,0.2,76.8,179.0,1922,0.732406631578947
0.0,0.3,101.7,154.0,1922,1.24142602702703
0.2,0.4,127.6,127.8,1922,2.08937425641026
4.3,3.2,22.8,225.7,2050,0.478987974358975
1.1,0.2,50.8,203.9,2050,0.528053435897436
0.0,0.1,75.9,180.0,2050,0.732406631578947
0.0,0.1,101.9,154.0,2050,1.24142602702703
0.0,0.5,127.5,128.0,2050,2.08937425641026
7.5,7.4,18.6,222.5,2178,0.478987974358975
1.4,0.5,51.5,202.6,2178,0.528053435897436
0.0,0.1,76.9,179.0,2178,0.732406631578947
0.0,0.0,102.0,154.0,2178,1.24142602702703
0.1,0.2,127.8,127.9,2178,2.08937425641026
