FN,FP,TN,TP,sr,t
0.0,2.0,0.0,16.0,11,3161
5.7,0.7,3.3,8.3,11,3268
3.0,0.0,6.0,9.0,11,3451
2.8,0.7,6.3,8.2,11,4894
0.0,0.1,8.9,9.0,11,5186
4.2,0.6,10.4,2.8,11,5295
5.0,0.0,13.0,0.0,11,5361
4.0,0.0,14.0,0.0,11,5499
2.0,0.0,16.0,0.0,11,14744
1.2,1.7,0.3,14.8,20,3161
2.7,0.4,3.6,11.3,20,3268
1.4,1.8,4.2,10.6,20,3451
1.5,0.3,6.7,9.5,20,4894
0.0,0.2,8.8,9.0,20,5186
1.7,1.0,10.0,5.3,20,5295
1.1,1.5,11.5,3.9,20,5361
2.3,0.7,14.3,0.7,20,5499
2.0,0.0,16.0,0.0,20,14744
3.0,0.7,1.3,13.0,29,3161
1.6,1.3,2.7,12.4,29,3268
0.0,0.0,6.0,12.0,29,3451
0.4,0.5,6.5,10.6,29,4894
0.0,0.0,9.0,9.0,29,5186
1.9,0.5,10.5,5.1,29,5295
0.3,0.8,12.2,4.7,29,5361
1.0,0.0,14.0,3.0,29,5499
0.3,1.1,14.9,1.7,29,14744
1.5,1.3,0.7,14.5,38,3161
1.7,0.9,3.1,12.3,38,3268
1.0,0.0,5.0,12.0,38,3451
1.5,0.3,6.7,9.5,38,4894
0.0,0.0,9.0,9.0,38,5186
1.2,0.1,10.9,5.8,38,5295
0.0,0.7,12.3,5.0,38,5361
1.0,0.0,14.0,3.0,38,5499
2.0,0.0,16.0,0.0,38,14744
1.4,0.9,1.1,14.6,47,3161
0.8,0.7,3.3,13.2,47,3268
0.0,0.0,6.0,12.0,47,3451
1.0,0.1,6.9,10.0,47,4894
0.0,0.0,9.0,9.0,47,5186
0.4,0.3,10.7,6.6,47,5295
0.2,0.2,12.8,4.8,47,5361
1.0,0.0,14.0,3.0,47,5499
0.5,0.7,15.3,1.5,47,14744
1.3,1.6,0.4,14.7,56,3161
1.3,0.9,3.1,12.7,56,3268
0.0,0.0,6.0,12.0,56,3451
1.0,0.1,6.9,10.0,56,4894
0.0,0.1,8.9,9.0,56,5186
0.4,0.6,10.4,6.6,56,5295
