FN,FP,MSE,TN,TP,sr,t
0.0,2.0,1824628.5472222224,0.0,16.0,2,3161
0.0,4.0,3724533.6138888886,0.0,14.0,2,3268
0.0,5.0,2593834.2472222224,0.0,13.0,2,3451
5.5,3.5,2722098.7805555556,3.5,5.5,2,4894
8.1,0.9,2407581.6277777776,8.1,0.9,2,5186
4.9,3.3,2013091.1361111111,7.7,2.1,2,5295
1.0,10.4,1342249.302777778,2.6,4.0,2,5361
4.0,0.0,2094342.3722222224,14.0,0.0,2,5499
2.0,0.0,2318482.425,16.0,0.0,2,14744
0.0,2.0,2949428.6708333334,0.0,16.0,11,3161
0.5,3.6,1386857.0291666666,0.4,13.5,11,3268
1.8,3.1,1280711.2055555556,2.9,10.2,11,3451
1.9,0.0,2191013.359722222,7.0,9.1,11,4894
0.5,0.5,1676964.5291666666,8.5,8.5,11,5186
0.5,2.2,2444731.8291666666,8.8,6.5,11,5295
1.7,2.7,1422516.4333333333,10.3,3.3,11,5361
3.5,1.2,3362024.4888888886,12.8,0.5,11,5499
2.0,0.0,2743740.525,16.0,0.0,11,14744
0.0,2.0,509790.1861111111,0.0,16.0,20,3161
1.8,0.9,1433453.5055555557,3.1,12.2,20,3268
0.5,0.6,1984887.8152777776,5.4,11.5,20,3451
0.8,0.8,510282.4,6.2,10.2,20,4894
0.4,1.5,1590042.8861111111,7.5,8.6,20,5186
0.3,2.6,519874.2847222222,8.4,6.7,20,5295
1.5,3.9,1106316.1388888888,9.1,3.5,20,5361
0.7,3.0,1074708.8819444445,12.0,2.3,20,5499
1.8,0.4,2689276.6333333333,15.6,0.2,20,14744
0.8,1.8,15633.509722222221,0.2,15.2,29,3161
1.5,1.5,2219860.2944444446,2.5,12.5,29,3268
0.6,0.0,3121678.172222222,5.0,12.4,29,3451
0.6,0.7,537983.0055555556,6.3,10.4,29,4894
0.0,0.5,1510336.509722222,8.5,9.0,29,5186
0.8,2.0,1528.3013888888888,9.0,6.2,29,5295
1.4,1.7,1489572.6763888889,11.3,3.6,29,5361
0.6,0.9,16261.790277777778,14.1,2.4,29,5499
0.4,1.7,19002.88611111111,14.3,1.6,29,14744
0.8,1.8,18530.74027777778,0.2,15.2,38,3161
1.3,0.3,35713.847222222226,3.7,12.7,38,3268
0.5,0.1,51234.8,4.9,12.5,38,3451
0.5,0.7,16580.955555555556,6.3,10.5,38,4894
0.0,0.4,3011628.7416666667,8.6,9.0,38,5186
1.1,0.7,15470.183333333334,10.3,5.9,38,5295
0.9,0.3,16845.119444444445,12.7,4.1,38,5361
0.2,0.0,51042.14027777778,14.0,3.8,38,5499
0.2,1.5,31105.1,14.5,1.8,38,14744
1.9,1.2,22355.348611111112,0.8,14.1,47,3161
2.0,0.5,1144.2222222222222,3.5,12.0,47,3268
0.7,0.0,921.2416666666666,6.0,11.3,47,3451
0.6,0.3,16708.847222222223,6.7,10.4,47,4894
0.0,0.2,1048.9333333333334,8.8,9.0,47,5186
0.5,0.5,46043.59305555555,10.5,6.5,47,5295
0.4,0.0,34153.72916666667,13.0,4.6,47,5361
0.4,0.5,24557.577777777777,13.5,3.6,47,5499
0.7,0.4,32844.748611111114,15.6,1.3,47,14744
2.3,1.0,15797.822222222221,1.0,13.7,56,3161
1.0,1.3,48813.631944444445,2.7,13.0,56,3268
0.6,0.0,35970.248611111114,6.0,11.4,56,3451
0.6,0.3,1268.9152777777776,6.7,10.4,56,4894
0.0,0.0,35381.08888888889,9.0,9.0,56,5186
0.3,0.4,50018.876388888886,10.6,6.7,56,5295
0.0,0.3,38774.82638888889,12.7,5.0,56,5361
0.7,0.0,1779.9777777777776,15.0,2.3,56,5499
0.7,0.7,2021.3611111111109,15.3,1.3,56,14744
1.5,1.1,3052.8347222222224,0.9,14.5,65,3161
1.3,1.3,14900.452777777778,2.7,12.7,65,3268
0.7,0.0,1150.0944444444444,5.0,12.3,65,3451
0.8,0.2,1540.0555555555554,6.8,10.2,65,4894
0.0,0.1,618.1375,8.9,9.0,65,5186
0.1,0.6,2075.1319444444443,10.4,6.9,65,5295
0.3,0.3,1070.1722222222222,12.7,4.7,65,5361
0.3,0.1,36385.20694444444,14.9,2.7,65,5499
0.6,0.0,828.2138888888888,16.0,1.4,65,14744
0.6,1.3,1336.9944444444445,0.7,15.4,74,3161
1.4,1.4,1035.973611111111,2.6,12.6,74,3268
1.4,0.0,2205.925,5.0,11.6,74,3451
1.0,0.6,785.025,6.4,10.0,74,4894
0.0,0.1,32111.968055555557,8.9,9.0,74,5186
0.1,0.6,15708.901388888888,10.4,6.9,74,5295
0.1,0.2,955.0486111111111,12.8,4.9,74,5361
0.4,0.0,1968.6708333333331,14.0,3.6,74,5499
0.3,0.1,555.3472222222223,15.9,1.7,74,14744
0.6,1.3,1267.975,0.7,15.4,83,3161
1.2,1.1,1103.1472222222224,2.9,12.8,83,3268
0.2,0.3,1200.1916666666666,5.7,11.8,83,3451
0.9,0.1,823.2375,6.9,10.1,83,4894
0.0,0.2,636.9458333333333,8.8,9.0,83,5186
0.2,0.3,1098.4555555555555,10.7,6.8,83,5295
0.1,0.4,1181.1888888888889,12.6,4.9,83,5361
0.4,0.2,809.1416666666667,13.8,3.6,83,5499
0.4,0.3,672.8638888888888,15.7,1.6,83,14744
0.8,1.5,1664.2013888888891,0.5,15.2,92,3161
1.4,1.2,1816.7569444444446,2.8,12.6,92,3268
0.4,0.1,1146.1097222222222,5.9,11.6,92,3451
0.5,0.2,1248.7513888888889,6.8,10.5,92,4894
0.0,0.0,1470.7819444444444,9.0,9.0,92,5186
0.0,0.3,218.90138888888887,10.7,7.0,92,5295
0.1,0.0,1452.3069444444445,13.0,4.9,92,5361
0.2,0.3,1719.7666666666669,14.7,2.8,92,5499
0.4,0.6,1860.725,15.4,1.6,92,14744
1.0,1.4,1596.2319444444445,0.6,15.0,101,3161
1.2,1.4,343.27916666666664,2.6,12.8,101,3268
0.4,0.0,443.78055555555557,5.0,12.6,101,3451
0.3,1.0,1043.9277777777777,6.0,10.7,101,4894
0.0,0.0,868.1611111111112,9.0,9.0,101,5186
0.0,0.4,455.9166666666667,10.6,7.0,101,5295
0.1,0.2,1180.0444444444445,12.8,4.9,101,5361
0.4,0.1,1533.3194444444446,14.9,2.6,101,5499
0.3,0.3,538.9277777777777,15.7,1.7,101,14744
1.2,1.4,1596.1652777777776,0.6,14.8,110,3161
1.6,0.9,1227.4305555555554,3.1,12.4,110,3268
0.7,0.0,696.2888888888889,5.0,12.3,110,3451
0.7,0.0,1401.0208333333335,7.0,10.3,110,4894
0.0,0.0,879.9916666666666,9.0,9.0,110,5186
0.0,0.3,2828.548611111111,10.7,7.0,110,5295
0.1,0.3,605.9666666666667,12.7,4.9,110,5361
0.4,0.2,1191.8916666666667,13.8,3.6,110,5499
0.4,0.1,642.8236111111112,15.9,1.6,110,14744
1.3,1.5,813.8513888888889,0.5,14.7,119,3161
1.6,1.5,918.3736111111111,2.5,12.4,119,3268
0.7,0.1,1030.6263888888889,5.9,11.3,119,3451
0.4,0.3,274.28055555555557,6.7,10.6,119,4894
0.0,0.0,2265.8430555555556,9.0,9.0,119,5186
0.1,0.4,1397.3347222222224,10.6,6.9,119,5295
0.1,0.2,1551.6541666666667,12.8,4.9,119,5361
0.3,0.5,1267.3833333333334,13.5,3.7,119,5499
0.7,0.2,1200.3986111111112,15.8,1.3,119,14744
1.0,1.3,1091.338888888889,0.7,15.0,128,3161
0.9,0.9,1873.5138888888891,3.1,13.1,128,3268
0.5,0.0,1057.5083333333334,6.0,11.5,128,3451
0.1,0.3,666.1555555555556,6.7,10.9,128,4894
0.0,0.0,1122.1958333333334,9.0,9.0,128,5186
0.2,0.2,966.275,10.8,6.8,128,5295
0.2,0.1,1273.1652777777776,12.9,4.8,128,5361
0.2,0.8,313.02638888888885,14.2,2.8,128,5499
