FN,FP,MSE,TN,TP,sr,t
0.0,23.0,1697337.9219114676,0.0,208.0,2,7395.054999999998
0.0,46.0,2057419.0119607802,0.0,185.0,2,8447.814285714283
129.6,13.8,1364831.2505013945,55.2,32.4,2,9560.767142857143
55.6,55.2,1434500.7303205177,36.8,83.4,2,9896.94214285714
57.5,58.0,8927131.59952098,58.0,57.5,2,10259.974999999997
46.0,69.5,1816138.6049992286,69.5,46.0,2,10607.560714285712
41.4,64.8,1620371.7987532904,97.2,27.6,2,10970.621428571429
46.0,0.0,817034.0664270199,185.0,0.0,2,11656.392857142857
23.0,0.0,1763179.4484259877,208.0,0.0,2,13508.696428571431
4.9,16.4,907958.5160271942,6.6,203.1,117,7395.054999999998
14.1,24.4,993877.9098419016,21.6,170.9,117,8447.814285714283
30.2,17.1,387788.9564989821,51.9,131.8,117,9560.767142857143
20.8,22.7,722319.0924680177,69.3,118.2,117,9896.94214285714
21.0,18.7,1058281.3726657715,97.3,94.0,117,10259.974999999997
15.6,17.6,275210.86075542244,121.4,76.4,117,10607.560714285712
14.4,19.1,808760.1855286912,142.9,54.6,117,10970.621428571429
13.0,13.8,805128.6941588948,171.2,33.0,117,11656.392857142857
10.0,11.3,1018199.5798264088,196.7,13.0,117,13508.696428571431
3.4,16.6,576991.3258083331,6.4,204.6,232,7395.054999999998
14.7,19.2,328385.9755380881,26.8,170.3,232,8447.814285714283
26.8,13.8,731456.9911717939,55.2,135.2,232,9560.767142857143
24.3,18.3,729938.4190662247,73.7,114.7,232,9896.94214285714
16.3,17.8,297177.79825700773,98.2,98.7,232,10259.974999999997
13.2,17.0,826834.1341154604,122.0,78.8,232,10607.560714285712
10.9,16.4,682967.8217163731,145.6,58.1,232,10970.621428571429
8.7,13.6,731842.3476798923,171.4,37.3,232,11656.392857142857
7.4,10.7,1297080.5992361722,197.3,15.6,232,13508.696428571431
5.1,17.8,560503.6178129844,5.2,202.9,347,7395.054999999998
10.8,20.8,410294.8012742745,25.2,174.2,347,8447.814285714283
19.5,10.1,413807.4043182227,58.9,142.5,347,9560.767142857143
21.5,13.0,873274.7639383528,79.0,117.5,347,9896.94214285714
21.5,11.8,439256.5481264014,104.2,93.5,347,10259.974999999997
16.3,12.8,802235.515299657,126.2,75.7,347,10607.560714285712
9.4,17.4,927413.8059806495,144.6,59.6,347,10970.621428571429
8.5,8.4,344168.8233230548,176.6,37.5,347,11656.392857142857
6.8,7.4,1048611.665191309,200.6,16.2,347,13508.696428571431
3.8,16.4,918021.0244785601,6.6,204.2,462,7395.054999999998
13.8,19.6,630760.8020760784,26.4,171.2,462,8447.814285714283
25.8,9.9,237839.00005617522,59.1,136.2,462,9560.767142857143
18.6,14.2,406508.5334888762,77.8,120.4,462,9896.94214285714
18.9,14.9,603731.199885645,101.1,96.1,462,10259.974999999997
13.1,10.4,266599.5008821944,128.6,78.9,462,10607.560714285712
11.4,13.4,622660.1306286936,148.6,57.6,462,10970.621428571429
8.3,9.4,570235.8233302331,175.6,37.7,462,11656.392857142857
6.1,5.8,425602.75990474195,202.2,16.9,462,13508.696428571431
2.9,18.4,1150949.7398112188,4.6,205.1,577,7395.054999999998
16.0,13.5,591944.7804877267,32.5,169.0,577,8447.814285714283
22.9,12.3,771910.1678867673,56.7,139.1,577,9560.767142857143
20.7,15.4,269479.21593047254,76.6,118.3,577,9896.94214285714
19.4,20.9,280120.85026389064,95.1,95.6,577,10259.974999999997
15.1,8.7,162747.3510949093,130.3,76.9,577,10607.560714285712
9.6,17.0,269291.11060480255,145.0,59.4,577,10970.621428571429
7.6,10.8,560176.7335565793,174.2,38.4,577,11656.392857142857
5.1,5.6,273643.24681802385,202.4,17.9,577,13508.696428571431
1.5,20.0,201543.75318243596,3.0,206.5,692,7395.054999999998
15.8,19.9,962181.954244804,26.1,169.2,692,8447.814285714283
24.4,8.9,792091.9512790112,60.1,137.6,692,9560.767142857143
14.3,15.6,1397561.7202395913,76.4,124.7,692,9896.94214285714
21.2,17.7,325157.2907777366,98.3,93.8,692,10259.974999999997
15.5,10.6,295318.54623075837,128.4,76.5,692,10607.560714285712
11.4,12.9,404341.0723334111,149.1,57.6,692,10970.621428571429
8.6,7.9,363051.5239530448,177.1,37.4,692,11656.392857142857
6.3,6.1,217839.3915596709,201.9,16.7,692,13508.696428571431
2.4,17.3,884182.1108630209,5.7,205.6,807,7395.054999999998
14.5,16.8,193454.84580179653,29.2,170.5,807,8447.814285714283
22.0,13.3,243567.64297984913,55.7,140.0,807,9560.767142857143
20.3,12.5,366469.13467706146,79.5,118.7,807,9896.94214285714
