FN,FP,TN,TP,sr,t
10.0,10.2,12.8,198.0,117,7395.054999999998
21.0,18.7,27.3,164.0,117,8447.814285714283
18.1,22.0,47.0,143.9,117,9560.767142857143
24.1,21.4,70.6,114.9,117,9896.94214285714
22.0,19.6,95.4,94.0,117,10259.974999999997
19.8,13.2,124.8,73.2,117,10607.560714285712
12.8,10.4,150.6,57.2,117,10970.621428571429
13.9,15.0,170.0,32.1,117,11656.392857142857
15.2,5.5,202.5,7.8,117,13508.696428571431
14.0,9.6,13.4,194.0,232,7395.054999999998
16.9,16.3,29.7,168.1,232,8447.814285714283
15.9,15.5,53.5,146.1,232,9560.767142857143
17.1,18.4,73.6,121.9,232,9896.94214285714
16.2,15.6,99.4,99.8,232,10259.974999999997
11.1,13.3,124.7,81.9,232,10607.560714285712
13.9,7.1,153.9,56.1,232,10970.621428571429
12.7,9.4,175.6,33.3,232,11656.392857142857
8.9,6.8,201.2,14.1,232,13508.696428571431
10.1,8.7,14.3,197.9,347,7395.054999999998
16.3,16.2,29.8,168.7,347,8447.814285714283
13.9,13.0,57.0,147.1,347,9560.767142857143
16.1,14.5,78.5,121.9,347,9896.94214285714
13.7,13.8,101.2,102.3,347,10259.974999999997
12.8,9.5,128.5,80.2,347,10607.560714285712
8.7,5.4,155.6,61.3,347,10970.621428571429
12.0,7.3,177.7,34.0,347,11656.392857142857
9.3,6.2,201.8,13.7,347,13508.696428571431
10.5,7.9,15.1,197.5,462,7395.054999999998
17.6,12.2,33.8,167.4,462,8447.814285714283
12.1,11.1,57.9,149.9,462,9560.767142857143
14.0,12.2,79.8,125.0,462,9896.94214285714
14.1,9.8,105.2,101.9,462,10259.974999999997
9.5,10.2,127.8,83.5,462,10607.560714285712
9.5,5.5,155.5,60.5,462,10970.621428571429
9.4,7.7,177.3,36.6,462,11656.392857142857
7.1,4.5,203.5,15.9,462,13508.696428571431
11.4,7.2,15.8,196.6,577,7395.054999999998
15.7,13.7,32.3,169.3,577,8447.814285714283
12.1,11.1,58.9,148.9,577,9560.767142857143
13.4,11.7,80.3,125.6,577,9896.94214285714
14.0,9.4,105.6,102.0,577,10259.974999999997
10.2,8.7,129.3,82.8,577,10607.560714285712
7.1,4.2,156.8,62.9,577,10970.621428571429
9.2,7.5,177.5,36.8,577,11656.392857142857
7.7,4.7,203.3,15.3,577,13508.696428571431
9.9,7.7,15.3,198.1,692,7395.054999999998
15.4,9.5,36.5,169.6,692,8447.814285714283
13.3,9.5,60.5,147.7,692,9560.767142857143
13.4,10.8,82.2,124.6,692,9896.94214285714
11.3,11.1,103.9,104.7,692,10259.974999999997
11.3,5.7,132.3,81.7,692,10607.560714285712
7.4,4.9,156.1,62.6,692,10970.621428571429
9.4,8.7,176.3,36.6,692,11656.392857142857
8.8,6.0,202.0,14.2,692,13508.696428571431
10.1,8.3,14.7,197.9,807,7395.054999999998
14.6,10.6,35.4,170.4,807,8447.814285714283
10.3,10.7,58.3,151.7,807,9560.767142857143
11.3,11.3,81.7,126.7,807,9896.94214285714
9.1,7.1,107.9,106.9,807,10259.974999999997
9.2,7.8,130.2,83.8,807,10607.560714285712
7.1,3.6,157.4,62.9,807,10970.621428571429
7.0,8.3,176.7,39.0,807,11656.392857142857
6.2,4.4,203.6,16.8,807,13508.696428571431
8.4,7.0,16.0,199.6,922,7395.054999999998
11.3,13.2,32.8,173.7,922,8447.814285714283
10.0,11.3,57.7,152.0,922,9560.767142857143
12.1,10.8,81.2,126.9,922,9896.94214285714
10.9,8.5,106.5,105.1,922,10259.974999999997
8.6,5.6,132.4,84.4,922,10607.560714285712
6.0,4.6,156.4,64.0,922,10970.621428571429
7.6,6.8,178.2,38.4,922,11656.392857142857
5.1,4.1,203.9,17.9,922,13508.696428571431
8.9,6.3,16.7,199.1,1037,7395.054999999998
14.2,9.5,36.5,170.8,1037,8447.814285714283
11.0,9.1,59.9,151.0,1037,9560.767142857143
11.7,11.2,80.8,127.3,1037,9896.94214285714
7.8,9.7,105.3,108.2,1037,10259.974999999997
9.6,5.9,132.1,83.4,1037,10607.560714285712
3.8,4.4,156.6,66.2,1037,10970.621428571429
9.4,6.3,178.7,36.6,1037,11656.392857142857
4.5,4.5,202.5,19.5,1037,13508.696428571431
9.3,7.7,15.3,198.7,1152,7395.054999999998
13.1,8.7,37.3,171.9,1152,8447.814285714283
10.9,9.9,59.8,150.4,1152,9560.767142857143
11.5,9.5,82.7,127.3,1152,9896.94214285714
10.0,6.0,109.0,106.0,1152,10259.974999999997
9.1,5.1,132.9,83.9,1152,10607.560714285712
5.0,3.8,157.2,65.0,1152,10970.621428571429
8.5,6.3,178.7,37.5,1152,11656.392857142857
5.6,4.5,203.5,17.4,1152,13508.696428571431
6.3,9.0,14.0,201.7,1267,7395.054999999998
12.8,8.4,37.6,172.2,1267,8447.814285714283
8.7,10.1,59.9,152.3,1267,9560.767142857143
12.0,9.3,83.7,126.0,1267,9896.94214285714
8.4,7.5,107.5,107.6,1267,10259.974999999997
7.5,6.4,131.6,85.5,1267,10607.560714285712
6.2,3.9,157.1,63.8,1267,10970.621428571429
6.8,6.5,178.5,39.2,1267,11656.392857142857
4.9,4.6,203.4,18.1,1267,13508.696428571431
9.3,7.2,15.8,198.7,1382,7395.054999999998
14.1,11.4,34.6,170.9,1382,8447.814285714283
10.4,10.4,59.6,150.6,1382,9560.767142857143
9.4,8.8,84.2,128.6,1382,9896.94214285714
10.5,8.9,106.1,105.5,1382,10259.974999999997
10.0,5.1,132.9,83.0,1382,10607.560714285712
3.9,4.9,157.1,65.1,1382,10970.621428571429
7.3,7.2,177.8,38.7,1382,11656.392857142857
3.2,4.2,204.8,18.8,1382,13508.696428571431
10.1,6.8,16.2,197.9,1497,7395.054999999998
12.4,8.2,37.8,172.6,1497,8447.814285714283
10.9,9.2,60.8,150.1,1497,9560.767142857143
10.0,10.1,81.9,129.0,1497,9896.94214285714
8.6,8.7,106.3,107.4,1497,10259.974999999997
9.8,5.1,132.9,83.2,1497,10607.560714285712
4.2,3.5,157.5,65.8,1497,10970.621428571429
5.9,7.5,177.5,40.1,1497,11656.392857142857
4.6,4.4,203.6,18.4,1497,13508.696428571431
7.4,6.7,16.3,200.6,1612,7395.054999999998
11.2,9.3,36.7,173.8,1612,8447.814285714283
11.5,7.4,62.6,149.5,1612,9560.767142857143
11.2,10.2,81.8,127.8,1612,9896.94214285714
8.1,7.6,107.4,107.9,1612,10259.974999999997
7.1,3.7,134.3,85.9,1612,10607.560714285712
4.1,3.0,159.0,64.9,1612,10970.621428571429
7.2,6.0,179.0,38.8,1612,11656.392857142857
4.7,3.4,204.6,18.3,1612,13508.696428571431
6.3,8.2,14.8,201.7,1727,7395.054999999998
11.3,10.5,35.5,173.7,1727,8447.814285714283
10.7,8.2,61.8,150.3,1727,9560.767142857143
10.4,8.7,84.3,127.6,1727,9896.94214285714
9.6,6.6,108.4,106.4,1727,10259.974999999997
7.8,5.6,132.4,85.2,1727,10607.560714285712
4.0,3.6,157.4,66.0,1727,10970.621428571429
4.7,5.3,179.7,41.3,1727,11656.392857142857
4.3,3.2,205.8,17.7,1727,13508.696428571431
8.6,7.1,15.9,199.4,1842,7395.054999999998
12.8,7.3,38.7,172.2,1842,8447.814285714283
11.2,9.4,59.9,150.5,1842,9560.767142857143
10.6,8.1,83.9,128.4,1842,9896.94214285714
8.0,8.3,107.3,107.4,1842,10259.974999999997
7.5,5.9,132.3,85.3,1842,10607.560714285712
5.3,3.5,157.9,64.3,1842,10970.621428571429
5.1,6.9,178.1,40.9,1842,11656.392857142857
3.3,3.5,204.3,19.9,1842,13508.696428571431
8.5,7.4,15.6,199.5,1957,7395.054999999998
12.4,6.6,39.4,172.6,1957,8447.814285714283
11.6,7.8,61.2,150.4,1957,9560.767142857143
11.0,9.5,82.5,128.0,1957,9896.94214285714
8.5,6.5,108.5,107.5,1957,10259.974999999997
8.1,5.2,132.8,84.9,1957,10607.560714285712
4.1,3.0,159.0,64.9,1957,10970.621428571429
4.2,6.9,177.1,42.8,1957,11656.392857142857
4.2,4.8,203.2,18.8,1957,13508.696428571431
8.0,6.7,16.3,200.0,2072,7395.054999999998
13.1,7.1,38.9,171.9,2072,8447.814285714283
12.0,8.0,62.0,149.0,2072,9560.767142857143
9.6,8.4,84.6,128.4,2072,9896.94214285714
7.5,6.3,109.7,107.5,2072,10259.974999999997
7.8,4.7,133.3,85.2,2072,10607.560714285712
3.0,4.4,157.6,66.0,2072,10970.621428571429
4.4,8.6,175.4,42.6,2072,11656.392857142857
3.4,5.5,201.5,20.6,2072,13508.696428571431
