FN,FP,TN,TP,sr,t
0.0,23.0,0.0,208.0,2,7395.054999999998
0.0,46.0,0.0,185.0,2,8447.814285714283
162.0,0.0,69.0,0.0,2,9560.767142857143
139.0,0.0,92.0,0.0,2,9896.94214285714
115.0,0.0,116.0,0.0,2,10259.974999999997
92.0,0.0,139.0,0.0,2,10607.560714285712
69.0,0.0,162.0,0.0,2,10970.621428571429
46.0,0.0,185.0,0.0,2,11656.392857142857
23.0,0.0,208.0,0.0,2,13508.696428571431
13.9,11.2,11.8,194.1,117,7395.054999999998
21.3,19.1,26.9,163.7,117,8447.814285714283
21.3,19.6,49.4,140.7,117,9560.767142857143
19.5,25.8,66.2,119.5,117,9896.94214285714
23.0,19.1,96.9,92.0,117,10259.974999999997
23.5,13.5,125.5,68.5,117,10607.560714285712
15.9,13.2,148.8,53.1,117,10970.621428571429
14.7,11.3,173.7,31.3,117,11656.392857142857
11.4,7.6,200.4,11.6,117,13508.696428571431
13.1,9.5,13.5,194.9,232,7395.054999999998
15.9,15.8,30.2,169.1,232,8447.814285714283
17.6,12.2,56.8,144.4,232,9560.767142857143
15.7,16.9,75.1,123.3,232,9896.94214285714
16.5,17.3,98.7,98.5,232,10259.974999999997
15.5,12.2,126.8,76.5,232,10607.560714285712
9.6,11.3,150.7,59.4,232,10970.621428571429
15.7,11.6,173.4,30.3,232,11656.392857142857
10.1,7.4,200.6,12.9,232,13508.696428571431
9.8,6.8,16.2,198.2,347,7395.054999999998
13.2,16.6,29.4,171.8,347,8447.814285714283
15.2,13.1,55.9,146.8,347,9560.767142857143
18.3,15.2,76.8,120.7,347,9896.94214285714
16.8,14.4,101.6,98.2,347,10259.974999999997
11.3,12.5,126.5,80.7,347,10607.560714285712
9.2,7.8,154.2,59.8,347,10970.621428571429
12.4,8.8,176.2,33.6,347,11656.392857142857
9.7,5.7,202.3,13.3,347,13508.696428571431
10.6,7.2,15.8,197.4,462,7395.054999999998
11.8,12.9,33.1,173.2,462,8447.814285714283
