FN,FP,TN,TP,sr,t
0.0,135.0,0.0,1214.0,2,22.464000000000002
0.0,270.0,0.0,1079.0,2,23.397
944.0,0.0,405.0,0.0,2,24.643
809.0,0.0,540.0,0.0,2,27.068
674.0,0.0,675.0,0.0,2,30.396
539.0,0.0,810.0,0.0,2,33.649
405.0,0.0,944.0,0.0,2,39.013000000000005
270.0,0.0,1079.0,0.0,2,45.168
135.0,0.0,1214.0,0.0,2,58.173
51.8,34.3,100.7,1162.2,676,22.464000000000002
72.0,49.3,220.7,1007.0,676,23.397
62.4,47.5,357.5,881.6,676,24.643
70.8,53.2,486.8,738.2,676,27.068
84.1,44.5,630.5,589.9,676,30.396
66.1,48.0,761.0,473.9,676,33.649
58.8,48.0,896.0,346.2,676,39.013000000000005
79.7,51.4,1027.6,190.3,676,45.168
31.8,19.4,1194.6,103.2,676,58.173
40.1,32.2,102.8,1173.9,1350,22.464000000000002
50.3,40.8,229.2,1028.7,1350,23.397
37.3,28.6,376.4,906.7,1350,24.643
35.0,34.2,505.8,774.0,1350,27.068
49.9,34.7,640.3,624.1,1350,30.396
41.5,30.9,779.1,497.5,1350,33.649
36.6,21.0,923.0,368.4,1350,39.013000000000005
50.8,44.4,1034.6,219.2,1350,45.168
18.1,11.2,1202.8,116.9,1350,58.173
34.6,26.0,109.0,1179.4,2024,22.464000000000002
45.6,34.4,235.6,1033.4,2024,23.397
29.5,25.2,379.8,914.5,2024,24.643
28.1,29.3,510.7,780.9,2024,27.068
39.9,31.2,643.8,634.1,2024,30.396
38.7,23.5,785.5,501.3,2024,33.649
27.4,19.5,924.5,377.6,2024,39.013000000000005
43.4,27.4,1051.6,226.6,2024,45.168
15.0,6.3,1207.7,120.0,2024,58.173
34.2,23.1,111.9,1179.8,2698,22.464000000000002
39.3,29.5,240.5,1039.7,2698,23.397
30.2,19.8,385.2,913.8,2698,24.643
27.6,23.7,516.3,781.4,2698,27.068
43.6,33.6,641.4,630.4,2698,30.396
32.6,22.1,787.9,506.4,2698,33.649
25.9,19.6,924.4,379.1,2698,39.013000000000005
42.1,25.7,1053.3,227.9,2698,45.168
13.2,7.3,1206.7,121.8,2698,58.173
35.9,19.8,115.2,1178.1,3372,22.464000000000002
36.3,23.1,246.9,1042.7,3372,23.397
21.2,21.3,383.7,922.8,3372,24.643
27.6,24.9,515.1,781.4,3372,27.068
42.8,28.8,646.2,631.2,3372,30.396
29.3,22.0,788.0,509.7,3372,33.649
20.1,24.5,919.5,384.9,3372,39.013000000000005
42.2,24.4,1054.6,227.8,3372,45.168
9.2,4.7,1209.3,125.8,3372,58.173
32.6,18.8,116.2,1181.4,4046,22.464000000000002
39.5,24.3,245.7,1039.5,4046,23.397
20.4,22.2,382.8,923.6,4046,24.643
23.4,25.5,514.5,785.6,4046,27.068
41.2,26.1,648.9,632.8,4046,30.396
30.3,26.1,782.9,509.7,4046,33.649
21.6,14.0,930.0,383.4,4046,39.013000000000005
38.7,24.3,1054.7,231.3,4046,45.168
9.0,5.2,1208.8,126.0,4046,58.173
31.0,18.7,116.3,1183.0,4720,22.464000000000002
42.9,23.5,246.5,1036.1,4720,23.397
21.7,19.2,385.8,922.3,4720,24.643
23.0,23.4,516.6,786.0,4720,27.068
46.4,27.4,647.6,627.6,4720,30.396
27.9,21.5,788.5,511.1,4720,33.649
19.8,13.9,930.1,385.2,4720,39.013000000000005
30.2,29.5,1049.5,239.8,4720,45.168
11.5,3.7,1210.3,123.5,4720,58.173
38.2,10.5,124.5,1175.8,5394,22.464000000000002
34.4,22.9,247.1,1044.6,5394,23.397
19.4,18.9,386.1,924.6,5394,24.643
