FN,FP,TN,TP,sr,t
28.1,64.6,70.4,1185.9,676,22.464000000000002
90.3,45.6,224.4,988.7,676,23.397
88.4,48.5,356.5,855.6,676,24.643
100.1,45.6,494.4,708.9,676,27.068
115.4,51.8,623.2,558.6,676,30.396
76.9,72.4,736.6,463.1,676,33.649
106.8,102.6,841.4,298.2,676,39.013000000000005
132.1,72.3,1007.7,136.9,676,45.168
76.4,37.8,1176.2,58.6,676,58.173
22.9,72.9,62.1,1191.1,1350,22.464000000000002
107.5,21.8,248.2,971.5,1350,23.397
65.8,43.7,361.3,878.2,1350,24.643
60.7,35.9,504.1,748.3,1350,27.068
68.4,46.5,628.5,605.6,1350,30.396
55.1,47.6,761.4,484.9,1350,33.649
88.4,60.9,883.1,316.6,1350,39.013000000000005
112.9,47.0,1033.0,156.1,1350,45.168
53.3,19.3,1194.7,81.7,1350,58.173
16.4,77.9,57.1,1197.6,2024,22.464000000000002
96.9,22.3,247.7,982.1,2024,23.397
63.3,40.4,364.6,880.7,2024,24.643
64.7,29.8,510.2,744.3,2024,27.068
68.0,30.2,644.8,606.0,2024,30.396
48.8,47.3,761.7,491.2,2024,33.649
66.9,60.0,884.0,338.1,2024,39.013000000000005
98.3,32.0,1048.0,170.7,2024,45.168
37.2,16.5,1197.5,97.8,2024,58.173
16.6,65.2,69.8,1197.4,2698,22.464000000000002
99.6,20.2,249.8,979.4,2698,23.397
63.5,33.4,371.6,880.5,2698,24.643
53.9,27.0,513.0,755.1,2698,27.068
56.6,25.6,649.4,617.4,2698,30.396
40.2,42.6,766.4,499.8,2698,33.649
79.3,37.0,907.0,325.7,2698,39.013000000000005
105.2,29.8,1050.2,163.8,2698,45.168
28.4,13.1,1200.9,106.6,2698,58.173
19.5,56.8,78.2,1194.5,3372,22.464000000000002
100.4,23.2,246.8,978.6,3372,23.397
59.8,31.6,373.4,884.2,3372,24.643
46.9,23.3,516.7,762.1,3372,27.068
61.0,24.7,650.3,613.0,3372,30.396
47.3,33.6,775.4,492.7,3372,33.649
50.5,64.8,879.2,354.5,3372,39.013000000000005
93.2,40.9,1039.1,175.8,3372,45.168
16.0,28.3,1185.7,119.0,3372,58.173
17.2,65.3,69.7,1196.8,4046,22.464000000000002
95.6,19.0,251.0,983.4,4046,23.397
48.9,38.7,366.3,895.1,4046,24.643
49.8,27.1,512.9,759.2,4046,27.068
56.9,23.3,651.7,617.1,4046,30.396
31.6,46.9,762.1,508.4,4046,33.649
69.5,45.2,898.8,335.5,4046,39.013000000000005
84.2,52.6,1027.4,184.8,4046,45.168
25.2,14.3,1199.7,109.8,4046,58.173
12.9,76.7,58.3,1201.1,4720,22.464000000000002
99.0,18.0,252.0,980.0,4720,23.397
53.0,43.3,361.7,891.0,4720,24.643
52.9,19.9,520.1,756.1,4720,27.068
59.1,20.0,655.0,614.9,4720,30.396
46.1,39.1,769.9,493.9,4720,33.649
89.3,25.3,918.7,315.7,4720,39.013000000000005
90.3,32.7,1047.3,178.7,4720,45.168
31.4,11.2,1202.8,103.6,4720,58.173
