FN,FP,MSE,TN,TP,sr,t
0.0,135.0,102.74786939911041,0.0,1214.0,2,22.464000000000002
0.0,270.0,37.951117557690885,0.0,1079.0,2,23.397
94.4,364.5,28.6020391544848,40.5,849.6,2,24.643
80.9,486.0,29.558892199203115,54.0,728.1,2,27.068
134.8,540.0,28.9043554040771,135.0,539.2,2,30.396
107.8,648.0,40.01203531326907,162.0,431.2,2,33.649
202.5,472.0,58.583160165604134,472.0,202.5,2,39.013000000000005
270.0,0.0,40.92504138215344,1079.0,0.0,2,45.168
135.0,0.0,24.56995232075611,1214.0,0.0,2,58.173
46.2,54.0,12.36025182853966,81.0,1167.8,676,22.464000000000002
61.1,78.7,8.058309324462565,191.3,1017.9,676,23.397
63.8,76.5,9.279963773054115,328.5,880.2,676,24.643
94.1,94.0,9.809603504614529,446.0,714.9,676,27.068
95.5,90.5,9.341943935804299,584.5,578.5,676,30.396
84.2,84.5,11.326381426501111,724.5,455.8,676,33.649
71.5,112.6,9.287761201704967,831.4,333.5,676,39.013000000000005
95.7,93.9,9.230360625129725,985.1,174.3,676,45.168
86.3,43.0,9.26755191152706,1171.0,48.7,676,58.173
48.2,46.1,6.469961188973313,88.9,1165.8,1350,22.464000000000002
59.1,53.6,6.787869112361008,216.4,1019.9,1350,23.397
43.9,68.9,8.12153708565604,336.1,900.1,1350,24.643
102.4,71.7,5.726798496701262,468.3,706.6,1350,27.068
102.0,53.9,8.933795658765751,621.1,572.0,1350,30.396
60.0,54.6,6.60821676221275,755.4,479.0,1350,33.649
62.9,73.8,7.003154571590068,870.2,342.1,1350,39.013000000000005
66.9,78.5,8.942006171219422,1000.5,203.1,1350,45.168
64.6,47.6,6.141106222961453,1166.4,70.4,1350,58.173
4.1,106.1,5.639301190808006,28.9,1209.9,2024,22.464000000000002
84.4,29.8,4.217384642123795,240.2,994.6,2024,23.397
59.6,62.2,4.861363525259452,342.8,884.4,2024,24.643
84.0,55.0,4.5886122906412155,485.0,725.0,2024,27.068
94.3,40.7,5.243264751853223,634.3,579.7,2024,30.396
58.6,48.0,4.454578821460341,761.0,481.4,2024,33.649
56.3,55.5,4.378198396775389,888.5,348.7,2024,39.013000000000005
68.5,44.6,5.875140529521868,1034.4,201.5,2024,45.168
46.3,31.6,4.605689973257968,1182.4,88.7,2024,58.173
0.3,130.7,4.881673468902892,4.3,1213.7,2698,22.464000000000002
108.8,23.2,4.251474729058562,246.8,970.2,2698,23.397
75.9,37.1,4.246934706578947,367.9,868.1,2698,24.643
70.7,62.9,3.044140474814678,477.1,738.3,2698,27.068
90.2,36.8,3.7225312280578207,638.2,583.8,2698,30.396
52.3,44.5,5.015686669699777,765.5,486.7,2698,33.649
48.7,50.8,3.8517920351742037,893.2,356.3,2698,39.013000000000005
65.2,38.3,3.685903821015567,1040.7,204.8,2698,45.168
33.0,29.8,3.420247808710156,1184.2,102.0,2698,58.173
0.0,135.0,3.5326146788732395,0.0,1214.0,3372,22.464000000000002
115.0,16.3,2.7316296009266123,253.7,964.0,3372,23.397
79.2,40.4,3.059231107765011,364.6,864.8,3372,24.643
76.9,68.7,2.2652385745181616,471.3,732.1,3372,27.068
84.8,40.8,3.788737346163825,634.2,589.2,3372,30.396
54.6,41.8,2.389534413547072,768.2,484.4,3372,33.649
41.5,49.9,3.0591742428280204,894.1,363.5,3372,39.013000000000005
54.7,41.8,2.5357988060600443,1037.2,215.3,3372,45.168
27.7,24.0,3.780301463954781,1190.0,107.3,3372,58.173
0.0,135.0,3.0879578025018537,0.0,1214.0,4046,22.464000000000002
107.2,20.1,2.2184789246108227,249.9,971.8,4046,23.397
68.2,52.8,2.1470259323387695,352.2,875.8,4046,24.643
76.1,62.8,2.5047672222572275,477.2,732.9,4046,27.068
91.7,34.0,2.4329329061156417,641.0,582.3,4046,30.396
58.6,37.0,2.549037974555226,772.0,481.4,4046,33.649
36.2,50.4,2.1698277609896217,893.6,368.8,4046,39.013000000000005
59.2,31.7,2.286702285748703,1047.3,210.8,4046,45.168
26.6,16.9,2.787700376612305,1197.1,108.4,4046,58.173
0.0,135.0,2.6333605506115645,0.0,1214.0,4720,22.464000000000002
109.9,19.9,1.9089923266123054,250.1,969.1,4720,23.397
59.7,69.5,3.8753394199406968,335.5,884.3,4720,24.643
79.3,59.4,3.450296467753892,480.6,729.7,4720,27.068
84.3,39.8,2.8658273685137137,635.2,589.7,4720,30.396
53.4,44.2,3.192650588991846,765.8,485.6,4720,33.649
39.4,48.0,2.4025641073573016,896.0,365.6,4720,39.013000000000005
48.0,53.2,1.972874573943662,1025.8,222.0,4720,45.168
25.1,15.0,3.3438115707746476,1199.0,109.9,4720,58.173
0.0,135.0,2.1574641826908825,0.0,1214.0,5394,22.464000000000002
117.0,16.4,1.806979144217939,253.6,962.0,5394,23.397
50.9,76.0,2.796941913398814,329.0,893.1,5394,24.643
86.7,59.7,3.6281806736656783,480.3,722.3,5394,27.068
