FN,FP,TN,TP,sr,t
0.0,7.0,0.0,249.0,2,0.38149656410256394
0.0,13.0,0.0,243.0,2,0.430814923076923
0.0,19.0,0.0,237.0,2,0.4619041025641029
0.0,26.0,0.0,230.0,2,0.478987974358975
0.0,32.0,0.0,224.0,2,0.5058564358974361
0.0,39.0,0.0,217.0,2,0.514777717948718
0.0,45.0,0.0,211.0,2,0.5204095384615379
0.0,51.0,0.0,205.0,2,0.528053435897436
0.0,58.0,0.0,198.0,2,0.566343743589744
96.7,22.6,41.4,95.3,2,0.6127008205128199
78.1,28.5,41.5,107.9,2,0.637905282051282
95.8,25.3,51.7,83.2,2,0.732406631578947
82.3,42.8,40.2,90.7,2,0.7536931794871801
63.3,41.0,49.0,102.7,2,0.908881051282052
60.0,43.2,52.8,100.0,2,0.925648461538462
58.2,64.3,37.7,95.8,2,1.24142602702703
50.1,50.3,58.7,96.9,2,1.26169766666667
77.2,56.4,58.6,63.8,2,2.01560021052632
66.4,61.2,60.8,67.6,2,2.05687823076923
63.9,61.1,66.9,64.1,2,2.08937425641026
58.1,50.9,84.1,62.9,2,2.15586665
49.2,58.3,82.7,65.8,2,3.1989695384615398
58.5,48.9,98.1,50.5,2,3.25657023076923
42.4,64.3,89.7,59.6,2,5.81297530769231
54.4,63.2,96.8,41.6,2,5.84338264102564
31.8,99.3,67.7,57.2,2,6.48749235897436
44.5,71.4,101.6,38.5,2,6.5250941025641
33.1,91.5,87.5,43.9,2,10.6980868974359
39.4,74.6,111.4,30.6,2,10.7357454871795
64.0,0.0,192.0,0.0,2,10.8896856153846
58.0,0.0,198.0,0.0,2,10.9212218421053
51.0,0.0,205.0,0.0,2,19.898601564102602
45.0,0.0,211.0,0.0,2,19.9770086666667
38.0,0.0,218.0,0.0,2,21.174593277777802
32.0,0.0,224.0,0.0,2,21.2547994864865
26.0,0.0,230.0,0.0,2,37.5557710769231
19.0,0.0,237.0,0.0,2,37.7354408461539
13.0,0.0,243.0,0.0,2,38.7889927567568
6.0,0.0,250.0,0.0,2,38.9492308421053
10.8,4.3,1.7,239.2,27,0.38149656410256394
13.8,3.8,9.2,229.2,27,0.430814923076923
16.0,11.7,7.3,221.0,27,0.4619041025641029
19.2,13.0,13.0,210.8,27,0.478987974358975
20.5,19.1,12.9,203.5,27,0.5058564358974361
25.9,17.3,21.7,191.1,27,0.514777717948718
29.2,16.4,28.6,181.8,27,0.5204095384615379
29.2,22.7,28.3,175.8,27,0.528053435897436
18.3,17.0,41.0,179.7,27,0.566343743589744
12.6,13.5,50.5,179.4,27,0.6127008205128199
12.2,14.4,56.6,172.8,27,0.637905282051282
12.3,15.5,61.5,166.7,27,0.732406631578947
13.2,13.7,69.3,159.8,27,0.7536931794871801
15.5,7.6,82.4,150.5,27,0.908881051282052
14.2,16.4,79.6,145.8,27,0.925648461538462
14.2,15.6,86.4,139.8,27,1.24142602702703
14.0,14.5,94.5,133.0,27,1.26169766666667
5.3,4.0,111.0,135.7,27,2.01560021052632
7.3,11.3,110.7,126.7,27,2.05687823076923
10.2,12.0,116.0,117.8,27,2.08937425641026
8.2,14.8,120.2,112.8,27,2.15586665
9.1,3.2,137.8,105.9,27,3.1989695384615398
7.7,9.6,137.4,101.3,27,3.25657023076923
0.0,0.1,153.9,102.0,27,5.81297530769231
6.8,3.6,156.4,89.2,27,5.84338264102564
12.6,8.6,157.4,77.4,27,6.48749235897436
3.6,11.6,161.4,79.4,27,6.5250941025641
0.0,6.0,173.0,77.0,27,10.6980868974359
14.5,12.6,173.4,55.5,27,10.7357454871795
15.6,21.4,170.6,48.4,27,10.8896856153846
10.8,22.3,175.7,47.2,27,10.9212218421053
11.2,17.2,187.8,39.8,27,19.898601564102602
13.6,13.0,198.0,31.4,27,19.9770086666667
10.6,19.8,198.2,27.4,27,21.174593277777802
9.3,14.5,209.5,22.7,27,21.2547994864865
1.1,5.0,226.0,23.9,27,37.5557710769231
7.4,10.8,226.2,11.6,27,37.7354408461539
6.6,13.8,229.2,6.4,27,38.7889927567568
2.6,12.7,237.3,3.4,27,38.9492308421053
8.8,5.0,2.0,240.2,52,0.38149656410256394
5.7,2.9,10.1,237.3,52,0.430814923076923
12.5,4.6,14.4,224.5,52,0.4619041025641029
14.8,13.4,12.6,215.2,52,0.478987974358975
14.5,12.6,19.4,209.5,52,0.5058564358974361
19.2,15.4,22.6,198.8,52,0.514777717948718
14.4,15.2,29.8,196.6,52,0.5204095384615379
15.3,18.8,32.2,189.7,52,0.528053435897436
8.7,11.2,46.8,189.3,52,0.566343743589744
4.5,5.7,58.3,187.5,52,0.6127008205128199
8.8,8.7,62.3,176.2,52,0.637905282051282
4.3,5.7,71.3,174.7,52,0.732406631578947
6.3,11.7,71.3,166.7,52,0.7536931794871801
0.0,1.2,88.8,166.0,52,0.908881051282052
11.5,7.2,88.8,148.5,52,0.925648461538462
5.7,4.4,97.6,148.3,52,1.24142602702703
8.2,6.0,103.0,138.8,52,1.26169766666667
2.7,2.8,112.2,138.3,52,2.01560021052632
7.2,4.4,117.6,126.8,52,2.05687823076923
2.2,6.8,121.2,125.8,52,2.08937425641026
8.8,4.0,131.0,112.2,52,2.15586665
5.5,1.3,139.7,109.5,52,3.1989695384615398
3.1,5.6,141.4,105.9,52,3.25657023076923
0.0,0.1,153.9,102.0,52,5.81297530769231
2.9,3.5,156.5,93.1,52,5.84338264102564
5.4,2.6,163.4,84.6,52,6.48749235897436
5.2,5.4,167.6,77.8,52,6.5250941025641
0.0,0.0,179.0,77.0,52,10.6980868974359
6.1,5.5,180.5,63.9,52,10.7357454871795
7.6,9.8,182.2,56.4,52,10.8896856153846
3.6,5.9,193.1,53.4,52,10.9212218421053
0.0,0.0,205.0,51.0,52,19.898601564102602
3.8,6.0,205.0,41.2,52,19.9770086666667
3.1,3.7,214.3,34.9,52,21.174593277777802
4.5,5.1,218.9,27.5,52,21.2547994864865
1.4,1.5,228.5,24.6,52,37.5557710769231
4.1,8.5,228.5,14.9,52,37.7354408461539
4.3,5.3,237.7,8.7,52,38.7889927567568
3.6,9.1,240.9,2.4,52,38.9492308421053
6.9,2.4,3.6,243.1,77,0.38149656410256394
0.0,0.0,13.0,243.0,77,0.430814923076923
10.8,3.8,15.2,226.2,77,0.4619041025641029
7.3,4.1,21.9,222.7,77,0.478987974358975
13.4,13.1,18.9,210.6,77,0.5058564358974361
13.6,12.0,26.0,204.4,77,0.514777717948718
13.7,11.7,33.3,197.3,77,0.5204095384615379
9.7,11.4,39.6,195.3,77,0.528053435897436
8.5,6.2,51.8,189.5,77,0.566343743589744
1.4,2.3,61.7,190.6,77,0.6127008205128199
4.0,4.6,66.4,181.0,77,0.637905282051282
1.5,1.3,75.7,177.5,77,0.732406631578947
7.0,3.6,79.4,166.0,77,0.7536931794871801
0.8,0.9,89.1,165.2,77,0.908881051282052
6.5,4.7,91.3,153.5,77,0.925648461538462
3.4,1.7,100.3,150.6,77,1.24142602702703
3.5,5.7,103.3,143.5,77,1.26169766666667
3.0,1.6,113.4,138.0,77,2.01560021052632
2.9,4.6,117.4,131.1,77,2.05687823076923
1.1,1.7,126.3,126.9,77,2.08937425641026
4.8,3.3,131.7,116.2,77,2.15586665
0.9,0.7,140.3,114.1,77,3.1989695384615398
2.6,4.0,143.0,106.4,77,3.25657023076923
1.8,0.0,154.0,100.2,77,5.81297530769231
4.5,3.6,156.4,91.5,77,5.84338264102564
1.5,1.3,165.7,87.5,77,6.48749235897436
4.7,2.5,170.5,78.3,77,6.5250941025641
0.0,0.2,178.8,77.0,77,10.6980868974359
5.5,4.3,181.7,64.5,77,10.7357454871795
2.2,2.9,189.1,61.8,77,10.8896856153846
3.3,2.8,195.2,54.7,77,10.9212218421053
1.0,0.1,204.9,50.0,77,19.898601564102602
5.8,3.8,207.2,39.2,77,19.9770086666667
1.6,2.1,215.9,36.4,77,21.174593277777802
5.0,4.4,219.6,27.0,77,21.2547994864865
0.0,0.1,230.9,25.0,77,37.5557710769231
1.1,5.2,231.8,17.9,77,37.7354408461539
2.0,6.0,237.0,11.0,77,38.7889927567568
2.8,7.2,242.8,3.2,77,38.9492308421053
1.2,0.2,5.8,248.8,102,0.38149656410256394
0.0,0.2,12.8,243.0,102,0.430814923076923
3.2,3.2,15.8,233.8,102,0.4619041025641029
1.2,0.8,25.2,228.8,102,0.478987974358975
9.4,9.7,22.3,214.6,102,0.5058564358974361
15.8,14.8,24.2,201.2,102,0.514777717948718
11.9,13.4,31.6,199.1,102,0.5204095384615379
9.5,7.4,43.6,195.5,102,0.528053435897436
10.0,6.3,51.7,188.0,102,0.566343743589744
0.0,0.0,64.0,192.0,102,0.6127008205128199
3.6,2.7,68.3,181.4,102,0.637905282051282
0.4,0.0,77.0,178.6,102,0.732406631578947
3.5,5.3,77.7,169.5,102,0.7536931794871801
0.0,0.1,89.9,166.0,102,0.908881051282052
2.2,3.5,92.5,157.8,102,0.925648461538462
0.0,0.2,101.8,154.0,102,1.24142602702703
3.5,2.8,106.2,143.5,102,1.26169766666667
0.3,0.0,115.0,140.7,102,2.01560021052632
2.7,3.4,118.6,131.3,102,2.05687823076923
0.4,0.5,127.5,127.6,102,2.08937425641026
3.0,5.1,128.9,119.0,102,2.15586665
1.5,0.0,141.0,113.5,102,3.1989695384615398
1.4,1.6,145.4,107.6,102,3.25657023076923
0.0,0.2,153.8,102.0,102,5.81297530769231
2.5,1.5,158.5,93.5,102,5.84338264102564
0.0,0.0,167.0,89.0,102,6.48749235897436
3.7,4.6,168.4,79.3,102,6.5250941025641
0.0,0.2,178.8,77.0,102,10.6980868974359
4.7,2.9,183.1,65.3,102,10.7357454871795
2.5,2.1,189.9,61.5,102,10.8896856153846
2.9,3.7,195.3,54.1,102,10.9212218421053
0.0,0.0,205.0,51.0,102,19.898601564102602
4.5,1.3,209.7,40.5,102,19.9770086666667
0.8,0.5,217.5,37.2,102,21.174593277777802
3.8,3.6,220.4,28.2,102,21.2547994864865
0.0,0.2,229.8,26.0,102,37.5557710769231
1.7,2.7,234.3,17.3,102,37.7354408461539
0.9,0.1,242.9,12.1,102,38.7889927567568
0.6,4.3,245.7,5.4,102,38.9492308421053
2.3,0.9,6.1,246.7,127,0.38149656410256394
1.3,0.6,12.4,241.7,127,0.430814923076923
2.5,2.4,16.6,234.5,127,0.4619041025641029
3.1,3.3,22.7,226.9,127,0.478987974358975
9.4,7.1,24.9,214.6,127,0.5058564358974361
10.6,9.7,29.3,206.4,127,0.514777717948718
10.8,10.1,34.9,200.2,127,0.5204095384615379
8.6,8.3,42.7,196.4,127,0.528053435897436
3.4,5.5,52.5,194.6,127,0.566343743589744
0.4,0.0,64.0,191.6,127,0.6127008205128199
1.3,3.7,66.3,184.7,127,0.637905282051282
0.0,0.0,77.0,179.0,127,0.732406631578947
2.4,2.4,80.6,170.6,127,0.7536931794871801
1.0,0.9,89.1,165.0,127,0.908881051282052
1.7,3.2,92.8,158.3,127,0.925648461538462
0.6,1.1,100.9,153.4,127,1.24142602702703
2.4,1.6,107.4,144.6,127,1.26169766666667
0.0,0.0,115.0,141.0,127,2.01560021052632
4.0,2.3,119.7,130.0,127,2.05687823076923
0.1,1.2,126.8,127.9,127,2.08937425641026
4.7,2.7,131.3,117.3,127,2.15586665
0.0,0.1,140.9,115.0,127,3.1989695384615398
2.7,2.1,144.9,106.3,127,3.25657023076923
0.5,0.0,154.0,101.5,127,5.81297530769231
1.4,2.8,157.2,94.6,127,5.84338264102564
0.7,0.1,165.9,89.3,127,6.48749235897436
2.0,3.9,169.1,81.0,127,6.5250941025641
0.0,0.2,178.8,77.0,127,10.6980868974359
4.8,2.7,183.3,65.2,127,10.7357454871795
0.0,0.2,191.8,64.0,127,10.8896856153846
2.8,3.8,195.2,54.2,127,10.9212218421053
0.1,0.1,204.9,50.9,127,19.898601564102602
5.0,2.7,208.3,40.0,127,19.9770086666667
0.8,0.1,217.9,37.2,127,21.174593277777802
3.5,2.6,221.4,28.5,127,21.2547994864865
0.7,0.2,230.8,24.3,127,37.5557710769231
3.0,1.9,235.1,16.0,127,37.7354408461539
0.3,0.0,243.0,12.7,127,38.7889927567568
1.6,1.9,248.1,4.4,127,38.9492308421053
1.3,0.8,5.2,248.7,152,0.38149656410256394
0.2,0.2,12.8,242.8,152,0.430814923076923
1.1,1.5,17.5,235.9,152,0.4619041025641029
2.2,1.4,24.6,227.8,152,0.478987974358975
10.6,10.7,21.3,213.4,152,0.5058564358974361
10.4,8.9,29.1,207.6,152,0.514777717948718
7.8,9.3,35.7,203.2,152,0.5204095384615379
5.8,6.5,44.5,199.2,152,0.528053435897436
4.6,2.7,55.3,193.4,152,0.566343743589744
0.0,0.2,63.8,192.0,152,0.6127008205128199
1.5,1.5,68.5,184.5,152,0.637905282051282
0.0,0.0,77.0,179.0,152,0.732406631578947
2.9,3.4,79.6,170.1,152,0.7536931794871801
0.1,0.0,90.0,165.9,152,0.908881051282052
3.1,1.8,94.2,156.9,152,0.925648461538462
0.0,0.2,101.8,154.0,152,1.24142602702703
3.1,3.3,105.7,143.9,152,1.26169766666667
0.1,0.1,114.9,140.9,152,2.01560021052632
1.2,2.3,119.7,132.8,152,2.05687823076923
0.7,1.1,126.9,127.3,152,2.08937425641026
2.7,3.7,130.3,119.3,152,2.15586665
0.0,0.3,140.7,115.0,152,3.1989695384615398
1.4,0.7,146.3,107.6,152,3.25657023076923
0.0,0.3,153.7,102.0,152,5.81297530769231
2.9,1.4,158.6,93.1,152,5.84338264102564
0.8,0.0,166.0,89.2,152,6.48749235897436
4.5,2.1,170.9,78.5,152,6.5250941025641
0.1,0.0,179.0,76.9,152,10.6980868974359
3.2,3.5,182.5,66.8,152,10.7357454871795
1.0,2.4,189.6,63.0,152,10.8896856153846
2.8,2.0,196.0,55.2,152,10.9212218421053
0.8,0.1,204.9,50.2,152,19.898601564102602
4.1,3.3,207.7,40.9,152,19.9770086666667
0.3,0.1,217.9,37.7,152,21.174593277777802
4.0,5.8,218.2,28.0,152,21.2547994864865
0.0,0.1,229.9,26.0,152,37.5557710769231
1.6,1.9,235.1,17.4,152,37.7354408461539
0.0,0.2,242.8,13.0,152,38.7889927567568
1.2,2.5,247.5,4.8,152,38.9492308421053
0.3,0.3,6.7,248.7,177,0.38149656410256394
0.0,0.3,12.7,243.0,177,0.430814923076923
1.6,0.9,18.1,235.4,177,0.4619041025641029
0.0,0.3,25.7,230.0,177,0.478987974358975
6.5,5.4,26.6,217.5,177,0.5058564358974361
14.8,8.4,29.6,203.2,177,0.514777717948718
7.9,10.1,34.9,203.1,177,0.5204095384615379
5.1,4.0,47.0,199.9,177,0.528053435897436
1.7,2.2,55.8,196.3,177,0.566343743589744
0.3,0.0,64.0,191.7,177,0.6127008205128199
1.4,2.3,67.7,184.6,177,0.637905282051282
0.0,0.0,77.0,179.0,177,0.732406631578947
1.2,2.0,81.0,171.8,177,0.7536931794871801
0.2,0.1,89.9,165.8,177,0.908881051282052
3.5,2.7,93.3,156.5,177,0.925648461538462
0.0,0.1,101.9,154.0,177,1.24142602702703
2.4,2.2,106.8,144.6,177,1.26169766666667
0.6,0.2,114.8,140.4,177,2.01560021052632
1.4,1.1,120.9,132.6,177,2.05687823076923
0.5,0.4,127.6,127.5,177,2.08937425641026
2.5,3.1,130.9,119.5,177,2.15586665
0.7,0.0,141.0,114.3,177,3.1989695384615398
0.5,0.5,146.5,108.5,177,3.25657023076923
0.0,0.1,153.9,102.0,177,5.81297530769231
1.2,1.8,158.2,94.8,177,5.84338264102564
0.0,0.1,166.9,89.0,177,6.48749235897436
2.4,3.0,170.0,80.6,177,6.5250941025641
0.2,0.0,179.0,76.8,177,10.6980868974359
4.5,3.4,182.6,65.5,177,10.7357454871795
0.0,0.0,192.0,64.0,177,10.8896856153846
2.4,2.5,196.5,54.6,177,10.9212218421053
0.0,0.1,204.9,51.0,177,19.898601564102602
2.8,1.9,209.1,42.2,177,19.9770086666667
0.0,0.0,218.0,38.0,177,21.174593277777802
5.2,2.6,221.4,26.8,177,21.2547994864865
0.2,0.0,231.0,24.8,177,37.5557710769231
1.0,1.0,236.0,18.0,177,37.7354408461539
0.0,0.0,243.0,13.0,177,38.7889927567568
0.9,1.9,248.1,5.1,177,38.9492308421053
0.0,0.2,6.8,249.0,202,0.38149656410256394
0.0,0.0,13.0,243.0,202,0.430814923076923
1.4,0.3,18.7,235.6,202,0.4619041025641029
0.0,0.0,26.0,230.0,202,0.478987974358975
8.2,6.4,25.6,215.8,202,0.5058564358974361
11.6,11.2,27.8,205.4,202,0.514777717948718
6.8,10.0,35.0,204.2,202,0.5204095384615379
3.5,3.9,47.1,201.5,202,0.528053435897436
2.7,2.8,55.2,195.3,202,0.566343743589744
0.3,0.1,63.9,191.7,202,0.6127008205128199
2.5,2.4,67.6,183.5,202,0.637905282051282
0.1,0.1,76.9,178.9,202,0.732406631578947
1.2,2.3,80.7,171.8,202,0.7536931794871801
0.3,0.0,90.0,165.7,202,0.908881051282052
2.4,2.8,93.2,157.6,202,0.925648461538462
0.4,0.0,102.0,153.6,202,1.24142602702703
3.7,2.6,106.4,143.3,202,1.26169766666667
0.2,0.0,115.0,140.8,202,2.01560021052632
0.2,0.4,121.6,133.8,202,2.05687823076923
0.3,0.3,127.7,127.7,202,2.08937425641026
3.0,3.8,131.2,118.0,202,2.15586665
0.0,0.0,141.0,115.0,202,3.1989695384615398
0.4,0.3,146.7,108.6,202,3.25657023076923
0.0,0.3,153.7,102.0,202,5.81297530769231
1.9,2.3,157.7,94.1,202,5.84338264102564
0.4,0.0,167.0,88.6,202,6.48749235897436
2.2,3.3,169.7,80.8,202,6.5250941025641
0.0,0.2,178.8,77.0,202,10.6980868974359
3.7,2.4,183.6,66.3,202,10.7357454871795
0.3,0.3,191.7,63.7,202,10.8896856153846
3.4,2.6,195.4,54.6,202,10.9212218421053
1.6,0.1,204.9,49.4,202,19.898601564102602
3.2,2.1,208.9,41.8,202,19.9770086666667
0.0,0.0,218.0,38.0,202,21.174593277777802
3.3,3.8,220.2,28.7,202,21.2547994864865
0.0,0.0,230.0,26.0,202,37.5557710769231
0.4,0.7,236.3,18.6,202,37.7354408461539
0.2,0.1,242.9,12.8,202,38.7889927567568
1.1,2.6,247.4,4.9,202,38.9492308421053
0.0,0.1,5.9,250.0,227,0.38149656410256394
0.6,0.1,12.9,242.4,227,0.430814923076923
0.2,0.3,18.7,236.8,227,0.4619041025641029
1.1,0.1,25.9,228.9,227,0.478987974358975
4.4,2.7,29.3,219.6,227,0.5058564358974361
8.2,7.3,31.7,208.8,227,0.514777717948718
11.8,9.3,35.7,199.2,227,0.5204095384615379
5.1,5.8,45.2,199.9,227,0.528053435897436
3.4,3.3,54.7,194.6,227,0.566343743589744
0.0,0.2,63.8,192.0,227,0.6127008205128199
1.4,2.9,67.1,184.6,227,0.637905282051282
0.4,0.2,76.8,178.6,227,0.732406631578947
2.1,1.5,81.5,170.9,227,0.7536931794871801
0.0,0.1,89.9,166.0,227,0.908881051282052
2.0,3.0,93.0,158.0,227,0.925648461538462
0.0,0.0,102.0,154.0,227,1.24142602702703
2.5,1.7,107.3,144.5,227,1.26169766666667
0.0,0.0,115.0,141.0,227,2.01560021052632
0.1,0.0,122.0,133.9,227,2.05687823076923
0.2,0.2,127.8,127.8,227,2.08937425641026
3.2,3.2,131.8,117.8,227,2.15586665
0.0,0.0,141.0,115.0,227,3.1989695384615398
0.9,0.5,146.5,108.1,227,3.25657023076923
0.0,0.1,153.9,102.0,227,5.81297530769231
2.2,1.4,158.6,93.8,227,5.84338264102564
0.0,0.1,165.9,90.0,227,6.48749235897436
3.8,2.5,170.5,79.2,227,6.5250941025641
0.0,0.0,179.0,77.0,227,10.6980868974359
3.0,2.5,183.5,67.0,227,10.7357454871795
0.1,0.1,191.9,63.9,227,10.8896856153846
2.3,2.7,196.3,54.7,227,10.9212218421053
0.0,0.0,205.0,51.0,227,19.898601564102602
2.1,3.5,207.5,42.9,227,19.9770086666667
0.6,0.0,218.0,37.4,227,21.174593277777802
4.4,3.3,220.7,27.6,227,21.2547994864865
0.1,0.1,230.9,24.9,227,37.5557710769231
