FN,FP,MSE,TN,TP,sr,t
0.0,35.0,70427.31476400376,0.0,311.0,2,173.891
0.0,69.0,135245.6624475487,0.0,277.0,2,214.959
48.4,83.2,78519.1814675945,20.8,193.6,2,246.171
124.8,55.2,91100.18642838122,82.8,83.2,2,279.184
69.2,103.8,74484.04516538096,69.2,103.8,2,312.586
41.4,145.6,90496.66197667256,62.4,96.6,2,350.175
20.8,193.6,58897.54952943771,48.4,83.2,2,404.142
69.0,0.0,83649.95668619247,277.0,0.0,2,515.107
35.0,0.0,68071.3281093682,311.0,0.0,2,1902.79
0.0,35.0,88815.0663091418,0.0,311.0,36,173.891
3.5,60.0,78471.57766152713,9.0,273.5,36,214.959
22.0,64.3,16785.2480605759,39.7,220.0,36,246.171
33.8,79.5,81977.41199481077,59.5,173.2,36,279.184
31.9,87.9,18580.34268811877,85.1,141.1,36,312.586
43.5,113.6,83780.03145430484,94.4,94.5,36,350.175
36.2,94.1,15456.575094050157,147.9,67.8,36,404.142
29.3,112.6,90890.78081370494,164.4,39.7,36,515.107
30.6,2.5,72422.25691317854,309.5,3.4,36,1902.79
6.3,28.4,16929.551594315217,6.6,304.7,70,173.891
12.6,25.4,23766.662862471294,43.6,264.4,70,214.959
16.6,44.9,15571.92918517009,59.1,225.4,70,246.171
30.1,40.6,16533.03056630861,97.4,177.9,70,279.184
39.6,33.4,21355.38231104714,139.6,133.4,70,312.586
42.3,26.2,16963.555171971668,181.8,95.7,70,350.175
24.0,34.9,19290.398484815116,207.1,80.0,70,404.142
14.9,2.5,17225.03681595082,274.5,54.1,70,515.107
0.0,25.5,17939.033142722383,285.5,35.0,70,1902.79
14.3,9.7,13202.352928955592,25.3,296.7,104,173.891
16.7,19.5,14680.996075944093,49.5,260.3,104,214.959
20.0,33.6,6159.330295603171,70.4,222.0,104,246.171
26.7,37.9,17721.81614466681,100.1,181.3,104,279.184
33.8,31.3,18053.528249066527,141.7,139.2,104,312.586
30.5,32.6,13041.662900431355,175.4,107.5,104,350.175
26.0,17.2,9512.012061265537,224.8,78.0,104,404.142
12.8,3.2,12818.821705563827,273.8,56.2,104,515.107
