FN,FP,TN,TP,sr,t
0.0,35.0,0.0,311.0,2,173.891
0.0,69.0,0.0,277.0,2,214.959
242.0,0.0,104.0,0.0,2,246.171
208.0,0.0,138.0,0.0,2,279.184
173.0,0.0,173.0,0.0,2,312.586
138.0,0.0,208.0,0.0,2,350.175
104.0,0.0,242.0,0.0,2,404.142
69.0,0.0,277.0,0.0,2,515.107
35.0,0.0,311.0,0.0,2,1902.79
3.5,34.1,0.9,307.5,36,173.891
47.1,35.9,33.1,229.9,36,214.959
47.8,40.3,63.7,194.2,36,246.171
49.8,61.8,77.2,157.2,36,279.184
69.2,46.7,126.3,103.8,36,312.586
66.8,44.1,163.9,71.2,36,350.175
63.3,44.3,197.7,40.7,36,404.142
60.4,20.1,256.9,8.6,36,515.107
34.0,0.0,312.0,0.0,36,1902.79
25.2,14.2,20.8,285.8,70,173.891
32.9,24.4,44.6,244.1,70,214.959
38.9,43.0,61.0,203.1,70,246.171
38.7,38.4,99.6,169.3,70,279.184
52.3,30.8,142.2,120.7,70,312.586
45.5,27.5,180.5,92.5,70,350.175
26.7,27.3,214.7,77.3,70,404.142
14.4,2.9,274.1,54.6,70,515.107
14.0,12.5,298.5,21.0,70,1902.79
21.6,13.9,21.1,289.4,104,173.891
26.5,23.6,45.4,250.5,104,214.959
34.9,32.2,71.8,207.1,104,246.171
48.7,36.6,101.4,159.3,104,279.184
32.4,35.9,137.1,140.6,104,312.586
40.6,29.9,178.1,97.4,104,350.175
26.1,15.3,226.7,77.9,104,404.142
13.2,3.0,274.0,55.8,104,515.107
11.1,7.3,303.7,23.9,104,1902.79
13.9,14.8,20.2,297.1,138,173.891
21.2,25.0,44.0,255.8,138,214.959
30.7,30.9,73.1,211.3,138,246.171
42.8,35.3,102.7,165.2,138,279.184
37.0,30.8,142.2,136.0,138,312.586
39.1,18.0,190.0,98.9,138,350.175
30.0,12.4,229.6,74.0,138,404.142
10.5,6.6,270.4,58.5,138,515.107
8.8,9.1,301.9,26.2,138,1902.79
13.8,11.7,23.3,297.2,172,173.891
24.7,21.0,48.0,252.3,172,214.959
33.2,27.6,76.4,208.8,172,246.171
35.9,28.8,109.2,172.1,172,279.184
36.6,24.5,148.5,136.4,172,312.586
28.2,27.7,180.3,109.8,172,350.175
19.8,11.4,230.6,84.2,172,404.142
10.6,3.0,274.0,58.4,172,515.107
6.4,7.9,303.1,28.6,172,1902.79
11.8,13.2,21.8,299.2,206,173.891
18.4,22.1,46.9,258.6,206,214.959
35.2,26.3,77.7,206.8,206,246.171
32.3,24.9,114.1,174.7,206,279.184
31.6,24.2,148.8,141.4,206,312.586
30.1,16.2,191.8,107.9,206,350.175
18.3,13.6,228.4,85.7,206,404.142
9.5,6.5,270.5,59.5,206,515.107
9.2,5.2,306.8,24.8,206,1902.79
12.2,13.9,21.1,298.8,240,173.891
16.4,25.6,43.4,260.6,240,214.959
25.8,25.1,78.9,216.2,240,246.171
26.9,27.5,110.5,181.1,240,279.184
30.4,25.2,147.8,142.6,240,312.586
29.1,17.5,190.5,108.9,240,350.175
17.4,14.4,227.6,86.6,240,404.142
11.3,5.0,272.0,57.7,240,515.107
7.0,6.0,305.0,28.0,240,1902.79
14.6,11.5,23.5,296.4,274,173.891
20.0,21.7,47.3,257.0,274,214.959
27.9,29.2,74.8,214.1,274,246.171
28.3,22.8,115.2,179.7,274,279.184
26.3,22.5,150.5,146.7,274,312.586
26.8,15.7,192.3,111.2,274,350.175
20.0,5.6,236.4,84.0,274,404.142
8.7,4.9,272.1,60.3,274,515.107
6.6,5.9,305.1,28.4,274,1902.79
11.8,13.5,21.5,299.2,308,173.891
20.8,17.0,52.0,256.2,308,214.959
25.6,24.7,79.3,216.4,308,246.171
24.7,22.3,115.7,183.3,308,279.184
26.8,17.7,155.3,146.2,308,312.586
22.2,19.2,188.8,115.8,308,350.175
16.4,9.2,232.8,87.6,308,404.142
9.0,9.5,267.5,60.0,308,515.107
6.1,5.1,305.9,28.9,308,1902.79
9.3,13.6,21.4,301.7,342,173.891
16.2,20.2,48.8,260.8,342,214.959
28.3,21.6,82.4,213.7,342,246.171
23.4,22.7,115.3,184.6,342,279.184
23.6,19.9,153.1,149.4,342,312.586
23.3,15.1,192.9,114.7,342,350.175
16.8,7.0,235.0,87.2,342,404.142
8.1,8.0,269.0,60.9,342,515.107
4.3,5.0,306.0,30.7,342,1902.79
10.9,11.6,23.4,300.1,376,173.891
15.6,19.5,49.5,261.4,376,214.959
29.6,21.5,82.5,212.4,376,246.171
24.4,19.3,119.7,182.6,376,279.184
26.4,16.5,156.5,146.6,376,312.586
21.6,17.0,191.0,116.4,376,350.175
18.6,6.4,235.6,85.4,376,404.142
6.8,4.4,272.6,62.2,376,515.107
3.7,5.1,306.9,30.3,376,1902.79
7.3,11.9,23.1,303.7,410,173.891
17.8,16.5,52.5,259.2,410,214.959
23.9,23.1,80.9,218.1,410,246.171
19.3,18.7,119.3,188.7,410,279.184
26.6,22.4,150.6,146.4,410,312.586
21.9,15.0,193.0,116.1,410,350.175
17.5,7.7,234.3,86.5,410,404.142
5.8,6.7,270.3,63.2,410,515.107
5.5,4.4,306.6,29.5,410,1902.79
7.3,11.3,23.7,303.7,444,173.891
13.4,16.7,52.3,263.6,444,214.959
18.9,20.9,83.1,223.1,444,246.171
20.3,21.3,116.7,187.7,444,279.184
22.9,18.8,154.2,150.1,444,312.586
24.7,14.0,194.0,113.3,444,350.175
15.1,10.6,231.4,88.9,444,404.142
5.1,7.6,269.4,63.9,444,515.107
3.7,5.8,305.2,31.3,444,1902.79
9.2,11.1,23.9,301.8,478,173.891
16.1,16.5,52.5,260.9,478,214.959
27.0,18.2,85.8,215.0,478,246.171
21.7,19.1,118.9,186.3,478,279.184
21.9,19.9,153.1,151.1,478,312.586
19.8,14.9,193.1,118.2,478,350.175
13.8,9.2,232.8,90.2,478,404.142
7.4,7.4,269.6,61.6,478,515.107
3.9,2.8,308.2,31.1,478,1902.79
8.2,9.2,25.8,302.8,512,173.891
14.2,17.5,51.5,262.8,512,214.959
19.2,20.9,83.1,222.8,512,246.171
20.3,20.9,117.1,187.7,512,279.184
20.3,18.2,154.8,152.7,512,312.586
18.8,16.0,192.0,119.2,512,350.175
12.7,9.0,233.0,91.3,512,404.142
4.9,7.0,270.0,64.1,512,515.107
4.5,3.6,307.4,30.5,512,1902.79
8.5,10.0,25.0,302.5,546,173.891
17.3,16.0,53.0,259.7,546,214.959
22.7,17.4,86.6,219.3,546,246.171
23.0,15.8,123.2,184.0,546,279.184
16.5,19.0,154.0,156.5,546,312.586
19.0,15.2,192.8,119.0,546,350.175
13.4,8.1,233.9,90.6,546,404.142
5.5,5.3,271.7,63.5,546,515.107
3.6,3.9,308.1,30.4,546,1902.79
7.0,10.4,24.6,304.0,580,173.891
16.3,18.6,50.4,260.7,580,214.959
18.5,19.3,84.7,223.5,580,246.171
20.1,15.5,122.5,187.9,580,279.184
18.8,19.0,154.0,154.2,580,312.586
19.2,14.4,193.6,118.8,580,350.175
13.4,7.4,234.6,90.6,580,404.142
4.7,6.1,270.9,64.3,580,515.107
3.7,3.9,307.1,31.3,580,1902.79
8.5,9.4,25.6,302.5,614,173.891
16.5,14.6,54.4,260.5,614,214.959
21.1,19.5,84.5,220.9,614,246.171
17.9,18.2,119.8,190.1,614,279.184
18.7,19.4,153.6,154.3,614,312.586
