FN,FP,TN,TP,sr,t
0.0,1687.0,0.0,15011.0,2,490.5
0.0,3370.0,0.0,13328.0,2,555.5
4398.7,2818.8,2213.2,7267.3,2,563.5
4399.3,3701.0,2985.0,5612.7,2,632.5
4894.2,3286.7,5063.3,3453.8,2,772.5
3471.8,4135.0,5888.0,3203.2,2,844.0
2151.4,5656.2,6032.8,2857.6,2,1259.5
3340.0,0.0,13358.0,0.0,2,2388.0
1670.0,0.0,15028.0,0.0,2,4552.0
455.7,136.6,1550.4,14555.3,1671,490.5
112.8,452.6,2917.4,13215.2,1671,555.5
678.2,283.1,4748.9,10987.8,1671,563.5
158.1,404.7,6281.3,9853.9,1671,632.5
509.7,321.6,8028.4,7838.3,1671,772.5
539.3,346.6,9676.4,6135.7,1671,844.0
378.2,304.1,11384.9,4630.8,1671,1259.5
386.1,386.5,12971.5,2953.9,1671,2388.0
295.3,226.0,14802.0,1374.7,1671,4552.0
456.0,81.6,1605.4,14555.0,3340,490.5
111.0,430.0,2940.0,13217.0,3340,555.5
696.2,231.6,4800.4,10969.8,3340,563.5
111.7,390.8,6295.2,9900.3,3340,632.5
601.8,221.4,8128.6,7746.2,3340,772.5
463.9,377.4,9645.6,6211.1,3340,844.0
261.5,421.7,11267.3,4747.5,3340,1259.5
304.5,420.1,12938.9,3034.5,3340,2388.0
288.0,182.0,14846.0,1382.0,3340,4552.0
438.8,87.1,1599.9,14572.2,5009,490.5
110.6,433.4,2936.6,13217.4,5009,555.5
692.6,231.0,4801.0,10973.4,5009,563.5
119.2,373.9,6312.1,9892.8,5009,632.5
542.3,220.3,8129.7,7805.7,5009,772.5
453.1,353.8,9669.2,6221.9,5009,844.0
275.6,360.9,11328.1,4733.4,5009,1259.5
299.4,352.0,13007.0,3039.6,5009,2388.0
335.6,141.7,14886.3,1334.4,5009,4552.0
426.9,94.6,1592.4,14584.1,6678,490.5
109.3,420.6,2949.4,13218.7,6678,555.5
685.1,243.6,4788.4,10980.9,6678,563.5
116.4,386.7,6299.3,9895.6,6678,632.5
570.2,218.8,8131.2,7777.8,6678,772.5
450.8,364.4,9658.6,6224.2,6678,844.0
354.3,321.9,11367.1,4654.7,6678,1259.5
321.9,334.3,13024.7,3017.1,6678,2388.0
332.5,123.7,14904.3,1337.5,6678,4552.0
423.0,100.7,1586.3,14588.0,8347,490.5
98.2,427.0,2943.0,13229.8,8347,555.5
693.2,227.1,4804.9,10972.8,8347,563.5
113.5,405.0,6281.0,9898.5,8347,632.5
527.1,210.9,8139.1,7820.9,8347,772.5
453.1,398.2,9624.8,6221.9,8347,844.0
264.8,403.8,11285.2,4744.2,8347,1259.5
267.4,386.8,12971.2,3072.6,8347,2388.0
312.4,135.1,14892.9,1357.6,8347,4552.0
422.5,104.0,1583.0,14588.5,10016,490.5
112.5,420.8,2949.2,13215.5,10016,555.5
670.6,250.3,4781.7,10995.4,10016,563.5
98.4,407.6,6278.4,9913.6,10016,632.5
567.1,181.8,8168.2,7780.9,10016,772.5
467.7,358.4,9664.6,6207.3,10016,844.0
244.4,416.0,11273.0,4764.6,10016,1259.5
296.9,346.1,13011.9,3043.1,10016,2388.0
297.0,163.5,14864.5,1373.0,10016,4552.0
427.5,90.9,1596.1,14583.5,11685,490.5
107.1,426.9,2943.1,13220.9,11685,555.5
670.9,258.7,4773.3,10995.1,11685,563.5
93.5,407.9,6278.1,9918.5,11685,632.5
540.9,199.3,8150.7,7807.1,11685,772.5
462.8,326.2,9696.8,6212.2,11685,844.0
267.0,400.4,11288.6,4742.0,11685,1259.5
327.6,356.9,13002.1,3011.4,11685,2388.0
336.0,129.9,14898.1,1334.0,11685,4552.0
426.4,97.9,1589.1,14584.6,13354,490.5
95.8,429.6,2940.4,13232.2,13354,555.5
687.9,222.8,4809.2,10978.1,13354,563.5
97.3,437.0,6249.0,9914.7,13354,632.5
532.3,244.3,8105.7,7815.7,13354,772.5
453.6,361.4,9661.6,6221.4,13354,844.0
338.0,339.0,11350.0,4671.0,13354,1259.5
300.8,329.9,13029.1,3038.2,13354,2388.0
324.0,127.5,14900.5,1346.0,13354,4552.0
421.5,97.1,1589.9,14589.5,15023,490.5
110.5,424.1,2945.9,13217.5,15023,555.5
678.6,235.0,4797.0,10987.4,15023,563.5
93.9,400.9,6285.1,9918.1,15023,632.5
542.2,201.6,8148.4,7805.8,15023,772.5
494.6,298.1,9724.9,6180.4,15023,844.0
281.6,401.3,11287.7,4727.4,15023,1259.5
330.8,328.6,13030.4,3008.2,15023,2388.0
308.1,142.6,14885.4,1361.9,15023,4552.0
418.5,90.0,1597.0,14592.5,16692,490.5
114.2,423.3,2946.7,13213.8,16692,555.5
693.6,227.1,4804.9,10972.4,16692,563.5
76.5,430.1,6255.9,9935.5,16692,632.5
563.3,188.3,8161.7,7784.7,16692,772.5
463.2,323.5,9699.5,6211.8,16692,844.0
334.3,325.3,11363.7,4674.7,16692,1259.5
265.9,403.7,12954.3,3074.1,16692,2388.0
296.6,143.3,14884.7,1373.4,16692,4552.0
422.5,87.4,1599.6,14588.5,18361,490.5
119.2,420.5,2949.5,13208.8,18361,555.5
679.5,229.4,4802.6,10986.5,18361,563.5
103.6,382.3,6303.7,9908.4,18361,632.5
554.7,202.7,8147.3,7793.3,18361,772.5
450.7,346.3,9676.7,6224.3,18361,844.0
294.8,382.3,11306.7,4714.2,18361,1259.5
364.2,295.9,13062.1,2975.8,18361,2388.0
318.0,120.8,14907.2,1352.0,18361,4552.0
439.2,85.7,1601.3,14571.8,20030,490.5
113.9,421.7,2948.3,13214.1,20030,555.5
684.8,230.5,4801.5,10981.2,20030,563.5
116.6,371.9,6314.1,9895.4,20030,632.5
550.1,199.4,8150.6,7797.9,20030,772.5
482.8,310.7,9712.3,6192.2,20030,844.0
305.7,364.7,11324.3,4703.3,20030,1259.5
250.0,391.9,12967.1,3089.0,20030,2388.0
311.6,124.9,14903.1,1358.4,20030,4552.0
416.6,92.2,1594.8,14594.4,21699,490.5
107.3,418.3,2951.7,13220.7,21699,555.5
686.2,228.4,4803.6,10979.8,21699,563.5
91.5,410.1,6275.9,9920.5,21699,632.5
530.0,207.3,8142.7,7818.0,21699,772.5
433.8,368.3,9654.7,6241.2,21699,844.0
295.6,388.8,11300.2,4713.4,21699,1259.5
319.7,326.7,13032.3,3019.3,21699,2388.0
309.5,136.4,14891.6,1360.5,21699,4552.0
417.2,93.0,1594.0,14593.8,23368,490.5
106.4,420.5,2949.5,13221.6,23368,555.5
717.0,213.2,4818.8,10949.0,23368,563.5
86.6,392.4,6293.6,9925.4,23368,632.5
582.4,191.6,8158.4,7765.6,23368,772.5
438.7,356.3,9666.7,6236.3,23368,844.0
277.0,404.0,11285.0,4732.0,23368,1259.5
335.1,305.8,13052.2,3004.9,23368,2388.0
314.0,121.8,14906.2,1356.0,23368,4552.0
437.8,88.0,1599.0,14573.2,25037,490.5
102.1,430.0,2940.0,13225.9,25037,555.5
694.6,240.3,4791.7,10971.4,25037,563.5
114.1,388.9,6297.1,9897.9,25037,632.5
554.3,191.9,8158.1,7793.7,25037,772.5
469.2,321.3,9701.7,6205.8,25037,844.0
263.7,421.6,11267.4,4745.3,25037,1259.5
328.4,319.9,13038.1,3011.6,25037,2388.0
294.4,133.4,14894.6,1375.6,25037,4552.0
437.8,99.0,1588.0,14573.2,26706,490.5
110.9,425.6,2944.4,13217.1,26706,555.5
687.9,223.1,4808.9,10978.1,26706,563.5
81.6,422.9,6263.1,9930.4,26706,632.5
538.7,201.7,8148.3,7809.3,26706,772.5
478.5,331.8,9691.2,6196.5,26706,844.0
357.0,303.0,11386.0,4652.0,26706,1259.5
363.3,297.6,13060.4,2976.7,26706,2388.0
306.1,124.2,14903.8,1363.9,26706,4552.0
427.6,93.2,1593.8,14583.4,28375,490.5
102.4,421.4,2948.6,13225.6,28375,555.5
699.1,225.6,4806.4,10966.9,28375,563.5
77.9,427.6,6258.4,9934.1,28375,632.5
556.7,197.9,8152.1,7791.3,28375,772.5
448.3,352.0,9671.0,6226.7,28375,844.0
332.4,351.4,11337.6,4676.6,28375,1259.5
334.9,307.2,13051.8,3004.1,28375,2388.0
309.1,126.5,14901.5,1360.9,28375,4552.0
425.6,87.5,1599.5,14585.4,30044,490.5
118.6,415.7,2954.3,13209.4,30044,555.5
693.3,233.4,4798.6,10972.7,30044,563.5
87.1,412.7,6273.3,9924.9,30044,632.5
565.2,184.6,8165.4,7782.8,30044,772.5
461.6,353.7,9669.3,6213.4,30044,844.0
311.4,350.9,11338.1,4697.6,30044,1259.5
363.3,281.3,13077.7,2975.7,30044,2388.0
298.1,134.0,14894.0,1371.9,30044,4552.0
426.6,90.6,1596.4,14584.4,31713,490.5
105.4,418.7,2951.3,13222.6,31713,555.5
685.5,229.7,4802.3,10980.5,31713,563.5
108.7,406.2,6279.8,9903.3,31713,632.5
560.6,196.1,8153.9,7787.4,31713,772.5
466.0,324.1,9698.9,6209.0,31713,844.0
327.6,327.1,11361.9,4681.4,31713,1259.5
381.0,281.2,13076.8,2959.0,31713,2388.0
329.4,116.7,14911.3,1340.6,31713,4552.0
423.7,94.2,1592.8,14587.3,33382,490.5
99.4,428.2,2941.8,13228.6,33382,555.5
682.9,225.0,4807.0,10983.1,33382,563.5
97.6,398.8,6287.2,9914.4,33382,632.5
