FN,FP,MSE,TN,TP,sr,t
0.0,1687.0,3073976.3744984427,0.0,15011.0,2,490.5
0.0,3370.0,649486.6283027908,0.0,13328.0,2,555.5
6426.5,1974.2,750746.4495747994,3057.8,5239.5,2,563.5
5072.4,2659.8,656385.1685097017,4026.2,4939.6,2,632.5
4359.0,4215.4,1613576.0730821057,4134.6,3989.0,2,772.5
3462.3,3819.2,599651.46754252,6203.8,3212.7,2,844.0
2310.9,5794.9,956194.907975506,5894.1,2698.1,2,1259.5
3340.0,0.0,708723.3980057492,13358.0,0.0,2,2388.0
1670.0,0.0,792495.6051802611,15028.0,0.0,2,4552.0
0.0,1687.0,694069.2122991614,0.0,15011.0,1671,490.5
0.0,3370.0,651381.8853368538,0.0,13328.0,1671,555.5
0.0,5032.0,196823.15962462706,0.0,11666.0,1671,563.5
334.2,4795.3,326805.3333061723,1890.7,9677.8,1671,632.5
1167.9,3000.8,413243.385006819,5349.2,7180.1,1671,772.5
1305.8,2223.3,594928.1069493061,7799.7,5369.2,1671,844.0
1012.9,484.4,252848.16507663968,11204.6,3996.1,1671,1259.5
562.6,779.2,422105.9179212713,12578.8,2777.4,1671,2388.0
1249.6,339.2,965223.468128719,14688.8,420.4,1671,4552.0
0.0,1687.0,194692.2588388733,0.0,15011.0,3340,490.5
0.0,3370.0,319154.4513839137,0.0,13328.0,3340,555.5
0.0,5032.0,277525.27177919575,0.0,11666.0,3340,563.5
122.3,6056.5,291933.03678590123,629.5,9889.7,3340,632.5
1461.3,2906.2,300042.67146383354,5443.8,6886.7,3340,772.5
1786.6,499.2,356908.9009513574,9523.8,4888.4,3340,844.0
992.6,498.8,192670.23343538673,11190.2,4016.4,3340,1259.5
576.6,668.3,290575.3819004177,12690.7,2762.4,3340,2388.0
1289.3,71.1,568124.9559254867,14956.9,380.7,3340,4552.0
0.0,1687.0,272095.5376424976,0.0,15011.0,5009,490.5
0.0,3370.0,244060.1480423899,0.0,13328.0,5009,555.5
0.0,5032.0,219584.0225531649,0.0,11666.0,5009,563.5
0.0,6686.0,232132.12143486761,0.0,10012.0,5009,632.5
2749.7,1059.9,207361.92282212785,7290.1,5598.3,5009,772.5
1798.4,684.7,288933.66066601936,9338.3,4876.6,5009,844.0
1043.0,513.7,286468.77697750024,11175.3,3966.0,5009,1259.5
618.8,660.8,219236.48027552274,12698.2,2720.2,5009,2388.0
1263.3,188.5,238794.94109167316,14839.5,406.7,5009,4552.0
0.0,1687.0,212190.99910751428,0.0,15011.0,6678,490.5
0.0,3370.0,201196.66835373492,0.0,13328.0,6678,555.5
0.0,5032.0,187493.47861369347,0.0,11666.0,6678,563.5
0.0,6686.0,330021.64222444105,0.0,10012.0,6678,632.5
1772.8,2807.7,201857.2948718439,5542.3,6575.2,6678,772.5
1814.1,476.3,248358.6587322901,9546.7,4860.9,6678,844.0
970.7,663.6,229838.24358894763,11025.4,4038.3,6678,1259.5
608.3,715.9,240262.91235141846,12643.1,2730.7,6678,2388.0
1302.5,163.2,298593.451008103,14864.8,367.5,6678,4552.0
