FN,FP,TN,TP,sr,t
0.0,10.0,0.0,93.0,2,213.99666666666698
0.0,21.0,0.0,82.0,2,219.62666666666698
72.0,0.0,31.0,0.0,2,227.64
62.0,0.0,41.0,0.0,2,232.7
51.0,0.0,52.0,0.0,2,236.95
41.0,0.0,62.0,0.0,2,243.52333333333303
31.0,0.0,72.0,0.0,2,248.97
20.0,0.0,83.0,0.0,2,252.14
10.0,0.0,93.0,0.0,2,259.5
0.0,10.0,0.0,93.0,12,213.99666666666698
14.1,14.9,6.1,67.9,12,219.62666666666698
30.2,9.4,21.6,41.8,12,227.64
20.6,10.1,30.9,41.4,12,232.7
20.3,19.4,32.6,30.7,12,236.95
12.6,24.2,37.8,28.4,12,243.52333333333303
10.1,26.5,45.5,20.9,12,248.97
20.0,0.0,83.0,0.0,12,252.14
10.0,0.0,93.0,0.0,12,259.5
5.6,7.5,2.5,87.4,22,213.99666666666698
16.3,6.0,15.0,65.7,22,219.62666666666698
10.8,11.7,19.3,61.2,22,227.64
17.3,9.7,31.3,44.7,22,232.7
18.3,14.1,37.9,32.7,22,236.95
22.8,9.0,53.0,18.2,22,243.52333333333303
14.8,11.5,60.5,16.2,22,248.97
12.8,11.0,72.0,7.2,22,252.14
10.0,0.0,93.0,0.0,22,259.5
15.8,4.4,5.6,77.2,32,213.99666666666698
8.3,7.9,13.1,73.7,32,219.62666666666698
12.4,10.9,20.1,59.6,32,227.64
10.0,13.5,27.5,52.0,32,232.7
13.2,14.7,37.3,37.8,32,236.95
17.9,5.5,56.5,23.1,32,243.52333333333303
16.8,10.1,61.9,14.2,32,248.97
13.3,11.3,71.7,6.7,32,252.14
8.4,3.8,89.2,1.6,32,259.5
8.9,3.8,6.2,84.1,42,213.99666666666698
4.1,2.2,18.8,77.9,42,219.62666666666698
12.1,8.9,22.1,59.9,42,227.64
15.6,9.2,31.8,46.4,42,232.7
7.3,6.3,45.7,43.7,42,236.95
13.8,9.9,52.1,27.2,42,243.52333333333303
13.9,8.6,63.4,17.1,42,248.97
14.4,6.4,76.6,5.6,42,252.14
7.0,7.2,85.8,3.0,42,259.5
6.4,2.2,7.8,86.6,52,213.99666666666698
7.0,3.4,17.6,75.0,52,219.62666666666698
12.3,7.1,23.9,59.7,52,227.64
11.0,7.2,33.8,51.0,52,232.7
6.0,9.1,42.9,45.0,52,236.95
5.6,9.3,52.7,35.4,52,243.52333333333303
12.5,10.0,62.0,18.5,52,248.97
12.2,7.8,75.2,7.8,52,252.14
5.1,6.2,86.8,4.9,52,259.5
4.9,2.2,7.8,88.1,62,213.99666666666698
4.5,6.1,14.9,77.5,62,219.62666666666698
12.5,7.1,23.9,59.5,62,227.64
8.3,6.0,35.0,53.7,62,232.7
6.9,4.5,47.5,44.1,62,236.95
5.4,7.7,54.3,35.6,62,243.52333333333303
14.4,9.2,62.8,16.6,62,248.97
13.6,8.6,74.4,6.4,62,252.14
6.2,7.2,85.8,3.8,62,259.5
4.4,1.8,8.2,88.6,72,213.99666666666698
2.4,3.3,17.7,79.6,72,219.62666666666698
13.9,6.5,24.5,58.1,72,227.64
9.1,4.5,36.5,52.9,72,232.7
4.3,3.6,48.4,46.7,72,236.95
7.5,6.7,55.3,33.5,72,243.52333333333303
10.8,8.9,63.1,20.2,72,248.97
12.5,6.0,77.0,7.5,72,252.14
6.9,3.2,89.8,3.1,72,259.5
1.8,2.0,8.0,91.2,82,213.99666666666698
5.0,2.0,19.0,77.0,82,219.62666666666698
7.7,6.9,24.1,64.3,82,227.64
9.1,2.4,38.6,52.9,82,232.7
2.5,6.2,45.8,48.5,82,236.95
6.2,8.2,53.8,34.8,82,243.52333333333303
10.8,6.4,65.6,20.2,82,248.97
12.5,5.8,77.2,7.5,82,252.14
6.0,5.5,87.5,4.0,82,259.5
2.8,2.7,7.3,90.2,92,213.99666666666698
3.5,2.1,18.9,78.5,92,219.62666666666698
9.7,6.3,24.7,62.3,92,227.64
5.9,4.0,37.0,56.1,92,232.7
3.5,5.3,46.7,47.5,92,236.95
5.0,4.0,58.0,36.0,92,243.52333333333303
8.2,10.6,61.4,22.8,92,248.97
10.6,6.4,76.6,9.4,92,252.14
5.9,8.0,85.0,4.1,92,259.5
3.0,2.6,7.4,90.0,102,213.99666666666698
2.2,1.5,19.5,79.8,102,219.62666666666698
