FN,FP,MSE,TN,TP,sr,t
0.0,10.0,27.193841402373447,0.0,93.0,2,213.99666666666698
0.0,21.0,56.99589565264226,0.0,82.0,2,219.62666666666698
14.4,24.8,33.767900312836716,6.2,57.6,2,227.64
31.0,20.5,27.76922838996752,20.5,31.0,2,232.7
25.5,26.0,32.04670439859776,26.0,25.5,2,236.95
28.7,18.6,38.47887343042066,43.4,12.3,2,243.52333333333303
24.8,14.4,87.18100515642001,57.6,6.2,2,248.97
20.0,0.0,26.38997276968711,83.0,0.0,2,252.14
10.0,0.0,72.05283039644101,93.0,0.0,2,259.5
0.0,10.0,29.026029598166026,0.0,93.0,12,213.99666666666698
0.0,21.0,30.738754646709662,0.0,82.0,12,219.62666666666698
0.0,31.0,30.428845088996866,0.0,72.0,12,227.64
0.0,41.0,29.255797796655674,0.0,62.0,12,232.7
20.4,31.2,31.355591014023634,20.8,30.6,12,236.95
41.0,0.0,24.929780496224204,62.0,0.0,12,243.52333333333303
31.0,0.0,31.722430366774244,72.0,0.0,12,248.97
20.0,0.0,31.092698360302006,83.0,0.0,12,252.14
10.0,0.0,29.43369950107884,93.0,0.0,12,259.5
0.0,10.0,30.115232626753386,0.0,93.0,22,213.99666666666698
0.0,21.0,22.82526062297774,0.0,82.0,22,219.62666666666698
11.9,18.2,30.442092437971986,12.8,60.1,22,227.64
21.5,10.8,33.65260916666693,30.2,40.5,22,232.7
12.9,15.7,18.45965992448766,36.3,38.1,22,236.95
12.8,23.0,28.041421661273056,39.0,28.2,22,243.52333333333303
19.0,14.8,25.149722076591026,57.2,12.0,22,248.97
20.0,0.0,32.17916648597629,83.0,0.0,22,252.14
10.0,0.0,28.19721441208197,93.0,0.0,22,259.5
0.0,10.0,20.892106494067036,0.0,93.0,32,213.99666666666698
0.0,21.0,22.69173537216848,0.0,82.0,32,219.62666666666698
26.6,6.5,21.894653290183296,24.5,45.4,32,227.64
19.9,10.0,22.40533905070128,31.0,42.1,32,232.7
14.3,15.5,24.530445965480265,36.5,36.7,32,236.95
12.9,21.2,29.68855663430397,40.8,28.1,32,243.52333333333303
10.6,23.3,26.779623686623857,48.7,20.4,32,248.97
18.7,3.2,23.58507686084132,79.8,1.3,32,252.14
