FN,FP,TN,TP,sr,t
0.0,46.0,0.0,410.0,2,13.502753092236302
0.0,91.0,0.0,365.0,2,13.803859817649501
319.0,0.0,137.0,0.0,2,14.032251164870901
274.0,0.0,182.0,0.0,2,14.233252060704999
228.0,0.0,228.0,0.0,2,14.440960814602402
182.0,0.0,274.0,0.0,2,14.6307274187917
137.0,0.0,319.0,0.0,2,14.8784780444677
91.0,0.0,365.0,0.0,2,15.222434323308498
46.0,0.0,410.0,0.0,2,15.637958571596501
0.0,46.0,0.0,410.0,47,13.502753092236302
0.0,91.0,0.0,365.0,47,13.803859817649501
54.6,108.9,28.1,264.4,47,14.032251164870901
85.4,116.7,65.3,188.6,47,14.233252060704999
142.3,78.5,149.5,85.7,47,14.440960814602402
110.9,95.4,178.6,71.1,47,14.6307274187917
122.4,29.5,289.5,14.6,47,14.8784780444677
77.1,34.3,330.7,13.9,47,15.222434323308498
46.0,0.0,410.0,0.0,47,15.637958571596501
0.0,46.0,0.0,410.0,92,13.502753092236302
24.1,83.0,8.0,340.9,92,13.803859817649501
60.0,96.4,40.6,259.0,92,14.032251164870901
84.3,107.0,75.0,189.7,92,14.233252060704999
106.9,85.1,142.9,121.1,92,14.440960814602402
105.9,71.3,202.7,76.1,92,14.6307274187917
100.0,46.5,272.5,37.0,92,14.8784780444677
78.0,27.6,337.4,13.0,92,15.222434323308498
43.2,4.0,406.0,2.8,92,15.637958571596501
0.0,46.0,0.0,410.0,137,13.502753092236302
35.8,71.0,20.0,329.2,137,13.803859817649501
68.2,87.6,49.4,250.8,137,14.032251164870901
95.1,90.9,91.1,178.9,137,14.233252060704999
86.6,79.1,148.9,141.4,137,14.440960814602402
102.7,69.7,204.3,79.3,137,14.6307274187917
96.4,45.3,273.7,40.6,137,14.8784780444677
76.7,10.0,355.0,14.3,137,15.222434323308498
44.2,2.3,407.7,1.8,137,15.637958571596501
0.0,46.0,0.0,410.0,182,13.502753092236302
31.8,72.5,18.5,333.2,182,13.803859817649501
49.4,87.7,49.3,269.6,182,14.032251164870901
69.2,97.5,84.5,204.8,182,14.233252060704999
92.6,82.8,145.2,135.4,182,14.440960814602402
82.1,74.2,199.8,99.9,182,14.6307274187917
78.5,66.3,252.7,58.5,182,14.8784780444677
73.1,16.0,349.0,17.9,182,15.222434323308498
32.1,17.8,392.2,13.9,182,15.637958571596501
3.9,45.0,1.0,406.1,227,13.502753092236302
26.7,75.7,15.3,338.3,227,13.803859817649501
53.7,86.3,50.7,265.3,227,14.032251164870901
89.7,80.2,101.8,184.3,227,14.233252060704999
91.5,70.9,157.1,136.5,227,14.440960814602402
86.7,61.2,212.8,95.3,227,14.6307274187917
71.9,60.8,258.2,65.1,227,14.8784780444677
54.0,26.8,338.2,37.0,227,15.222434323308498
29.2,18.8,391.2,16.8,227,15.637958571596501
6.4,44.8,1.2,403.6,272,13.502753092236302
23.8,81.8,9.2,341.2,272,13.803859817649501
53.2,87.5,49.5,265.8,272,14.032251164870901
72.3,81.0,101.0,201.7,272,14.233252060704999
79.4,80.9,147.1,148.6,272,14.440960814602402
86.6,62.5,211.5,95.4,272,14.6307274187917
77.6,39.3,279.7,59.4,272,14.8784780444677
58.1,26.0,339.0,32.9,272,15.222434323308498
27.9,17.5,392.5,18.1,272,15.637958571596501
5.8,44.5,1.5,404.2,317,13.502753092236302
29.3,75.5,15.5,335.7,317,13.803859817649501
56.5,84.2,52.8,262.5,317,14.032251164870901
74.7,77.9,104.1,199.3,317,14.233252060704999
