FN,FP,MSE,TN,TP,sr,t
0.0,46.0,0.07254136927197599,0.0,410.0,2,13.502753092236302
0.0,91.0,0.07550813028800255,0.0,365.0,2,13.803859817649501
95.7,95.9,0.07498587520812448,41.1,223.3,2,14.032251164870901
109.6,109.2,0.064463446140972,72.8,164.4,2,14.233252060704999
159.6,68.4,0.07645055693933858,159.6,68.4,2,14.440960814602402
109.2,109.6,0.07628898257386413,164.4,72.8,2,14.6307274187917
68.5,159.5,0.12177682847651028,159.5,68.5,2,14.8784780444677
91.0,0.0,0.06515007633322349,365.0,0.0,2,15.222434323308498
46.0,0.0,0.08165000029340005,410.0,0.0,2,15.637958571596501
15.3,44.3,0.0892448647496725,1.7,394.7,47,13.502753092236302
46.5,74.3,0.08157508240340425,16.7,318.5,47,13.803859817649501
62.8,98.7,0.10124129730243411,38.3,256.2,47,14.032251164870901
93.6,95.6,0.0685631834963196,86.4,180.4,47,14.233252060704999
97.8,104.7,0.06932852013176193,123.3,130.2,47,14.440960814602402
98.8,74.3,0.08797676623725333,199.7,83.2,47,14.6307274187917
86.0,70.3,0.08336142660320904,248.7,51.0,47,14.8784780444677
68.3,35.2,0.06894003155420704,329.8,22.7,47,15.222434323308498
37.6,19.3,0.06775485158446758,390.7,8.4,47,15.637958571596501
4.0,45.1,0.06098821394917627,0.9,406.0,92,13.502753092236302
19.5,82.8,0.05050925641798062,8.2,345.5,92,13.803859817649501
48.6,104.5,0.07232740932483953,32.5,270.4,92,14.032251164870901
102.0,81.8,0.0747375309510621,100.2,172.0,92,14.233252060704999
87.1,99.2,0.06577106795365839,128.8,140.9,92,14.440960814602402
95.6,62.6,0.06185515648111728,211.4,86.4,92,14.6307274187917
85.4,38.3,0.06141682416999977,280.7,51.6,92,14.8784780444677
62.3,32.4,0.05956925729504777,332.6,28.7,92,15.222434323308498
28.9,20.8,0.07338327728960423,389.2,17.1,92,15.637958571596501
4.3,45.1,0.06477951756159835,0.9,405.7,137,13.502753092236302
9.7,84.4,0.050922983699773126,6.6,355.3,137,13.803859817649501
37.7,107.1,0.07526681187438897,29.9,281.3,137,14.032251164870901
72.2,99.2,0.06679850767936692,82.8,201.8,137,14.233252060704999
92.5,79.2,0.04825220842642847,148.8,135.5,137,14.440960814602402
114.0,45.2,0.06398877963827139,228.8,68.0,137,14.6307274187917
97.9,30.5,0.04856886102922096,288.5,39.1,137,14.8784780444677
56.4,22.2,0.04840822953650502,342.8,34.6,137,15.222434323308498
33.4,16.4,0.051523341421482204,393.6,12.6,137,15.637958571596501
1.8,45.6,0.046779558898675286,0.4,408.2,182,13.502753092236302
12.8,83.0,0.05716314746186897,8.0,352.2,182,13.803859817649501
27.9,117.8,0.054830561793017554,19.2,291.1,182,14.032251164870901
77.2,91.5,0.05540041180113916,90.5,196.8,182,14.233252060704999
97.3,79.6,0.04986167127922049,148.4,130.7,182,14.440960814602402
126.0,29.9,0.05633797512591101,244.1,56.0,182,14.6307274187917
83.0,27.4,0.06558257062687967,291.6,54.0,182,14.8784780444677
61.5,20.1,0.05218626243769805,344.9,29.5,182,15.222434323308498
36.5,6.9,0.0809788411882733,403.1,9.5,182,15.637958571596501
2.2,45.4,0.05003741998026547,0.6,407.8,227,13.502753092236302
0.8,91.0,0.0481105108219682,0.0,364.2,227,13.803859817649501
21.8,113.6,0.06696770906362208,23.4,297.2,227,14.032251164870901
67.5,106.1,0.043094550431275726,75.9,206.5,227,14.233252060704999
101.3,65.0,0.05617560345953021,163.0,126.7,227,14.440960814602402
96.6,43.5,0.03748321250173712,230.5,85.4,227,14.6307274187917
79.8,30.2,0.05442196486250506,288.8,57.2,227,14.8784780444677
54.8,21.0,0.04815311607167476,344.0,36.2,227,15.222434323308498
33.6,8.5,0.046724306631311815,401.5,12.4,227,15.637958571596501
0.9,45.6,0.059379240781332686,0.4,409.1,272,13.502753092236302
