FN,FP,TN,TP,sr,t
2166.5,408.3,281.7,4044.5,5,466.56000000000006
1352.3,997.4,383.6,4167.7,5,552.8416666666667
2202.8,981.9,1088.1,2628.2,5,634.676923076923
2108.4,1275.8,1484.2,2032.6,5,1058.9727272727273
1975.5,1314.8,2135.6,1475.1,5,1244.48
1382.8,1190.9,2950.1,1377.2,5,1423.639285714286
1221.9,934.2,3896.8,848.1,5,1656.5029411764706
681.9,1042.6,4478.4,698.1,5,2001.9504273504278
690.0,0.0,6211.0,0.0,5,2946.427222222222
830.9,586.1,103.9,5380.1,10,466.56000000000006
1234.9,907.6,473.4,4285.1,10,552.8416666666667
1673.3,1180.3,889.7,3157.7,10,634.676923076923
1819.5,1332.7,1427.3,2321.5,10,1058.9727272727273
1445.5,1573.2,1877.8,2004.5,10,1244.48
1134.0,1354.9,2786.1,1626.0,10,1423.639285714286
1002.8,1428.4,3402.6,1067.2,10,1656.5029411764706
799.5,619.0,4902.0,580.5,10,2001.9504273504278
335.4,383.8,5827.2,354.6,10,2946.427222222222
1331.0,445.9,244.1,4880.0,15,466.56000000000006
1157.8,902.0,479.0,4362.2,15,552.8416666666667
1413.6,1269.6,800.4,3417.4,15,634.676923076923
1588.2,1537.7,1222.3,2552.8,15,1058.9727272727273
1399.3,1525.0,1925.7,2051.0,15,1244.48
1179.5,1166.6,2974.4,1580.5,15,1423.639285714286
1094.3,593.5,4237.5,975.7,15,1656.5029411764706
605.3,470.0,5051.0,774.7,15,2001.9504273504278
437.8,204.0,6007.0,252.2,15,2946.427222222222
718.8,571.3,118.7,5492.2,20,466.56000000000006
1157.0,887.6,493.4,4363.0,20,552.8416666666667
1693.4,1123.0,947.0,3137.6,20,634.676923076923
1535.4,1498.5,1261.5,2605.6,20,1058.9727272727273
1379.6,1264.1,2186.9,2070.4,20,1244.48
1058.1,1125.5,3015.5,1701.9,20,1423.639285714286
905.6,940.9,3890.1,1164.4,20,1656.5029411764706
640.6,519.7,5001.3,739.4,20,2001.9504273504278
357.5,306.7,5904.3,332.5,20,2946.427222222222
