FN,FP,MAE,MSE,TN,TP,sr,t
1375.6,468.6,101.77799397190735,298785.2070378259,221.4,4835.4,5,466.56000000000006
1643.5,1068.2,186.96417548232745,561824.5195575476,312.8,3876.5,5,552.8416666666667
1964.0,979.5,90.64401865697555,163205.44366025057,1090.5,2867.0,5,634.676923076923
1532.4,1742.2,117.26704695930175,297597.49821304006,1017.8,2608.6,5,1058.9727272727273
1990.9,1268.1,84.87946802491167,157335.76077087555,2182.6,1459.4,5,1244.48
1578.3,1399.1,81.56002613805475,146520.25443521986,2741.9,1181.7,5,1423.639285714286
1135.9,1392.7,100.16509946283591,233112.30721963127,3438.3,934.1,5,1656.5029411764706
858.4,765.3,686.7465099954496,7834762.637146877,4755.7,521.6,5,2001.9504273504278
690.0,0.0,94.92160380548123,253266.24352678697,6211.0,0.0,5,2946.427222222222
786.8,514.6,80.9775967311875,163384.4631040785,175.4,5424.2,10,466.56000000000006
987.4,1025.3,106.18028867098096,247221.78122035315,355.7,4532.6,10,552.8416666666667
1364.3,1352.5,94.4946730047943,243851.2334393432,717.5,3466.7,10,634.676923076923
1429.0,1525.6,76.63570173638257,180500.87380215223,1234.4,2712.0,10,1058.9727272727273
1220.1,1366.6,96.05420385772173,251855.0268869455,2084.4,2229.9,10,1244.48
1093.5,1171.0,93.5748188398758,256074.60099407108,2970.0,1666.5,10,1423.639285714286
1055.8,870.8,85.87679691240756,222789.95978520755,3960.2,1014.2,10,1656.5029411764706
635.5,739.2,93.31109174609489,186603.36874615456,4781.8,744.5,10,2001.9504273504278
386.7,696.0,90.94176101769587,212387.17921025786,5515.0,303.3,10,2946.427222222222
751.3,537.8,91.81295259165526,212564.179498462,152.2,5459.7,15,466.56000000000006
1287.2,871.7,126.007753324381,377420.42107378115,509.3,4232.8,15,552.8416666666667
1472.5,1205.7,93.34147896632474,165084.06975944803,864.3,3358.5,15,634.676923076923
1571.3,1402.9,91.46135238281931,222431.6829387913,1357.1,2569.7,15,1058.9727272727273
1482.1,1179.3,108.22426401919802,336879.2393216347,2271.2,1968.4,15,1244.48
1210.9,1215.0,93.3408889599032,256174.26133637293,2926.0,1549.1,15,1423.639285714286
912.7,947.6,87.72935268483444,186153.1731264323,3883.4,1157.3,15,1656.5029411764706
755.5,379.6,87.57593828974095,219239.1634834886,5141.4,624.5,15,2001.9504273504278
494.3,334.3,90.4566883453447,221597.7745038541,5876.7,195.7,15,2946.427222222222
430.5,585.4,75.27279525253668,133345.30868308616,104.6,5780.5,20,466.56000000000006
1155.3,958.1,83.59182201198597,221597.6410959162,422.9,4364.7,20,552.8416666666667
1259.4,1255.5,93.08388114411751,187191.40551070133,814.5,3571.6,20,634.676923076923
1569.2,1181.3,89.64503863721913,228012.97832128755,1578.7,2571.8,20,1058.9727272727273
1180.7,1399.0,168.9823806007409,637294.0867332453,2052.0,2269.3,20,1244.48
1224.7,1069.9,92.41714570002007,230246.76597259365,3071.1,1535.3,20,1423.639285714286
762.8,1153.3,137.14452261639153,386676.1238019297,3677.7,1307.2,20,1656.5029411764706
694.6,472.9,91.59836120528641,259816.9934922053,5048.1,685.4,20,2001.9504273504278
389.7,748.8,183.21645751679165,650383.6250761374,5462.2,300.3,20,2946.427222222222
848.8,516.6,76.48682214059598,123078.3401986943,173.4,5362.2,25,466.56000000000006
1010.0,886.1,78.56364023936699,136144.1285776454,494.9,4510.0,25,552.8416666666667
1544.1,1077.0,93.3784000614672,257171.83166071348,993.0,3286.9,25,634.676923076923
1418.0,1381.0,84.79856712334144,169908.15407429682,1379.0,2723.0,25,1058.9727272727273
1342.9,1370.4,84.57649627509849,213764.65848977995,2080.3,2107.4,25,1244.48
1105.5,707.0,90.60075981872015,244852.1000638962,3434.0,1654.5,25,1423.639285714286
894.6,745.6,101.19774200201843,309287.38442797295,4085.4,1175.4,25,1656.5029411764706
591.7,559.1,118.20663015246085,402262.51933395787,4961.9,788.3,25,2001.9504273504278
369.6,498.7,84.71100890943406,234467.17756227512,5712.3,320.4,25,2946.427222222222
643.5,508.8,94.13363073943574,278956.8190747623,181.2,5567.5,30,466.56000000000006
859.2,923.1,81.806445079134,186139.4222358811,457.9,4660.8,30,552.8416666666667
1245.5,1228.6,78.40865166251892,182604.60915191632,841.4,3585.5,30,634.676923076923
1368.8,1358.7,100.31758121607699,272191.3940790269,1401.3,2772.2,30,1058.9727272727273
1211.8,1385.4,96.83665102399485,288992.5108296009,2065.6,2238.2,30,1244.48
896.8,1061.3,87.01149850306918,191553.45276133023,3079.7,1863.2,30,1423.639285714286
851.3,724.7,92.60392162284029,293080.3400087763,4106.3,1218.7,30,1656.5029411764706
567.0,442.2,101.36055542577769,377236.3630370987,5078.8,813.0,30,2001.9504273504278
