FN,FP,TN,TP,sr,t
0.0,693.0,0.0,6208.0,5,9.61
0.0,1380.0,0.0,5521.0,5,11.53
0.0,2072.0,0.0,4829.0,5,14.25
0.0,2766.0,0.0,4135.0,5,23.42
3449.0,0.0,3452.0,0.0,5,28.11
2760.0,0.0,4141.0,0.0,5,32.81
2069.0,0.0,4832.0,0.0,5,37.91
1379.0,0.0,5522.0,0.0,5,46.1
690.0,0.0,6211.0,0.0,5,68.89
0.0,693.0,0.0,6208.0,10,9.61
1720.3,800.6,579.4,3800.7,10,11.53
1566.5,1282.7,789.3,3262.5,10,14.25
1984.9,1270.1,1495.9,2150.1,10,23.42
1421.8,1470.3,1981.7,2027.2,10,28.11
1088.1,1944.5,2196.5,1671.9,10,32.81
1257.9,1231.0,3601.0,811.1,10,37.91
1379.0,0.0,5522.0,0.0,10,46.1
690.0,0.0,6211.0,0.0,10,68.89
465.3,560.2,132.8,5742.7,15,9.61
1503.7,835.6,544.4,4017.3,15,11.53
1747.9,1207.7,864.3,3081.1,15,14.25
1462.8,1645.9,1120.1,2672.2,15,23.42
2136.4,978.2,2473.8,1312.6,15,28.11
1356.2,1069.3,3071.7,1403.8,15,32.81
1056.0,1560.7,3271.3,1013.0,15,37.91
1132.9,212.5,5309.5,246.1,15,46.1
690.0,0.0,6211.0,0.0,15,68.89
868.1,490.4,202.6,5339.9,20,9.61
1670.5,489.6,890.4,3850.5,20,11.53
1454.5,1278.3,793.7,3374.5,20,14.25
1513.8,1450.8,1315.2,2621.2,20,23.42
1582.8,982.4,2469.6,1866.2,20,28.11
1540.1,946.6,3194.4,1219.9,20,32.81
1160.4,764.0,4068.0,908.6,20,37.91
680.5,1018.7,4503.3,698.5,20,46.1
690.0,0.0,6211.0,0.0,20,68.89
858.7,538.3,154.7,5349.3,25,9.61
976.3,832.2,547.8,4544.7,25,11.53
1509.5,1184.7,887.3,3319.5,25,14.25
1974.6,1129.9,1636.1,2160.4,25,23.42
1603.8,1006.6,2445.4,1845.2,25,28.11
1246.7,917.8,3223.2,1513.3,25,32.81
1328.3,551.6,4280.4,740.7,25,37.91
706.3,463.4,5058.6,672.7,25,46.1
690.0,0.0,6211.0,0.0,25,68.89
831.9,417.9,275.1,5376.1,30,9.61
1139.4,827.0,553.0,4381.6,30,11.53
1239.9,1308.5,763.5,3589.1,30,14.25
1776.8,1323.4,1442.6,2358.2,30,23.42
1491.3,1114.3,2337.7,1957.7,30,28.11
1147.1,846.2,3294.8,1612.9,30,32.81
847.3,871.8,3960.2,1221.7,30,37.91
805.6,534.4,4987.6,573.4,30,46.1
387.4,215.3,5995.7,302.6,30,68.89
664.9,395.3,297.7,5543.1,35,9.61
983.8,903.3,476.7,4537.2,35,11.53
1210.3,1315.4,756.6,3618.7,35,14.25
1835.8,1120.3,1645.7,2299.2,35,23.42
1379.7,1229.3,2222.7,2069.3,35,28.11
1251.2,857.7,3283.3,1508.8,35,32.81
972.3,616.6,4215.4,1096.7,35,37.91
705.3,360.5,5161.5,673.7,35,46.1
446.5,170.1,6040.9,243.5,35,68.89
942.0,486.9,206.1,5266.0,40,9.61
1184.8,813.0,567.0,4336.2,40,11.53
1546.0,1255.0,817.0,3283.0,40,14.25
1602.1,1158.7,1607.3,2532.9,40,23.42
1636.8,1231.4,2220.6,1812.2,40,28.11
1200.1,945.1,3195.9,1559.9,40,32.81
676.7,652.0,4180.0,1392.3,40,37.91
654.5,560.3,4961.7,724.5,40,46.1
250.6,305.9,5905.1,439.4,40,68.89
676.2,423.0,270.0,5531.8,45,9.61
964.0,898.5,481.5,4557.0,45,11.53
1261.4,1290.5,781.5,3567.6,45,14.25
1763.9,1168.6,1597.4,2371.1,45,23.42
1542.0,1023.7,2428.3,1907.0,45,28.11
