FN,FP,MAE,MSE,TN,TP,sr,t
914.0,523.7,2.7786210694102307,181.48060783944354,169.3,5294.0,5,9.61
1676.6,876.6,2.550412548905956,177.23336143892192,503.4,3844.4,5,11.53
1477.0,1281.6,2.5052567743805243,139.3875358339371,790.4,3352.0,5,14.25
1599.1,1457.0,2.5043854513838575,165.2391011360672,1309.0,2535.9,5,23.42
1591.7,1402.9,2.938572091001304,260.44174134763085,2049.1,1857.3,5,28.11
1580.7,901.0,2.2673783509636283,131.58703814809454,3240.0,1179.3,5,32.81
1465.1,872.5,2.211950007245327,135.04225534705114,3959.5,603.9,5,37.91
970.8,1279.3,2.1923527025068834,118.77824576148384,4242.7,408.2,5,46.1
690.0,0.0,2.201869584118244,136.4731709520359,6211.0,0.0,5,68.89
689.9,582.8,1.7880827416316474,86.2220731531662,110.2,5518.1,10,9.61
1428.2,876.2,2.1434863063324157,131.6154408998696,503.8,4092.8,10,11.53
1273.2,1323.4,2.2972251847558325,155.9081174308071,748.6,3555.8,10,14.25
1288.8,1610.2,2.0311846109259526,97.35859272424285,1155.8,2846.2,10,23.42
1105.8,1908.4,3.3009718881321546,263.08049204897844,1543.6,2343.2,10,28.11
1232.2,1443.0,1.9573992175047095,82.65638210983914,2698.0,1527.8,10,32.81
1053.7,1173.0,2.2139813070569483,142.57064855383277,3659.0,1015.3,10,37.91
657.5,441.8,2.022411244747138,90.0432018895812,5080.2,721.5,10,46.1
338.4,439.1,2.009205187653963,101.86997224025502,5771.9,351.6,10,68.89
861.6,467.1,1.8987126503405307,78.28385482104042,225.9,5346.4,15,9.61
1032.3,868.4,2.2159631937400377,137.87748705694824,511.6,4488.7,15,11.53
1500.9,1234.3,2.042015215186205,107.76594885523836,837.7,3328.1,15,14.25
1529.9,1322.3,1.7662599623243007,71.07642565715113,1443.7,2605.1,15,23.42
1722.0,1048.4,2.1114216780176784,115.34923995218087,2403.6,1727.0,15,28.11
1205.9,1239.3,2.1162338791479494,123.23438968845096,2901.7,1554.1,15,32.81
949.5,1150.1,2.7259607303289384,188.84339901028835,3681.9,1119.5,15,37.91
738.5,805.7,2.062189247935082,99.33014814664541,4716.3,640.5,15,46.1
