FN,FP,TN,TP,sr,t
2017.4,378.8,311.2,4193.6,5,67.03
2078.1,731.0,651.0,3440.9,5,88.64
1277.2,576.4,1493.6,3553.8,5,133.15
989.2,845.9,1915.1,3150.8,5,150.72
1036.9,942.5,2512.5,2409.1,5,190.94
1050.7,1107.3,3034.7,1708.3,5,240.02
1396.9,1091.4,3747.6,665.1,5,417.38
810.5,1954.9,3566.1,569.5,5,485.21
690.0,0.0,6211.0,0.0,5,580.87
793.2,497.2,192.8,5417.8,10,67.03
1095.8,1012.6,369.4,4423.2,10,88.64
892.6,820.3,1249.7,3938.4,10,133.15
232.5,59.0,2702.0,3907.5,10,150.72
576.5,447.3,3007.7,2869.5,10,190.94
758.1,1045.3,3096.7,2000.9,10,240.02
1162.1,1392.4,3446.6,899.9,10,417.38
938.8,944.7,4576.3,441.2,10,485.21
517.9,703.8,5507.2,172.1,10,580.87
653.8,515.2,174.8,5557.2,15,67.03
731.6,863.6,518.4,4787.4,15,88.64
747.6,508.2,1561.8,4083.4,15,133.15
194.5,212.6,2548.4,3945.5,15,150.72
737.1,461.3,2993.7,2708.9,15,190.94
829.4,742.1,3399.9,1929.6,15,240.02
1224.6,898.5,3940.5,837.4,15,417.38
895.7,986.7,4534.3,484.3,15,485.21
464.0,350.1,5860.9,226.0,15,580.87
811.2,476.2,213.8,5399.8,20,67.03
946.1,642.5,739.5,4572.9,20,88.64
480.6,845.5,1224.5,4350.4,20,133.15
167.1,409.5,2351.5,3972.9,20,150.72
662.3,553.2,2901.8,2783.7,20,190.94
645.5,852.3,3289.7,2113.5,20,240.02
637.8,1087.9,3751.1,1424.2,20,417.38
692.5,1033.9,4487.1,687.5,20,485.21
461.5,816.8,5394.2,228.5,20,580.87
972.4,435.7,254.3,5238.6,25,67.03
700.0,744.2,637.8,4819.0,25,88.64
586.8,596.3,1473.7,4244.2,25,133.15
176.5,174.7,2586.3,3963.5,25,150.72
472.3,404.5,3050.5,2973.7,25,190.94
893.4,613.8,3528.2,1865.6,25,240.02
812.4,843.5,3995.5,1249.6,25,417.38
811.9,989.5,4531.5,568.1,25,485.21
