FN,FP,MAE,MSE,TN,TP,sr,t
1408.4,437.5,18.299882625706417,8474.65668916389,252.5,4802.6,5,67.03
1136.1,1047.9,25.71423866106361,12504.060135370237,334.1,4382.9,5,88.64
1327.3,926.8,19.40925561512824,12156.60921471236,1143.2,3503.7,5,133.15
402.7,526.7,13.767119547891614,6142.428723025649,2234.3,3737.3,5,150.72
1285.4,1151.7,17.214416026662803,9417.687459992754,2303.3,2160.6,5,190.94
1091.1,1807.1,20.685834516736705,10735.030020043472,2334.9,1667.9,5,240.02
1541.0,802.8,23.416727140994062,10635.222602735836,4036.2,521.0,5,417.38
889.2,1194.9,22.718475293435734,11124.219508190119,4326.1,490.8,5,485.21
690.0,0.0,18.308851036081727,9458.866999271118,6211.0,0.0,5,580.87
499.7,569.8,25.36418707433705,12981.696690762208,120.2,5711.3,10,67.03
852.7,709.2,12.30489668164034,5203.813982222867,672.8,4666.3,10,88.64
724.2,717.2,28.099366613534272,23849.821757769892,1352.8,4106.8,10,133.15
348.0,686.4,11.95099116070135,5120.245941037531,2074.6,3792.0,10,150.72
720.0,941.0,34.187568468337915,22079.705636768584,2514.0,2726.0,10,190.94
1160.7,954.5,19.315628894363137,10602.494373344442,3187.5,1598.3,10,240.02
865.6,1128.6,17.95853456020867,10790.740681650486,3710.4,1196.4,10,417.38
795.1,975.0,16.362511230256484,7645.510804915229,4546.0,584.9,10,485.21
587.2,325.9,16.80583582089552,7885.842530750616,5885.1,102.8,10,580.87
719.4,399.6,16.540438197362697,8131.204110740471,290.4,5491.6,15,67.03
782.2,724.1,13.140410375307926,4860.418237724967,657.9,4736.8,15,88.64
609.1,521.5,13.885274452977828,7439.070611666425,1548.5,4221.9,15,133.15
337.5,506.6,12.66058788581365,5953.61230210839,2254.4,3802.5,15,150.72
659.2,618.4,16.617979278365453,11617.363857488768,2836.6,2786.8,15,190.94
734.4,892.6,14.358377916244024,7250.161781043326,3249.4,2024.6,15,240.02
894.7,1005.0,13.045620055064484,6340.9027177307635,3834.0,1167.3,15,417.38
838.3,844.6,19.525502680770902,12367.413049303,4676.4,541.7,15,485.21
612.5,195.8,13.290769743515432,6035.938517206201,6015.2,77.5,15,580.87
478.0,484.2,13.21280640486886,6049.211420639038,205.8,5733.0,20,67.03
677.7,783.4,12.291107230836111,5227.425238253876,598.6,4841.3,20,88.64
601.8,542.4,12.30586378785683,5537.144734024055,1527.6,4229.2,20,133.15
221.5,253.3,12.5793416896102,6000.500419030575,2507.7,3918.5,20,150.72
483.1,482.7,13.650067236632372,6254.216509743515,2972.3,2962.9,20,190.94
728.0,753.0,21.480857411969282,14739.302329174034,3389.0,2031.0,20,240.02
931.0,876.7,13.094585567309085,5786.243603285031,3962.3,1131.0,20,417.38
829.3,545.0,13.099627445297784,7415.502187846689,4976.0,550.7,20,485.21
518.3,395.2,13.076825097811911,6793.858317693089,5815.8,171.7,20,580.87
394.1,474.6,12.787097377191712,6310.050829278366,215.4,5816.9,25,67.03
