FN,FP,MAE,MSE,TN,TP,sr,t
0.0,754.0,0.5796667149688451,10.375263745994944,0.0,6147.0,5,3.0
0.0,1764.0,0.6370332802009371,13.029150364681447,0.0,5137.0,5,3.6666666666666665
0.0,2078.0,0.6002067333236728,11.825335072211754,0.0,4823.0,5,4.0
413.4,2490.3,0.6073332367289764,11.743365309375452,276.7,3720.6,5,6.666666666666668
1366.8,2090.4,0.6317886296671981,10.23743586275741,1393.6,2050.2,5,8.0
815.4,2928.1,0.5733710090325073,10.32388291551949,1254.9,1902.6,5,9.0
1411.9,1465.2,0.5749041201758198,10.26458993060587,3418.8,605.1,5,10.666666666666666
954.1,1661.4,0.9608539825146117,13.661147080133318,3876.6,408.9,5,12.666666666666664
689.0,0.0,0.5852369221851905,11.066313481137998,6212.0,0.0,5,19.0
0.0,754.0,0.7856751839507963,11.700283193883156,0.0,6147.0,10,3.0
454.3,1611.6,0.6373577098327134,10.641726194629154,152.4,4682.7,10,3.6666666666666665
0.0,2078.0,0.7185441723421727,10.27877885652643,0.0,4823.0,10,4.0
1802.1,1258.6,0.7235637347244359,11.669165821378543,1508.4,2331.9,10,6.666666666666668
1498.0,1707.8,0.7344370381104188,10.43840942268163,1776.2,1919.0,10,8.0
1166.2,1836.7,1.1622397720137179,21.215461929833033,2346.3,1551.8,10,9.0
898.2,2201.9,0.6985306477322129,11.369109790851565,2683.1,1117.8,10,10.666666666666666
843.8,1725.7,0.7258770870566262,10.702717735486535,3812.3,519.2,10,12.666666666666664
568.6,969.0,0.652828897583281,10.422563579978569,5243.0,120.4,10,19.0
123.6,721.8,0.537546318338957,9.460019670815726,32.2,6023.4,15,3.0
397.8,1632.4,0.7475431901978777,10.657914048062455,131.6,4739.2,15,3.6666666666666665
412.5,1784.4,1.9246920736125197,58.66546506947462,293.6,4410.5,15,4.0
1321.5,1673.4,0.7562297734627832,11.559189327206512,1093.6,2812.5,15,6.666666666666668
1555.5,1371.7,0.5565338356759889,9.625678082081503,2112.3,1861.5,15,8.0
1319.7,1070.9,0.5420663671931604,6.360202225120353,3112.1,1398.3,15,9.0
1067.6,1174.6,0.7270756136101737,11.926693724511974,3709.4,949.4,15,10.666666666666666
703.6,1354.5,0.5840364750450245,10.408805409088236,4183.5,659.4,15,12.666666666666664
643.3,340.0,0.8792026920414111,13.74739275574662,5872.0,45.7,15,19.0
0.0,754.0,0.5510884205877684,9.780053614678737,0.0,6147.0,20,3.0
412.4,1529.3,0.5445394387286866,7.085426073515914,234.7,4724.6,20,3.6666666666666665
360.9,1862.0,0.7818340107138833,12.294644971504088,216.0,4462.1,20,4.0
1416.1,1405.7,0.6872607834613341,9.643985910075658,1361.3,2717.9,20,6.666666666666668
1291.2,1055.8,0.5679297686325653,6.551909948638685,2428.2,2125.8,20,8.0
1080.1,1322.2,0.6361643585125689,10.881589362890981,2860.8,1637.9,20,9.0
786.8,1789.4,0.5133177386300123,5.938568840626141,3095.6,1229.2,20,10.666666666666666
798.6,878.6,0.8378677003332851,20.057050809866524,4659.4,564.4,20,12.666666666666664
342.5,582.2,0.6398744488376424,9.495718085567798,5629.8,346.5,20,19.0
0.0,754.0,0.6029766217456407,10.081503932602361,0.0,6147.0,25,3.0
415.1,1527.3,0.5288417137612906,6.786400256001545,236.7,4721.9,25,3.6666666666666665
668.1,1621.5,0.6091867523225297,9.19005054733524,456.5,4154.9,25,4.0
1811.9,1083.1,0.5440769453702361,9.52050280555153,1683.9,2322.1,25,6.666666666666668
1575.4,811.4,0.48820471153249007,6.390669117837929,2672.6,1841.6,25,8.0
1133.5,1061.5,0.48846727987432226,5.624231873968627,3121.5,1584.5,25,9.0
855.8,833.5,0.7683787373810561,12.133031713510837,4051.5,1160.2,25,10.666666666666666
712.7,669.3,0.4842500281762708,5.664130762494612,4868.7,650.3,25,12.666666666666664
441.5,534.4,0.8192785494625807,13.999566246072614,5677.6,247.5,25,19.0
0.0,754.0,0.5886622711684296,8.340908624353956,0.0,6147.0,30,3.0
373.1,1537.8,0.5283109763250323,6.2795544683458075,226.2,4763.9,30,3.6666666666666665
144.5,1989.6,0.4930548712746946,5.720957966106255,88.4,4678.5,30,4.0
1537.7,1304.5,0.5296474746011046,6.332341539783999,1462.5,2596.3,30,6.666666666666668
1493.1,978.3,0.5831203207264648,9.20903699052383,2505.7,1923.9,30,8.0
1288.7,1082.4,0.6824244358420566,12.21265384113308,3100.6,1429.3,30,9.0
821.2,1003.0,0.6905243201468387,11.174950367275454,3882.0,1194.8,30,10.666666666666666
404.5,624.8,0.494108008271173,6.702632825349947,4913.2,958.5,30,12.666666666666664
382.6,542.9,0.7114731474389495,10.564757151122913,5669.1,306.4,30,19.0
0.0,754.0,0.5213422025333343,8.411851384437913,0.0,6147.0,35,3.0
336.2,1541.4,0.47848404763054814,5.721354409804517,222.6,4800.8,35,3.6666666666666665
572.9,1612.0,0.455129932859972,4.992782829380605,466.0,4250.1,35,4.0
1430.7,1285.9,0.655289088537893,9.824463912905806,1481.1,2703.3,35,6.666666666666668
1312.6,995.4,0.5506899161152168,8.44895466035518,2488.6,2104.4,35,8.0
967.9,871.1,0.5265514659711152,6.787854517863754,3311.9,1750.1,35,9.0
725.0,727.3,0.5254186993833423,8.769741794991463,4157.7,1291.0,35,10.666666666666666
425.2,597.5,0.45894091723536734,5.242331998689014,4940.5,937.8,35,12.666666666666664
244.5,380.5,0.49599091919045557,6.87109894701251,5831.5,444.5,35,19.0
361.7,671.6,0.52679884212778,6.340854741996086,82.4,5785.3,40,3.0
276.4,1633.8,0.4664180714550226,5.744159739776486,130.2,4860.6,40,3.6666666666666665
506.2,1661.3,0.48041680179776103,7.9636328526591145,416.7,4316.8,40,4.0
1343.4,1241.1,0.5038730066726009,6.561435268673473,1525.9,2790.6,40,6.666666666666668
1259.8,901.2,0.4948748973578708,6.147693821883033,2582.8,2157.2,40,8.0
1007.0,728.9,0.5620781437242821,9.733293310889433,3454.1,1711.0,40,9.0
742.2,662.2,0.5056177503605412,7.751345276950562,4222.8,1273.8,40,10.666666666666666
372.4,856.7,0.47969489123959486,5.677324205116094,4681.3,990.6,40,12.666666666666664
261.6,425.5,0.4557176668667757,5.056378080664929,5786.5,427.4,40,19.0
125.4,711.4,0.47571166359602807,5.651615033737228,42.6,6021.6,45,3.0
289.9,1586.5,0.5271885372030278,7.204922740172725,177.5,4847.1,45,3.6666666666666665
434.0,1687.5,0.48460802782205487,5.6748237999144875,390.5,4389.0,45,4.0
1329.9,1194.2,0.4940767383609,5.748213761737876,1572.8,2804.1,45,6.666666666666668
1404.3,740.7,0.43882593504967077,4.667517884785175,2743.3,2012.7,45,8.0
996.2,761.4,0.5306466511639675,8.721264263335737,3421.6,1721.8,45,9.0
542.3,661.7,0.5289161796197007,6.434769514974569,4223.3,1473.7,45,10.666666666666666
236.5,612.3,0.4594131170315781,5.4229361040036075,4925.7,1126.5,45,12.666666666666664
201.7,390.5,0.46504461051193413,5.435443394282798,5821.5,487.3,45,19.0
165.9,698.3,0.46266234707185294,5.909288997939362,55.7,5981.1,50,3.0
362.3,1470.7,0.825100112015052,21.060567859467604,293.3,4774.7,50,3.6666666666666665
545.4,1701.4,0.518503840023185,6.493645908805488,376.6,4277.6,50,4.0
1347.1,1223.4,0.5023350653114455,7.672325707832281,1543.6,2786.9,50,6.666666666666668
1248.2,1044.5,0.482240577050025,5.82040597623175,2439.5,2168.8,50,8.0
963.8,616.0,0.4421229612455521,4.792816474928883,3567.0,1754.2,50,9.0
533.6,763.0,0.4611412884721101,5.163190149192396,4122.0,1482.4,50,10.666666666666666
250.1,678.9,0.5096384811955018,7.104681849441489,4859.1,1112.9,50,12.666666666666664
171.4,384.9,0.5133161975605101,6.51813593377585,5827.1,517.6,50,19.0
155.7,694.3,0.5050573760876615,6.063092448562286,59.7,5991.3,55,3.0
361.3,1526.3,0.4696027490839837,5.269641185387303,237.7,4775.7,55,3.6666666666666665
392.0,1758.6,0.5501752219025079,9.59254343802493,319.4,4431.0,55,4.0
1404.0,1135.3,0.5710815662786392,9.847803605578724,1631.7,2730.0,55,6.666666666666668
1237.1,846.5,0.4525227422756767,5.223622670948729,2637.5,2179.9,55,8.0
809.5,835.1,0.4691136550258417,5.533588006569096,3347.9,1908.5,55,9.0
524.7,710.6,0.46251295533428555,5.053504105922478,4174.4,1491.3,55,10.666666666666666
289.2,539.5,0.5233073766626876,7.5191030327908255,4998.5,1073.8,55,12.666666666666664
229.8,333.1,0.4803153672230619,5.562278355158581,5878.9,459.2,55,19.0
78.1,697.0,0.4869195630722946,6.22861323739272,57.0,6068.9,60,3.0
285.8,1551.8,0.516630946055667,7.820009090338544,212.2,4851.2,60,3.6666666666666665
498.9,1733.1,0.6030734676133893,10.427488954901865,344.9,4324.1,60,4.0
1372.3,1243.8,0.4823297290707812,6.0692915855743195,1523.2,2761.7,60,6.666666666666668
1228.2,856.4,0.5673168139883107,8.706310244892043,2627.6,2188.8,60,8.0
986.0,571.7,0.47100135016089234,5.864955850458062,3611.3,1732.0,60,9.0
556.8,626.2,0.4999575630860953,6.048247243168481,4258.8,1459.2,60,10.666666666666666
180.5,601.3,0.5014658101080358,6.811197214691208,4936.7,1182.5,60,12.666666666666664
263.1,407.8,0.46135205847783733,5.279340384018383,5804.2,425.9,60,19.0
38.5,739.5,0.5241377716134997,7.126774710128513,14.5,6108.5,65,3.0
338.9,1494.9,0.5387096533053641,7.588787447595412,269.1,4798.1,65,3.6666666666666665
621.4,1604.7,0.6757155162697839,10.712903712500687,473.3,4201.6,65,4.0
1320.8,1209.9,0.465584134344459,5.212310838159079,1557.1,2813.2,65,6.666666666666668
1223.5,968.1,0.5010015111681537,6.489545160875645,2515.9,2193.5,65,8.0
860.0,803.5,0.4807996425638795,6.666873387914795,3379.5,1858.0,65,9.0
715.8,435.2,0.4722725542421964,6.05778456933378,4449.8,1300.2,65,10.666666666666666
231.7,553.5,0.5385823310631309,8.05156200460831,4984.5,1131.3,65,12.666666666666664
358.0,223.6,0.5132402481351909,7.5449263503498285,5988.4,331.0,65,19.0
174.0,668.4,0.43310528954855865,4.452425794991404,85.6,5973.0,70,3.0
331.5,1547.8,0.5130821505049878,6.641158825658673,216.2,4805.5,70,3.6666666666666665
505.1,1613.0,0.4711553996085224,5.485786861827548,465.0,4317.9,70,4.0
1306.1,1218.3,0.47041496171477337,5.74761218745013,1548.7,2827.9,70,6.666666666666668
1204.0,960.0,0.4605670728022561,5.125016876043271,2524.0,2213.0,70,8.0
928.6,593.2,0.4380810579557138,4.509864335692253,3589.8,1789.4,70,9.0
515.1,538.3,0.5089688289941876,6.457979667913579,4345.7,1501.9,70,10.666666666666666
350.0,478.6,0.48257418409570274,6.115029678494055,5059.4,1013.0,70,12.666666666666664
231.1,302.9,0.46892911770320833,5.704459191851616,5909.1,457.9,70,19.0
80.4,717.8,0.5272198301143383,7.4878060398916855,36.2,6066.6,75,3.0
416.4,1434.5,0.44865526735255756,5.695793625364724,329.5,4720.6,75,3.6666666666666665
502.6,1651.4,0.4525384864857405,5.118301517312717,426.6,4320.4,75,4.0
1434.7,1099.7,0.4470313059452315,5.05101145473667,1667.3,2699.3,75,6.666666666666668
1257.2,782.7,0.513843703351021,6.867747488788727,2701.3,2159.8,75,8.0
771.6,760.9,0.5489238274646187,7.338873452209185,3422.1,1946.4,75,9.0
582.3,537.0,0.4383517284129514,4.750450291456458,4348.0,1433.7,75,10.666666666666666
271.7,502.7,0.4840806715382864,7.276479383193594,5035.3,1091.3,75,12.666666666666664
260.7,347.3,0.48961618168979415,6.265485348475106,5864.7,428.3,75,19.0
130.7,664.3,0.4274587418892592,4.592995024652,89.7,6016.3,80,3.0
258.3,1558.1,0.4310337586225138,4.568823766489963,205.9,4878.7,80,3.6666666666666665
431.7,1715.2,0.5394718961825179,7.618415488602821,362.8,4391.3,80,4.0
1269.2,1229.6,0.5166608244031805,7.593832959749025,1537.4,2864.8,80,6.666666666666668
1286.6,783.9,0.4181546152731488,3.7898958369089906,2700.1,2130.4,80,8.0
769.7,745.9,0.4714549191168521,6.635686825807193,3437.1,1948.3,80,9.0
524.7,642.9,0.4208581342018524,3.9009357022156466,4241.1,1492.3,80,10.666666666666666
309.0,481.1,0.545155533014539,7.218703527042957,5056.9,1054.0,80,12.666666666666664
347.4,243.7,0.4684480510071004,5.845987436961185,5968.3,341.6,80,19.0
139.9,712.6,0.4797140971057795,5.825338689909835,41.4,6007.1,85,3.0
345.3,1464.9,0.4517676129920732,5.05329562135981,299.1,4791.7,85,3.6666666666666665
440.8,1696.7,0.4258752067218232,4.441988191794534,381.3,4382.2,85,4.0
1349.4,1093.7,0.4888097998219719,7.46359166591548,1673.3,2784.6,85,6.666666666666668
1318.0,761.9,0.5068559767045494,6.492145001889187,2722.1,2099.0,85,8.0
826.3,745.3,0.5030189551548776,7.318762902313244,3437.7,1891.7,85,9.0
571.2,478.4,0.4434358144552319,4.9357093698175785,4406.6,1444.8,85,10.666666666666666
322.9,509.8,0.4690180972161845,5.874820207216344,5028.2,1040.1,85,12.666666666666664
330.2,363.5,0.5095083010743785,5.8373336992848595,5848.5,358.8,85,19.0
67.5,726.2,0.5041029595434754,6.319885106696884,27.8,6079.5,90,3.0
378.8,1467.9,0.5241641423028178,9.446641049781585,296.1,4758.2,90,3.6666666666666665
525.2,1615.0,0.46108469441971833,5.581726221034712,463.0,4297.8,90,4.0
