FN,FP,TN,TP,sr,t
1641.8,539.5,214.5,4505.2,5,3.0
1207.4,1247.1,516.9,3929.6,5,3.6666666666666665
1765.7,1162.9,915.1,3057.3,5,4.0
1553.1,1551.1,1215.9,2580.9,5,6.666666666666668
1656.3,1477.3,2006.7,1760.7,5,8.0
974.8,1615.8,2567.2,1743.2,5,9.0
1613.2,747.8,4136.2,403.8,5,10.666666666666666
1013.6,558.9,4979.1,349.4,5,12.666666666666664
689.0,0.0,6212.0,0.0,5,19.0
1110.0,486.9,267.1,5037.0,10,3.0
1265.5,1176.7,587.3,3871.5,10,3.6666666666666665
1567.2,1215.8,862.2,3255.8,10,4.0
1559.1,1585.3,1181.7,2574.9,10,6.666666666666668
1344.7,1282.2,2201.8,2072.3,10,8.0
1320.3,1397.2,2785.8,1397.7,10,9.0
1113.9,767.6,4117.4,902.1,10,10.666666666666666
577.3,396.9,5141.1,785.7,10,12.666666666666664
391.5,294.8,5917.2,297.5,10,19.0
1198.6,501.9,252.1,4948.4,15,3.0
1281.4,1187.6,576.4,3855.6,15,3.6666666666666665
1517.9,1250.1,827.9,3305.1,15,4.0
1865.1,1323.6,1443.4,2268.9,15,6.666666666666668
1328.5,1325.3,2158.7,2088.5,15,8.0
1076.4,1416.8,2766.2,1641.6,15,9.0
1035.2,783.4,4100.6,981.8,15,10.666666666666666
518.1,558.1,4979.9,844.9,15,12.666666666666664
452.7,191.1,6020.9,236.3,15,19.0
831.9,593.2,160.8,5315.1,20,3.0
1188.4,1185.5,578.5,3948.6,20,3.6666666666666665
1424.8,1229.1,848.9,3398.2,20,4.0
1484.9,1519.7,1247.3,2649.1,20,6.666666666666668
1561.6,1317.0,2167.0,1855.4,20,8.0
1024.6,1323.6,2859.4,1693.4,20,9.0
771.8,1202.0,3683.0,1244.2,20,10.666666666666666
704.5,553.9,4984.1,658.5,20,12.666666666666664
323.9,336.0,5876.0,365.1,20,19.0
608.6,547.8,206.2,5538.4,25,3.0
1335.9,1167.8,596.2,3801.1,25,3.6666666666666665
1465.9,1176.8,901.2,3357.1,25,4.0
1720.6,1294.2,1472.8,2413.4,25,6.666666666666668
1323.5,1068.8,2415.2,2093.5,25,8.0
1043.7,937.1,3245.9,1674.3,25,9.0
877.1,840.7,4044.3,1138.9,25,10.666666666666666
465.6,636.9,4901.1,897.4,25,12.666666666666664
361.2,385.3,5826.7,327.8,25,19.0
720.0,586.4,167.6,5427.0,30,3.0
1232.1,1141.0,623.0,3904.9,30,3.6666666666666665
1470.8,1192.9,885.1,3352.2,30,4.0
1541.7,1435.6,1331.4,2592.3,30,6.666666666666668
1222.9,1193.6,2290.4,2194.1,30,8.0
1115.8,1101.4,3081.6,1602.2,30,9.0
725.7,738.1,4146.9,1290.3,30,10.666666666666666
586.2,542.0,4996.0,776.8,30,12.666666666666664
314.7,294.2,5917.8,374.3,30,19.0
806.3,530.6,223.4,5340.7,35,3.0
1478.7,1051.9,712.1,3658.3,35,3.6666666666666665
1369.6,1240.8,837.2,3453.4,35,4.0
1482.7,1398.1,1368.9,2651.3,35,6.666666666666668
1309.6,1096.4,2387.6,2107.4,35,8.0
1059.4,922.2,3260.8,1658.6,35,9.0
613.8,900.1,3984.9,1402.2,35,10.666666666666666
448.2,528.8,5009.2,914.8,35,12.666666666666664
337.1,283.6,5928.4,351.9,35,19.0
696.5,575.9,178.1,5450.5,40,3.0
1129.0,1155.1,608.9,4008.0,40,3.6666666666666665
1400.9,1233.9,844.1,3422.1,40,4.0
1382.7,1337.0,1430.0,2751.3,40,6.666666666666668
1217.0,1409.3,2074.7,2200.0,40,8.0
1138.2,1056.8,3126.2,1579.8,40,9.0
619.3,816.8,4068.2,1396.7,40,10.666666666666666
451.2,629.4,4908.6,911.8,40,12.666666666666664
313.5,237.7,5974.3,375.5,40,19.0
750.8,552.4,201.6,5396.2,45,3.0
1235.7,1067.2,696.8,3901.3,45,3.6666666666666665
1368.2,1211.4,866.6,3454.8,45,4.0
1512.6,1287.9,1479.1,2621.4,45,6.666666666666668
1271.6,1037.8,2446.2,2145.4,45,8.0
925.9,985.2,3197.8,1792.1,45,9.0
689.3,818.8,4066.2,1326.7,45,10.666666666666666
399.1,527.1,5010.9,963.9,45,12.666666666666664
304.9,397.8,5814.2,384.1,45,19.0
683.0,535.9,218.1,5464.0,50,3.0
1068.4,1109.8,654.2,4068.6,50,3.6666666666666665
1407.0,1175.1,902.9,3416.0,50,4.0
1428.6,1322.8,1444.2,2705.4,50,6.666666666666668
1194.9,1171.5,2312.5,2222.1,50,8.0
912.1,1101.3,3081.7,1805.9,50,9.0
600.0,770.6,4114.4,1416.0,50,10.666666666666666
355.2,611.3,4926.7,1007.8,50,12.666666666666664
297.7,270.6,5941.4,391.3,50,19.0
621.5,570.9,183.1,5525.5,55,3.0
1335.8,1020.2,743.8,3801.2,55,3.6666666666666665
1311.7,1209.8,868.2,3511.3,55,4.0
1285.6,1413.5,1353.5,2848.4,55,6.666666666666668
1118.6,1173.9,2310.1,2298.4,55,8.0
1006.5,840.6,3342.4,1711.5,55,9.0
648.7,687.8,4197.2,1367.3,55,10.666666666666666
506.3,645.2,4892.8,856.7,55,12.666666666666664
396.1,223.9,5988.1,292.9,55,19.0
709.1,485.4,268.6,5437.9,60,3.0
1131.4,1044.9,719.1,4005.6,60,3.6666666666666665
1365.7,1256.2,821.8,3457.3,60,4.0
1395.9,1328.1,1438.9,2738.1,60,6.666666666666668
1161.8,1111.5,2372.5,2255.2,60,8.0
774.8,871.6,3311.4,1943.2,60,9.0
649.1,686.3,4198.7,1366.9,60,10.666666666666666
383.1,605.3,4932.7,979.9,60,12.666666666666664
346.3,242.9,5969.1,342.7,60,19.0
661.8,516.5,237.5,5485.2,65,3.0
1229.9,1048.1,715.9,3907.1,65,3.6666666666666665
1223.3,1261.4,816.6,3599.7,65,4.0
1248.0,1377.0,1390.0,2886.0,65,6.666666666666668
1142.5,1221.7,2262.3,2274.5,65,8.0
898.2,955.6,3227.4,1819.8,65,9.0
540.0,653.7,4231.3,1476.0,65,10.666666666666666
430.4,509.9,5028.1,932.6,65,12.666666666666664
297.5,250.5,5961.5,391.5,65,19.0
685.2,508.8,245.2,5461.8,70,3.0
1240.7,1023.9,740.1,3896.3,70,3.6666666666666665
1330.0,1178.1,899.9,3493.0,70,4.0
1302.7,1271.0,1496.0,2831.3,70,6.666666666666668
1141.7,1173.2,2310.8,2275.3,70,8.0
865.3,904.0,3279.0,1852.7,70,9.0
579.9,703.4,4180.6,1437.1,70,10.666666666666666
427.2,445.1,5092.9,935.8,70,12.666666666666664
264.5,305.7,5906.3,424.5,70,19.0
594.6,521.7,232.3,5552.4,75,3.0
1180.6,1102.5,661.5,3956.4,75,3.6666666666666665
1270.6,1088.8,989.2,3552.4,75,4.0
1321.2,1318.6,1448.4,2812.8,75,6.666666666666668
1078.4,1198.0,2286.0,2338.6,75,8.0
826.7,934.3,3248.7,1891.3,75,9.0
604.6,636.8,4248.2,1411.4,75,10.666666666666666
426.3,468.1,5069.9,936.7,75,12.666666666666664
329.4,237.4,5974.6,359.6,75,19.0
740.6,520.4,233.6,5406.4,80,3.0
1200.9,1018.1,745.9,3936.1,80,3.6666666666666665
1257.1,1196.5,881.5,3565.9,80,4.0
1207.3,1396.5,1370.5,2926.7,80,6.666666666666668
1056.9,1206.8,2277.2,2360.1,80,8.0
805.4,919.7,3263.3,1912.6,80,9.0
663.5,596.7,4287.3,1353.5,80,10.666666666666666
382.9,642.8,4895.2,980.1,80,12.666666666666664
255.6,307.2,5904.8,433.4,80,19.0
587.2,555.0,199.0,5559.8,85,3.0
1203.1,1028.4,735.6,3933.9,85,3.6666666666666665
1318.9,1176.4,901.6,3504.1,85,4.0
1412.9,1236.8,1530.2,2721.1,85,6.666666666666668
1141.0,1058.2,2425.8,2276.0,85,8.0
835.6,915.4,3267.6,1882.4,85,9.0
564.8,627.2,4257.8,1451.2,85,10.666666666666666
434.5,460.9,5077.1,928.5,85,12.666666666666664
320.7,268.5,5943.5,368.3,85,19.0
626.4,520.5,233.5,5520.6,90,3.0
1070.9,1086.7,677.3,4066.1,90,3.6666666666666665
1294.7,1132.7,945.3,3528.3,90,4.0
1305.7,1315.7,1451.3,2828.3,90,6.666666666666668
1225.6,995.1,2488.9,2191.4,90,8.0
734.0,990.7,3192.3,1984.0,90,9.0
586.0,573.6,4311.4,1430.0,90,10.666666666666666
383.3,527.2,5010.8,979.7,90,12.666666666666664
268.2,291.9,5920.1,420.8,90,19.0
602.7,531.8,222.2,5544.3,95,3.0
1143.4,1034.5,729.5,3993.6,95,3.6666666666666665
1254.8,1200.5,877.5,3568.2,95,4.0
1445.0,1149.3,1617.7,2689.0,95,6.666666666666668
1219.6,998.7,2485.3,2197.4,95,8.0
874.7,908.5,3274.5,1843.3,95,9.0
621.2,533.6,4351.4,1394.8,95,10.666666666666666
423.8,521.0,5017.0,939.2,95,12.666666666666664
300.3,254.5,5957.5,388.7,95,19.0
633.3,510.5,243.5,5513.7,100,3.0
1244.5,971.8,792.2,3892.5,100,3.6666666666666665
1290.7,1132.1,945.9,3532.3,100,4.0
1305.6,1315.1,1451.9,2828.4,100,6.666666666666668
1055.9,1144.0,2340.0,2361.1,100,8.0
773.5,950.5,3232.5,1944.5,100,9.0
565.8,581.4,4303.6,1450.2,100,10.666666666666666
341.7,537.5,5000.5,1021.3,100,12.666666666666664
281.8,273.9,5938.1,407.2,100,19.0
695.2,532.1,221.9,5451.8,105,3.0
1117.5,1052.9,711.1,4019.5,105,3.6666666666666665
1244.0,1141.1,936.9,3579.0,105,4.0
1341.5,1291.7,1475.3,2792.5,105,6.666666666666668
1163.7,1017.7,2466.3,2253.3,105,8.0
913.8,866.7,3316.3,1804.2,105,9.0
569.1,613.7,4271.3,1446.9,105,10.666666666666666
429.5,570.1,4967.9,933.5,105,12.666666666666664
309.3,257.8,5954.2,379.7,105,19.0
671.0,515.7,238.3,5476.0,110,3.0
