FN,FP,MAE,MSE,TN,TP,sr,t
0.0,690.0,0.2679896156880098,2.780463581510348,0.0,6211.0,5,150.54166666666666
0.0,1380.0,0.27009110391579877,3.314741620813335,0.0,5521.0,5,152.04285714285714
1932.4,1242.0,0.26237748422316753,1.7091331711232278,828.0,2898.6,5,153.1529411764706
828.2,2208.0,0.2466559457657563,2.380736046519533,552.0,3312.8,5,154.06666666666666
2760.3,690.1,0.2638126804884531,2.7702042286860715,2760.5,690.1,5,154.83124999999995
2484.0,414.1,0.2652960776531842,2.0535262309031848,3726.9,276.0,5,155.56774193548392
2070.0,0.0,0.2532170899268799,2.784405976884533,4831.0,0.0,5,156.32666666666668
1380.0,0.0,0.24396250438189765,1.7154694014491105,5521.0,0.0,5,157.02608695652177
690.0,0.0,0.2730954474567416,2.4762883986734723,6211.0,0.0,5,157.98999999999995
343.6,650.1,0.2536961957248902,2.7106885737861046,39.9,5867.4,10,150.54166666666666
753.7,1136.4,0.30128500196750896,3.4071654728230385,243.6,4767.3,10,152.04285714285714
672.3,1743.2,0.25157189756365306,2.4003418123824156,326.8,4158.7,10,153.1529411764706
1933.3,1376.9,0.342294253539862,3.3628039124091145,1383.1,2207.7,10,154.06666666666666
1606.7,1691.3,0.2651710826497281,2.532901511519096,1759.7,1843.3,10,154.83124999999995
1298.1,1943.3,0.2577960714177402,1.7437759374439217,2197.7,1461.9,10,155.56774193548392
1492.7,1091.8,0.2778016868446473,2.269360524904614,3739.2,577.3,10,156.32666666666668
1232.7,623.6,0.29063709042671915,2.325483874997699,4897.4,147.3,10,157.02608695652177
690.0,0.0,0.26468399502169393,1.465476341541806,6211.0,0.0,10,157.98999999999995
462.4,604.4,0.30095774131332215,2.746828683459977,85.6,5748.6,15,150.54166666666666
777.9,1135.3,0.2831948044453548,2.94968482534203,244.7,4743.1,15,152.04285714285714
1562.5,1021.2,0.25548622040025715,2.4059456642627355,1048.8,3268.5,15,153.1529411764706
1555.3,1419.4,0.2661867384703962,2.5173317165471083,1340.6,2585.7,15,154.06666666666666
1823.7,1354.4,0.2556647294266306,2.4067276550185803,2096.3,1626.6,15,154.83124999999995
1694.0,1447.7,0.2854750990949831,2.3927460466728445,2693.3,1066.0,15,155.56774193548392
1460.0,1279.4,0.29620916700001204,2.676563740712725,3551.6,610.0,15,156.32666666666668
1236.8,256.4,0.3081946678510171,2.481400160808554,5264.6,143.2,15,157.02608695652177
690.0,0.0,0.4081552245982456,3.707665659892334,6211.0,0.0,15,157.98999999999995
329.0,639.9,0.2695514686183444,4.1122200572680025,50.1,5882.0,20,150.54166666666666
713.1,988.9,0.30679569794415984,2.513019052551175,391.1,4807.9,20,152.04285714285714
1504.6,1186.9,0.3348472452215333,3.6447563842596176,883.1,3326.4,20,153.1529411764706
1976.5,1223.8,0.35057467699232314,3.5868305604617285,1536.2,2164.5,20,154.06666666666666
1886.0,1200.6,0.2797739729994055,2.851422410298361,2250.4,1564.0,20,154.83124999999995
1789.7,1057.9,0.27618062813527067,1.8841302107465296,3083.1,970.3,20,155.56774193548392
1372.1,1006.9,0.28608605754783384,2.89537162174377,3824.1,697.9,20,156.32666666666668
1143.9,667.3,0.25196582361016046,2.700194240216379,4853.7,236.1,20,157.02608695652177
576.2,360.3,0.31707053117167816,2.223302818501777,5850.7,113.8,20,157.98999999999995
903.9,470.9,0.25647798304459557,2.715538253998923,219.1,5307.1,25,150.54166666666666
1100.0,943.8,0.35038441318905983,3.269137297180091,436.2,4421.0,25,152.04285714285714
1045.8,1443.1,0.23141167352519282,2.8826936387145334,626.9,3785.2,25,153.1529411764706
1296.4,1550.8,0.26884741669097456,2.8594956237354774,1209.2,2844.6,25,154.06666666666666
1866.0,1212.3,0.2573353219056483,1.7580414746836373,2238.1,1584.6,25,154.83124999999995
1750.0,820.4,0.2199964337349148,2.1755807723983294,3320.6,1010.0,25,155.56774193548392
1576.7,877.9,0.3013157323413336,2.7187700504800576,3953.1,493.3,25,156.32666666666668
968.9,746.1,0.2742524205049504,2.3070123506382196,4774.9,411.1,25,157.02608695652177
690.0,0.0,0.3083451225968241,2.2269789700336338,6211.0,0.0,25,157.98999999999995
216.5,613.8,0.23333635136656788,2.5873457742212844,76.2,5994.5,30,150.54166666666666
844.3,919.3,0.2478782102663669,2.6657762721049694,460.7,4676.7,30,152.04285714285714
902.7,1393.6,0.2735086327192976,3.120781374638109,676.4,3928.3,30,153.1529411764706
1526.6,1241.0,0.2681478230201967,2.9077195974462633,1519.0,2614.4,30,154.06666666666666
1598.0,1093.8,0.2567297804397213,1.4719933411794455,2357.2,1852.0,30,154.83124999999995
1515.0,909.0,0.254532865436452,2.10448351185664,3232.0,1245.0,30,155.56774193548392
1479.4,643.6,0.26542307997327913,2.835795888205902,4187.4,590.6,30,156.32666666666668
965.7,251.5,0.23804722940517015,1.9662043414108772,5269.5,414.3,30,157.02608695652177
537.1,160.0,0.27230371756941835,1.5620880898503506,6051.0,152.9,30,157.98999999999995
699.3,523.2,0.2815614703243681,2.647605916242223,166.8,5511.7,35,150.54166666666666
849.3,888.4,0.27643551090865254,2.895237909722831,491.6,4671.7,35,152.04285714285714
1032.5,1228.7,0.258448289390765,2.7204663050430598,841.3,3798.5,35,153.1529411764706
1481.5,1379.4,0.24302518599395023,2.2057490572362597,1380.6,2659.5,35,154.06666666666666
1706.5,1199.0,0.2283919867167207,2.5325438398189766,2251.4,1744.1,35,154.83124999999995
1333.0,1201.9,0.2548907689477562,3.1403461026572534,2939.1,1427.0,35,155.56774193548392
1399.8,769.8,0.2677498631590094,1.8269205739981706,4061.2,670.2,35,156.32666666666668
846.0,462.0,0.2605324836803016,2.0500643494145785,5059.0,534.0,35,157.02608695652177
637.0,52.0,0.28806706761387657,3.975206408605456,6159.0,53.0,35,157.98999999999995
402.0,579.8,0.2761959352736439,3.108046312499485,110.2,5809.0,40,150.54166666666666
859.0,895.2,0.25121694948720485,2.386345463022966,484.8,4662.0,40,152.04285714285714
1171.1,1167.5,0.23117750652354951,2.1977943209971977,902.5,3659.9,40,153.1529411764706
1393.9,1271.8,0.26958413484458277,2.0036614944687203,1488.2,2747.1,40,154.06666666666666
1397.5,1401.5,0.23241200211940657,2.246077529815455,2049.5,2052.5,40,154.83124999999995
1481.3,982.0,0.27869835059263875,3.1803340724513123,3159.0,1278.7,40,155.56774193548392
1218.7,958.6,0.24524622036715912,2.3359824165694,3872.4,851.3,40,156.32666666666668
958.5,458.3,0.2661681250065268,2.166254449405246,5062.7,421.5,40,157.02608695652177
589.0,104.5,0.250355061042779,2.749445174356528,6106.5,101.0,40,157.98999999999995
283.6,591.0,0.26685590685039606,1.837251439500152,99.0,5927.4,45,150.54166666666666
718.5,913.4,0.2715584977507433,2.492691454444926,466.6,4802.5,45,152.04285714285714
1220.3,1171.7,0.2390260112925166,2.6158777495218155,898.3,3610.7,45,153.1529411764706
1413.6,1220.0,0.23763424534028438,3.233469800524521,1540.0,2727.4,45,154.06666666666666
1318.9,1365.4,0.26330209086183903,1.7783748607388514,2085.0,2131.7,45,154.83124999999995
1489.4,791.3,0.24055269338502505,2.4974901468483965,3349.7,1270.6,45,155.56774193548392
1307.1,932.2,0.23709647733167255,2.2102686930343647,3898.8,762.9,45,156.32666666666668
792.7,301.1,0.2596146479793885,2.5139231751339057,5219.9,587.3,45,157.02608695652177
514.4,175.7,0.27753827522364793,3.2197928840215484,6035.3,175.6,45,157.98999999999995
555.0,539.5,0.25457706688870646,1.7449069358993181,150.5,5656.0,50,150.54166666666666
802.3,968.4,0.25229485940873386,2.3289560334554715,411.6,4718.7,50,152.04285714285714
1070.4,1158.6,0.24754877880915904,1.6816460143096705,911.4,3760.6,50,153.1529411764706
1508.5,1231.4,0.2703912767224726,2.4990043554250905,1528.6,2632.5,50,154.06666666666666
1510.0,1198.1,0.2646352175598229,2.1663099828087353,2252.9,1940.0,50,154.83124999999995
