FN,FP,TN,TP,sr,t
0.0,690.0,0.0,6211.0,5,150.54166666666666
0.0,1380.0,0.0,5521.0,5,152.04285714285714
0.0,2070.0,0.0,4831.0,5,153.1529411764706
0.0,2760.0,0.0,4141.0,5,154.06666666666666
3450.6,0.0,3450.4,0.0,5,154.83124999999995
2760.0,0.0,4141.0,0.0,5,155.56774193548392
2070.0,0.0,4831.0,0.0,5,156.32666666666668
1380.0,0.0,5521.0,0.0,5,157.02608695652177
690.0,0.0,6211.0,0.0,5,157.98999999999995
0.0,690.0,0.0,6211.0,10,150.54166666666666
1750.5,832.3,547.7,3770.5,10,152.04285714285714
2660.8,886.5,1183.5,2170.2,10,153.1529411764706
2034.1,1275.9,1484.1,2106.9,10,154.06666666666666
1739.9,1666.8,1784.2,1710.1,10,154.83124999999995
1545.7,1717.9,2423.1,1214.3,10,155.56774193548392
1568.3,1099.7,3731.3,501.7,10,156.32666666666668
1380.0,0.0,5521.0,0.0,10,157.02608695652177
690.0,0.0,6211.0,0.0,10,157.98999999999995
616.4,591.9,98.1,5594.6,15,150.54166666666666
1165.0,1070.2,309.8,4356.0,15,152.04285714285714
1614.8,1135.2,934.8,3216.2,15,153.1529411764706
1547.3,1656.1,1103.9,2593.7,15,154.06666666666666
2136.1,1152.6,2297.7,1314.6,15,154.83124999999995
1772.9,1178.8,2962.2,987.1,15,155.56774193548392
1281.6,1503.9,3327.1,788.4,15,156.32666666666668
1344.4,116.1,5404.9,35.6,15,157.02608695652177
690.0,0.0,6211.0,0.0,15,157.98999999999995
0.0,690.0,0.0,6211.0,20,150.54166666666666
1072.9,811.1,568.9,4448.1,20,152.04285714285714
1377.7,1221.1,848.9,3453.3,20,153.1529411764706
1525.0,1462.4,1297.6,2616.0,20,154.06666666666666
2210.1,1116.4,2334.6,1239.9,20,154.83124999999995
1766.4,1100.1,3040.9,993.6,20,155.56774193548392
1526.0,868.8,3962.2,544.0,20,156.32666666666668
1007.1,1080.4,4440.6,372.9,20,157.02608695652177
690.0,0.0,6211.0,0.0,20,157.98999999999995
1078.7,482.5,207.5,5132.3,25,150.54166666666666
891.7,1023.3,356.7,4629.3,25,152.04285714285714
1580.4,1139.7,930.3,3250.6,25,153.1529411764706
1482.5,1460.0,1300.0,2658.5,25,154.06666666666666
1794.1,1340.6,2109.9,1656.4,25,154.83124999999995
1473.3,1117.5,3023.5,1286.7,25,155.56774193548392
1486.4,876.2,3954.8,583.6,25,156.32666666666668
866.4,792.8,4728.2,513.6,25,157.02608695652177
690.0,0.0,6211.0,0.0,25,157.98999999999995
452.1,596.5,93.5,5758.9,30,150.54166666666666
1252.6,809.5,570.5,4268.4,30,152.04285714285714
1212.5,1360.6,709.4,3618.5,30,153.1529411764706
1551.7,1500.6,1259.4,2589.3,30,154.06666666666666
1796.7,1233.4,2217.6,1653.3,30,154.83124999999995
1556.1,1152.7,2988.3,1203.9,30,155.56774193548392
1331.0,1047.5,3783.5,739.0,30,156.32666666666668
