FN,FP,TN,TP,sr,t
0.0,3.0,0.0,17.0,2,960
0.0,5.0,0.0,15.0,2,1020
6.1,1.7,4.3,7.9,2,1080
6.1,3.2,4.8,5.9,2,1140
3.7,4.2,6.8,5.3,2,1230
3.7,5.9,6.1,4.3,2,1320
2.2,6.8,7.2,3.8,2,1770
4.0,0.0,16.0,0.0,2,1980
2.0,0.0,18.0,0.0,2,2160
0.0,3.0,0.0,17.0,3,960
6.9,2.2,2.8,8.1,3,1020
6.8,2.0,4.0,7.2,3,1080
5.5,4.1,3.9,6.5,3,1140
3.1,4.7,6.3,5.9,3,1230
2.5,4.8,7.2,5.5,3,1320
1.9,4.2,9.8,4.1,3,1770
1.1,6.8,9.2,2.9,3,1980
2.0,0.0,18.0,0.0,3,2160
6.1,1.5,1.5,10.9,4,960
3.8,2.3,2.7,11.2,4,1020
4.8,1.7,4.3,9.2,4,1080
5.3,2.1,5.9,6.7,4,1140
2.5,3.8,7.2,6.5,4,1230
3.0,4.6,7.4,5.0,4,1320
2.4,3.2,10.8,3.6,4,1770
1.7,5.6,10.4,2.3,4,1980
2.0,0.0,18.0,0.0,4,2160
4.5,1.0,2.0,12.5,5,960
5.8,2.4,2.6,9.2,5,1020
2.8,2.4,3.6,11.2,5,1080
3.9,3.8,4.2,8.1,5,1140
3.7,4.7,6.3,5.3,5,1230
1.8,3.6,8.4,6.2,5,1320
3.3,4.0,10.0,2.7,5,1770
1.7,4.0,12.0,2.3,5,1980
2.0,0.0,18.0,0.0,5,2160
4.7,2.1,0.9,12.3,6,960
5.3,1.7,3.3,9.7,6,1020
4.8,1.9,4.1,9.2,6,1080
2.2,3.9,4.1,9.8,6,1140
2.3,4.5,6.5,6.7,6,1230
3.7,2.9,9.1,4.3,6,1320
2.0,4.6,9.4,4.0,6,1770
2.5,4.6,11.4,1.5,6,1980
0.7,4.8,13.2,1.3,6,2160
6.8,1.0,2.0,10.2,7,960
4.0,1.2,3.8,11.0,7,1020
1.7,2.3,3.7,12.3,7,1080
3.5,3.8,4.2,8.5,7,1140
3.5,3.2,7.8,5.5,7,1230
2.0,5.0,7.0,6.0,7,1320
2.3,2.5,11.5,3.7,7,1770
0.6,4.2,11.8,3.4,7,1980
0.6,3.9,14.1,1.4,7,2160
3.3,2.2,0.8,13.7,8,960
3.3,2.2,2.8,11.7,8,1020
3.1,2.7,3.3,10.9,8,1080
1.7,3.3,4.7,10.3,8,1140
2.9,2.8,8.2,6.1,8,1230
2.3,1.9,10.1,5.7,8,1320
1.0,3.1,10.9,5.0,8,1770
2.3,2.1,13.9,1.7,8,1980
1.0,3.0,15.0,1.0,8,2160
3.2,1.3,1.7,13.8,9,960
2.1,2.2,2.8,12.9,9,1020
3.0,2.4,3.6,11.0,9,1080
1.9,2.2,5.8,10.1,9,1140
3.1,2.4,8.6,5.9,9,1230
2.0,1.5,10.5,6.0,9,1320
1.5,3.6,10.4,4.5,9,1770
1.3,3.1,12.9,2.7,9,1980
0.8,2.2,15.8,1.2,9,2160
3.6,1.9,1.1,13.4,10,960
3.6,2.8,2.2,11.4,10,1020
3.2,2.7,3.3,10.8,10,1080
2.4,3.0,5.0,9.6,10,1140
3.1,3.0,8.0,5.9,10,1230
2.1,1.6,10.4,5.9,10,1320
1.4,2.4,11.6,4.6,10,1770
1.2,2.0,14.0,2.8,10,1980
1.0,3.2,14.8,1.0,10,2160
3.1,0.9,2.1,13.9,11,960
3.2,1.1,3.9,11.8,11,1020
2.5,3.3,2.7,11.5,11,1080
2.1,2.6,5.4,9.9,11,1140
3.9,2.0,9.0,5.1,11,1230
2.8,2.4,9.6,5.2,11,1320
1.3,2.5,11.5,4.7,11,1770
1.8,3.2,12.8,2.2,11,1980
1.1,2.5,15.5,0.9,11,2160
2.5,1.3,1.7,14.5,12,960
2.8,1.9,3.1,12.2,12,1020
2.5,2.5,3.5,11.5,12,1080
4.4,2.4,5.6,7.6,12,1140
2.2,2.9,8.1,6.8,12,1230
2.4,1.9,10.1,5.6,12,1320
1.4,2.0,12.0,4.6,12,1770
1.8,2.1,13.9,2.2,12,1980
1.1,2.7,15.3,0.9,12,2160
2.6,1.3,1.7,14.4,13,960
1.9,1.8,3.2,13.1,13,1020
3.2,2.6,3.4,10.8,13,1080
2.5,2.7,5.3,9.5,13,1140
1.9,3.1,7.9,7.1,13,1230
1.0,2.0,10.0,7.0,13,1320
0.8,1.9,12.1,5.2,13,1770
2.9,1.4,14.6,1.1,13,1980
1.4,2.5,15.5,0.6,13,2160
2.8,1.6,1.4,14.2,14,960
2.0,1.9,3.1,13.0,14,1020
2.7,3.1,2.9,11.3,14,1080
3.5,1.7,6.3,8.5,14,1140
2.9,2.7,8.3,6.1,14,1230
1.6,2.7,9.3,6.4,14,1320
1.2,2.0,12.0,4.8,14,1770
1.5,3.6,12.4,2.5,14,1980
1.1,2.2,15.8,0.9,14,2160
2.6,1.4,1.6,14.4,15,960
2.9,1.5,3.5,12.1,15,1020
2.3,1.8,4.2,11.7,15,1080
1.9,1.9,6.1,10.1,15,1140
2.1,2.7,8.3,6.9,15,1230
1.3,3.2,8.8,6.7,15,1320
1.1,1.0,13.0,4.9,15,1770
1.7,1.7,14.3,2.3,15,1980
1.3,1.8,16.2,0.7,15,2160
2.5,1.1,1.9,14.5,16,960
2.5,1.2,3.8,12.5,16,1020
3.5,1.7,4.3,10.5,16,1080
3.3,2.3,5.7,8.7,16,1140
2.5,2.6,8.4,6.5,16,1230
1.8,1.6,10.4,6.2,16,1320
1.0,1.4,12.6,5.0,16,1770
1.9,2.0,14.0,2.1,16,1980
0.7,1.0,17.0,1.3,16,2160
2.9,1.7,1.3,14.1,17,960
2.1,2.0,3.0,12.9,17,1020
2.8,1.6,4.4,11.2,17,1080
2.8,2.8,5.2,9.2,17,1140
1.7,2.1,8.9,7.3,17,1230
1.6,2.0,10.0,6.4,17,1320
1.4,2.2,11.8,4.6,17,1770
1.1,2.3,13.7,2.9,17,1980
0.8,1.4,16.6,1.2,17,2160
2.4,0.9,2.1,14.6,18,960
1.0,1.7,3.3,14.0,18,1020
3.2,2.0,4.0,10.8,18,1080
2.7,2.3,5.7,9.3,18,1140
1.4,2.1,8.9,7.6,18,1230
1.7,1.5,10.5,6.3,18,1320
0.7,1.2,12.8,5.3,18,1770
1.9,2.3,13.7,2.1,18,1980
1.1,1.4,16.6,0.9,18,2160
1.2,0.9,2.1,15.8,19,960
2.1,1.4,3.6,12.9,19,1020
2.3,2.3,3.7,11.7,19,1080
2.3,2.7,5.3,9.7,19,1140
2.3,2.1,8.9,6.7,19,1230
1.5,1.4,10.6,6.5,19,1320
1.9,0.5,13.5,4.1,19,1770
1.3,1.3,14.7,2.7,19,1980
1.4,1.9,16.1,0.6,19,2160
1.5,1.7,1.3,15.5,20,960
1.4,1.7,3.3,13.6,20,1020
2.4,1.4,4.6,11.6,20,1080
2.1,2.4,5.6,9.9,20,1140
1.1,2.2,8.8,7.9,20,1230
1.5,1.4,10.6,6.5,20,1320
0.6,1.2,12.8,5.4,20,1770
1.7,1.6,14.4,2.3,20,1980
1.0,1.6,16.4,1.0,20,2160
1.4,0.7,2.3,15.6,21,960
1.3,1.5,3.5,13.7,21,1020
2.6,0.7,5.3,11.4,21,1080
1.7,1.6,6.4,10.3,21,1140
1.2,2.3,8.7,7.8,21,1230
1.1,1.1,10.9,6.9,21,1320
1.2,0.5,13.5,4.8,21,1770
1.3,1.9,14.1,2.7,21,1980
0.9,1.5,16.5,1.1,21,2160
2.8,0.4,2.6,14.2,22,960
1.3,1.1,3.9,13.7,22,1020
1.1,1.5,4.5,12.9,22,1080
1.9,1.5,6.5,10.1,22,1140
0.8,2.4,8.6,8.2,22,1230
1.3,1.3,10.7,6.7,22,1320
0.8,0.9,13.1,5.2,22,1770
1.3,1.6,14.4,2.7,22,1980
1.3,1.9,16.1,0.7,22,2160
1.5,1.4,1.6,15.5,23,960
1.2,1.3,3.7,13.8,23,1020
2.3,1.1,4.9,11.7,23,1080
1.4,2.2,5.8,10.6,23,1140
0.8,2.4,8.6,8.2,23,1230
1.1,1.2,10.8,6.9,23,1320
0.9,0.6,13.4,5.1,23,1770
1.7,1.8,14.2,2.3,23,1980
0.8,2.1,15.9,1.2,23,2160
1.5,1.5,1.5,15.5,24,960
0.8,1.6,3.4,14.2,24,1020
2.1,1.6,4.4,11.9,24,1080
1.9,2.4,5.6,10.1,24,1140
1.4,1.5,9.5,7.6,24,1230
0.9,1.6,10.4,7.1,24,1320
0.6,0.7,13.3,5.4,24,1770
1.7,0.8,15.2,2.3,24,1980
1.0,1.4,16.6,1.0,24,2160
1.7,0.8,2.2,15.3,25,960
1.5,1.6,3.4,13.5,25,1020
1.6,2.0,4.0,12.4,25,1080
1.7,1.6,6.4,10.3,25,1140
1.2,1.0,10.0,7.8,25,1230
0.8,1.0,11.0,7.2,25,1320
1.0,1.1,12.9,5.0,25,1770
1.1,1.4,14.6,2.9,25,1980
0.9,1.1,16.9,1.1,25,2160
1.7,0.6,2.4,15.3,26,960
2.3,1.5,3.5,12.7,26,1020
2.0,2.1,3.9,12.0,26,1080
2.1,1.3,6.7,9.9,26,1140
1.5,1.8,9.2,7.5,26,1230
1.3,1.1,10.9,6.7,26,1320
0.4,0.4,13.6,5.6,26,1770
1.4,1.5,14.5,2.6,26,1980
0.9,1.0,17.0,1.1,26,2160
1.3,0.6,2.4,15.7,27,960
0.7,2.0,3.0,14.3,27,1020
2.6,1.5,4.5,11.4,27,1080
2.1,1.5,6.5,9.9,27,1140
1.4,1.6,9.4,7.6,27,1230
1.3,1.3,10.7,6.7,27,1320
0.8,0.6,13.4,5.2,27,1770
1.2,2.0,14.0,2.8,27,1980
1.0,1.1,16.9,1.0,27,2160
1.9,1.0,2.0,15.1,28,960
1.2,0.8,4.2,13.8,28,1020
2.2,1.4,4.6,11.8,28,1080
1.1,1.9,6.1,10.9,28,1140
1.3,1.6,9.4,7.7,28,1230
0.9,1.8,10.2,7.1,28,1320
0.4,0.3,13.7,5.6,28,1770
0.8,1.7,14.3,3.2,28,1980
0.5,1.0,17.0,1.5,28,2160
1.1,0.9,2.1,15.9,29,960
1.7,1.6,3.4,13.3,29,1020
2.0,1.5,4.5,12.0,29,1080
1.5,1.3,6.7,10.5,29,1140
1.1,1.4,9.6,7.9,29,1230
1.0,1.5,10.5,7.0,29,1320
1.1,0.8,13.2,4.9,29,1770
1.8,1.3,14.7,2.2,29,1980
1.3,1.2,16.8,0.7,29,2160
1.4,0.8,2.2,15.6,30,960
1.8,2.1,2.9,13.2,30,1020
2.1,1.0,5.0,11.9,30,1080
1.6,1.6,6.4,10.4,30,1140
1.2,2.0,9.0,7.8,30,1230
1.0,1.1,10.9,7.0,30,1320
1.3,0.7,13.3,4.7,30,1770
1.4,1.4,14.6,2.6,30,1980
1.1,1.3,16.7,0.9,30,2160
1.3,0.8,2.2,15.7,31,960
1.8,1.9,3.1,13.2,31,1020
2.4,1.9,4.1,11.6,31,1080
2.3,2.0,6.0,9.7,31,1140
1.5,1.5,9.5,7.5,31,1230
0.7,0.6,11.4,7.3,31,1320
1.1,0.5,13.5,4.9,31,1770
1.5,2.0,14.0,2.5,31,1980
1.1,2.0,16.0,0.9,31,2160
1.4,1.0,2.0,15.6,32,960
2.6,1.5,3.5,12.4,32,1020
2.4,1.5,4.5,11.6,32,1080
1.6,2.2,5.8,10.4,32,1140
1.6,2.8,8.2,7.4,32,1230
0.9,1.1,10.9,7.1,32,1320
0.9,0.6,13.4,5.1,32,1770
1.5,1.8,14.2,2.5,32,1980
1.4,0.9,17.1,0.6,32,2160
0.6,0.6,2.4,16.4,33,960
1.3,1.6,3.4,13.7,33,1020
1.8,1.8,4.2,12.2,33,1080
1.6,1.9,6.1,10.4,33,1140
1.5,1.7,9.3,7.5,33,1230
0.6,1.6,10.4,7.4,33,1320
0.7,0.5,13.5,5.3,33,1770
1.4,0.9,15.1,2.6,33,1980
0.7,2.6,15.4,1.3,33,2160
2.1,0.7,2.3,14.9,34,960
