FN,FP,MSE,TN,TP,sr,t
0.0,3.0,65884.5,0.0,17.0,2,960
0.0,5.0,44590.5,0.0,15.0,2,1020
6.6,3.4,19066.5,2.6,7.4,2,1080
4.3,2.7,63688.5,5.3,7.7,2,1140
3.1,4.1,14940.0,6.9,5.9,2,1230
3.5,5.5,24372.0,6.5,4.5,2,1320
2.2,5.9,39771.0,8.1,3.8,2,1770
4.0,0.0,41872.5,16.0,0.0,2,1980
2.0,0.0,29637.0,18.0,0.0,2,2160
0.0,3.0,19813.5,0.0,17.0,3,960
5.0,2.1,69781.5,2.9,10.0,3,1020
4.3,3.3,31963.5,2.7,9.7,3,1080
3.4,4.0,58648.5,4.0,8.6,3,1140
4.5,4.7,52605.0,6.3,4.5,3,1230
4.1,5.2,27832.5,6.8,3.9,3,1320
2.3,5.4,30177.0,8.6,3.7,3,1770
1.3,6.0,32395.5,10.0,2.7,3,1980
2.0,0.0,39006.0,18.0,0.0,3,2160
4.4,1.3,63463.5,1.7,12.6,4,960
3.0,2.6,11853.0,2.4,12.0,4,1020
3.4,3.1,5121.0,2.9,10.6,4,1080
4.1,2.2,9261.0,5.8,7.9,4,1140
2.3,4.5,58005.0,6.5,6.7,4,1230
1.6,5.6,9558.0,6.4,6.4,4,1320
2.5,4.9,65232.0,9.1,3.5,4,1770
0.7,5.4,37224.0,10.6,3.3,4,1980
2.0,0.0,25227.0,18.0,0.0,4,2160
2.6,1.8,14224.5,1.2,14.4,5,960
3.0,3.2,19048.5,1.8,12.0,5,1020
2.9,2.9,45810.0,3.1,11.1,5,1080
1.8,2.8,24268.5,5.2,10.2,5,1140
3.5,4.7,45900.0,6.3,5.5,5,1230
2.9,3.3,44977.5,8.7,5.1,5,1320
3.1,2.5,55476.0,11.5,2.9,5,1770
2.1,4.1,68616.0,11.9,1.9,5,1980
2.0,0.0,11619.0,18.0,0.0,5,2160
3.1,1.5,21424.5,1.5,13.9,6,960
2.4,2.6,17505.0,2.4,12.6,6,1020
2.1,2.6,37633.5,3.4,11.9,6,1080
2.0,4.5,12951.0,3.5,10.0,6,1140
2.4,4.6,33169.5,6.4,6.6,6,1230
3.1,3.7,35280.0,8.3,4.9,6,1320
3.4,2.0,5256.0,12.0,2.6,6,1770
1.7,2.4,32170.5,13.6,2.3,6,1980
0.8,4.2,25762.5,13.8,1.2,6,2160
2.5,1.6,52596.0,1.4,14.5,7,960
4.1,2.1,22977.0,2.9,10.9,7,1020
3.6,2.9,25762.5,3.1,10.4,7,1080
2.3,3.8,27148.5,4.2,9.7,7,1140
2.4,3.7,35010.0,7.3,6.6,7,1230
0.9,3.8,19503.0,8.2,7.1,7,1320
2.2,3.2,15372.0,10.8,3.8,7,1770
2.1,1.8,12199.5,14.2,1.9,7,1980
0.7,3.6,22203.0,14.4,1.3,7,2160
2.2,1.5,13086.0,1.5,14.8,8,960
2.0,2.7,16623.0,2.3,13.0,8,1020
1.9,2.6,40792.5,3.4,12.1,8,1080
2.3,2.3,13576.5,5.7,9.7,8,1140
2.2,3.5,8379.0,7.5,6.8,8,1230
1.9,3.0,13540.5,9.0,6.1,8,1320
0.9,2.3,2952.0,11.7,5.1,8,1770
2.4,1.8,36472.5,14.2,1.6,8,1980
0.8,4.0,46480.5,14.0,1.2,8,2160
1.5,1.8,5121.0,1.2,15.5,9,960
1.3,2.1,88456.5,2.9,13.7,9,1020
2.7,2.6,5904.0,3.4,11.3,9,1080
2.3,1.9,5229.0,6.1,9.7,9,1140
1.5,3.0,5454.0,8.0,7.5,9,1230
0.4,2.0,8460.0,10.0,7.6,9,1320
1.2,1.6,18234.0,12.4,4.8,9,1770
1.3,2.7,2529.0,13.3,2.7,9,1980
0.9,2.7,4378.5,15.3,1.1,9,2160
1.6,1.6,19206.0,1.4,15.4,10,960
1.9,2.0,4189.5,3.0,13.1,10,1020
2.1,1.8,14814.0,4.2,11.9,10,1080
2.4,2.7,3969.0,5.3,9.6,10,1140
1.8,1.9,8541.0,9.1,7.2,10,1230
2.4,2.1,27981.0,9.9,5.6,10,1320
1.0,1.2,3348.0,12.8,5.0,10,1770
1.4,2.1,3105.0,13.9,2.6,10,1980
0.9,1.3,12244.5,16.7,1.1,10,2160
1.5,1.1,4855.5,1.9,15.5,11,960
2.4,2.1,3852.0,2.9,12.6,11,1020
1.5,2.3,27378.0,3.7,12.5,11,1080
1.6,3.5,13455.0,4.5,10.4,11,1140
1.6,2.1,16326.0,8.9,7.4,11,1230
1.9,1.5,35014.5,10.5,6.1,11,1320
1.6,1.2,5517.0,12.8,4.4,11,1770
1.5,1.3,6372.0,14.7,2.5,11,1980
0.8,1.4,27346.5,16.6,1.2,11,2160
1.0,1.1,2970.0,1.9,16.0,12,960
1.5,1.9,3253.5,3.1,13.5,12,1020
2.0,1.9,3370.5,4.1,12.0,12,1080
2.6,2.3,36774.0,5.7,9.4,12,1140
2.2,3.0,37309.5,8.0,6.8,12,1230
0.8,2.4,3420.0,9.6,7.2,12,1320
0.5,0.7,11637.0,13.3,5.5,12,1770
1.8,1.8,6525.0,14.2,2.2,12,1980
1.1,1.7,20259.0,16.3,0.9,12,2160
0.6,1.4,2884.5,1.6,16.4,13,960
