FN,FP,TN,TP,sr,t
0.0,26.0,0.0,230.0,2,0.478987974358975
0.0,51.0,0.0,205.0,2,0.528053435897436
63.8,35.4,41.6,115.2,2,0.732406631578947
51.0,41.2,60.8,103.0,2,1.24142602702703
51.7,73.8,54.2,76.3,2,2.08937425641026
42.4,72.7,81.3,59.6,2,5.81297530769231
34.3,85.9,93.1,42.7,2,10.6980868974359
51.0,0.0,205.0,0.0,2,19.898601564102602
26.0,0.0,230.0,0.0,2,37.5557710769231
17.1,12.6,13.4,212.9,27,0.478987974358975
21.2,20.5,30.5,183.8,27,0.528053435897436
12.6,10.7,66.3,166.4,27,0.732406631578947
9.8,16.0,86.0,144.2,27,1.24142602702703
7.0,6.7,121.3,121.0,27,2.08937425641026
0.0,4.3,149.7,102.0,27,5.81297530769231
1.6,10.7,168.3,75.4,27,10.6980868974359
10.9,11.7,193.3,40.1,27,19.898601564102602
1.9,3.4,227.6,23.1,27,37.5557710769231
13.2,9.2,16.8,216.8,52,0.478987974358975
19.8,14.5,36.5,185.2,52,0.528053435897436
3.9,5.5,71.5,175.1,52,0.732406631578947
5.9,4.4,97.6,148.1,52,1.24142602702703
3.9,8.3,119.7,124.1,52,2.08937425641026
0.0,0.1,153.9,102.0,52,5.81297530769231
0.0,0.2,178.8,77.0,52,10.6980868974359
0.0,0.1,204.9,51.0,52,19.898601564102602
0.7,0.1,229.9,25.3,52,37.5557710769231
2.8,0.0,26.0,227.2,77,0.478987974358975
11.9,10.3,40.7,193.1,77,0.528053435897436
1.3,0.0,77.0,177.7,77,0.732406631578947
1.8,1.3,100.7,152.2,77,1.24142602702703
2.5,3.3,124.7,125.5,77,2.08937425641026
0.0,0.0,154.0,102.0,77,5.81297530769231
0.0,0.0,179.0,77.0,77,10.6980868974359
0.0,0.1,204.9,51.0,77,19.898601564102602
0.0,0.1,230.9,25.0,77,37.5557710769231
0.6,1.2,24.8,229.4,102,0.478987974358975
7.0,6.8,44.2,198.0,102,0.528053435897436
0.0,0.1,76.9,179.0,102,0.732406631578947
0.4,0.0,102.0,153.6,102,1.24142602702703
0.5,0.4,127.6,127.5,102,2.08937425641026
0.1,0.3,153.7,101.9,102,5.81297530769231
0.4,0.0,179.0,76.6,102,10.6980868974359
0.0,0.2,204.8,51.0,102,19.898601564102602
0.6,0.1,229.9,25.4,102,37.5557710769231
0.5,0.2,25.8,229.5,127,0.478987974358975
8.5,7.1,43.9,196.5,127,0.528053435897436
0.0,0.0,77.0,179.0,127,0.732406631578947
0.0,0.1,101.9,154.0,127,1.24142602702703
0.1,0.6,127.4,127.9,127,2.08937425641026
0.0,0.1,153.9,102.0,127,5.81297530769231
0.0,0.3,178.7,77.0,127,10.6980868974359
0.0,0.1,204.9,51.0,127,19.898601564102602
0.0,0.1,230.9,25.0,127,37.5557710769231
0.0,0.0,26.0,230.0,152,0.478987974358975
6.7,5.3,45.7,198.3,152,0.528053435897436
0.1,0.0,77.0,178.9,152,0.732406631578947
0.2,0.0,102.0,153.8,152,1.24142602702703
0.8,0.3,127.7,127.2,152,2.08937425641026
0.9,0.1,153.9,101.1,152,5.81297530769231
0.9,0.2,178.8,76.1,152,10.6980868974359
0.2,0.0,205.0,50.8,152,19.898601564102602
0.3,0.1,229.9,25.7,152,37.5557710769231
0.0,0.2,25.8,230.0,177,0.478987974358975
5.7,5.1,45.9,199.3,177,0.528053435897436
0.0,0.0,77.0,179.0,177,0.732406631578947
0.5,0.0,102.0,153.5,177,1.24142602702703
0.0,1.4,126.6,128.0,177,2.08937425641026
0.0,0.1,153.9,102.0,177,5.81297530769231
0.0,0.0,179.0,77.0,177,10.6980868974359
0.0,0.3,204.7,51.0,177,19.898601564102602
0.2,0.1,230.9,24.8,177,37.5557710769231
0.3,0.0,26.0,229.7,202,0.478987974358975
5.2,5.4,45.6,199.8,202,0.528053435897436
0.0,0.2,76.8,179.0,202,0.732406631578947
0.4,0.1,101.9,153.6,202,1.24142602702703
0.4,0.1,127.9,127.6,202,2.08937425641026
0.2,0.2,153.8,101.8,202,5.81297530769231
1.0,0.2,178.8,76.0,202,10.6980868974359
0.0,0.0,205.0,51.0,202,19.898601564102602
0.0,0.1,229.9,26.0,202,37.5557710769231
0.0,0.2,25.8,230.0,227,0.478987974358975
5.5,7.3,43.7,199.5,227,0.528053435897436
0.3,0.2,76.8,178.7,227,0.732406631578947
0.4,0.1,101.9,153.6,227,1.24142602702703
0.7,0.4,127.6,127.3,227,2.08937425641026
0.3,0.1,153.9,101.7,227,5.81297530769231
0.2,0.2,178.8,76.8,227,10.6980868974359
0.1,0.0,205.0,50.9,227,19.898601564102602
0.2,0.2,230.8,24.8,227,37.5557710769231
0.6,0.0,26.0,229.4,252,0.478987974358975
2.6,1.5,49.5,202.4,252,0.528053435897436
0.0,0.1,76.9,179.0,252,0.732406631578947
0.0,0.3,101.7,154.0,252,1.24142602702703
0.1,0.2,127.8,127.9,252,2.08937425641026
0.0,0.2,153.8,102.0,252,5.81297530769231
0.4,0.0,179.0,76.6,252,10.6980868974359
0.4,0.2,204.8,50.6,252,19.898601564102602
0.3,0.1,229.9,25.7,252,37.5557710769231
0.1,0.1,25.9,229.9,277,0.478987974358975
2.2,3.8,47.2,202.8,277,0.528053435897436
0.0,0.1,76.9,179.0,277,0.732406631578947
0.0,0.1,101.9,154.0,277,1.24142602702703
0.4,0.1,127.9,127.6,277,2.08937425641026
0.3,0.1,153.9,101.7,277,5.81297530769231
0.1,0.1,178.9,76.9,277,10.6980868974359
0.7,0.2,204.8,50.3,277,19.898601564102602
0.5,0.2,230.8,24.5,277,37.5557710769231
0.1,0.0,26.0,229.9,302,0.478987974358975
4.1,2.3,48.7,200.9,302,0.528053435897436
0.1,0.1,76.9,178.9,302,0.732406631578947
