FN,FP,MSE,TN,TP,sr,t
0.0,26.0,26.92717091075412,0.0,230.0,2,0.478987974358975
0.0,51.0,69.2679523323623,0.0,205.0,2,0.528053435897436
75.7,43.7,12.545906484906755,33.3,103.3,2,0.732406631578947
65.9,52.0,92.67752832450017,50.0,88.1,2,1.24142602702703
53.0,35.8,15.871957391062192,92.2,75.0,2,2.08937425641026
38.3,71.7,11.403348238547414,82.3,63.7,2,5.81297530769231
34.9,65.8,8.770215393742186,113.2,42.1,2,10.6980868974359
51.0,0.0,16.47244959249095,205.0,0.0,2,19.898601564102602
26.0,0.0,19.98167955463115,230.0,0.0,2,37.5557710769231
19.3,10.3,0.03602784007579487,15.7,210.7,27,0.478987974358975
15.9,16.3,12.67750743154233,34.7,189.1,27,0.528053435897436
11.2,15.2,0.02032922271424608,61.8,167.8,27,0.732406631578947
11.0,8.7,0.022951911534345282,93.3,143.0,27,1.24142602702703
7.6,18.4,0.6005498966553788,109.6,120.4,27,2.08937425641026
2.8,5.4,0.12968319828876237,148.6,99.2,27,5.81297530769231
5.0,9.0,11.449679485414782,170.0,72.0,27,10.6980868974359
1.4,6.7,0.4353395178590893,198.3,49.6,27,19.898601564102602
1.5,0.9,0.06057550452384203,230.1,23.5,27,37.5557710769231
10.4,7.2,0.007927829723422736,18.8,219.6,52,0.478987974358975
7.2,10.1,12.14769164408005,40.9,197.8,52,0.528053435897436
3.6,7.7,0.019947327809815354,69.3,175.4,52,0.732406631578947
3.4,3.2,0.016108461950360774,98.8,150.6,52,1.24142602702703
3.6,5.1,0.018175933824904542,122.9,124.4,52,2.08937425641026
0.0,0.0,0.011626736317708858,154.0,102.0,52,5.81297530769231
0.0,2.4,0.01628625280485091,176.6,77.0,52,10.6980868974359
0.0,0.3,0.004065250667458031,204.7,51.0,52,19.898601564102602
0.0,0.3,0.017436604412850366,229.7,26.0,52,37.5557710769231
1.7,3.0,0.01073704645726135,23.0,228.3,77,0.478987974358975
7.4,9.2,0.0010151924040759633,41.8,197.6,77,0.528053435897436
2.3,1.2,0.0038669971588225134,75.8,176.7,77,0.732406631578947
1.8,1.2,0.007449935631076238,100.8,152.2,77,1.24142602702703
1.4,1.0,0.00024543889320174656,127.0,126.6,77,2.08937425641026
0.6,0.1,0.01640691214493341,153.9,101.4,77,5.81297530769231
0.0,0.1,0.000583193161268051,178.9,77.0,77,10.6980868974359
0.0,0.1,0.007980403868300165,204.9,51.0,77,19.898601564102602
0.0,0.2,0.000384676178379825,230.8,25.0,77,37.5557710769231
2.0,7.1,0.000416730935277238,18.9,228.0,102,0.478987974358975
6.3,8.0,0.0002772691640396766,43.0,198.7,102,0.528053435897436
0.0,0.2,0.004818550872955524,76.8,179.0,102,0.732406631578947
0.6,0.7,0.0003890352172646022,101.3,153.4,102,1.24142602702703
0.1,1.1,0.0007106742107333358,126.9,127.9,102,2.08937425641026
0.0,0.1,8.52202726399314e-05,153.9,102.0,102,5.81297530769231
0.0,0.0,0.0003947203624926095,179.0,77.0,102,10.6980868974359
0.0,0.0,0.00019941756582848692,205.0,51.0,102,19.898601564102602
0.3,0.1,0.004283672957920692,229.9,25.7,102,37.5557710769231
2.3,2.2,0.0003092896380755443,23.8,227.7,127,0.478987974358975
3.0,5.2,0.00016854463102562365,45.8,202.0,127,0.528053435897436
0.5,0.0,0.00020549053227911655,77.0,178.5,127,0.732406631578947
1.1,0.2,0.000144222795915686,101.8,152.9,127,1.24142602702703
0.1,0.3,0.00012632040043413414,127.7,127.9,127,2.08937425641026
0.0,0.0,0.00017618860930797707,154.0,102.0,127,5.81297530769231
0.6,0.0,0.000303326866259588,179.0,76.4,127,10.6980868974359
0.0,0.1,0.00022762123016342527,204.9,51.0,127,19.898601564102602
0.0,0.0,0.0003279927634450388,231.0,25.0,127,37.5557710769231
2.1,4.4,0.0002374803724645588,21.6,227.9,152,0.478987974358975
2.1,2.8,0.0002136716993286965,48.2,202.9,152,0.528053435897436
0.0,0.1,0.00023537989416404524,76.9,179.0,152,0.732406631578947
0.2,0.0,0.0007892989416272523,102.0,153.8,152,1.24142602702703
0.6,1.2,0.00035516965101797983,126.8,127.4,152,2.08937425641026
0.7,0.2,0.00015304962230659841,153.8,101.3,152,5.81297530769231
0.2,0.1,0.0004040014545575975,178.9,76.8,152,10.6980868974359
0.0,0.0,0.00020988862339119937,205.0,51.0,152,19.898601564102602
0.0,0.2,0.00020568472659581588,229.8,26.0,152,37.5557710769231
0.5,1.6,0.00014511903168369124,24.4,229.5,177,0.478987974358975
3.0,2.0,6.58690792190327e-05,49.0,202.0,177,0.528053435897436
0.0,0.1,6.776095341104896e-05,76.9,179.0,177,0.732406631578947
0.0,0.3,0.00016507663584511989,101.7,154.0,177,1.24142602702703
0.4,0.3,0.0001711921704815774,127.7,127.6,177,2.08937425641026
0.0,0.0,0.0005129092136978609,154.0,102.0,177,5.81297530769231
0.0,0.0,0.00013227344468461107,179.0,77.0,177,10.6980868974359
0.0,0.1,0.00019020558285412357,204.9,51.0,177,19.898601564102602
0.0,0.0,0.00016168666619599496,231.0,25.0,177,37.5557710769231
1.8,1.9,0.000258970175209094,24.1,228.2,202,0.478987974358975
2.8,2.5,0.0001304790821155657,48.5,202.2,202,0.528053435897436
0.0,0.1,0.00018960145562982447,76.9,179.0,202,0.732406631578947
