FN,FP,TN,TP,sr,t
0.0,2.0,0.0,16.0,2,3161
0.0,4.0,0.0,14.0,2,3268
5.9,2.2,2.8,7.1,2,3451
3.4,2.8,4.2,7.6,2,4894
3.2,1.9,7.1,5.8,2,5186
3.1,4.8,6.2,3.9,2,5295
1.7,6.1,6.9,3.3,2,5361
4.0,0.0,14.0,0.0,2,5499
2.0,0.0,16.0,0.0,2,14744
0.0,2.0,0.0,16.0,3,3161
4.9,1.7,2.3,9.1,3,3268
4.5,1.0,4.0,8.5,3,3451
2.5,3.7,3.3,8.5,3,4894
1.7,1.7,7.3,7.3,3,5186
2.4,3.3,7.7,4.6,3,5295
2.1,6.0,7.0,2.9,3,5361
0.9,5.9,9.1,2.1,3,5499
2.0,0.0,16.0,0.0,3,14744
0.0,2.0,0.0,16.0,4,3161
4.1,2.1,1.9,9.9,4,3268
3.9,3.2,2.8,8.1,4,3451
2.5,2.1,4.9,8.5,4,4894
1.1,0.9,8.1,7.9,4,5186
2.1,3.6,7.4,4.9,4,5295
2.2,4.6,8.4,2.8,4,5361
1.5,5.7,9.3,1.5,4,5499
2.0,0.0,16.0,0.0,4,14744
5.7,1.1,0.9,10.3,5,3161
3.6,2.0,2.0,10.4,5,3268
3.6,1.4,3.6,9.4,5,3451
2.6,2.7,4.3,8.4,5,4894
1.6,0.7,8.3,7.4,5,5186
1.6,2.2,8.8,5.4,5,5295
2.1,5.0,8.0,2.9,5,5361
1.0,3.9,11.1,2.0,5,5499
2.0,0.0,16.0,0.0,5,14744
5.5,1.0,1.0,10.5,6,3161
2.9,2.4,1.6,11.1,6,3268
3.7,1.6,3.4,9.3,6,3451
1.2,2.0,5.0,9.8,6,4894
0.8,0.3,8.7,8.2,6,5186
2.2,2.3,8.7,4.8,6,5295
1.8,4.5,8.5,3.2,6,5361
1.8,3.1,10.9,2.2,6,5499
1.1,5.4,10.6,0.9,6,14744
4.4,1.3,0.7,11.6,7,3161
2.3,2.6,1.4,11.7,7,3268
4.0,1.7,4.3,8.0,7,3451
1.9,1.1,5.9,9.1,7,4894
0.1,0.2,8.8,8.9,7,5186
1.7,1.5,9.5,5.3,7,5295
2.2,2.9,10.1,2.8,7,5361
1.6,3.4,10.6,2.4,7,5499
1.2,3.0,13.0,0.8,7,14744
3.5,1.2,0.8,12.5,8,3161
3.5,2.2,1.8,10.5,8,3268
1.9,2.1,3.9,10.1,8,3451
1.9,2.1,4.9,9.1,8,4894
0.5,0.6,8.4,8.5,8,5186
2.2,1.8,9.2,4.8,8,5295
2.7,2.6,10.4,2.3,8,5361
1.3,3.5,11.5,1.7,8,5499
1.2,3.1,12.9,0.8,8,14744
4.2,1.4,0.6,11.8,9,3161
3.2,1.2,2.8,10.8,9,3268
3.5,0.8,4.2,9.5,9,3451
0.5,0.8,6.2,10.5,9,4894
0.6,0.2,8.8,8.4,9,5186
1.7,1.5,9.5,5.3,9,5295
0.6,4.1,8.9,4.4,9,5361
1.1,2.3,12.7,1.9,9,5499
1.4,2.7,13.3,0.6,9,14744
2.8,1.0,1.0,13.2,10,3161
3.2,3.0,1.0,10.8,10,3268
1.9,1.1,4.9,10.1,10,3451
1.1,1.4,5.6,9.9,10,4894
0.4,0.0,9.0,8.6,10,5186
1.1,1.3,9.7,5.9,10,5295
1.8,4.0,9.0,3.2,10,5361
0.5,2.5,12.5,2.5,10,5499
1.2,2.7,13.3,0.8,10,14744
2.7,1.3,0.7,13.3,11,3161
2.5,2.2,1.8,11.5,11,3268
1.3,1.2,4.8,10.7,11,3451
1.7,2.0,5.0,9.3,11,4894
0.3,0.1,8.9,8.7,11,5186
1.0,2.0,9.0,6.0,11,5295
1.8,3.1,9.9,3.2,11,5361
1.3,1.0,13.0,2.7,11,5499
0.8,2.7,13.3,1.2,11,14744
1.4,1.2,0.8,14.6,12,3161
2.4,1.7,2.3,11.6,12,3268
1.7,0.9,4.1,11.3,12,3451
0.8,0.0,7.0,10.2,12,4894
0.0,0.1,8.9,9.0,12,5186
0.9,1.4,9.6,6.1,12,5295
1.0,2.9,10.1,4.0,12,5361
2.6,2.3,11.7,1.4,12,5499
0.8,1.8,14.2,1.2,12,14744
2.1,1.4,0.6,13.9,13,3161
1.6,1.5,2.5,12.4,13,3268
1.3,0.4,4.6,11.7,13,3451
1.1,0.7,6.3,9.9,13,4894
0.2,0.0,9.0,8.8,13,5186
1.9,0.7,10.3,5.1,13,5295
1.5,2.5,10.5,3.5,13,5361
0.6,1.6,13.4,2.4,13,5499
1.4,2.2,13.8,0.6,13,14744
3.2,1.2,0.8,12.8,14,3161
1.7,1.7,2.3,12.3,14,3268
1.2,1.3,4.7,10.8,14,3451
1.8,1.0,6.0,9.2,14,4894
0.6,0.2,8.8,8.4,14,5186
1.4,0.7,10.3,5.6,14,5295
1.2,2.1,10.9,3.8,14,5361
0.6,1.7,13.3,2.4,14,5499
1.4,1.8,14.2,0.6,14,14744
4.5,1.2,0.8,11.5,15,3161
2.0,1.9,2.1,12.0,15,3268
0.8,0.8,4.2,12.2,15,3451
1.1,0.6,6.4,9.9,15,4894
0.0,0.1,8.9,9.0,15,5186
1.3,1.1,9.9,5.7,15,5295
1.3,1.1,11.9,3.7,15,5361
0.6,1.9,13.1,2.4,15,5499
1.1,2.5,13.5,0.9,15,14744
1.5,1.8,0.2,14.5,16,3161
2.9,1.5,2.5,11.1,16,3268
1.9,1.0,4.0,11.1,16,3451
0.1,0.6,6.4,10.9,16,4894
0.2,0.2,8.8,8.8,16,5186
1.0,1.6,9.4,6.0,16,5295
1.1,2.0,11.0,3.9,16,5361
0.3,0.7,13.3,3.7,16,5499
0.7,1.2,14.8,1.3,16,14744
1.9,1.6,0.4,14.1,17,3161
0.9,2.0,2.0,13.1,17,3268
0.6,1.2,4.8,11.4,17,3451
0.6,1.1,5.9,10.4,17,4894
0.0,0.3,8.7,9.0,17,5186
1.5,1.4,9.6,5.5,17,5295
1.6,1.5,11.5,3.4,17,5361
0.9,0.7,13.3,3.1,17,5499
1.3,2.1,13.9,0.7,17,14744
2.3,1.0,1.0,13.7,18,3161
2.9,1.5,2.5,11.1,18,3268
2.4,0.2,5.3,10.1,18,3451
0.4,2.2,4.8,10.6,18,4894
0.2,0.0,9.0,8.8,18,5186
1.1,1.3,9.7,5.9,18,5295
0.6,0.5,12.5,4.4,18,5361
0.9,0.9,13.8,2.4,18,5499
0.8,0.8,15.2,1.2,18,14744
1.9,1.4,0.6,14.1,19,3161
1.7,1.5,2.5,12.3,19,3268
0.3,0.5,4.5,12.7,19,3451
0.6,0.9,6.1,10.4,19,4894
0.1,0.3,8.7,8.9,19,5186
0.8,1.3,9.7,6.2,19,5295
1.1,1.2,11.8,3.9,19,5361
0.7,0.8,14.2,2.3,19,5499
