FN,FP,MSE,TN,TP,sr,t
0.0,2.0,3009018.605555556,0.0,16.0,2,3161
0.0,4.0,4629092.777777778,0.0,14.0,2,3268
4.2,2.0,2125918.3222222226,3.0,8.8,2,3451
4.3,2.1,2591834.644444444,4.9,6.7,2,4894
4.6,3.5,4435028.75,5.5,4.4,2,5186
2.7,5.3,1219731.9555555556,5.7,4.3,2,5295
1.8,6.9,2185093.7388888886,6.1,3.2,2,5361
4.0,0.0,2467208.9444444445,14.0,0.0,2,5499
2.0,0.0,1640615.8611111112,16.0,0.0,2,14744
0.0,2.0,2298149.8833333333,0.0,16.0,3,3161
2.3,2.9,6426082.444444445,1.1,11.7,3,3268
3.0,2.8,2028453.7055555556,2.2,10.0,3,3451
2.1,2.0,9508129.733333332,5.0,8.9,3,4894
4.3,1.3,2539105.422222222,7.7,4.7,3,5186
1.5,3.0,2363160.611111111,8.0,5.5,3,5295
2.2,4.3,3788996.5666666664,8.7,2.8,3,5361
1.0,5.1,7010134.227777777,9.9,2.0,3,5499
2.0,0.0,2423487.783333333,16.0,0.0,3,14744
0.0,2.0,3969086.0833333335,0.0,16.0,4,3161
2.8,2.0,715433.5555555556,2.0,11.2,4,3268
3.2,4.0,91210.26111111112,2.0,8.8,4,3451
5.0,2.7,1221757.3444444444,4.3,6.0,4,4894
1.3,2.6,1135210.6111111112,6.4,7.7,4,5186
3.1,4.0,2395190.2944444446,7.0,3.9,4,5295
2.8,2.8,735031.4722222222,10.2,2.2,4,5361
1.2,5.0,4481681.111111111,10.0,1.8,4,5499
2.0,0.0,1871690.4722222225,16.0,0.0,4,14744
2.2,1.2,768402.9666666667,0.8,13.8,5,3161
3.1,2.4,1046902.7611111111,1.6,10.9,5,3268
3.3,2.5,3355398.0888888887,2.5,9.7,5,3451
3.0,2.5,2434655.211111111,4.5,8.0,5,4894
2.0,1.7,3057367.75,7.3,7.0,5,5186
1.5,1.3,3581963.15,9.7,5.5,5,5295
2.2,1.1,1680007.5111111111,11.9,2.8,5,5361
1.3,4.3,2650482.711111111,10.7,1.7,5,5499
2.0,0.0,1254777.0444444444,16.0,0.0,5,14744
2.0,1.2,3600263.883333334,0.8,14.0,6,3161
2.6,2.2,944442.0277777778,1.8,11.4,6,3268
1.8,1.8,2382219.7611111114,3.2,11.2,6,3451
1.6,2.2,3729558.694444445,4.8,9.4,6,4894
0.6,2.2,5794676.738888889,6.8,8.4,6,5186
0.9,2.4,1071357.8388888887,8.6,6.1,6,5295
1.9,3.4,2070290.2333333332,9.6,3.1,6,5361
1.4,3.3,2275234.1333333333,10.7,2.6,6,5499
0.7,4.0,1846042.2944444444,12.0,1.3,6,14744
2.1,1.6,2218796.2944444446,0.4,13.9,7,3161
2.3,1.8,1661974.1,2.2,11.7,7,3268
1.5,1.2,2160903.2944444446,4.8,10.5,7,3451
2.1,2.6,1967303.9055555556,4.4,8.9,7,4894
