FN,FP,TN,TP,sr,t
0.0,23.0,0.0,208.0,2,7395.054999999998
0.0,46.0,0.0,185.0,2,8447.814285714283
78.7,28.0,41.0,83.3,2,9560.767142857143
63.4,53.1,38.9,75.6,2,9896.94214285714
52.8,53.4,62.6,62.2,2,10259.974999999997
39.7,59.1,79.9,52.3,2,10607.560714285712
32.5,61.3,100.7,36.5,2,10970.621428571429
46.0,0.0,185.0,0.0,2,11656.392857142857
23.0,0.0,208.0,0.0,2,13508.696428571431
16.0,12.6,10.4,192.0,25,7395.054999999998
29.9,24.0,22.0,155.1,25,8447.814285714283
32.1,18.8,50.2,129.9,25,9560.767142857143
23.2,30.4,61.6,115.8,25,9896.94214285714
30.4,28.0,88.0,84.6,25,10259.974999999997
27.5,30.1,108.9,64.5,25,10607.560714285712
25.9,20.0,142.0,43.1,25,10970.621428571429
19.7,19.0,166.0,26.3,25,11656.392857142857
13.2,15.2,192.8,9.8,25,13508.696428571431
13.0,13.7,9.3,195.0,48,7395.054999999998
28.7,18.7,27.3,156.3,48,8447.814285714283
25.1,26.4,42.6,136.9,48,9560.767142857143
25.5,24.9,67.1,113.5,48,9896.94214285714
22.7,24.2,91.8,92.3,48,10259.974999999997
28.8,21.3,117.7,63.2,48,10607.560714285712
17.5,15.5,146.5,51.5,48,10970.621428571429
17.8,15.2,169.8,28.2,48,11656.392857142857
11.6,10.3,197.7,11.4,48,13508.696428571431
14.3,11.8,11.2,193.7,71,7395.054999999998
22.6,19.1,26.9,162.4,71,8447.814285714283
18.8,21.9,47.1,143.2,71,9560.767142857143
23.6,20.1,71.9,115.4,71,9896.94214285714
21.4,17.6,98.4,93.6,71,10259.974999999997
15.8,21.9,117.1,76.2,71,10607.560714285712
13.8,15.2,146.8,55.2,71,10970.621428571429
16.4,16.2,168.8,29.6,71,11656.392857142857
9.0,10.7,197.3,14.0,71,13508.696428571431
8.7,13.7,9.3,199.3,94,7395.054999999998
16.6,19.0,27.0,168.4,94,8447.814285714283
