FN,FP,MSE,TN,TP,sr,t
0.0,23.0,1132154.9641529145,0.0,208.0,2,7395.054999999998
0.0,46.0,9526708.702627202,0.0,185.0,2,8447.814285714283
82.0,36.3,3237539.358679499,32.7,80.0,2,9560.767142857143
58.1,35.1,1076829.7175564147,56.9,80.9,2,9896.94214285714
75.7,34.0,1936058.0550019748,82.0,39.3,2,10259.974999999997
48.7,52.2,1712063.8851880736,86.8,43.3,2,10607.560714285712
30.0,78.4,1244826.3352094996,83.6,39.0,2,10970.621428571429
46.0,0.0,892438.9818989413,185.0,0.0,2,11656.392857142857
23.0,0.0,1473877.4184267914,208.0,0.0,2,13508.696428571431
19.4,12.1,1246008.9813574674,10.9,188.6,25,7395.054999999998
23.5,25.1,1124146.8571734768,20.9,161.5,25,8447.814285714283
24.7,25.7,687705.3038452083,43.3,137.3,25,9560.767142857143
35.4,34.6,4055180.388991738,57.4,103.6,25,9896.94214285714
29.7,23.3,2720219.2616485497,92.7,85.3,25,10259.974999999997
25.2,22.6,668079.3825307993,116.4,66.8,25,10607.560714285712
20.8,15.6,1230524.8183566069,146.4,48.2,25,10970.621428571429
18.4,15.6,1019991.7245764935,169.4,27.6,25,11656.392857142857
13.2,14.1,1002726.8493465536,193.9,9.8,25,13508.696428571431
11.4,10.6,461324.6356476943,12.4,196.6,48,7395.054999999998
23.5,19.8,2194080.711660923,26.2,161.5,48,8447.814285714283
29.1,22.9,1196468.9829888125,46.1,132.9,48,9560.767142857143
22.2,25.6,618097.5706489396,66.4,116.8,48,9896.94214285714
23.1,24.8,332037.1363725581,91.2,91.9,48,10259.974999999997
19.8,28.6,1168279.1152730347,110.4,72.2,48,10607.560714285712
17.1,17.1,376777.3751613737,144.9,51.9,48,10970.621428571429
17.4,16.3,1346823.9727667668,168.7,28.6,48,11656.392857142857
9.8,6.5,1947498.1088388395,201.5,13.2,48,13508.696428571431
13.0,13.9,1589617.5087425297,9.1,195.0,71,7395.054999999998
23.6,19.5,423662.5696851695,26.5,161.4,71,8447.814285714283
24.6,23.2,729216.4449555476,45.8,137.4,71,9560.767142857143
20.6,28.1,942446.259611461,63.9,118.4,71,9896.94214285714
18.0,20.5,891656.0385288198,95.5,97.0,71,10259.974999999997
18.6,16.5,556323.2042720134,122.5,73.4,71,10607.560714285712
16.4,15.8,1263908.0827054859,146.2,52.6,71,10970.621428571429
14.9,13.1,616923.3677956654,171.9,31.1,71,11656.392857142857
9.8,8.9,1715441.0861677479,199.1,13.2,71,13508.696428571431
10.6,9.0,963113.6637363995,14.0,197.4,94,7395.054999999998
18.9,16.9,611010.0174646045,29.1,166.1,94,8447.814285714283
19.0,23.5,1020977.5498858268,45.5,143.0,94,9560.767142857143
21.6,20.6,678574.7596508985,71.4,117.4,94,9896.94214285714
20.5,21.4,1221588.385033954,94.6,94.5,94,10259.974999999997
13.9,15.7,593994.3288670534,123.3,78.1,94,10607.560714285712
15.2,11.5,968041.2865946019,150.5,53.8,94,10970.621428571429
12.2,12.9,1060312.9788899245,172.1,33.8,94,11656.392857142857
9.5,9.6,952326.1775405243,198.4,13.5,94,13508.696428571431
12.3,10.1,170755.64710057614,12.9,195.7,117,7395.054999999998
16.0,19.7,920939.8921631085,26.3,169.0,117,8447.814285714283
21.5,17.2,1613003.7598558126,51.8,140.5,117,9560.767142857143
18.5,18.9,1523206.724382101,73.1,120.5,117,9896.94214285714
19.3,16.3,1448318.4141179675,99.7,95.7,117,10259.974999999997
16.2,18.9,828506.5805850604,120.1,75.8,117,10607.560714285712
10.0,12.4,1221828.747085632,149.6,59.0,117,10970.621428571429
12.1,15.3,1548564.982339492,169.7,33.9,117,11656.392857142857
7.8,7.7,856980.959577721,200.3,15.2,117,13508.696428571431
13.5,10.7,658936.798710331,12.3,194.5,140,7395.054999999998
20.4,16.8,373412.96763277595,29.2,164.6,140,8447.814285714283
23.0,19.1,1180144.1813661442,49.9,139.0,140,9560.767142857143
18.2,18.2,386541.1236326207,73.8,120.8,140,9896.94214285714
16.2,13.9,1399967.0756830596,102.1,98.8,140,10259.974999999997
13.2,16.3,540957.0262641461,122.7,78.8,140,10607.560714285712
12.2,12.0,638511.5972995941,150.0,56.8,140,10970.621428571429
9.9,14.2,499843.21942165605,170.8,36.1,140,11656.392857142857
8.0,7.1,703070.4734240868,200.9,15.0,140,13508.696428571431
10.8,10.0,1040699.3029560642,13.0,197.2,163,7395.054999999998
19.1,16.6,507799.21311118186,29.4,165.9,163,8447.814285714283
19.6,15.8,1467609.6467157325,53.2,142.4,163,9560.767142857143
16.4,15.4,614956.0113966531,76.6,122.6,163,9896.94214285714
18.5,15.2,353868.9513647005,100.8,96.5,163,10259.974999999997
13.4,13.5,442676.8160434247,125.5,78.6,163,10607.560714285712
8.8,9.0,392616.683806602,153.0,60.2,163,10970.621428571429
12.5,10.9,604910.3530052998,174.1,33.5,163,11656.392857142857
8.4,6.7,498013.69842982397,201.3,14.6,163,13508.696428571431
12.5,9.0,554492.2833961861,14.0,195.5,186,7395.054999999998
16.8,15.3,564765.4649589993,30.7,168.2,186,8447.814285714283
17.9,16.3,397999.42426183954,52.7,144.1,186,9560.767142857143
15.1,18.5,603986.8961489097,73.5,123.9,186,9896.94214285714
14.4,18.9,438434.8367647974,97.1,100.6,186,10259.974999999997
13.0,12.8,171245.56776274292,126.2,79.0,186,10607.560714285712
9.7,12.4,401708.0288303646,149.6,59.3,186,10970.621428571429
11.3,11.2,836909.5848603786,173.8,34.7,186,11656.392857142857
5.4,6.8,1646174.8757641215,201.2,17.6,186,13508.696428571431
9.8,9.5,399393.10922271706,13.5,198.2,209,7395.054999999998
14.7,14.7,814535.7839501263,31.3,170.3,209,8447.814285714283
14.4,15.3,606424.7336739489,53.7,147.6,209,9560.767142857143
17.1,17.1,466456.81880074565,74.9,121.9,209,9896.94214285714
13.4,14.7,932022.4498561947,101.3,101.6,209,10259.974999999997
13.0,13.4,317302.2243969346,125.6,79.0,209,10607.560714285712
8.2,9.6,573324.7150661771,152.4,60.8,209,10970.621428571429
10.5,14.1,232090.02740490925,170.9,35.5,209,11656.392857142857
6.3,4.7,352516.7717788516,203.3,16.7,209,13508.696428571431
7.7,10.4,1242889.888670144,12.6,200.3,232,7395.054999999998
14.5,16.8,236143.41362210922,29.2,170.5,232,8447.814285714283
16.5,15.2,657250.3478630552,53.8,145.5,232,9560.767142857143
16.3,17.1,286800.75109842536,74.9,122.7,232,9896.94214285714
12.9,16.6,716117.4286315273,99.4,102.1,232,10259.974999999997
13.0,13.5,413892.3379227522,125.5,79.0,232,10607.560714285712
