FN,FP,TN,TP,sr,t
0.0,135.0,0.0,1214.0,2,22.464000000000002
0.0,270.0,0.0,1079.0,2,23.397
272.6,256.9,148.1,671.4,2,24.643
506.6,187.5,352.5,302.4,2,27.068
375.3,292.4,382.6,298.7,2,30.396
243.4,382.8,427.2,295.6,2,33.649
121.2,432.0,512.0,283.8,2,39.013000000000005
270.0,0.0,1079.0,0.0,2,45.168
135.0,0.0,1214.0,0.0,2,58.173
75.1,67.2,67.8,1138.9,136,22.464000000000002
102.9,83.6,186.4,976.1,136,23.397
88.9,81.2,323.8,855.1,136,24.643
96.6,94.3,445.7,712.4,136,27.068
109.7,112.7,562.3,564.3,136,30.396
90.7,89.6,719.4,449.3,136,33.649
88.8,97.9,846.1,316.2,136,39.013000000000005
109.8,96.0,983.0,160.2,136,45.168
64.7,65.6,1148.4,70.3,136,58.173
58.1,53.7,81.3,1155.9,270,22.464000000000002
86.8,67.7,202.3,992.2,270,23.397
74.0,72.9,332.1,870.0,270,24.643
83.8,81.2,458.8,725.2,270,27.068
88.3,91.1,583.9,585.7,270,30.396
85.2,75.1,734.9,453.8,270,33.649
76.5,77.0,867.0,328.5,270,39.013000000000005
88.9,88.1,990.9,181.1,270,45.168
51.2,42.3,1171.7,83.8,270,58.173
49.1,52.6,82.4,1164.9,404,22.464000000000002
66.1,57.6,212.4,1012.9,404,23.397
56.3,59.2,345.8,887.7,404,24.643
63.4,64.1,475.9,745.6,404,27.068
73.7,76.9,598.1,600.3,404,30.396
74.0,66.2,743.8,465.0,404,33.649
60.7,64.3,879.7,344.3,404,39.013000000000005
73.1,64.4,1014.6,196.9,404,45.168
39.3,36.0,1178.0,95.7,404,58.173
54.5,49.8,85.2,1159.5,538,22.464000000000002
54.8,62.8,207.2,1024.2,538,23.397
55.8,60.1,344.9,888.2,538,24.643
47.9,57.8,482.2,761.1,538,27.068
71.8,71.0,604.0,602.2,538,30.396
61.3,58.2,750.8,478.7,538,33.649
56.1,53.7,890.3,348.9,538,39.013000000000005
63.5,53.5,1025.5,206.5,538,45.168
33.0,28.3,1185.7,102.0,538,58.173
53.1,39.3,95.7,1160.9,672,22.464000000000002
48.4,46.2,223.8,1030.6,672,23.397
46.9,45.6,359.4,897.1,672,24.643
47.2,51.1,488.9,761.8,672,27.068
61.9,65.1,609.9,612.1,672,30.396
61.9,49.3,760.7,477.1,672,33.649
45.3,48.5,895.5,359.7,672,39.013000000000005
57.7,51.1,1027.9,212.3,672,45.168
22.9,21.5,1192.5,112.1,672,58.173
41.7,43.2,91.8,1172.3,806,22.464000000000002
51.7,44.0,226.0,1027.3,806,23.397
40.2,39.5,365.5,903.8,806,24.643
38.1,47.9,492.1,770.9,806,27.068
62.3,58.9,616.1,611.7,806,30.396
56.0,46.8,762.2,484.0,806,33.649
43.9,42.6,901.4,361.1,806,39.013000000000005
58.9,52.8,1026.2,211.1,806,45.168
22.0,21.9,1192.1,113.0,806,58.173
43.6,39.2,95.8,1170.4,940,22.464000000000002
45.7,42.2,227.8,1033.3,940,23.397
35.7,39.6,365.4,908.3,940,24.643
34.8,37.2,502.8,774.2,940,27.068
48.6,46.6,628.4,625.4,940,30.396
46.9,50.9,759.1,492.1,940,33.649
28.3,35.2,908.8,376.7,940,39.013000000000005
46.2,48.3,1030.7,223.8,940,45.168
18.4,20.9,1193.1,116.6,940,58.173
40.3,38.9,96.1,1173.7,1074,22.464000000000002
44.7,45.1,224.9,1034.3,1074,23.397
34.4,34.9,370.1,909.6,1074,24.643
34.9,35.0,505.0,774.1,1074,27.068
50.3,43.3,631.7,623.7,1074,30.396
