FN,FP,MSE,TN,TP,sr,t
0.0,135.0,31.980031978206075,0.0,1214.0,2,22.464000000000002
0.0,270.0,35.76043716893996,0.0,1079.0,2,23.397
543.5,161.5,42.74386982979984,243.5,400.5,2,24.643
329.5,281.3,24.667952843291324,258.7,479.5,2,27.068
310.2,329.5,170.88033817464787,345.5,363.8,2,30.396
172.8,408.1,35.655551679318016,401.9,366.2,2,33.649
211.4,441.9,50.161951737286884,502.1,193.6,2,39.013000000000005
270.0,0.0,30.773889690289103,1079.0,0.0,2,45.168
135.0,0.0,26.406847204521863,1214.0,0.0,2,58.173
77.6,59.9,10.626999864788733,75.1,1136.4,136,22.464000000000002
81.9,81.3,8.935486068995552,188.7,997.1,136,23.397
78.7,70.9,12.211033545515198,334.1,865.3,136,24.643
99.3,96.2,10.531020901630836,443.8,709.7,136,27.068
101.5,98.1,9.838693623795404,576.9,572.5,136,30.396
114.8,100.7,18.76503839799852,708.3,425.2,136,33.649
88.8,103.6,12.680898672887325,840.4,316.2,136,39.013000000000005
119.5,94.4,10.591607763380283,984.6,150.5,136,45.168
71.5,72.8,11.45808421979244,1141.2,63.5,136,58.173
61.8,50.1,7.678285451334323,84.9,1152.2,270,22.464000000000002
57.5,65.6,8.068855479670127,204.4,1021.5,270,23.397
61.0,63.2,10.77012052464789,341.8,883.0,270,24.643
81.6,75.4,5.101631616734618,464.6,727.4,270,27.068
84.7,86.1,8.763958807283172,588.9,589.3,270,30.396
84.1,77.4,12.16347727739066,732.6,454.9,270,33.649
83.6,78.9,7.487398415789474,865.1,321.4,270,39.013000000000005
87.2,77.8,8.401510378020756,1001.2,182.8,270,45.168
49.8,34.6,9.500855755893253,1179.4,85.2,270,58.173
48.6,46.1,5.346933095811712,88.9,1165.4,404,22.464000000000002
59.5,55.1,6.122099867550037,214.9,1019.5,404,23.397
62.2,48.0,5.413239167512973,357.0,881.8,404,24.643
75.1,55.7,5.6593725124166046,484.3,733.9,404,27.068
68.5,59.4,7.573745346793922,615.6,605.5,404,30.396
66.9,64.3,4.438937668087472,745.7,472.1,404,33.649
67.6,61.0,4.549831408932542,883.0,337.4,404,39.013000000000005
68.0,62.4,3.879677488732395,1016.6,202.0,404,45.168
37.8,30.1,6.368361395422535,1183.9,97.2,404,58.173
46.9,38.7,5.982929209358784,96.3,1167.1,538,22.464000000000002
55.9,43.6,6.9616946857342885,226.4,1023.1,538,23.397
54.4,48.7,3.314087076441397,356.3,889.6,538,24.643
52.2,44.1,3.158137058858414,495.9,756.8,538,27.068
60.1,54.8,3.731475873832469,620.2,613.9,538,30.396
67.0,57.6,2.634702358821349,751.4,473.0,538,33.649
50.0,52.3,5.107765741248661,891.7,355.0,538,39.013000000000005
56.2,52.5,5.065209228558191,1026.5,213.8,538,45.168
29.7,19.7,3.7711098085063006,1194.3,105.3,538,58.173
41.5,44.6,4.601258353998848,90.4,1172.5,672,22.464000000000002
44.3,53.2,3.130762772518738,216.8,1034.7,672,23.397
47.5,48.6,3.2126559824932044,356.4,896.5,672,24.643
52.0,43.6,4.228109632876205,496.4,757.0,672,27.068
54.9,51.8,3.031778911827692,623.2,619.1,672,30.396
47.5,49.3,4.556388268243968,760.7,491.5,672,33.649
40.2,42.4,3.7711413552899264,901.6,364.8,672,39.013000000000005
50.1,51.5,2.9451113792068204,1027.5,219.9,672,45.168
26.4,20.7,3.3155304171979245,1193.3,108.6,672,58.173
38.9,39.6,4.308412782320238,95.4,1175.1,806,22.464000000000002
43.4,50.7,2.5590377924161936,219.3,1035.6,806,23.397
41.0,34.6,3.0013243696338843,370.4,903.0,806,24.643
41.4,42.3,2.039742513141422,497.7,767.6,806,27.068
47.2,49.0,1.834451051890289,626.0,626.8,806,30.396
40.2,43.6,2.1945967486656786,765.4,499.8,806,33.649
43.2,37.8,2.494901558520715,906.2,361.8,806,39.013000000000005
42.3,37.8,2.1518890705290956,1041.2,227.7,806,45.168
17.9,19.6,3.0312669855077834,1194.4,117.1,806,58.173
32.3,34.5,2.90309479249444,100.5,1181.7,940,22.464000000000002
36.3,45.7,1.4708885482167862,224.3,1042.7,940,23.397
35.6,30.9,1.4031072137756362,374.1,908.4,940,24.643
34.0,32.4,2.032850497049255,507.6,775.0,940,27.068
41.1,46.4,2.09929294125278,628.6,632.9,940,30.396
