FN,FP,TN,TP,sr,t
0.0,3.0,0.0,17.0,2,960
0.0,5.0,0.0,15.0,2,1020
6.7,2.0,4.0,7.3,2,1080
5.2,3.8,4.2,6.8,2,1140
4.2,6.6,4.4,4.8,2,1230
3.1,5.9,6.1,4.9,2,1320
2.6,6.7,7.3,3.4,2,1770
4.0,0.0,16.0,0.0,2,1980
2.0,0.0,18.0,0.0,2,2160
0.0,3.0,0.0,17.0,3,960
6.6,1.5,3.5,8.4,3,1020
5.9,2.1,3.9,8.1,3,1080
5.8,2.8,5.2,6.2,3,1140
4.0,5.2,5.8,5.0,3,1230
4.0,3.5,8.5,4.0,3,1320
1.6,4.5,9.5,4.4,3,1770
1.1,7.0,9.0,2.9,3,1980
2.0,0.0,18.0,0.0,3,2160
4.6,1.4,1.6,12.4,4,960
6.0,2.3,2.7,9.0,4,1020
6.3,2.6,3.4,7.7,4,1080
4.5,2.2,5.8,7.5,4,1140
3.1,2.3,8.7,5.9,4,1230
3.4,3.5,8.5,4.6,4,1320
1.9,3.4,10.6,4.1,4,1770
0.9,5.6,10.4,3.1,4,1980
2.0,0.0,18.0,0.0,4,2160
4.8,1.3,1.7,12.2,5,960
4.9,2.0,3.0,10.1,5,1020
5.1,2.0,4.0,8.9,5,1080
3.2,3.7,4.3,8.8,5,1140
4.2,2.4,8.6,4.8,5,1230
3.7,3.7,8.3,4.3,5,1320
2.3,3.2,10.8,3.7,5,1770
1.5,4.7,11.3,2.5,5,1980
2.0,0.0,18.0,0.0,5,2160
5.4,0.9,2.1,11.6,6,960
4.3,2.8,2.2,10.7,6,1020
4.6,1.7,4.3,9.4,6,1080
2.6,3.1,4.9,9.4,6,1140
2.5,5.5,5.5,6.5,6,1230
2.1,2.3,9.7,5.9,6,1320
2.3,3.3,10.7,3.7,6,1770
2.0,4.6,11.4,2.0,6,1980
0.7,5.7,12.3,1.3,6,2160
3.9,2.0,1.0,13.1,7,960
1.7,2.3,2.7,13.3,7,1020
3.3,2.8,3.2,10.7,7,1080
2.6,2.8,5.2,9.4,7,1140
4.5,3.6,7.4,4.5,7,1230
2.8,2.3,9.7,5.2,7,1320
2.1,1.4,12.6,3.9,7,1770
2.7,3.6,12.4,1.3,7,1980
0.6,4.0,14.0,1.4,7,2160
4.0,1.6,1.4,13.0,8,960
3.8,2.9,2.1,11.2,8,1020
3.3,1.7,4.3,10.7,8,1080
2.8,2.6,5.4,9.2,8,1140
3.2,2.3,8.7,5.8,8,1230
2.8,2.3,9.7,5.2,8,1320
1.2,3.4,10.6,4.8,8,1770
1.9,2.6,13.4,2.1,8,1980
0.8,3.0,15.0,1.2,8,2160
2.9,1.6,1.4,14.1,9,960
2.4,1.3,3.7,12.6,9,1020
3.0,1.9,4.1,11.0,9,1080
2.5,2.9,5.1,9.5,9,1140
4.0,2.1,8.9,5.0,9,1230
1.2,3.3,8.7,6.8,9,1320
2.4,4.0,10.0,3.6,9,1770
1.8,4.4,11.6,2.2,9,1980
0.9,2.8,15.2,1.1,9,2160
4.6,1.7,1.3,12.4,10,960
3.2,1.1,3.9,11.8,10,1020
2.1,2.0,4.0,11.9,10,1080
2.6,1.8,6.2,9.4,10,1140
2.3,3.4,7.6,6.7,10,1230
1.2,1.9,10.1,6.8,10,1320
1.2,1.7,12.3,4.8,10,1770
2.4,3.5,12.5,1.6,10,1980
1.3,3.6,14.4,0.7,10,2160
3.1,1.3,1.7,13.9,11,960
2.4,1.6,3.4,12.6,11,1020
2.1,2.7,3.3,11.9,11,1080
2.0,2.7,5.3,10.0,11,1140
3.0,2.0,9.0,6.0,11,1230
2.5,2.0,10.0,5.5,11,1320
1.6,1.5,12.5,4.4,11,1770
1.8,2.5,13.5,2.2,11,1980
1.0,3.3,14.7,1.0,11,2160
2.3,1.7,1.3,14.7,12,960
2.3,2.2,2.8,12.7,12,1020
3.8,1.7,4.3,10.2,12,1080
2.7,2.0,6.0,9.3,12,1140
3.0,2.4,8.6,6.0,12,1230
2.1,1.0,11.0,5.9,12,1320
2.0,2.7,11.3,4.0,12,1770
1.1,1.9,14.1,2.9,12,1980
1.2,2.4,15.6,0.8,12,2160
2.9,1.6,1.4,14.1,13,960
2.0,1.3,3.7,13.0,13,1020
1.1,1.8,4.2,12.9,13,1080
2.8,2.1,5.9,9.2,13,1140
1.7,2.1,8.9,7.3,13,1230
1.6,1.5,10.5,6.4,13,1320
1.4,1.8,12.2,4.6,13,1770
1.5,2.3,13.7,2.5,13,1980
1.5,3.1,14.9,0.5,13,2160
2.3,1.5,1.5,14.7,14,960
1.5,1.4,3.6,13.5,14,1020
1.8,2.8,3.2,12.2,14,1080
3.3,2.3,5.7,8.7,14,1140
2.6,1.8,9.2,6.4,14,1230
1.2,3.0,9.0,6.8,14,1320
1.2,0.8,13.2,4.8,14,1770
1.9,1.9,14.1,2.1,14,1980
0.5,2.8,15.2,1.5,14,2160
1.4,1.6,1.4,15.6,15,960
1.9,1.0,4.0,13.1,15,1020
2.3,1.2,4.8,11.7,15,1080
2.6,2.9,5.1,9.4,15,1140
2.7,2.9,8.1,6.3,15,1230
2.1,1.4,10.6,5.9,15,1320
1.6,1.5,12.5,4.4,15,1770
1.3,4.0,12.0,2.7,15,1980
1.1,2.4,15.6,0.9,15,2160
1.6,1.0,2.0,15.4,16,960
1.1,1.7,3.3,13.9,16,1020
2.8,2.5,3.5,11.2,16,1080
3.5,2.6,5.4,8.5,16,1140
2.2,1.8,9.2,6.8,16,1230
1.2,1.6,10.4,6.8,16,1320
1.5,1.0,13.0,4.5,16,1770
2.2,2.4,13.6,1.8,16,1980
0.8,1.9,16.1,1.2,16,2160
1.9,1.1,1.9,15.1,17,960
1.8,1.8,3.2,13.2,17,1020
1.7,2.1,3.9,12.3,17,1080
2.8,1.8,6.2,9.2,17,1140
2.1,3.1,7.9,6.9,17,1230
1.1,2.0,10.0,6.9,17,1320
0.8,1.9,12.1,5.2,17,1770
1.7,1.9,14.1,2.3,17,1980
1.1,2.4,15.6,0.9,17,2160
2.6,1.0,2.0,14.4,18,960
1.8,1.5,3.5,13.2,18,1020
1.7,2.0,4.0,12.3,18,1080
2.5,2.2,5.8,9.5,18,1140
1.8,2.4,8.6,7.2,18,1230
1.2,0.9,11.1,6.8,18,1320
1.6,1.3,12.7,4.4,18,1770
1.7,1.9,14.1,2.3,18,1980
1.2,1.1,16.9,0.8,18,2160
1.8,1.2,1.8,15.2,19,960
1.2,2.0,3.0,13.8,19,1020
1.4,2.0,4.0,12.6,19,1080
1.5,2.1,5.9,10.5,19,1140
1.9,1.3,9.7,7.1,19,1230
0.9,2.3,9.7,7.1,19,1320
1.7,0.8,13.2,4.3,19,1770
1.3,2.0,14.0,2.7,19,1980
1.0,1.8,16.2,1.0,19,2160
2.2,1.5,1.5,14.8,20,960
3.4,1.2,3.8,11.6,20,1020
1.8,1.7,4.3,12.2,20,1080
2.1,1.7,6.3,9.9,20,1140
1.0,3.2,7.8,8.0,20,1230
1.0,1.2,10.8,7.0,20,1320
1.2,0.9,13.1,4.8,20,1770
0.7,1.8,14.2,3.3,20,1980
1.3,1.3,16.7,0.7,20,2160
2.3,1.2,1.8,14.7,21,960
2.0,2.0,3.0,13.0,21,1020
1.2,1.6,4.4,12.8,21,1080
1.6,2.1,5.9,10.4,21,1140
2.6,1.2,9.8,6.4,21,1230
1.3,1.0,11.0,6.7,21,1320
0.0,0.9,13.1,6.0,21,1770
1.1,1.7,14.3,2.9,21,1980
1.1,2.3,15.7,0.9,21,2160
1.2,1.4,1.6,15.8,22,960
2.4,1.0,4.0,12.6,22,1020
3.0,1.5,4.5,11.0,22,1080
3.6,2.1,5.9,8.4,22,1140
1.6,2.0,9.0,7.4,22,1230
1.6,0.8,11.2,6.4,22,1320
0.7,0.4,13.6,5.3,22,1770
1.2,1.6,14.4,2.8,22,1980
1.3,1.2,16.8,0.7,22,2160
1.1,1.4,1.6,15.9,23,960
1.0,1.7,3.3,14.0,23,1020
2.3,1.8,4.2,11.7,23,1080
1.9,1.6,6.4,10.1,23,1140
1.7,1.9,9.1,7.3,23,1230
1.0,1.8,10.2,7.0,23,1320
0.7,0.5,13.5,5.3,23,1770
1.5,1.1,14.9,2.5,23,1980
0.6,2.7,15.3,1.4,23,2160
1.2,1.0,2.0,15.8,24,960
1.6,1.4,3.6,13.4,24,1020
1.9,1.5,4.5,12.1,24,1080
2.2,1.9,6.1,9.8,24,1140
1.9,1.4,9.6,7.1,24,1230
1.0,0.9,11.1,7.0,24,1320
0.9,1.0,13.0,5.1,24,1770
1.8,1.4,14.6,2.2,24,1980
1.3,2.5,15.5,0.7,24,2160
1.7,1.2,1.8,15.3,25,960
1.4,1.2,3.8,13.6,25,1020
2.8,1.6,4.4,11.2,25,1080
2.5,2.0,6.0,9.5,25,1140
1.3,1.2,9.8,7.7,25,1230
0.6,1.2,10.8,7.4,25,1320
1.3,0.9,13.1,4.7,25,1770
1.6,1.7,14.3,2.4,25,1980
1.2,1.4,16.6,0.8,25,2160
0.9,1.1,1.9,16.1,26,960
1.8,1.1,3.9,13.2,26,1020
2.2,1.4,4.6,11.8,26,1080
2.0,2.6,5.4,10.0,26,1140
1.0,1.9,9.1,8.0,26,1230
0.7,2.2,9.8,7.3,26,1320
1.1,0.7,13.3,4.9,26,1770
1.2,1.6,14.4,2.8,26,1980
1.2,1.0,17.0,0.8,26,2160
0.7,0.9,2.1,16.3,27,960
1.7,1.0,4.0,13.3,27,1020
1.4,2.5,3.5,12.6,27,1080
2.7,1.7,6.3,9.3,27,1140
1.6,1.5,9.5,7.4,27,1230
0.7,1.6,10.4,7.3,27,1320
0.7,0.6,13.4,5.3,27,1770
1.3,1.3,14.7,2.7,27,1980
0.8,1.4,16.6,1.2,27,2160
1.6,1.2,1.8,15.4,28,960
1.6,1.2,3.8,13.4,28,1020
1.9,1.9,4.1,12.1,28,1080
3.2,1.5,6.5,8.8,28,1140
1.6,2.9,8.1,7.4,28,1230
1.1,0.9,11.1,6.9,28,1320
0.4,0.4,13.6,5.6,28,1770
0.7,1.6,14.4,3.3,28,1980
0.8,0.9,17.1,1.2,28,2160
0.8,0.3,2.7,16.2,29,960
1.8,1.0,4.0,13.2,29,1020
2.7,2.3,3.7,11.3,29,1080
1.7,2.3,5.7,10.3,29,1140
1.7,2.1,8.9,7.3,29,1230
0.9,1.8,10.2,7.1,29,1320
0.4,1.4,12.6,5.6,29,1770
1.6,1.1,14.9,2.4,29,1980
1.0,1.4,16.6,1.0,29,2160
1.5,0.9,2.1,15.5,30,960
1.8,0.6,4.4,13.2,30,1020
2.1,1.4,4.6,11.9,30,1080
1.5,1.6,6.4,10.5,30,1140
1.5,2.1,8.9,7.5,30,1230
0.6,1.1,10.9,7.4,30,1320
0.5,0.6,13.4,5.5,30,1770
1.5,1.0,15.0,2.5,30,1980
0.6,1.2,16.8,1.4,30,2160
1.3,1.0,2.0,15.7,31,960
1.1,1.5,3.5,13.9,31,1020
2.5,1.3,4.7,11.5,31,1080
2.3,1.6,6.4,9.7,31,1140
1.6,2.6,8.4,7.4,31,1230
1.0,1.5,10.5,7.0,31,1320
0.6,0.6,13.4,5.4,31,1770
1.5,1.3,14.7,2.5,31,1980
0.5,1.4,16.6,1.5,31,2160
0.5,1.1,1.9,16.5,32,960
0.6,1.2,3.8,14.4,32,1020
1.7,1.3,4.7,12.3,32,1080
2.2,2.1,5.9,9.8,32,1140
0.9,2.0,9.0,8.1,32,1230
0.6,1.2,10.8,7.4,32,1320
0.7,0.4,13.6,5.3,32,1770
1.1,1.1,14.9,2.9,32,1980
1.1,1.8,16.2,0.9,32,2160
1.4,1.4,1.6,15.6,33,960
1.8,1.2,3.8,13.2,33,1020
2.1,1.2,4.8,11.9,33,1080
1.8,1.6,6.4,10.2,33,1140
1.6,1.7,9.3,7.4,33,1230
0.8,1.7,10.3,7.2,33,1320
1.3,0.9,13.1,4.7,33,1770
1.6,1.4,14.6,2.4,33,1980
0.5,1.4,16.6,1.5,33,2160
1.2,0.6,2.4,15.8,34,960
