FN,FP,MSE,TN,TP,sr,t
0.0,3.0,20830.5,0.0,17.0,2,960
0.0,5.0,30037.5,0.0,15.0,2,1020
4.6,2.2,39334.5,3.8,9.4,2,1080
4.2,2.6,17568.0,5.4,7.8,2,1140
4.1,4.3,42484.5,6.7,4.9,2,1230
3.9,5.7,22698.0,6.3,4.1,2,1320
1.5,5.3,26905.5,8.7,4.5,2,1770
4.0,0.0,39730.5,16.0,0.0,2,1980
2.0,0.0,33340.5,18.0,0.0,2,2160
0.0,3.0,19516.5,0.0,17.0,3,960
4.5,2.2,73444.5,2.8,10.5,3,1020
3.5,4.4,24880.5,1.6,10.5,3,1080
3.9,3.7,53253.0,4.3,8.1,3,1140
4.6,4.6,31720.5,6.4,4.4,3,1230
3.2,3.5,28224.0,8.5,4.8,3,1320
1.9,4.8,10800.0,9.2,4.1,3,1770
1.9,5.6,90180.0,10.4,2.1,3,1980
2.0,0.0,19143.0,18.0,0.0,3,2160
4.0,1.3,9616.5,1.7,13.0,4,960
3.7,2.8,19660.5,2.2,11.3,4,1020
2.9,2.9,43839.0,3.1,11.1,4,1080
4.0,3.1,55714.5,4.9,8.0,4,1140
2.8,3.3,10174.5,7.7,6.2,4,1230
3.2,4.7,45747.0,7.3,4.8,4,1320
1.8,4.3,9157.5,9.7,4.2,4,1770
1.9,5.9,55161.0,10.1,2.1,4,1980
2.0,0.0,35932.5,18.0,0.0,4,2160
3.4,1.6,44568.0,1.4,13.6,5,960
3.0,3.5,29605.5,1.5,12.0,5,1020
3.3,3.4,2569.5,2.6,10.7,5,1080
2.7,3.4,32580.0,4.6,9.3,5,1140
3.7,4.8,24561.0,6.2,5.3,5,1230
3.3,2.9,4392.0,9.1,4.7,5,1320
2.7,2.8,3181.5,11.2,3.3,5,1770
1.9,5.4,65830.5,10.6,2.1,5,1980
2.0,0.0,18805.5,18.0,0.0,5,2160
2.7,1.3,10548.0,1.7,14.3,6,960
2.6,2.8,13279.5,2.2,12.4,6,1020
2.5,2.4,44194.5,3.6,11.5,6,1080
1.9,3.9,10624.5,4.1,10.1,6,1140
1.7,4.0,16416.0,7.0,7.3,6,1230
