FN,FP,TN,TP,sr,t
0.0,26.0,0.0,230.0,2,0.478987974358975
0.0,51.0,0.0,205.0,2,0.528053435897436
75.3,29.9,47.1,103.7,2,0.732406631578947
57.4,42.9,59.1,96.6,2,1.24142602702703
65.5,52.8,75.2,62.5,2,2.08937425641026
48.8,67.5,86.5,53.2,2,5.81297530769231
37.3,78.2,100.8,39.7,2,10.6980868974359
51.0,0.0,205.0,0.0,2,19.898601564102602
26.0,0.0,230.0,0.0,2,37.5557710769231
26.8,12.4,13.6,203.2,27,0.478987974358975
31.6,26.1,24.9,173.4,27,0.528053435897436
12.6,15.7,61.3,166.4,27,0.732406631578947
7.3,11.7,90.3,146.7,27,1.24142602702703
14.1,8.1,119.9,113.9,27,2.08937425641026
0.0,2.7,151.3,102.0,27,5.81297530769231
3.2,12.8,166.2,73.8,27,10.6980868974359
4.9,2.9,202.1,46.1,27,19.898601564102602
0.0,0.1,230.9,25.0,27,37.5557710769231
9.0,6.9,19.1,221.0,52,0.478987974358975
19.6,13.8,37.2,185.4,52,0.528053435897436
1.3,7.5,69.5,177.7,52,0.732406631578947
3.1,1.8,100.2,150.9,52,1.24142602702703
6.9,7.4,120.6,121.1,52,2.08937425641026
0.0,0.0,154.0,102.0,52,5.81297530769231
0.0,0.1,178.9,77.0,52,10.6980868974359
0.0,0.0,205.0,51.0,52,19.898601564102602
0.0,0.0,230.0,26.0,52,37.5557710769231
2.2,1.7,24.3,227.8,77,0.478987974358975
15.1,9.9,41.1,189.9,77,0.528053435897436
2.6,2.6,74.4,176.4,77,0.732406631578947
0.6,1.4,100.6,153.4,77,1.24142602702703
0.2,0.5,127.5,127.8,77,2.08937425641026
0.0,0.1,153.9,102.0,77,5.81297530769231
1.1,0.0,179.0,75.9,77,10.6980868974359
0.5,0.1,204.9,50.5,77,19.898601564102602
0.0,0.1,230.9,25.0,77,37.5557710769231
0.0,0.3,25.7,230.0,102,0.478987974358975
9.9,11.3,39.7,195.1,102,0.528053435897436
0.2,0.1,76.9,178.8,102,0.732406631578947
0.0,0.0,102.0,154.0,102,1.24142602702703
0.2,0.7,127.3,127.8,102,2.08937425641026
0.2,0.0,154.0,101.8,102,5.81297530769231
0.2,0.0,179.0,76.8,102,10.6980868974359
0.0,0.1,204.9,51.0,102,19.898601564102602
0.0,0.1,229.9,26.0,102,37.5557710769231
0.0,1.0,25.0,230.0,127,0.478987974358975
7.5,9.9,41.1,197.5,127,0.528053435897436
0.0,0.0,77.0,179.0,127,0.732406631578947
0.6,0.3,101.7,153.4,127,1.24142602702703
1.0,0.5,127.5,127.0,127,2.08937425641026
0.0,0.2,153.8,102.0,127,5.81297530769231
1.1,0.0,179.0,75.9,127,10.6980868974359
0.1,0.2,204.8,50.9,127,19.898601564102602
0.0,0.1,230.9,25.0,127,37.5557710769231
0.0,0.2,25.8,230.0,152,0.478987974358975
7.7,7.5,43.5,197.3,152,0.528053435897436
0.0,0.2,76.8,179.0,152,0.732406631578947
0.0,1.6,100.4,154.0,152,1.24142602702703
0.3,0.3,127.7,127.7,152,2.08937425641026
0.3,0.1,153.9,101.7,152,5.81297530769231
0.3,0.1,178.9,76.7,152,10.6980868974359
1.2,0.0,205.0,49.8,152,19.898601564102602
0.0,0.1,229.9,26.0,152,37.5557710769231
0.4,0.1,25.9,229.6,177,0.478987974358975
4.4,6.1,44.9,200.6,177,0.528053435897436
0.1,0.1,76.9,178.9,177,0.732406631578947
0.0,0.0,102.0,154.0,177,1.24142602702703
0.0,0.4,127.6,128.0,177,2.08937425641026
0.3,0.0,154.0,101.7,177,5.81297530769231
0.0,0.1,178.9,77.0,177,10.6980868974359
0.0,0.2,204.8,51.0,177,19.898601564102602
0.0,0.1,230.9,25.0,177,37.5557710769231
0.0,0.0,26.0,230.0,202,0.478987974358975
6.3,3.9,47.1,198.7,202,0.528053435897436
0.2,0.1,76.9,178.8,202,0.732406631578947
0.0,0.0,102.0,154.0,202,1.24142602702703
0.1,0.1,127.9,127.9,202,2.08937425641026
0.0,0.1,153.9,102.0,202,5.81297530769231
0.0,0.2,178.8,77.0,202,10.6980868974359
0.0,0.1,204.9,51.0,202,19.898601564102602
0.0,0.1,229.9,26.0,202,37.5557710769231
0.8,0.1,25.9,229.2,227,0.478987974358975
5.1,6.6,44.4,199.9,227,0.528053435897436
0.0,0.0,77.0,179.0,227,0.732406631578947
0.0,0.0,102.0,154.0,227,1.24142602702703
0.2,0.2,127.8,127.8,227,2.08937425641026
0.0,0.1,153.9,102.0,227,5.81297530769231
0.0,0.2,178.8,77.0,227,10.6980868974359
0.0,0.1,204.9,51.0,227,19.898601564102602
0.0,0.0,231.0,25.0,227,37.5557710769231
0.0,0.2,25.8,230.0,252,0.478987974358975
3.0,3.7,47.3,202.0,252,0.528053435897436
0.5,0.0,77.0,178.5,252,0.732406631578947
0.1,0.1,101.9,153.9,252,1.24142602702703
0.0,0.4,127.6,128.0,252,2.08937425641026
0.0,0.1,153.9,102.0,252,5.81297530769231
0.0,0.4,178.6,77.0,252,10.6980868974359
0.2,0.1,204.9,50.8,252,19.898601564102602
0.1,0.2,229.8,25.9,252,37.5557710769231
0.0,0.1,25.9,230.0,277,0.478987974358975
2.4,7.0,44.0,202.6,277,0.528053435897436
0.0,0.2,76.8,179.0,277,0.732406631578947
0.2,0.0,102.0,153.8,277,1.24142602702703
0.2,0.4,127.6,127.8,277,2.08937425641026
0.5,0.0,154.0,101.5,277,5.81297530769231
0.6,0.1,178.9,76.4,277,10.6980868974359
0.0,0.2,204.8,51.0,277,19.898601564102602
0.0,0.1,230.9,25.0,277,37.5557710769231
0.0,0.3,25.7,230.0,302,0.478987974358975
2.4,2.9,48.1,202.6,302,0.528053435897436
0.6,0.0,77.0,178.4,302,0.732406631578947
