FN,FP,MSE,TN,TP,sr,t
0.0,26.0,15.305195859399188,0.0,230.0,2,0.478987974358975
0.0,51.0,85.55358721149129,0.0,205.0,2,0.528053435897436
73.3,23.6,19.158111456933984,53.4,105.7,2,0.732406631578947
77.7,48.2,15.066833426040768,53.8,76.3,2,1.24142602702703
68.8,39.0,19.186080235731218,89.0,59.2,2,2.08937425641026
34.5,68.2,70.35227410134682,85.8,67.5,2,5.81297530769231
27.8,80.4,33.49161140920848,98.6,49.2,2,10.6980868974359
51.0,0.0,16.511700891935877,205.0,0.0,2,19.898601564102602
26.0,0.0,10.283430444397656,230.0,0.0,2,37.5557710769231
16.1,14.0,0.010388715991477667,12.0,213.9,27,0.478987974358975
11.3,21.5,0.05364057937171461,29.5,193.7,27,0.528053435897436
4.4,23.9,0.3466134725240946,53.1,174.6,27,0.732406631578947
7.7,17.1,0.11071643554746871,84.9,146.3,27,1.24142602702703
14.0,7.9,0.47596265518603503,120.1,114.0,27,2.08937425641026
5.3,7.8,0.3068090643689509,146.2,96.7,27,5.81297530769231
6.4,12.8,0.0268760748040014,166.2,70.6,27,10.6980868974359
3.2,3.2,0.022590038605070376,201.8,47.8,27,19.898601564102602
0.0,2.9,0.20639555250099756,228.1,25.0,27,37.5557710769231
7.6,7.7,0.09566121170214818,18.3,222.4,52,0.478987974358975
6.2,16.9,0.00760629145696385,34.1,198.8,52,0.528053435897436
4.7,3.3,0.0009898585933266193,73.7,174.3,52,0.732406631578947
3.4,3.9,0.0127510227588162,98.1,150.6,52,1.24142602702703
3.8,5.3,0.0009055933666879051,122.7,124.2,52,2.08937425641026
0.0,0.1,0.021668595822253646,153.9,102.0,52,5.81297530769231
1.1,1.4,0.0204907104110423,177.6,75.9,52,10.6980868974359
0.0,3.0,0.011057232684595616,202.0,51.0,52,19.898601564102602
0.0,0.0,0.020430351042549248,230.0,26.0,52,37.5557710769231
5.7,9.6,0.01573397865092103,16.4,224.3,77,0.478987974358975
7.5,10.5,0.0006699520784405259,40.5,197.5,77,0.528053435897436
3.0,2.6,0.00021799448859580002,74.4,176.0,77,0.732406631578947
2.4,1.1,0.002545927923235523,100.9,151.6,77,1.24142602702703
0.7,0.4,0.0008569967939369734,127.6,127.3,77,2.08937425641026
0.8,0.1,0.0063729075479623505,153.9,101.2,77,5.81297530769231
0.2,0.0,0.000467754535160545,179.0,76.8,77,10.6980868974359
0.0,0.1,0.007588740197042812,204.9,51.0,77,19.898601564102602
0.0,0.2,0.0004523444133048791,230.8,25.0,77,37.5557710769231
3.6,3.5,0.0003114606927397573,22.5,226.4,102,0.478987974358975
4.6,4.5,0.008470528337441715,46.5,200.4,102,0.528053435897436
0.0,0.0,0.0003003643818492789,77.0,179.0,102,0.732406631578947
0.3,0.0,0.00027784613366415033,102.0,153.7,102,1.24142602702703
0.7,1.2,0.000179813025288325,126.8,127.3,102,2.08937425641026
0.0,0.1,0.00014016315285967048,153.9,102.0,102,5.81297530769231
0.0,0.2,0.0003516367418996809,178.8,77.0,102,10.6980868974359
0.0,0.1,0.002987751737431025,204.9,51.0,102,19.898601564102602
0.3,0.1,0.0029928027214975806,229.9,25.7,102,37.5557710769231
1.2,1.8,0.00027476633040267393,24.2,228.8,127,0.478987974358975
5.0,6.1,0.0003376793633312826,44.9,200.0,127,0.528053435897436
0.6,0.3,0.00020070248885717905,76.7,178.4,127,0.732406631578947
0.0,0.1,0.0003141013847383532,101.9,154.0,127,1.24142602702703
0.6,0.1,0.00025028643011887916,127.9,127.4,127,2.08937425641026
0.0,0.2,0.0007167378165805864,153.8,102.0,127,5.81297530769231
0.0,0.0,0.00036548034863094806,179.0,77.0,127,10.6980868974359
0.0,0.1,0.00035436013476242156,204.9,51.0,127,19.898601564102602
0.0,0.1,0.0002292371659303934,230.9,25.0,127,37.5557710769231
1.9,3.7,0.0001464529884828792,22.3,228.1,152,0.478987974358975
3.9,4.9,0.00011070773325386383,46.1,201.1,152,0.528053435897436
0.0,0.1,0.00018019365512034587,76.9,179.0,152,0.732406631578947
0.0,0.2,0.0002571700484150671,101.8,154.0,152,1.24142602702703
0.4,0.3,0.0001474950622125628,127.7,127.6,152,2.08937425641026
0.0,0.0,0.00016874921651736013,154.0,102.0,152,5.81297530769231
0.0,0.2,0.007360552629958096,178.8,77.0,152,10.6980868974359
0.0,0.2,0.00033313814100682023,204.8,51.0,152,19.898601564102602
0.0,0.0,0.00021405495387196057,230.0,26.0,152,37.5557710769231
0.8,1.3,0.0004065375249517656,24.7,229.2,177,0.478987974358975
3.1,2.7,0.0002063376186615314,48.3,201.9,177,0.528053435897436
0.0,0.0,0.00011093208498745681,77.0,179.0,177,0.732406631578947
0.0,0.1,0.00010452794642964399,101.9,154.0,177,1.24142602702703
0.0,0.4,0.0001360930994445966,127.6,128.0,177,2.08937425641026
0.0,0.0,0.00010743228289713928,154.0,102.0,177,5.81297530769231
0.4,0.0,0.0003279078277076427,179.0,76.6,177,10.6980868974359
0.0,0.4,0.0003931525845053345,204.6,51.0,177,19.898601564102602
0.0,0.0,0.0001785955101588752,231.0,25.0,177,37.5557710769231
0.9,2.0,0.00022950313353634972,24.0,229.1,202,0.478987974358975
2.6,3.6,0.00028300949117406347,47.4,202.4,202,0.528053435897436
0.1,0.2,0.0001529045987883301,76.8,178.9,202,0.732406631578947
0.1,0.0,0.00020902651678409383,102.0,153.9,202,1.24142602702703
0.1,0.4,0.0002627550647237883,127.6,127.9,202,2.08937425641026
0.2,0.1,0.00024496794864476654,153.9,101.8,202,5.81297530769231
0.0,0.1,7.412447909412006e-05,178.9,77.0,202,10.6980868974359
0.0,0.0,9.297422531540889e-05,205.0,51.0,202,19.898601564102602
0.1,0.0,0.00021245741773473725,230.0,25.9,202,37.5557710769231
0.2,0.0,7.786931500330198e-05,26.0,229.8,227,0.478987974358975
2.1,1.7,5.239250568057689e-05,49.3,202.9,227,0.528053435897436
0.0,0.1,0.00026637209963145556,76.9,179.0,227,0.732406631578947
0.0,0.1,0.00012782419259127928,101.9,154.0,227,1.24142602702703
0.1,0.2,0.00014771855294293533,127.8,127.9,227,2.08937425641026
0.0,0.1,0.0001834903620955936,153.9,102.0,227,5.81297530769231
