FN,FP,TN,TP,sr,t
0.0,2.0,0.0,16.0,2,3161
0.0,4.0,0.0,14.0,2,3268
5.7,1.8,3.2,7.3,2,3451
3.8,3.1,3.9,7.2,2,4894
3.6,3.3,5.7,5.4,2,5186
2.5,5.5,5.5,4.5,2,5295
1.7,5.0,8.0,3.3,2,5361
4.0,0.0,14.0,0.0,2,5499
2.0,0.0,16.0,0.0,2,14744
0.0,2.0,0.0,16.0,3,3161
6.5,0.9,3.1,7.5,3,3268
5.5,2.7,2.3,7.5,3,3451
4.8,2.1,4.9,6.2,3,4894
1.8,1.7,7.3,7.2,3,5186
2.6,3.8,7.2,4.4,3,5295
1.5,5.0,8.0,3.5,3,5361
0.7,4.8,10.2,2.3,3,5499
2.0,0.0,16.0,0.0,3,14744
0.0,2.0,0.0,16.0,4,3161
4.3,2.0,2.0,9.7,4,3268
3.8,2.8,3.2,8.2,4,3451
4.6,1.7,5.3,6.4,4,4894
0.4,0.3,8.7,8.6,4,5186
0.9,2.0,9.0,6.1,4,5295
3.0,3.9,9.1,2.0,4,5361
1.6,5.5,9.5,1.4,4,5499
2.0,0.0,16.0,0.0,4,14744
6.4,1.1,0.9,9.6,5,3161
5.7,2.3,1.7,8.3,5,3268
4.4,1.4,3.6,8.6,5,3451
1.7,1.2,5.8,9.3,5,4894
0.0,0.1,8.9,9.0,5,5186
2.7,3.5,7.5,4.3,5,5295
1.2,4.4,8.6,3.8,5,5361
1.4,2.8,12.2,1.6,5,5499
2.0,0.0,16.0,0.0,5,14744
4.6,1.3,0.7,11.4,6,3161
4.1,2.5,1.5,9.9,6,3268
2.7,0.9,4.1,10.3,6,3451
3.0,1.9,5.1,8.0,6,4894
0.0,0.1,8.9,9.0,6,5186
2.0,2.4,8.6,5.0,6,5295
2.0,3.4,9.6,3.0,6,5361
2.0,2.7,11.3,2.0,6,5499
0.4,5.4,10.6,1.6,6,14744
3.6,1.1,0.9,12.4,7,3161
3.4,2.7,1.3,10.6,7,3268
2.9,1.7,4.3,9.1,7,3451
1.6,1.4,5.6,9.4,7,4894
1.6,1.2,7.8,7.4,7,5186
2.1,2.6,8.4,4.9,7,5295
1.8,3.0,10.0,3.2,7,5361
1.8,2.6,11.4,2.2,7,5499
0.8,3.1,12.9,1.2,7,14744
3.8,0.9,1.1,12.2,8,3161
2.9,2.4,1.6,11.1,8,3268
2.4,2.2,3.8,9.6,8,3451
1.0,1.1,5.9,10.0,8,4894
0.0,0.1,8.9,9.0,8,5186
1.7,0.9,10.1,5.3,8,5295
1.4,2.6,10.4,3.6,8,5361
1.5,3.0,12.0,1.5,8,5499
1.5,2.8,13.2,0.5,8,14744
1.8,1.7,0.3,14.2,9,3161
2.5,1.8,2.2,11.5,9,3268
2.2,1.6,3.4,10.8,9,3451
1.7,0.7,6.3,9.3,9,4894
0.0,0.1,8.9,9.0,9,5186
1.9,1.5,9.5,5.1,9,5295
1.3,3.8,9.2,3.7,9,5361
0.4,1.3,13.7,2.6,9,5499
1.3,2.8,13.2,0.7,9,14744
3.5,1.4,0.6,12.5,10,3161
2.8,1.2,2.8,11.2,10,3268
1.7,1.1,4.9,10.3,10,3451
1.4,2.3,4.7,9.6,10,4894
0.3,0.1,8.9,8.7,10,5186
0.6,1.0,10.0,6.4,10,5295
0.9,1.9,11.1,4.1,10,5361
1.2,2.5,12.5,1.8,10,5499
1.1,2.9,13.1,0.9,10,14744
1.9,1.5,0.5,14.1,11,3161
1.5,2.6,1.4,12.5,11,3268
0.9,1.7,4.3,11.1,11,3451
0.6,1.7,5.3,10.4,11,4894
0.0,0.1,8.9,9.0,11,5186
2.0,1.3,9.7,5.0,11,5295
2.2,2.2,10.8,2.8,11,5361
1.4,1.4,12.6,2.6,11,5499
1.2,1.8,14.2,0.8,11,14744
1.9,1.5,0.5,14.1,12,3161
1.6,2.3,1.7,12.4,12,3268
1.7,1.1,3.9,11.3,12,3451
0.8,0.9,6.1,10.2,12,4894
0.3,0.1,8.9,8.7,12,5186
0.9,2.3,8.7,6.1,12,5295
1.2,1.0,12.0,3.8,12,5361
1.2,2.1,11.9,2.8,12,5499
0.7,1.4,14.6,1.3,12,14744
2.1,1.4,0.6,13.9,13,3161
2.9,2.3,1.7,11.1,13,3268
1.3,1.2,3.8,11.7,13,3451
1.6,0.8,6.2,9.4,13,4894
0.0,0.2,8.8,9.0,13,5186
1.0,1.2,9.8,6.0,13,5295
1.6,2.6,10.4,3.4,13,5361
0.7,1.3,13.7,2.3,13,5499
0.9,2.9,13.1,1.1,13,14744
2.8,1.5,0.5,13.2,14,3161
2.0,1.1,2.9,12.0,14,3268
1.7,2.1,3.9,10.3,14,3451
1.1,1.3,5.7,9.9,14,4894
0.3,0.1,8.9,8.7,14,5186
0.8,1.3,9.7,6.2,14,5295
1.2,1.1,11.9,3.8,14,5361
0.9,2.3,12.7,2.1,14,5499
1.2,1.1,14.9,0.8,14,14744
2.1,1.4,0.6,13.9,15,3161
3.3,1.4,2.6,10.7,15,3268
0.9,0.6,4.4,12.1,15,3451
1.5,0.9,6.1,9.5,15,4894
0.3,0.1,8.9,8.7,15,5186
1.4,1.0,10.0,5.6,15,5295
1.6,1.5,11.5,3.4,15,5361
0.4,2.0,13.0,2.6,15,5499
1.4,2.4,13.6,0.6,15,14744
3.3,1.4,0.6,12.7,16,3161
1.6,2.0,2.0,12.4,16,3268
1.1,0.6,4.4,11.9,16,3451
0.8,1.7,5.3,10.2,16,4894
0.1,0.1,8.9,8.9,16,5186
1.4,1.1,9.9,5.6,16,5295
0.5,2.6,10.4,4.5,16,5361
0.9,0.4,13.6,3.1,16,5499
0.9,0.5,15.5,1.1,16,14744
2.8,1.2,0.8,13.2,17,3161
1.9,1.8,2.2,12.1,17,3268
0.4,1.6,4.4,11.6,17,3451
1.2,0.7,6.3,9.8,17,4894
0.5,0.2,8.8,8.5,17,5186
1.4,0.8,10.2,5.6,17,5295
0.9,1.5,11.5,4.1,17,5361
0.6,0.9,13.1,3.4,17,5499
1.0,1.0,15.0,1.0,17,14744
2.4,1.3,0.7,13.6,18,3161
2.1,1.5,2.5,11.9,18,3268
0.8,0.6,5.2,11.4,18,3451
0.2,1.6,5.4,10.8,18,4894
0.0,0.0,9.0,9.0,18,5186
1.4,0.6,10.4,5.6,18,5295
1.5,1.6,11.4,3.5,18,5361
0.6,1.0,13.4,3.0,18,5499
0.6,0.8,15.2,1.4,18,14744
1.8,1.8,0.2,14.2,19,3161
2.0,2.0,2.0,12.0,19,3268
0.7,0.5,4.5,12.3,19,3451
0.5,0.8,6.2,10.5,19,4894
0.0,0.0,9.0,9.0,19,5186
1.2,1.1,9.9,5.8,19,5295
1.0,0.9,12.1,4.0,19,5361
0.9,1.8,13.2,2.1,19,5499
