FN,FP,MSE,TN,TP,sr,t
0.0,2.0,1382448.822222222,0.0,16.0,2,3161
0.0,4.0,2747159.6277777776,0.0,14.0,2,3268
7.7,1.6,2606074.4,3.4,5.3,2,3451
3.3,2.3,1879326.2166666668,4.7,7.7,2,4894
3.1,3.6,4923565.944444445,5.4,5.9,2,5186
3.1,3.0,3026478.3,8.0,3.9,2,5295
1.8,6.3,4681471.055555555,6.7,3.2,2,5361
4.0,0.0,2720390.138888889,14.0,0.0,2,5499
2.0,0.0,2329080.855555556,16.0,0.0,2,14744
0.0,2.0,2263720.183333333,0.0,16.0,3,3161
4.0,1.9,3231249.8388888887,2.1,10.0,3,3268
3.2,2.1,4370024.355555555,2.9,9.8,3,3451
2.9,3.0,1752629.4666666668,4.0,8.1,3,4894
5.4,3.0,6190136.15,6.0,3.6,3,5186
2.4,4.0,3059959.216666667,7.0,4.6,3,5295
2.8,4.3,3115141.25,8.7,2.2,3,5361
0.6,6.3,8774174.944444444,8.7,2.4,3,5499
2.0,0.0,2764179.9833333334,16.0,0.0,3,14744
0.0,2.0,1415871.2,0.0,16.0,4,3161
3.2,2.0,1485971.8,2.0,10.8,4,3268
2.9,3.8,2005614.0888888887,2.2,9.1,4,3451
5.2,2.6,2733549.916666667,4.4,5.8,4,4894
1.0,2.1,1336088.1944444445,6.9,8.0,4,5186
3.2,3.8,770031.5444444444,7.2,3.8,4,5295
2.1,3.4,2350652.1944444445,9.6,2.9,4,5361
1.4,4.4,1016483.2055555556,10.6,1.6,4,5499
2.0,0.0,1934447.75,16.0,0.0,4,14744
3.5,1.3,7538821.466666667,0.7,12.5,5,3161
2.7,2.6,3393070.7222222225,1.4,11.3,5,3268
2.2,1.9,3609152.0,3.1,10.8,5,3451
2.6,2.8,5456845.027777778,4.2,8.4,5,4894
2.1,1.9,5483205.122222222,7.1,6.9,5,5186
2.9,2.9,2274359.6222222224,8.1,4.1,5,5295
2.3,4.0,2917466.8777777776,9.0,2.7,5,5361
1.5,3.0,2400869.2222222225,12.0,1.5,5,5499
2.0,0.0,1906898.3333333333,16.0,0.0,5,14744
2.2,1.4,701216.5,0.6,13.8,6,3161
2.9,1.4,3022893.8833333333,2.6,11.1,6,3268
1.5,1.0,2396617.066666667,4.0,11.5,6,3451
0.8,1.9,1632623.3,5.1,10.2,6,4894
0.6,2.6,1033334.1555555556,6.4,8.4,6,5186
2.1,3.2,3416995.7333333334,7.8,4.9,6,5295
1.8,3.1,7156251.75,9.9,3.2,6,5361
1.8,2.5,1039366.3722222222,11.5,2.2,6,5499
0.6,3.2,3365947.655555555,12.8,1.4,6,14744
1.1,1.6,5675816.761111111,0.4,14.9,7,3161
0.8,2.1,1373663.2555555557,1.9,13.2,7,3268
1.7,2.3,17038.105555555558,3.7,10.3,7,3451
1.8,1.8,1980798.316666667,5.2,9.2,7,4894
0.4,1.7,2463586.3833333333,7.3,8.6,7,5186
