FN,FP,TN,TP,sr,t
0.0,23.0,0.0,208.0,2,7395.054999999998
0.0,46.0,0.0,185.0,2,8447.814285714283
66.6,27.4,41.6,95.4,2,9560.767142857143
57.8,40.1,51.9,81.2,2,9896.94214285714
68.5,61.1,54.9,46.5,2,10259.974999999997
40.4,62.5,76.5,51.6,2,10607.560714285712
25.6,85.7,76.3,43.4,2,10970.621428571429
46.0,0.0,185.0,0.0,2,11656.392857142857
23.0,0.0,208.0,0.0,2,13508.696428571431
13.3,14.0,9.0,194.7,25,7395.054999999998
30.9,21.7,24.3,154.1,25,8447.814285714283
26.3,25.5,43.5,135.7,25,9560.767142857143
34.7,27.2,64.8,104.3,25,9896.94214285714
31.7,24.0,92.0,83.3,25,10259.974999999997
29.5,33.7,105.3,62.5,25,10607.560714285712
23.6,24.8,137.2,45.4,25,10970.621428571429
19.6,15.3,169.7,26.4,25,11656.392857142857
11.6,17.9,190.1,11.4,25,13508.696428571431
14.9,11.5,11.5,193.1,48,7395.054999999998
22.1,17.4,28.6,162.9,48,8447.814285714283
24.8,22.7,46.3,137.2,48,9560.767142857143
26.3,25.2,66.8,112.7,48,9896.94214285714
26.2,18.5,97.5,88.8,48,10259.974999999997
21.8,20.0,119.0,70.2,48,10607.560714285712
13.8,19.3,142.7,55.2,48,10970.621428571429
15.7,18.5,166.5,30.3,48,11656.392857142857
6.9,18.3,189.7,16.1,48,13508.696428571431
11.8,12.9,10.1,196.2,71,7395.054999999998
20.1,19.9,26.1,164.9,71,8447.814285714283
23.0,20.3,48.7,139.0,71,9560.767142857143
22.3,24.9,67.1,116.7,71,9896.94214285714
19.4,23.3,92.7,95.6,71,10259.974999999997
19.6,18.0,121.0,72.4,71,10607.560714285712
13.3,13.0,149.0,55.7,71,10970.621428571429
12.1,18.3,166.7,33.9,71,11656.392857142857
8.0,11.8,196.2,15.0,71,13508.696428571431
10.7,13.5,9.5,197.3,94,7395.054999999998
23.3,15.8,30.2,161.7,94,8447.814285714283
