FN,FP,MSE,TN,TP,sr,t
0.0,23.0,3644135.10577576,0.0,208.0,2,7395.054999999998
0.0,46.0,2918763.551858199,0.0,185.0,2,8447.814285714283
73.2,28.3,1484311.653225706,40.7,88.8,2,9560.767142857143
64.0,51.8,1434939.1609739647,40.2,75.0,2,9896.94214285714
39.2,59.2,1406064.9768752332,56.8,75.8,2,10259.974999999997
49.8,57.8,1498076.0388732196,81.2,42.2,2,10607.560714285712
24.7,75.2,3010149.2120979982,86.8,44.3,2,10970.621428571429
46.0,0.0,780680.7678614098,185.0,0.0,2,11656.392857142857
23.0,0.0,1000982.791926238,208.0,0.0,2,13508.696428571431
15.9,14.6,1347401.4514664256,8.4,192.1,25,7395.054999999998
22.7,23.5,2096716.4131811273,22.5,162.3,25,8447.814285714283
30.9,30.6,862298.1485748707,38.4,131.1,25,9560.767142857143
23.0,30.2,386591.7463617549,61.8,116.0,25,9896.94214285714
25.7,28.4,681753.3816418075,87.6,89.3,25,10259.974999999997
22.3,26.3,515394.24089027866,112.7,69.7,25,10607.560714285712
17.2,23.2,655692.6357480205,138.8,51.8,25,10970.621428571429
15.2,22.1,1472252.7577220215,162.9,30.8,25,11656.392857142857
11.3,18.6,984010.5056094978,189.4,11.7,25,13508.696428571431
12.1,14.7,902594.6416478328,8.3,195.9,48,7395.054999999998
23.4,22.2,919913.0197731933,23.8,161.6,48,8447.814285714283
28.0,21.6,749675.0440228852,47.4,134.0,48,9560.767142857143
21.3,28.0,2424459.345574057,64.0,117.7,48,9896.94214285714
20.1,19.7,712603.9090517521,96.3,94.9,48,10259.974999999997
26.4,22.8,1471313.8386822722,116.2,65.6,48,10607.560714285712
15.5,13.2,1338311.2141512092,148.8,53.5,48,10970.621428571429
14.0,14.6,781422.3313928425,170.4,32.0,48,11656.392857142857
11.9,8.9,1348143.385523035,199.1,11.1,48,13508.696428571431
17.6,10.6,1483438.3004668676,12.4,190.4,71,7395.054999999998
16.8,20.5,1082662.2256478656,25.5,168.2,71,8447.814285714283
23.8,22.3,1406769.8025172488,46.7,138.2,71,9560.767142857143
20.4,23.6,2438637.4140192787,68.4,118.6,71,9896.94214285714
21.9,19.7,921231.8645975713,96.3,93.1,71,10259.974999999997
19.8,17.5,776466.9215190844,121.5,72.2,71,10607.560714285712
16.9,14.4,584050.2915593635,147.6,52.1,71,10970.621428571429
14.2,15.2,2600275.5978838997,169.8,31.8,71,11656.392857142857
6.5,11.4,886632.5958452119,196.6,16.5,71,13508.696428571431
12.4,12.5,315297.3830751048,10.5,195.6,94,7395.054999999998
17.6,23.2,559629.8777545377,22.8,167.4,94,8447.814285714283
22.5,18.6,305702.13367893355,50.4,139.5,94,9560.767142857143
25.2,19.2,1814556.1864877795,72.8,113.8,94,9896.94214285714
15.2,21.2,1145736.4308667388,94.8,99.8,94,10259.974999999997
20.0,17.7,925049.0976927998,121.3,72.0,94,10607.560714285712
15.4,15.1,800205.8662231887,146.9,53.6,94,10970.621428571429
14.9,11.9,623728.2545111369,173.1,31.1,94,11656.392857142857
9.4,8.5,561109.5037379209,199.5,13.6,94,13508.696428571431
10.7,10.1,1256078.061576373,12.9,197.3,117,7395.054999999998
19.9,19.9,798519.1718905651,26.1,165.1,117,8447.814285714283
19.4,20.3,802201.0341954648,48.7,142.6,117,9560.767142857143
21.7,19.1,686000.5247907152,72.9,117.3,117,9896.94214285714
13.7,19.2,384589.0104282492,96.8,101.3,117,10259.974999999997
17.4,15.3,452205.4346663449,123.7,74.6,117,10607.560714285712
11.7,12.1,595785.8626479673,149.9,57.3,117,10970.621428571429
14.3,11.7,798774.4613620013,173.3,31.7,117,11656.392857142857
9.3,6.6,448714.1798955486,201.4,13.7,117,13508.696428571431
11.6,10.8,520072.30762428476,12.2,196.4,140,7395.054999999998
16.9,16.5,1104668.4284300518,29.5,168.1,140,8447.814285714283
19.0,18.1,363820.81508599536,50.9,143.0,140,9560.767142857143
19.8,17.1,1377635.1795702984,74.9,119.2,140,9896.94214285714
15.4,16.0,350699.366898553,100.0,99.6,140,10259.974999999997
14.6,15.0,622236.8028345946,124.0,77.4,140,10607.560714285712
9.9,10.3,1837246.457689998,151.7,59.1,140,10970.621428571429
10.4,10.1,387363.813615692,174.9,35.6,140,11656.392857142857
7.5,7.7,157277.70539162064,200.3,15.5,140,13508.696428571431
11.5,8.8,397729.2778677778,14.2,196.5,163,7395.054999999998
16.6,18.6,896690.4847164275,27.4,168.4,163,8447.814285714283
15.7,17.0,682817.4521428818,52.0,146.3,163,9560.767142857143
17.8,19.4,678330.7733571072,72.6,121.2,163,9896.94214285714
19.2,18.0,746927.5015760058,98.0,95.8,163,10259.974999999997
12.3,15.1,939541.1030283396,123.9,79.7,163,10607.560714285712
9.7,11.2,3773770.0198742403,150.8,59.3,163,10970.621428571429
10.5,12.6,319346.6954777762,172.4,35.5,163,11656.392857142857
8.3,9.6,448712.8095185495,198.4,14.7,163,13508.696428571431
11.0,12.1,702807.0844025713,10.9,197.0,186,7395.054999999998
17.7,15.0,190642.90754535075,31.0,167.3,186,8447.814285714283
16.1,17.2,437495.7536900874,51.8,145.9,186,9560.767142857143
17.3,18.1,407520.2723500845,73.9,121.7,186,9896.94214285714
16.1,15.2,413055.47765637387,100.8,98.9,186,10259.974999999997
9.9,12.3,1893096.9239497301,126.7,82.1,186,10607.560714285712
9.8,11.5,1363656.8303788886,150.5,59.2,186,10970.621428571429
8.5,13.4,960198.8547361391,171.6,37.5,186,11656.392857142857
5.4,8.5,760430.5005842058,199.5,17.6,186,13508.696428571431
11.2,10.2,885531.2157233336,12.8,196.8,209,7395.054999999998
17.3,14.6,987722.7551696422,31.4,167.7,209,8447.814285714283
19.4,15.8,202538.8796737969,53.2,142.6,209,9560.767142857143
15.0,17.4,430063.9381058047,74.6,124.0,209,9896.94214285714
14.6,15.4,825256.9717728116,100.6,100.4,209,10259.974999999997
14.6,13.2,402643.898659481,125.8,77.4,209,10607.560714285712
7.9,8.5,1604120.9509458607,153.5,61.1,209,10970.621428571429
10.3,10.6,783821.7786519938,174.4,35.7,209,11656.392857142857
6.7,5.5,434570.2531958624,202.5,16.3,209,13508.696428571431
10.6,10.4,847396.2634882989,12.6,197.4,232,7395.054999999998
14.6,16.3,1575861.9280465737,29.7,170.4,232,8447.814285714283
16.7,11.3,245107.324632963,57.7,145.3,232,9560.767142857143
