FN,FP,TN,TP,sr,t
0.0,135.0,0.0,1214.0,2,22.464000000000002
0.0,270.0,0.0,1079.0,2,23.397
517.3,121.4,283.6,426.7,2,24.643
356.6,228.2,311.8,452.4,2,27.068
318.6,199.2,475.8,355.4,2,30.396
312.5,300.7,509.3,226.5,2,33.649
133.1,522.0,422.0,271.9,2,39.013000000000005
270.0,0.0,1079.0,0.0,2,45.168
135.0,0.0,1214.0,0.0,2,58.173
98.4,68.4,66.6,1115.6,136,22.464000000000002
125.6,95.3,174.7,953.4,136,23.397
96.3,83.7,321.3,847.7,136,24.643
108.3,93.7,446.3,700.7,136,27.068
116.5,105.7,569.3,557.5,136,30.396
101.2,100.4,708.6,438.8,136,33.649
112.4,81.9,862.1,292.6,136,39.013000000000005
104.1,101.8,977.2,165.9,136,45.168
69.6,70.0,1144.0,65.4,136,58.173
75.4,52.0,83.0,1138.6,270,22.464000000000002
75.6,81.0,189.0,1003.4,270,23.397
65.4,63.7,341.3,878.6,270,24.643
79.6,78.5,461.5,729.4,270,27.068
86.4,89.6,585.4,587.6,270,30.396
84.2,79.9,730.1,454.8,270,33.649
67.8,76.0,868.0,337.2,270,39.013000000000005
85.4,86.9,992.1,184.6,270,45.168
49.3,50.7,1163.3,85.7,270,58.173
55.3,49.9,85.1,1158.7,404,22.464000000000002
64.5,65.7,204.3,1014.5,404,23.397
54.1,63.2,341.8,889.9,404,24.643
67.3,64.2,475.8,741.7,404,27.068
79.1,76.1,598.9,594.9,404,30.396
62.3,62.0,748.0,476.7,404,33.649
62.0,75.1,868.9,343.0,404,39.013000000000005
70.8,72.8,1006.2,199.2,404,45.168
35.2,31.3,1182.7,99.8,404,58.173
54.7,48.8,86.2,1159.3,538,22.464000000000002
56.6,50.8,219.2,1022.4,538,23.397
52.2,50.6,354.4,891.8,538,24.643
51.5,51.8,488.2,757.5,538,27.068
64.0,65.3,609.7,610.0,538,30.396
62.4,57.8,751.2,477.6,538,33.649
52.2,53.3,890.7,352.8,538,39.013000000000005
68.0,60.0,1019.0,202.0,538,45.168
28.1,30.7,1183.3,106.9,538,58.173
42.4,41.7,93.3,1171.6,672,22.464000000000002
49.2,53.7,216.3,1029.8,672,23.397
49.3,51.3,353.7,894.7,672,24.643
42.8,40.4,499.6,766.2,672,27.068
65.3,60.7,614.3,608.7,672,30.396
60.6,59.8,750.2,478.4,672,33.649
51.3,46.7,897.3,353.7,672,39.013000000000005
44.1,55.0,1024.0,225.9,672,45.168
28.1,26.6,1187.4,106.9,672,58.173
43.2,38.6,96.4,1170.8,806,22.464000000000002
46.8,46.4,223.6,1032.2,806,23.397
47.3,42.0,363.0,896.7,806,24.643
43.0,37.3,502.7,766.0,806,27.068
56.3,59.0,616.0,617.7,806,30.396
55.5,52.0,757.0,484.5,806,33.649
46.1,40.5,903.5,358.9,806,39.013000000000005
48.9,48.0,1031.0,221.1,806,45.168
22.2,22.2,1191.8,112.8,806,58.173
37.1,38.8,96.2,1176.9,940,22.464000000000002
53.2,43.7,226.3,1025.8,940,23.397
42.9,36.9,368.1,901.1,940,24.643
37.3,38.8,501.2,771.7,940,27.068
51.4,60.6,614.4,622.6,940,30.396
48.7,44.9,765.1,490.3,940,33.649
36.5,40.5,903.5,368.5,940,39.013000000000005
40.9,47.1,1031.9,229.1,940,45.168
21.1,16.6,1197.4,113.9,940,58.173
42.6,35.9,99.1,1171.4,1074,22.464000000000002
43.8,45.2,224.8,1035.2,1074,23.397
36.9,39.7,365.3,907.1,1074,24.643
30.6,35.1,504.9,778.4,1074,27.068
42.6,49.1,625.9,631.4,1074,30.396
