FN,FP,MSE,TN,TP,sr,t
0.0,135.0,179.3347735747962,0.0,1214.0,2,22.464000000000002
0.0,270.0,50.80146319028909,0.0,1079.0,2,23.397
485.0,162.9,40.03122254381023,242.1,459.0,2,24.643
474.1,226.3,35.49523903558191,313.7,334.9,2,27.068
290.5,328.3,322.7235352629355,346.7,383.5,2,30.396
198.0,491.1,231.50795437546336,318.9,341.0,2,33.649
192.6,282.0,42.092305224462564,662.0,212.4,2,39.013000000000005
270.0,0.0,29.07442524477391,1079.0,0.0,2,45.168
135.0,0.0,27.38609560059303,1214.0,0.0,2,58.173
84.3,63.3,8.932375905707932,71.7,1129.7,136,22.464000000000002
91.7,85.0,14.044654926834692,185.0,987.3,136,23.397
89.7,68.4,14.179206318383986,336.6,854.3,136,24.643
110.0,80.1,9.461304789103043,459.9,699.0,136,27.068
104.5,77.0,8.286877453910304,598.0,569.5,136,30.396
115.9,94.6,10.153545019607115,714.4,424.1,136,33.649
113.1,99.3,10.157073300407708,844.7,291.9,136,39.013000000000005
109.1,97.3,11.47571844017791,981.7,160.9,136,45.168
69.1,65.4,12.682351406856933,1148.6,65.9,136,58.173
55.8,51.0,10.666117766901406,84.0,1158.2,270,22.464000000000002
64.7,66.9,8.918923527427726,203.1,1014.3,270,23.397
68.1,59.6,8.961259077835432,345.4,875.9,270,24.643
75.1,74.9,8.139592003261676,465.1,733.9,270,27.068
92.9,67.2,6.696480094329134,607.8,581.1,270,30.396
77.6,75.9,7.4667127433098575,734.1,461.4,270,33.649
81.3,79.4,7.295450506951653,864.6,323.7,270,39.013000000000005
76.7,83.2,8.281074205133432,995.8,193.3,270,45.168
51.7,43.1,8.733136902501853,1170.9,83.3,270,58.173
48.5,44.6,4.665040618180134,90.4,1165.5,404,22.464000000000002
53.8,53.5,5.414558727575981,216.5,1025.2,404,23.397
53.1,53.5,6.5426763284840606,351.5,890.9,404,24.643
71.8,57.5,6.883722837676056,482.5,737.2,404,27.068
67.7,80.7,5.767241829392143,594.3,606.3,404,30.396
66.7,67.2,4.803226091882875,742.8,472.3,404,33.649
65.9,72.2,4.926685504093568,871.8,339.1,404,39.013000000000005
70.0,58.5,4.985957207338768,1020.5,200.0,404,45.168
39.3,28.1,8.97156897887324,1185.9,95.7,404,58.173
48.1,43.3,7.075310918624908,91.7,1165.9,538,22.464000000000002
59.7,49.7,5.559094241345441,220.3,1019.3,538,23.397
56.3,46.8,4.056352524147518,358.2,887.7,538,24.643
62.8,43.3,3.3010230004612473,496.7,746.2,538,27.068
60.2,56.8,3.8052692260192735,618.2,613.8,538,30.396
64.9,54.5,5.261928426019274,754.5,475.1,538,33.649
70.1,59.5,3.701446392883618,884.5,334.9,538,39.013000000000005
61.4,55.9,3.9061058122127497,1023.1,208.6,538,45.168
38.2,27.5,4.6423310523721275,1186.5,96.8,538,58.173
43.0,40.5,3.5585687433757514,94.5,1171.0,672,22.464000000000002
48.6,51.8,2.415944986008154,218.2,1030.4,672,23.397
47.2,42.5,2.917024285007413,362.5,896.8,672,24.643
46.4,40.8,2.8917006540956263,499.2,762.6,672,27.068
56.3,51.2,4.068242429412734,623.8,617.7,672,30.396
48.5,53.9,5.468921328080471,756.1,490.5,672,33.649
40.5,40.5,2.5738120087204517,903.5,364.5,672,39.013000000000005
52.7,49.9,4.146920022590808,1029.1,217.3,672,45.168
