FN,FP,TN,TP,sr,t
0.0,3.0,0.0,17.0,2,960
0.0,5.0,0.0,15.0,2,1020
14.0,0.0,6.0,0.0,2,1080
12.0,0.0,8.0,0.0,2,1140
9.0,0.0,11.0,0.0,2,1230
8.0,0.0,12.0,0.0,2,1320
6.0,0.0,14.0,0.0,2,1770
4.0,0.0,16.0,0.0,2,1980
2.0,0.0,18.0,0.0,2,2160
3.2,1.0,2.0,13.8,11,960
3.4,1.5,3.5,11.6,11,1020
3.4,2.8,3.2,10.6,11,1080
3.9,3.3,4.7,8.1,11,1140
2.7,1.2,9.8,6.3,11,1230
2.8,1.2,10.8,5.2,11,1320
2.1,2.0,12.0,3.9,11,1770
1.5,2.9,13.1,2.5,11,1980
2.0,0.0,18.0,0.0,11,2160
2.5,1.2,1.8,14.5,20,960
3.9,1.7,3.3,11.1,20,1020
2.0,1.4,4.6,12.0,20,1080
3.0,1.6,6.4,9.0,20,1140
2.7,1.2,9.8,6.3,20,1230
1.2,1.2,10.8,6.8,20,1320
1.7,0.7,13.3,4.3,20,1770
2.2,0.8,15.2,1.8,20,1980
1.1,1.6,16.4,0.9,20,2160
1.5,1.3,1.7,15.5,29,960
1.2,1.1,3.9,13.8,29,1020
4.1,0.8,5.2,9.9,29,1080
1.4,1.8,6.2,10.6,29,1140
1.9,0.8,10.2,7.1,29,1230
1.5,0.4,11.6,6.5,29,1320
1.5,0.4,13.6,4.5,29,1770
2.1,0.6,15.4,1.9,29,1980
1.0,1.1,16.9,1.0,29,2160
1.8,1.0,2.0,15.2,38,960
1.8,0.8,4.2,13.2,38,1020
3.4,1.5,4.5,10.6,38,1080
2.5,1.5,6.5,9.5,38,1140
1.6,1.0,10.0,7.4,38,1230
1.1,0.5,11.5,6.9,38,1320
1.4,0.4,13.6,4.6,38,1770
1.7,1.0,15.0,2.3,38,1980
0.8,0.6,17.4,1.2,38,2160
2.0,0.8,2.2,15.0,47,960
1.7,1.1,3.9,13.3,47,1020
1.8,1.6,4.4,12.2,47,1080
3.2,1.2,6.8,8.8,47,1140
2.0,1.0,10.0,7.0,47,1230
1.1,0.2,11.8,6.9,47,1320
1.2,0.3,13.7,4.8,47,1770
1.1,0.7,15.3,2.9,47,1980
0.9,0.8,17.2,1.1,47,2160
1.6,0.2,2.8,15.4,56,960
1.2,1.4,3.6,13.8,56,1020
2.6,1.3,4.7,11.4,56,1080
1.9,1.5,6.5,10.1,56,1140
2.2,0.5,10.5,6.8,56,1230
1.3,0.6,11.4,6.7,56,1320
0.6,0.0,14.0,5.4,56,1770
0.7,1.0,15.0,3.3,56,1980
1.4,0.4,17.6,0.6,56,2160
1.5,0.6,2.4,15.5,65,960
1.9,0.8,4.2,13.1,65,1020
1.9,1.1,4.9,12.1,65,1080
2.2,1.8,6.2,9.8,65,1140
1.5,1.2,9.8,7.5,65,1230
0.8,0.6,11.4,7.2,65,1320
0.8,0.2,13.8,5.2,65,1770
0.8,0.7,15.3,3.2,65,1980
0.9,0.9,17.1,1.1,65,2160
0.6,1.0,2.0,16.4,74,960
1.8,1.0,4.0,13.2,74,1020
1.4,0.9,5.1,12.6,74,1080
1.8,1.1,6.9,10.2,74,1140
1.9,1.0,10.0,7.1,74,1230
0.7,0.2,11.8,7.3,74,1320
0.4,0.2,13.8,5.6,74,1770
0.7,0.4,15.6,3.3,74,1980
1.2,0.5,17.5,0.8,74,2160
1.0,0.7,2.3,16.0,83,960
0.8,1.2,3.8,14.2,83,1020
1.9,1.6,4.4,12.1,83,1080
2.1,2.1,5.9,9.9,83,1140
1.6,0.9,10.1,7.4,83,1230
1.0,0.5,11.5,7.0,83,1320
0.5,0.3,13.7,5.5,83,1770
0.8,0.4,15.6,3.2,83,1980
0.8,0.7,17.3,1.2,83,2160
0.5,0.6,2.4,16.5,92,960
1.0,1.3,3.7,14.0,92,1020
0.6,1.0,5.0,13.4,92,1080
0.9,1.2,6.8,11.1,92,1140
1.0,0.6,10.4,8.0,92,1230
0.6,0.2,11.8,7.4,92,1320
0.3,0.1,13.9,5.7,92,1770
0.6,0.4,15.6,3.4,92,1980
1.1,0.8,17.2,0.9,92,2160
1.6,0.7,2.3,15.4,101,960
0.8,0.8,4.2,14.2,101,1020
1.7,1.1,4.9,12.3,101,1080
0.9,1.9,6.1,11.1,101,1140
1.1,0.7,10.3,7.9,101,1230
0.5,0.4,11.6,7.5,101,1320
0.2,0.3,13.7,5.8,101,1770
1.0,0.3,15.7,3.0,101,1980
1.0,0.2,17.8,1.0,101,2160
1.2,0.8,2.2,15.8,110,960
0.8,1.0,4.0,14.2,110,1020
1.0,1.5,4.5,13.0,110,1080
1.7,1.2,6.8,10.3,110,1140
2.2,0.4,10.6,6.8,110,1230
0.7,0.7,11.3,7.3,110,1320
0.5,0.2,13.8,5.5,110,1770
0.8,0.8,15.2,3.2,110,1980
0.8,0.8,17.2,1.2,110,2160
1.1,0.5,2.5,15.9,119,960
1.2,1.3,3.7,13.8,119,1020
0.4,1.1,4.9,13.6,119,1080
1.1,1.7,6.3,10.9,119,1140
0.8,1.0,10.0,8.2,119,1230
0.4,0.5,11.5,7.6,119,1320
0.3,0.1,13.9,5.7,119,1770
1.2,0.3,15.7,2.8,119,1980
0.5,0.7,17.3,1.5,119,2160
1.0,0.9,2.1,16.0,128,960
0.4,1.0,4.0,14.6,128,1020
0.5,1.5,4.5,13.5,128,1080
1.6,1.7,6.3,10.4,128,1140
1.1,0.2,10.8,7.9,128,1230
0.9,0.9,11.1,7.1,128,1320
0.3,0.3,13.7,5.7,128,1770
0.7,0.4,15.6,3.3,128,1980
0.4,0.7,17.3,1.6,128,2160
0.5,0.6,2.4,16.5,137,960
0.8,0.8,4.2,14.2,137,1020
0.6,1.0,5.0,13.4,137,1080
1.4,1.4,6.6,10.6,137,1140
1.5,0.2,10.8,7.5,137,1230
0.8,0.4,11.6,7.2,137,1320
0.3,0.0,14.0,5.7,137,1770
0.9,0.9,15.1,3.1,137,1980
0.8,0.5,17.5,1.2,137,2160
0.9,0.1,2.9,16.1,146,960
0.6,1.6,3.4,14.4,146,1020
0.7,0.8,5.2,13.3,146,1080
1.7,1.5,6.5,10.3,146,1140
1.4,0.7,10.3,7.6,146,1230
0.4,0.2,11.8,7.6,146,1320
0.5,0.1,13.9,5.5,146,1770
0.6,0.4,16.6,2.4,146,1980
0.5,0.0,18.0,1.5,146,2160
0.7,0.3,2.7,16.3,155,960
0.3,1.1,3.9,14.7,155,1020
0.6,1.5,4.5,13.4,155,1080
0.9,1.5,6.5,11.1,155,1140
1.0,0.2,10.8,8.0,155,1230
1.1,0.4,11.6,6.9,155,1320
0.2,0.1,13.9,5.8,155,1770
1.2,0.8,15.2,2.8,155,1980
0.7,0.3,17.7,1.3,155,2160
0.5,0.3,2.7,16.5,164,960
0.9,1.6,3.4,14.1,164,1020
0.4,1.2,4.8,13.6,164,1080
1.5,1.5,6.5,10.5,164,1140
0.7,0.2,10.8,8.3,164,1230
1.0,0.1,11.9,7.0,164,1320
0.3,0.1,13.9,5.7,164,1770
0.9,0.7,15.3,3.1,164,1980
0.8,0.3,17.7,1.2,164,2160
