FN,FP,MSE,TN,TP,sr,t
0.0,3.0,36121.5,0.0,17.0,2,960
0.0,5.0,24147.0,0.0,15.0,2,1020
4.2,4.2,51673.5,1.8,9.8,2,1080
3.6,5.6,23044.5,2.4,8.4,2,1140
0.9,9.9,27670.5,1.1,8.1,2,1230
0.8,10.8,28453.5,1.2,7.2,2,1320
5.4,1.4,40054.5,12.6,0.6,2,1770
4.0,0.0,35329.5,16.0,0.0,2,1980
2.0,0.0,23827.5,18.0,0.0,2,2160
1.3,1.8,19469.375,1.2,15.7,11,960
1.9,2.8,8372.125,2.2,13.1,11,1020
1.2,3.2,13041.875,2.8,12.8,11,1080
1.3,3.4,5726.5,4.6,10.7,11,1140
1.7,3.2,16396.5,7.8,7.3,11,1230
1.2,3.5,20038.875,8.5,6.8,11,1320
1.3,1.4,4150.375,12.6,4.7,11,1770
0.9,2.4,4282.375,13.6,3.1,11,1980
1.6,1.0,4386.375,17.0,0.4,11,2160
1.5,1.3,1091.25,1.7,15.5,20,960
0.9,1.8,4125.25,3.2,14.1,20,1020
1.6,1.5,27863.75,4.5,12.4,20,1080
1.1,2.5,1625.5,5.5,10.9,20,1140
1.0,2.1,1910.375,8.9,8.0,20,1230
1.4,0.8,1746.375,11.2,6.6,20,1320
0.5,1.1,3262.75,12.9,5.5,20,1770
0.8,2.2,23441.625,13.8,3.2,20,1980
0.4,2.3,2985.75,15.7,1.6,20,2160
1.2,0.6,7488.75,2.4,15.8,29,960
1.4,0.8,1835.25,4.2,13.6,29,1020
0.9,2.2,2667.0,3.8,13.1,29,1080
1.5,1.8,2534.09375,6.2,10.5,29,1140
1.0,2.0,2798.4375,9.0,8.0,29,1230
1.2,1.0,3074.625,11.0,6.8,29,1320
0.1,0.7,3056.25,13.3,5.9,29,1770
0.7,0.8,1878.4375,15.2,3.3,29,1980
1.1,1.1,2846.215,16.9,0.9,29,2160
0.3,1.2,2226.5,1.8,16.7,38,960
0.9,1.0,1323.625,4.0,14.1,38,1020
0.6,1.4,6424.5,4.6,13.4,38,1080
0.9,1.7,2213.375,6.3,11.1,38,1140
0.8,2.4,1699.375,8.6,8.2,38,1230
1.2,0.8,2118.25,11.2,6.8,38,1320
0.5,0.4,4554.75,13.6,5.5,38,1770
0.9,1.1,901.5,14.9,3.1,38,1980
0.3,0.4,1519.5,17.6,1.7,38,2160
0.2,1.6,1280.75,1.4,16.8,47,960
0.7,0.9,1195.53125,4.1,14.3,47,1020
1.9,1.8,1499.375,4.2,12.1,47,1080
2.0,1.1,2531.875,6.9,10.0,47,1140
0.5,1.3,1376.4375,9.7,8.5,47,1230
0.9,0.4,1974.9375,11.6,7.1,47,1320
0.1,0.5,2491.375,13.5,5.9,47,1770
0.6,1.3,1968.0,14.7,3.4,47,1980
0.6,0.3,2545.75,17.7,1.4,47,2160
0.2,0.9,1073.75,2.1,16.8,56,960
0.5,1.2,2475.765625,3.8,14.5,56,1020
1.1,1.0,1348.75,5.0,12.9,56,1080
1.1,1.7,804.0625,6.3,10.9,56,1140
1.2,1.4,720.8061224489795,9.6,7.8,56,1230
0.5,1.2,2501.8900000000003,10.8,7.5,56,1320
0.2,0.6,3831.245,13.4,5.8,56,1770
0.9,0.5,1822.6150000000002,15.5,3.1,56,1980
0.3,0.7,780.875,17.3,1.7,56,2160
0.4,1.0,752.07625,2.0,16.6,65,960
0.9,1.5,1835.516581632653,3.5,14.1,65,1020
0.9,2.2,943.22,3.8,13.1,65,1080
1.4,1.5,1690.907916666667,6.5,10.6,65,1140
1.1,1.0,773.9936224489795,10.0,7.9,65,1230
0.7,1.0,1403.5625,11.0,7.3,65,1320
0.3,0.2,1501.08375,13.8,5.7,65,1770
0.9,1.0,1465.40625,15.0,3.1,65,1980
0.8,0.6,1177.9950000000001,17.4,1.2,65,2160
0.3,1.4,2619.157664399093,1.6,16.7,74,960
0.2,1.7,1672.7175,3.3,14.8,74,1020
1.2,1.2,1165.9850000000001,4.8,12.8,74,1080
1.2,1.5,1194.6096874999998,6.5,10.8,74,1140
1.2,1.0,1055.23125,10.0,7.8,74,1230
0.6,0.2,1526.1953287981858,11.8,7.4,74,1320
0.5,0.3,1717.6631944444446,13.7,5.5,74,1770
0.8,0.6,949.0635969387755,15.4,3.2,74,1980
0.4,0.6,1081.2473724489796,17.4,1.6,74,2160
0.4,1.3,2017.53125,1.7,16.6,83,960
0.4,1.6,1387.5083937004558,3.4,14.6,83,1020
0.6,1.8,2264.762737029385,4.2,13.4,83,1080
1.8,1.6,1016.4346874999999,6.4,10.2,83,1140
0.8,1.3,1880.6713154269971,9.7,8.2,83,1230
0.6,0.9,858.1501955782312,11.1,7.4,83,1320
0.5,0.2,1752.0549999999998,13.8,5.5,83,1770
1.0,0.5,2055.1706249999997,15.5,3.0,83,1980
0.8,0.4,2078.10125,17.6,1.2,83,2160
0.3,1.1,1130.7835355643638,1.9,16.7,92,960
0.8,1.5,508.23536503456563,3.5,14.2,92,1020
0.7,0.9,2017.5497385204083,5.1,13.3,92,1080
0.6,1.5,1314.5947066326532,6.5,11.4,92,1140
1.2,2.1,1072.1375956632653,8.9,7.8,92,1230
0.7,0.6,1823.5499043367345,11.4,7.3,92,1320
0.4,0.2,1035.0234446740128,13.8,5.6,92,1770
0.9,0.5,908.155,15.5,3.1,92,1980
0.7,0.4,1005.9080555555556,17.6,1.3,92,2160
0.5,0.9,920.4277324263039,2.1,16.5,101,960
0.7,1.3,1082.9450273632076,3.7,14.3,101,1020
1.3,1.4,1323.083984375,4.6,12.7,101,1080
0.7,1.2,1458.436472750865,6.8,11.3,101,1140
1.3,1.3,2069.584765793369,9.7,7.7,101,1230
0.2,0.5,1130.2258703512398,11.5,7.8,101,1320
0.0,0.1,785.7488378684806,13.9,6.0,101,1770
0.4,0.7,1124.3664876033058,15.3,3.6,101,1980
0.5,0.4,1462.9653719008265,17.6,1.5,101,2160
0.3,0.9,1118.900173611111,2.1,16.7,110,960
0.5,1.3,894.3413119834711,3.7,14.5,110,1020
1.7,1.9,1214.7557397959183,4.1,12.3,110,1080
1.0,1.5,978.8846660248121,6.5,11.0,110,1140
1.3,1.3,838.6282511337868,9.7,7.7,110,1230
0.9,0.3,1070.999111570248,11.7,7.1,110,1320
0.4,0.1,1713.759048532636,13.9,5.6,110,1770
0.3,1.1,1502.8106660997732,14.9,3.7,110,1980
0.5,0.6,986.8180976977568,17.4,1.5,110,2160
0.6,1.2,868.9065816326529,1.8,16.4,119,960
0.7,1.4,1128.7083087192527,3.6,14.3,119,1020
0.6,1.4,1036.0421280991736,4.6,13.4,119,1080
1.2,2.3,1224.094815944545,5.7,10.8,119,1140
1.4,0.9,757.5625,10.1,7.6,119,1230
0.9,0.1,731.7068805869458,11.9,7.1,119,1320
0.1,0.1,1102.661055655992,13.9,5.9,119,1770
0.9,0.3,1155.9181944444445,15.7,3.1,119,1980
0.2,0.5,694.7185770975058,17.5,1.8,119,2160
0.3,1.1,780.6648967644908,1.9,16.7,128,960
0.3,1.2,1920.5466346153844,3.8,14.7,128,1020
0.8,1.2,1112.616111111111,4.8,13.2,128,1080
1.1,1.0,658.7989335951262,7.0,10.9,128,1140
1.7,1.6,760.2387350312025,9.4,7.3,128,1230
0.2,0.9,542.4273146056347,11.1,7.8,128,1320
0.2,0.4,1641.2334242705342,13.6,5.8,128,1770
0.9,0.4,1150.6655555555553,15.6,3.1,128,1980
0.6,0.8,1195.826409858061,17.2,1.4,128,2160
0.3,0.9,896.6827120073561,2.1,16.7,137,960
1.0,1.2,890.8446428571433,3.8,14.0,137,1020
0.5,2.2,2041.0145508643454,3.8,13.5,137,1080
0.4,1.6,731.5418808307635,6.4,11.6,137,1140
1.6,1.3,669.4161978987814,9.7,7.4,137,1230
0.5,0.1,406.74605229591833,11.9,7.5,137,1320
0.2,0.3,525.5492674425142,13.7,5.8,137,1770
0.4,0.4,1011.8550868441702,15.6,3.6,137,1980
0.4,0.6,948.5609327744905,17.4,1.6,137,2160
0.6,1.1,866.3142623123631,1.9,16.4,146,960
