FN,FP,MSE,TN,TP,sr,t
0.0,26.0,62.8172685656427,0.0,230.0,2,0.478987974358975
0.0,51.0,87.14698488009927,0.0,205.0,2,0.528053435897436
96.6,29.5,20.742112892249928,47.5,82.4,2,0.732406631578947
46.2,53.0,15.451560624258732,49.0,107.8,2,1.24142602702703
46.2,72.8,19.077441885338615,55.2,81.8,2,2.08937425641026
38.8,43.5,35.215522954802665,110.5,63.2,2,5.81297530769231
36.2,93.7,18.665042813946066,85.3,40.8,2,10.6980868974359
51.0,0.0,17.436510547575015,205.0,0.0,2,19.898601564102602
26.0,0.0,17.69297139254811,230.0,0.0,2,37.5557710769231
0.0,26.0,0.008146112747362742,0.0,230.0,130,0.478987974358975
0.0,51.0,0.008629599982142248,0.0,205.0,130,0.528053435897436
28.2,0.0,0.01192325586871824,77.0,150.8,130,0.732406631578947
12.9,5.6,0.007867185147591296,97.4,140.1,130,1.24142602702703
2.6,1.4,0.009118179874373255,126.6,125.4,130,2.08937425641026
0.0,0.1,0.008253344640722748,153.9,102.0,130,5.81297530769231
0.0,0.0,0.00916170287467272,179.0,77.0,130,10.6980868974359
0.0,0.0,0.008180102152502451,205.0,51.0,130,19.898601564102602
0.0,0.0,0.008466140197165762,231.0,25.0,130,37.5557710769231
0.0,26.0,0.008919743147575928,0.0,230.0,258,0.478987974358975
0.0,51.0,0.009211478273536957,0.0,205.0,258,0.528053435897436
24.8,0.0,0.006863245443738039,77.0,154.2,258,0.732406631578947
13.0,0.0,0.008728836144367794,103.0,140.0,258,1.24142602702703
4.0,4.8,0.012104605999876547,123.2,124.0,258,2.08937425641026
0.0,0.0,0.006894844612509797,154.0,102.0,258,5.81297530769231
0.0,0.2,0.00922910744167008,178.8,77.0,258,10.6980868974359
0.0,0.0,0.008693261038292807,205.0,51.0,258,19.898601564102602
0.0,0.0,0.00946671517916549,231.0,25.0,258,37.5557710769231
0.0,26.0,0.0090264620441903,0.0,230.0,386,0.478987974358975
0.0,51.0,0.0077521647989126155,0.0,205.0,386,0.528053435897436
26.5,0.0,0.00730117984988281,77.0,152.5,386,0.732406631578947
13.6,0.0,0.008643595494300674,102.0,140.4,386,1.24142602702703
1.2,8.9,0.007353350888839041,119.1,126.8,386,2.08937425641026
0.0,0.1,0.0069019699179894076,153.9,102.0,386,5.81297530769231
0.0,0.1,0.007019546563370624,178.9,77.0,386,10.6980868974359
0.0,0.1,0.008542165747573327,204.9,51.0,386,19.898601564102602
0.0,0.0,0.00830398809432627,230.0,26.0,386,37.5557710769231
0.0,26.0,0.008397411659293742,0.0,230.0,514,0.478987974358975
0.0,51.0,0.008850377212055153,0.0,205.0,514,0.528053435897436
23.6,0.0,0.00811176447765925,77.0,155.4,514,0.732406631578947
12.1,3.5,0.007538241014687091,98.5,141.9,514,1.24142602702703
4.2,3.0,0.009887755454673868,125.0,123.8,514,2.08937425641026
0.0,0.0,0.01206934563895098,154.0,102.0,514,5.81297530769231
