FN,FP,TN,TP,sr,t
0.0,26.0,0.0,230.0,2,0.478987974358975
0.0,51.0,0.0,205.0,2,0.528053435897436
92.4,34.3,42.7,86.6,2,0.732406631578947
59.7,46.7,55.3,94.3,2,1.24142602702703
64.5,59.0,69.0,63.5,2,2.08937425641026
36.1,63.0,91.0,65.9,2,5.81297530769231
35.0,86.4,92.6,42.0,2,10.6980868974359
51.0,0.0,205.0,0.0,2,19.898601564102602
26.0,0.0,230.0,0.0,2,37.5557710769231
5.9,4.5,21.5,224.1,130,0.478987974358975
10.6,8.4,42.6,194.4,130,0.528053435897436
0.0,0.1,76.9,179.0,130,0.732406631578947
0.2,0.1,102.9,152.8,130,1.24142602702703
0.1,0.1,127.9,127.9,130,2.08937425641026
0.4,0.0,154.0,101.6,130,5.81297530769231
1.3,0.1,178.9,75.7,130,10.6980868974359
0.0,0.1,204.9,51.0,130,19.898601564102602
0.0,0.4,230.6,25.0,130,37.5557710769231
3.5,4.1,21.9,226.5,258,0.478987974358975
5.5,5.1,45.9,199.5,258,0.528053435897436
0.8,0.1,76.9,178.2,258,0.732406631578947
0.3,0.1,102.9,152.7,258,1.24142602702703
1.1,0.4,127.6,126.9,258,2.08937425641026
0.1,0.0,154.0,101.9,258,5.81297530769231
0.3,0.0,179.0,76.7,258,10.6980868974359
0.0,0.0,205.0,51.0,258,19.898601564102602
0.2,0.2,230.8,24.8,258,37.5557710769231
0.4,0.2,25.8,229.6,386,0.478987974358975
8.6,5.4,45.6,196.4,386,0.528053435897436
0.1,0.1,76.9,178.9,386,0.732406631578947
0.0,0.1,101.9,154.0,386,1.24142602702703
0.4,0.5,127.5,127.6,386,2.08937425641026
0.0,0.1,153.9,102.0,386,5.81297530769231
0.1,0.3,178.7,76.9,386,10.6980868974359
0.2,0.0,205.0,50.8,386,19.898601564102602
0.1,0.0,230.0,25.9,386,37.5557710769231
0.3,2.3,23.7,229.7,514,0.478987974358975
4.3,1.9,49.1,200.7,514,0.528053435897436
0.2,0.1,76.9,178.8,514,0.732406631578947
0.3,0.1,101.9,153.7,514,1.24142602702703
0.5,0.3,127.7,127.5,514,2.08937425641026
0.0,0.0,154.0,102.0,514,5.81297530769231
0.0,0.2,178.8,77.0,514,10.6980868974359
0.0,0.0,205.0,51.0,514,19.898601564102602
0.2,0.1,229.9,25.8,514,37.5557710769231
3.6,0.5,25.5,226.4,642,0.478987974358975
6.5,5.2,45.8,198.5,642,0.528053435897436
0.2,0.0,77.0,178.8,642,0.732406631578947
0.0,0.0,103.0,153.0,642,1.24142602702703
0.3,0.0,128.0,127.7,642,2.08937425641026
0.5,0.1,153.9,101.5,642,5.81297530769231
0.1,0.1,178.9,76.9,642,10.6980868974359
0.2,0.2,204.8,50.8,642,19.898601564102602
0.2,0.1,230.9,24.8,642,37.5557710769231
0.0,0.0,26.0,230.0,770,0.478987974358975
3.4,3.7,47.3,201.6,770,0.528053435897436
0.2,0.1,76.9,178.8,770,0.732406631578947
0.3,0.1,102.9,152.7,770,1.24142602702703
0.6,1.0,127.0,127.4,770,2.08937425641026
0.1,0.1,153.9,101.9,770,5.81297530769231
0.2,0.2,178.8,76.8,770,10.6980868974359
0.2,0.2,204.8,50.8,770,19.898601564102602
0.2,0.0,231.0,24.8,770,37.5557710769231
0.0,0.0,26.0,230.0,898,0.478987974358975
5.1,2.2,48.8,199.9,898,0.528053435897436
0.1,0.1,76.9,178.9,898,0.732406631578947
0.2,0.1,101.9,153.8,898,1.24142602702703
1.0,0.0,128.0,127.0,898,2.08937425641026
0.3,0.2,153.8,101.7,898,5.81297530769231
0.1,0.0,179.0,76.9,898,10.6980868974359
0.1,0.1,204.9,50.9,898,19.898601564102602
0.0,0.3,229.7,26.0,898,37.5557710769231
0.0,0.0,26.0,230.0,1026,0.478987974358975
3.1,3.2,47.8,201.9,1026,0.528053435897436
0.0,0.2,76.8,179.0,1026,0.732406631578947
0.2,0.1,101.9,153.8,1026,1.24142602702703
0.6,0.3,127.7,127.4,1026,2.08937425641026
0.1,0.0,154.0,101.9,1026,5.81297530769231
0.0,0.2,178.8,77.0,1026,10.6980868974359
0.3,0.2,204.8,50.7,1026,19.898601564102602
0.5,0.0,230.0,25.5,1026,37.5557710769231
0.0,0.3,25.7,230.0,1154,0.478987974358975
4.6,1.0,50.0,200.4,1154,0.528053435897436
1.0,0.0,77.0,178.0,1154,0.732406631578947
0.5,0.0,103.0,152.5,1154,1.24142602702703
0.3,0.3,127.7,127.7,1154,2.08937425641026
0.0,0.0,154.0,102.0,1154,5.81297530769231
0.2,0.2,178.8,76.8,1154,10.6980868974359
0.0,0.2,204.8,51.0,1154,19.898601564102602
0.3,0.0,231.0,24.7,1154,37.5557710769231
0.0,0.3,25.7,230.0,1282,0.478987974358975
3.5,1.2,49.8,201.5,1282,0.528053435897436
0.3,0.0,77.0,178.7,1282,0.732406631578947
0.2,0.0,103.0,152.8,1282,1.24142602702703
0.1,0.2,127.8,127.9,1282,2.08937425641026
0.2,0.1,153.9,101.8,1282,5.81297530769231
0.2,0.1,178.9,76.8,1282,10.6980868974359
0.3,0.0,205.0,50.7,1282,19.898601564102602
0.4,0.2,230.8,24.6,1282,37.5557710769231
0.0,0.3,25.7,230.0,1410,0.478987974358975
2.6,2.5,48.5,202.4,1410,0.528053435897436
0.1,0.1,76.9,178.9,1410,0.732406631578947
0.1,0.2,101.8,153.9,1410,1.24142602702703
0.7,0.2,127.8,127.3,1410,2.08937425641026
0.2,0.0,154.0,101.8,1410,5.81297530769231
0.4,0.0,179.0,76.6,1410,10.6980868974359
0.4,0.0,205.0,50.6,1410,19.898601564102602
0.3,0.0,230.0,25.7,1410,37.5557710769231
0.0,0.1,25.9,230.0,1538,0.478987974358975
8.3,2.7,48.3,196.7,1538,0.528053435897436
