FN,FP,MSE,TN,TP,sr,t
0.0,2.0,1011040.4055555556,0.0,16.0,2,3161
0.0,4.0,5682414.027777778,0.0,14.0,2,3268
5.4,1.7,3094747.6166666667,3.3,7.6,2,3451
3.3,2.5,2111167.8055555555,4.5,7.7,2,4894
2.0,3.1,5315916.894444445,5.9,7.0,2,5186
1.7,4.1,1269170.9444444445,6.9,5.3,2,5295
1.5,5.8,9740365.316666666,7.2,3.5,2,5361
4.0,0.0,2080074.5888888887,14.0,0.0,2,5499
2.0,0.0,1732986.3111111112,16.0,0.0,2,14744
2.7,1.2,1880827.7444444443,0.8,13.3,11,3161
1.3,1.1,1189895.9222222222,2.9,12.7,11,3268
0.7,1.3,1772642.2444444443,4.7,11.3,11,3451
1.1,0.9,62715.38888888889,6.1,9.9,11,4894
0.6,0.9,1819565.1222222224,8.1,8.4,11,5186
0.6,1.9,36597.055555555555,9.1,6.4,11,5295
0.6,2.0,19031.42777777778,11.0,4.4,11,5361
1.6,2.2,37609.83333333333,11.8,2.4,11,5499
1.5,1.3,2516045.688888889,14.7,0.5,11,14744
1.4,1.6,1517732.0833333335,0.4,14.6,20,3161
1.0,0.9,2340.8,3.1,13.0,20,3268
0.1,0.1,1235.2833333333333,5.9,11.9,20,3451
0.3,0.4,2072.5555555555557,6.6,10.7,20,4894
0.3,0.4,40389.25555555556,8.6,8.7,20,5186
0.1,0.2,948.4277777777777,10.8,6.9,20,5295
1.0,0.9,2683050.827777778,12.1,4.0,20,5361
0.3,0.4,1962.911111111111,14.6,2.7,20,5499
0.7,1.6,31821.533333333333,14.4,1.3,20,14744
0.6,1.4,2629.7538580246915,0.6,15.4,29,3161
1.0,1.6,2035.1347222222223,2.4,13.0,29,3268
0.5,0.5,1772.4402777777777,4.5,12.5,29,3451
0.7,1.1,1940.1125,5.9,10.3,29,4894
0.0,0.0,1992.1508888888889,9.0,9.0,29,5186
0.4,0.6,14858.203125,10.4,6.6,29,5295
0.2,0.4,3687.278395061728,12.6,4.8,29,5361
0.3,0.5,1791.541888888889,14.5,2.7,29,5499
0.7,0.9,1634.3927083333333,15.1,1.3,29,14744
2.0,1.1,1843.5768518518507,0.9,14.0,38,3161
0.9,0.9,1960.2299382716053,3.1,13.1,38,3268
0.6,0.4,939.5631666666661,4.6,12.4,38,3451
0.3,0.1,2651.5735,6.9,10.7,38,4894
0.0,0.1,1298.6951388888888,8.9,9.0,38,5186
0.0,0.2,2276.0567129629626,10.8,7.0,38,5295
