FN,FP,MSE,TN,TP,sr,t
0.0,23.0,1449156.5936646322,0.0,208.0,2,7395.054999999998
0.0,46.0,1078095.5008767103,0.0,185.0,2,8447.814285714283
77.6,21.4,1675683.6513885101,47.6,84.4,2,9560.767142857143
77.0,43.5,2520584.875395166,48.5,62.0,2,9896.94214285714
62.7,42.0,1855907.0904498294,74.0,52.3,2,10259.974999999997
48.7,57.5,1309312.16499653,81.5,43.3,2,10607.560714285712
20.1,82.6,1645189.836553,79.4,48.9,2,10970.621428571429
46.0,0.0,886960.8905190572,185.0,0.0,2,11656.392857142857
23.0,0.0,1518692.359252283,208.0,0.0,2,13508.696428571431
1.8,20.9,1621391.6008847365,2.1,206.2,117,7395.054999999998
22.3,24.2,816504.0715540935,21.8,162.7,117,8447.814285714283
37.2,16.3,408204.3164816904,52.7,124.8,117,9560.767142857143
24.5,18.8,725204.9838467968,73.2,114.5,117,9896.94214285714
19.9,28.2,852418.1025082113,87.8,95.1,117,10259.974999999997
32.6,18.5,1345370.1365209613,120.5,59.4,117,10607.560714285712
19.5,20.7,560111.4416581232,141.3,49.5,117,10970.621428571429
19.3,6.1,1373727.4589568363,178.9,26.7,117,11656.392857142857
8.5,10.4,1968996.3674053375,197.6,14.5,117,13508.696428571431
0.0,23.0,677028.085222552,0.0,208.0,232,7395.054999999998
3.8,40.2,397773.28466395393,5.8,181.2,232,8447.814285714283
34.3,15.4,1159981.9623188253,53.6,127.7,232,9560.767142857143
22.8,23.9,1015063.057396654,68.1,116.2,232,9896.94214285714
14.4,35.3,597207.5148268662,80.7,100.6,232,10259.974999999997
22.4,28.2,242202.523508951,110.8,69.6,232,10607.560714285712
31.9,6.1,662034.1326781118,155.9,37.1,232,10970.621428571429
16.4,10.0,416722.9923370344,175.0,29.6,232,11656.392857142857
9.3,4.7,548800.5987361557,203.3,13.7,232,13508.696428571431
0.0,23.0,533142.9318353205,0.0,208.0,347,7395.054999999998
10.8,33.7,842725.0922688162,12.3,174.2,347,8447.814285714283
30.7,20.4,314521.0626388393,48.6,131.3,347,9560.767142857143
18.5,26.9,592604.9799537382,65.1,120.5,347,9896.94214285714
13.8,30.8,680925.0919314659,85.2,101.2,347,10259.974999999997
34.8,24.1,300770.835846894,114.9,57.2,347,10607.560714285712
32.0,11.6,487282.02848511765,150.4,37.0,347,10970.621428571429
15.4,11.0,412996.23546343757,174.0,30.6,347,11656.392857142857
10.2,5.0,514513.4390347004,203.0,12.8,347,13508.696428571431
0.0,23.0,466246.8351350029,0.0,208.0,462,7395.054999999998
5.5,37.4,417325.23673176335,8.6,179.5,462,8447.814285714283
33.7,18.3,352340.0990435657,50.7,128.3,462,9560.767142857143
19.6,25.3,284182.62169943185,66.7,119.4,462,9896.94214285714
15.0,37.1,522272.07891521865,78.9,100.0,462,10259.974999999997
45.8,15.5,1934423.2628953676,123.5,46.2,462,10607.560714285712
30.8,11.3,406612.55374303565,150.7,38.2,462,10970.621428571429
16.6,9.3,274931.7340398386,175.7,29.4,462,11656.392857142857
10.2,4.7,379262.38070300675,203.3,12.8,462,13508.696428571431
0.0,23.0,367816.48601084773,0.0,208.0,577,7395.054999999998
1.4,41.3,330777.91473641584,4.7,183.6,577,8447.814285714283
33.8,17.1,317308.3286207873,51.9,128.2,577,9560.767142857143
15.3,25.4,436792.80313498824,66.6,123.7,577,9896.94214285714
16.9,35.3,307073.10904606234,80.7,98.1,577,10259.974999999997
40.8,15.1,343375.11149870197,123.9,51.2,577,10607.560714285712
32.4,11.7,327034.82074101217,150.3,36.6,577,10970.621428571429
13.6,10.0,301676.81861759565,175.0,32.4,577,11656.392857142857
9.4,3.5,243183.90425553647,204.5,13.6,577,13508.696428571431
0.0,23.0,369522.8667482478,0.0,208.0,692,7395.054999999998
3.1,42.2,340093.98684563173,3.8,181.9,692,8447.814285714283
33.3,15.7,274007.06133486825,53.3,128.7,692,9560.767142857143
17.8,27.0,453155.8714920261,65.0,121.2,692,9896.94214285714
8.3,39.6,340572.20586933073,76.4,106.7,692,10259.974999999997
48.2,16.9,779034.460270654,122.1,43.8,692,10607.560714285712
33.2,9.9,560792.7332228376,152.1,35.8,692,10970.621428571429
14.9,5.5,370937.5626722757,179.5,31.1,692,11656.392857142857
9.0,8.5,289300.55897390615,199.5,14.0,692,13508.696428571431
0.0,23.0,372387.4778988307,0.0,208.0,807,7395.054999999998
0.0,46.0,285083.56246882613,0.0,185.0,807,8447.814285714283
32.7,18.3,304510.27087929664,50.7,129.3,807,9560.767142857143
19.7,25.2,331927.4045546042,66.8,119.3,807,9896.94214285714
8.7,40.8,270071.3065589457,75.2,106.3,807,10259.974999999997
44.5,17.0,484239.76332741964,122.0,47.5,807,10607.560714285712
