FN,FP,TN,TP,sr,t
0.0,23.0,0.0,208.0,2,7395.054999999998
0.0,46.0,0.0,185.0,2,8447.814285714283
76.0,23.3,45.7,86.0,2,9560.767142857143
59.5,31.4,60.6,79.5,2,9896.94214285714
51.9,56.9,59.1,63.1,2,10259.974999999997
39.7,61.5,77.5,52.3,2,10607.560714285712
33.9,70.6,91.4,35.1,2,10970.621428571429
46.0,0.0,185.0,0.0,2,11656.392857142857
23.0,0.0,208.0,0.0,2,13508.696428571431
11.5,9.9,13.1,196.5,117,7395.054999999998
24.6,16.2,29.8,160.4,117,8447.814285714283
20.0,19.7,49.3,142.0,117,9560.767142857143
15.5,28.0,64.0,123.5,117,9896.94214285714
14.1,22.3,93.7,100.9,117,10259.974999999997
13.5,17.1,121.9,78.5,117,10607.560714285712
13.5,10.6,151.4,55.5,117,10970.621428571429
12.3,12.8,172.2,33.7,117,11656.392857142857
8.5,7.3,200.7,14.5,117,13508.696428571431
10.1,8.3,14.7,197.9,232,7395.054999999998
18.4,16.2,29.8,166.6,232,8447.814285714283
15.5,18.7,50.3,146.5,232,9560.767142857143
15.6,21.9,70.1,123.4,232,9896.94214285714
17.4,17.6,98.4,97.6,232,10259.974999999997
12.1,13.3,125.7,79.9,232,10607.560714285712
7.9,10.3,151.7,61.1,232,10970.621428571429
10.3,13.9,171.1,35.7,232,11656.392857142857
7.8,5.9,202.1,15.2,232,13508.696428571431
6.8,9.0,14.0,201.2,347,7395.054999999998
16.2,16.8,29.2,168.8,347,8447.814285714283
15.4,18.7,50.3,146.6,347,9560.767142857143
12.2,20.5,71.5,126.8,347,9896.94214285714
10.3,23.0,93.0,104.7,347,10259.974999999997
8.9,15.7,123.3,83.1,347,10607.560714285712
9.8,7.5,154.5,59.2,347,10970.621428571429
11.0,9.3,175.7,35.0,347,11656.392857142857
6.3,6.1,201.9,16.7,347,13508.696428571431
5.4,10.6,12.4,202.6,462,7395.054999999998
14.4,15.1,30.9,170.6,462,8447.814285714283
